Date,ENS,CBAT,TIA,ALB,LAC,SQM,ALB_sentiment_nltk,CBAK_sentiment_nltk,ENS_sentiment_nltk,LAC_sentiment_nltk,SQM_sentiment_nltk,TIA_sentiment_nltk,lithium_sentiment_nltk,ALB_sentiment_TextBlob,CBAK_sentiment_TextBlob,ENS_sentiment_TextBlob,LAC_sentiment_TextBlob,SQM_sentiment_TextBlob,TIA_sentiment_TextBlob,lithium_sentiment_TextBlob,ALB_1_temp,ALB_1_humidity,ALB_1_windspeed,ALB_1_conditions,ALB_2_temp,ALB_2_humidity,ALB_2_windspeed,ALB_2_conditions,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions,LAC_2_temp,LAC_2_humidity,LAC_2_windspeed,LAC_2_conditions,SQM_1_temp,SQM_1_humidity,SQM_1_windspeed,SQM_1_conditions,SQM_2_temp,SQM_2_humidity,SQM_2_windspeed,SQM_2_conditions
2/1/2015,-0.95,-0.08,0.31,0.18,0.2,0.52,0,0,0,0,0,0,0.5267,0,0,0,0,0,0,0.5,-1.7,39.6,18.1,0,14,19.7,35.3,2,17.5,64.1,26.8,5,16.1,70.3,23.5,4,14,19.7,35.3,2,18.9,72,22.3,2
5/1/2015,-0.770000458,0.029999971,0,-2,-0.100000143,-0.525802612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,49.7,15.9,0,15.1,22.4,27,1,24.7,65.5,17.1,2,23.2,66.5,18.3,2,15.1,22.4,27,1,19.1,73.2,24.1,2
6/1/2015,-1.5,-0.049999952,0.024590983,-1.140003204,0.050000191,-0.331062317,0,0,0,0,0.296,0,0,0,0,0,0,0.2,0,0,5.5,52.6,18.4,0,15.8,24,37.1,2,26.3,66.1,17.1,2,24,69.8,21.9,2,15.8,24,37.1,2,19.4,72.1,25.9,2
7/1/2015,0.529998779,0.039999962,-0.00058552,-0.229999542,0.049999952,-0.009737015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,52.4,18.9,0,16.1,25.3,38.9,2,24.7,71.1,29.5,5,22.2,76.3,29.5,5,16.1,25.3,38.9,2,19.2,67.2,29.5,2
8/1/2015,1.380001068,0.170000076,-0.010246172,1.790000916,-0.049999952,-0.068159103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,52.1,14.8,0,15.3,25,33.5,2,24.3,72.9,22.6,5,22.6,75.1,24.1,5,15.3,25,33.5,2,19,69.7,27.7,2
9/1/2015,-0.169998169,-0.00999999,0.006440435,0.290000916,0.049999952,0.467380524,0,0,0,-0.3996,0,0,0,0,0,0,0,0,0,0,5.5,52.9,17.6,2,16.3,26,35.6,2,26.9,64.7,15.6,2,25.2,66.1,20.3,2,16.3,26,35.6,2,19.6,69.6,29.5,2
12/1/2015,-1.050003052,0.049999952,0.08050586,0.680000305,-0.25,-0.389484406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,65.2,24.7,2,15.5,27.7,34.2,2,23.4,77.9,21.8,5,22.3,74.1,22.2,5,15.5,27.7,34.2,2,19.3,69.6,24.1,2
13/01/2015,1.170001984,-0.139999986,0.115636057,1.290000916,0.049999952,-0.146057129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53.1,39.9,0,14.3,30.9,30.6,2,25.1,68.9,16.8,2,23.9,67,22,2,14.3,30.9,30.6,2,19.3,67.8,24.1,2
14/01/2015,-1.170001984,-0.019999981,-0.031909697,-1.470001221,-0.099999905,-0.516065598,0,0,0,0.064,0,0,0,0,0,0,0,0,0,0,1.3,49.8,20.2,0,14.3,26.1,35.6,2,23.2,77,25.4,5,22.2,76.8,44,5,14.3,26.1,35.6,2,19.6,69.1,24.1,2
15/01/2015,-1.399997711,-0.030000091,-0.009367892,-1.439998627,0,-0.126583099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,37.7,15.8,0,15.1,22.9,34.9,5,22,73.6,22.4,5,22.1,73,17.5,5,15.1,22.9,34.9,5,19.2,69.6,25.9,2
16/01/2015,0.590000153,-0.019999981,-0.002049319,0.439998627,0,0.165531158,0,0,0,0,0.296,0,0,-0.05,0,0,0,0,0,0,3.9,30.5,15.3,0,14.8,23.7,37.4,2,23.8,76.8,9.4,2,23.4,76.9,9.4,2,14.8,23.7,37.4,2,19.3,67.3,24.1,2
