"date","title","content","link","symbols__001","symbols__002","symbols__003","symbols__004","symbols__005","symbols__006","symbols__007","symbols__008","symbols__009","symbols__010","symbols__011","symbols__012","symbols__013","symbols__014","symbols__015","symbols__016","symbols__017","tags__001","tags__002","tags__003","tags__004","tags__005","tags__006","tags__007","tags__008","tags__009","tags__010","tags__011","sentiment__polarity","sentiment__neg","sentiment__neu","sentiment__pos"
"2022-07-06T10:07:34+00:00","Tianqi Lithium Raises $1.7 Billion in Year’s Biggest Hong Kong Listing","(Bloomberg) -- Tianqi Lithium Corp. raised about HK$13.5 billion ($1.7 billion) after pricing its Hong Kong second listing at the top of a marketed range, according to people familiar with the matter, in the Asian financial hub’s largest share sale this year.\n\nMost Read from Bloomberg\n\nNatural Gas Soars 700%, Becoming Driving Force in the New Cold War Citi Says Oil May Collapse to $65 by the Year-End on Recession Oil Plummets Below $100 as Recession Risks Come to Forefront US Wants Dutch Supplier to Stop Selling Chipmaking Gear to China American Factories Are Making Stuff Again as CEOs Take Production Out of China\n\nThe Shenzhen-listed supplier of the key material used in batteries sold 164.1 million shares at HK$82 apiece, the people said, asking not to be identified as the information is private. Tianqi Lithium had marketed the shares at HK$69 to HK$82 each.\n\nA representative for Tianqi Lithium didn’t immediately respond to a request for comment.\n\nThe share sale breaks a months-long drought for large offerings in Hong Kong, where funds raised between January and June fell more 90% from the previous year. The city has been hit even harder by the global slump than other trading hubs, as central banks move to combat surging inflation and spikes in volatility have put issuers on the sidelines.\n\nAs virus-related curbs in China ease and the country’s equities recover both at home and abroad, a successful listing by Tianqi Lithium could open the window for a pickup in Hong Kong offerings. China Tourism Group Duty Free Corp., which is traded in Shanghai, is set to relaunch a Hong Kong listing that could raise around $2 billion to $3 billion as soon as in the third quarter.\n\nTracing its history to the construction of its first lithium carbonate plant in 1992, Tianqi Lithium mines lithium in Australia and produces lithium compounds and derivatives in China, a prospectus shows. The Chengdu-based company raised 735 million yuan ($110 million) in a Shenzhen initial public offering in 2010.\n\nStory continues\n\nTianqi Lithium sold a 49% stake in its Australian unit in 2020 to Perth-based IGO Ltd. for $1.4 billion to help repay an acquisition loan. The Kwinana lithium refinery near Perth, Australia -- a joint venture between the company and IGO and the first lithium refinery outside China -- delivered its first batch of battery-grade lithium hydroxide in May.\n\nThe share sale has drawn seven cornerstone investors that are set to snap up about 38% of the listing, the prospectus shows. Morgan Stanley, China International Capital Corp. and CMB International Capital Ltd. are joint sponsors of the offering.\n\nMost Read from Bloomberg Businessweek\n\nThe Lottery Lawyer Won Their Trust, Then Lost Their Mega Millions Google Is Going to Let Politicians Spam Your Inbox Geely Is Launching Satellites in a Bid to Bring Driverless Cars to China Gangs Are Fake-Killing People in India for Insurance Payouts Did Razzlekhan and Dutch Pull Off History’s Biggest Crypto Heist?\n\n©2022 Bloomberg L.P.","https://finance.yahoo.com/news/tianqi-lithium-raises-1-7-100734705.html","002466.SHE","","","","","","","","","","","","","","","","","BLOOMBERG","HONG KONG","LITHIUM CARBONATE","TIANQI LITHIUM","","","","","","","","0.859","0.047","0.885","0.069"
"2022-07-03T00:00:00+00:00","Hong Kong’s Dry Spell for IPOs Set to End With Big China Deals","(Bloomberg) -- After a dismal first six months, things are finally looking up for initial public offerings in Hong Kong as several large Chinese firms line up to list in Asia’s financial hub in the second half.\n\nMost Read from Bloomberg\n\nJPMorgan Sees ‘Stratospheric’ $380 Oil on Worst-Case Russian Cut US Court Ruling May Take 70,000 Truckers Off Road, Spur Jams Crypto Meltdown Claims Rolex and Patek Philippe as Victims The Wheels Have Come Off Electric Vehicles Netflix Crashes After ‘Stranger Things 4’ Finale Release\n\nBattery materials producer Tianqi Lithium Corp. just opened its books for what is set to be the city’s first billion-dollar deal this year while China Tourism Group Duty Free Corp. may relaunch an offering of around $2 billion.\n\nAlong with several other mid- to large-sized deals in the pipeline, they are poised to revive a dormant market where firms raised a paltry $2.6 billion between January and June. That’s a 92% slump from last year and the lowest sum for the same period since 2009.\n\nThe pick up in upcoming listings speaks of an improving environment for valuations as the easing of virus-related curbs and Beijing’s dialing back on a corporate crackdown spur a world-beating rally in stocks in China and Hong Kong. Better clarity on rules for Chinese share offerings abroad could also “encourage more new listings” in Hong Kong, Charles Zhou, an analyst at Credit Suisse Group AG, wrote in a note last month.\n\nThe flow of positive news from China has propelled the benchmark CSI 300 Index toward a technical bull market and analysts are expecting more constructive policy reinforcements in the second half of the year.\n\n“If it happens, that would hopefully help to push through some of our pipeline of equity deals that are waiting for a better market window to open,” said Selina Cheung, co-head of Asia equity capital markets at UBS AG in Hong Kong.\n\nIn the first half, Hong Kong saw only one IPO that was larger than $500 million. That was back in January plus the majority of companies that have debuted this year are trading below water. Notably, IPO activity has dried up globally as investors fret over inflation, hawkish central banks and recession fears.\n\nStory continues\n\nWindow of Opportunity\n\nHong Kong’s dry spell now looks set to end with a flurry of small-size deals coming through late in June as issuers hurried to take advantage of a short window favoring Chinese equities.\n\nTianqi Lithium’s potential $1.7 billion listing paves the way for July to be the strongest month for IPOs in Asian financial hub this year. The pipeline of offerings of about $500 million or more also includes snack maker Weilong Delicious Global Holdings Ltd. and Wego Blood Purification, the dialysis unit of China’s Wego Group. China’s Imeik Technology Development Co., which has a market cap of $19 billion, has also filed for a listing on the HKEX.\n\nMore regulatory clarity from Beijing for firms planning to sell their shares overseas will also be key going forward.\n\nRead a QuickTake on China’s Overseas IPOs\n\nMany of the potential listings are already trading in New York but are trying to tap investors closer to home due to fears of being kicked out stateside due to the regulatory impasse with the US.\n\nSuch is the case for consumer goods retailer Miniso Group Holding Ltd., which is seeking up to $116 million. Others have opted to go public in Asia by way of introduction, a mechanism that doesn’t involve selling new shares.\n\nA number of companies have “continuously” worked on their listing plans as they wait for a market window to reach ideal valuations, said Shi Qi, head of ECM at China International Capital Corp. “Looking ahead, companies related to stable growth policies and social wellbeing could see better opportunities in the market,” she said, citing themes like carbon neutrality, environmental governance, new energy, consumption and healthcare.\n\nMost Read from Bloomberg Businessweek\n\nThe Lottery Lawyer Won Their Trust, Then Lost Their Mega Millions Did Razzlekhan and Dutch Pull Off History’s Biggest Crypto Heist? How Generations of Black Americans Lost Their Land to Tax Liens Gangs Are Fake-Killing People in India for Insurance Payouts Sports Reporter by Day, Political Revolutionary by Night\n\n©2022 Bloomberg L.P.","https://finance.yahoo.com/news/hong-kong-dry-spell-ipos-000000617.html","002466.SHE","","","","","","","","","","","","","","","","","BLOOMBERG","CHINA","FINANCIAL HUB","HONG KONG","INITIAL PUBLIC OFFERINGS","MARKET WINDOW","TIANQI LITHIUM CORP","","","","","0.993","0.028","0.87","0.102"
"2022-06-29T15:12:00+00:00","Chinese Lithium Giant Targets Up to $1.7 Billion in Hong Kong IPO","Tianqi Lithium Corp., one of the largest producers of lithium compounds used in electric-vehicle batteries, said it plans to raise the equivalent of up to $1.7 billion in a Hong Kong initial public offering.","https://finance.yahoo.com/m/2191d12e-388b-34f6-af78-f308df01cc69/chinese-lithium-giant-targets.html","002466.SHE","","","","","","","","","","","","","","","","","HONG KONG","IPO PRICE RANGE","LITHIUM COMPOUNDS","LITHIUM INDUSTRY","TIANQI LITHIUM","","","","","","","0","0","1","0"
"2022-06-29T10:07:06+00:00","Tianqi Lithium Seeks Up to $1.7 Billion in Hong Kong Listing","(Bloomberg) -- Tianqi Lithium Corp., a Chinese supplier of the key material used in batteries, is planning to raise as much as $1.7 billion in what’s set to be Hong Kong’s biggest listing this year.\n\nMost Read from Bloomberg\n\nRussia Slips Into Historic Default as Sanctions Muddy Next Steps Big Tech Sinks Stocks Bruised by Recession Jitters: Markets Wrap China Cuts Travel Quarantine in Biggest Covid Zero Shift Yet Tesla Lays Off About 200 Autopilot Workers, Most of Them Hourly NATO Expansion Moves Ahead With Finland, Sweden Agreement\n\nThe Chengdu-based company, which is already listed in Shenzhen, is offering 164.1 million shares at HK$69 to HK$82 each, according to a press release on Wednesday. The price range is at a maximum 52% discount to its A-share price at Wednesday’s close. If an over-allotment option is exercised, proceeds could increase to nearly $2 billion.\n\nBig IPOs almost entirely vanished from Hong Kong’s exchange in 2022, as surging inflation, rising rates and the war in Ukraine added to woes tied to Beijing’s crackdown on the nation’s tech firms and overseas listings. While several small-ticket offerings were launched over the past week, total proceeds are still down 91% versus the same period last year.\n\nThe company intends to use the proceeds for purposes including repaying debt, funding the construction of a plant and for working capital, among other things, according to the release. Pricing is expected July 6 and the shares are set to begin trading in Hong Kong on July 13.\n\nMorgan Stanley, China International Capital Corp. and CMB International Capital Corp. are joint sponsors.\n\n(Updates with press release from second paragraph.)\n\nMost Read from Bloomberg Businessweek\n\nMoving to Ban Juul, the FDA Delivers a Blow to Big Nicotine Why You Should Quit Your Job After 10 Years You Can Give People What They Want. Or You Can Give Them Web3 ADT Is Betting Google Can Drag It Into the Future A Sci-Fi Novel’s Eerily Accurate Predictions About Today’s Tech\n\n©2022 Bloomberg L.P.","https://finance.yahoo.com/news/tianqi-lithium-said-seek-2-084528173.html","002466.SHE","","","","","","","","","","","","","","","","","BLOOMBERG","HONG KONG","TIANQI LITHIUM CORP","","","","","","","","","-0.844","0.058","0.905","0.037"
"2022-06-29T08:19:42+00:00","Tianqi Lithium aims to raise up to $2 billion in Hong Kong listing -sources","By Scott Murdoch and Julie Zhu\n\nHONG KONG (Reuters) -China's Tianqi Lithium Corp will sell its shares for between HK$69 and HK$82 ($8.79-$10.45) each for a Hong Kong listing which could raise up to $2 billion, said two sources with direct knowledge of the matter.\n\nTianqi, one of the world's top producers of lithium chemicals for electric vehicle batteries, plans to sell about 164.12 million shares in what would be the city's largest share sale in 2022, said one of the sources.\n\nIf a 15% greenshoe, or over-allotment option, is exercised, the Shenzhen-listed company could raise between $1.66 and $1.97 billion, the sources said.\n\nTianqi plans to open the books from Thursday to July 6, and debut in Hong Kong on July 13, said the first source.\n\nThe sources could not be named as the information was not yet public.\n\nTianqi did not immediately respond to a request for comment\n\nTianqi's float will help revive Hong Kong's banking market with the city's deal volumes flattened by volatile global financial markets.\n\nThere has been just $2.2 billion worth of initial public offerings and secondary listings in Hong Kong so far this year, down from $30.27 billion at the same time in 2021, according to Refinitiv data.\n\nTianqi, which is based in Chengdu, announced on Tuesday it had signed a contract to sell lithium to LG Chem Ltd.\n\nLithium prices have soared in the past year, despite some volatility caused during Shanghai's lockdown, on sustained global demand for electric vehicles.\n\nPrices have risen by nearly 120% in 2022 and are up 400% year on year, according to Benchmark Mineral Intelligence.\n\nA listing now would be Tianqi's second attempt at a deal in Hong Kong, after it withdrew a planned float in 2018 due to weaker market conditions at the time.\n\n($1 = 7.8473 Hong Kong dollars)\n\n(Reporting by Scott Murdoch and Julie Zhu in Hong Kong; editing by Jason Neely and Louise Heavens)","https://finance.yahoo.com/news/tianqi-lithium-aims-raise-2-081942955.html","002466.SHE","","","","","","","","","","","","","","","","","HONG KONG","TIANQI LITHIUM","","","","","","","","","","0.904","0.013","0.926","0.06"
"2022-06-22T00:50:07+00:00","Ximalaya Pushes Back Hong Kong IPO Launch Amid Volatility","(Bloomberg) -- Chinese podcasting startup Ximalaya Inc. is pushing back the launch of its planned initial public offering in Hong Kong, in an abrupt change of heart amid market volatility, people familiar with the matter said.\n\nMost Read from Bloomberg\n\nSwitzerland Imports Russian Gold for First Time Since War Liz Cheney Is Paying the Price in Her Home State for Crossing Trump Stocks Surge After $2 Trillion Wipeout; Bonds Fall: Markets Wrap Elon Musk Sounds Off on Recession Risk, Twitter Deal and Trump Mortgage Lenders Timed the Market Perfectly\n\nThe Shanghai-based company was speaking with potential cornerstone investors in recent days and was considering to start taking orders as soon as next week if talks go well, Bloomberg News reported earlier. It has now decided to hold off until September at the soonest, the people said.\n\nXimalaya met with lukewarm demand during early talks with prospective investors, one of the people said, asking not to be identified because the information is private. It ultimately determined that it would be too hard to kick off the offering this month given disagreements over valuation amid the market turmoil, another person said.\n\nThe company, which was considering seeking less than $100 million, made the final decision to hold off in the last 24 hours, the people said. Ximalaya hasn’t formally set a new timeline, and details of the offering could still change, the people said. A representative for Ximalaya declined to comment.\n\nHong Kong’s IPO market has seen its sharpest swing in a decade, with inflation concerns and the war in Ukraine contributing to market volatility. Companies have raised about $2.4 billion through IPOs so far this year, only a fraction of the $26.2 billion raised during the same period in 2021, according to data compiled by Bloomberg.\n\nThis month, a few companies including logistics startup GogoX Holdings Ltd. and battery material supplier Tianqi Lithium Corp. are set to defy the slump and are going ahead with their Hong Kong listing plans.\n\nStory continues\n\nRead More: Hong Kong IPOs See Some Uptick As Semester End Nears\n\nXimalaya counts Tencent Holdings Ltd., Baidu Inc. and Sony Music Entertainment as backers, a preliminary prospectus shows. The app-based online audio platform launched on Tuesday the first official audiobook versions of the Harry Potter series in Chinese, according to a statement from Pottermore Publishing.\n\nThe company first filed for a Hong Kong IPO in 2021. It had previously dropped a plan to list in New York as Chinese regulators stepped up scrutiny over domestic firms flocking to US exchanges, probing them over national security concerns.\n\nGoldman Sachs Group Inc., Morgan Stanley and China International Capital Corp. are joint sponsors of Ximalaya’s Hong Kong offering, the prospectus shows.\n\n(Updates with Harry Potter audiobooks in seventh paragraph.)\n\nMost Read from Bloomberg Businessweek\n\nEthereum Mining Is Going Away, and Miners Are Not Happy Emmanuel Macron Wants to Pay Workers a Dividend Adults Who Love Toys? The Toy Industry Loves Them, Too Hell Is a Cruise Ship at the Beginning of the Pandemic\n\n©2022 Bloomberg L.P.","https://finance.yahoo.com/news/ximalaya-pushes-back-hong-kong-005007847.html","002466.SHE","0700.HK","3908.HK","B1C.F","BAIDF.US","BIDU.US","BIDUN.MX","CIM.F","CNICF.US","DWD.F","DWD.XETRA","GOS.F","GOS.XETRA","GS-PA.US","GS-PC.US","GS-PD.US","GS-PJ.US","BLOOMBERG","BLOOMBERG NEWS","HONG KONG","INITIAL PUBLIC OFFERING","MARKET VOLATILITY","PROSPECTIVE INVESTORS","XIMALAYA","","","","","0.229","0.054","0.892","0.054"
"2022-06-17T01:40:56+00:00","Tianqi Lithium Wins Nod for $1 Billion Hong Kong Listing","(Bloomberg) -- Tianqi Lithium Corp., a Chinese supplier of the key material used in batteries, has won the Hong Kong stock exchange’s approval for its planned listing in the city, people with knowledge of the matter said.\n\nMost Read from Bloomberg\n\nChina Says It May Have Detected Signals From Alien Civilizations Stocks Jump as Powell Soothes Wall Street’s Nerves: Markets Wrap Fed Hikes 75 Basis Points; Powell Says 75 or 50 Likely in July World’s Central Banks Got It Wrong, and Economies Pay the Price Americans Are Building Vacation-Home Empires With Easy-Money Loans\n\nThe Shenzhen-listed company received the green light following a hearing Thursday with the Hong Kong bourse’s listing committee, according to the people, who asked not to be identified because the information is private. It’s considering raising $1 billion to $1.2 billion in the share sale, one of the people said.\n\nTianqi Lithium plans to start gauging investor demand for the offering as soon as next week, the people said. At $1 billion, Tianqi Lithium’s offering would be Hong Kong’s biggest listing so far this year, according to data compiled by Bloomberg.\n\nDeliberations are ongoing, and details such as the fundraising amount and timing could still change, the people said. A representative for Tianqi Lithium declined to comment.\n\nMorgan Stanley, China International Capital Corp. and CMB International Capital Corp. are the joint sponsors of the deal, according to a preliminary prospectus.\n\nShares of Tianqi Lithium rose about 0.4% in early trading in Shenzhen on Friday, giving it a market value of about $25 billion.\n\n(Adds Tianqi’s share move in last paragraph.)\n\nMost Read from Bloomberg Businessweek\n\nSheryl Sandberg’s Wedding Expenses Are the Least of Facebook’s Sheryl Sandberg Problems Janet Yellen Is Struggling at the Treasury Job She Never Wanted A Ragtag Band of Hackers Is Waging Cyberwar on Putin’s Supply Lines A Billion-Dollar Crypto Gaming Startup Promised Riches and Delivered Disaster The Fed Tried to Protect Main Street. Now It May Have to Make Everyone Suffer\n\n©2022 Bloomberg L.P.","https://finance.yahoo.com/news/tianqi-lithium-wins-nod-1-014056808.html","002466.SHE","","","","","","","","","","","","","","","","","BLOOMBERG","HONG KONG","HONG KONG STOCK EXCHANGE","TIANQI LITHIUM","","","","","","","","0.796","0.058","0.859","0.084"
"2022-02-17T04:11:00+00:00","Stocks of Chinese lithium suppliers soar as lithium price rally continues","Shares of Chinese lithium suppliers jumped on Thursday, as prices of the battery-making commodity continued to rally on supply tightness and a booming electric-car market.","https://finance.yahoo.com/m/1d963359-d3d3-30d8-a655-a452f13f9867/stocks-of-chinese-lithium.html","002466.SHE","","","","","","","","","","","","","","","","","CHENGXIN LITHIUM GROUP CO","GANFENG LITHIUM CO","LITHIUM","LITHIUM CARBONATE","SINOMINE RESOURCE GROUP CO","TIANQI LITHIUM CORP","","","","","","0.296","0","0.913","0.087"
"2022-01-27T03:39:40+00:00","Tianqi Lithium Returns to Annual Profit Thanks to Battery Boom","(Bloomberg) -- Tianqi Lithium Corp., the Chinese battery-material supplier that’s planning to list in Hong Kong, will return to profitability for the first time in three years due to surging electric-vehicle demand.\n\nMost Read from Bloomberg\n\nPowell Backs March Liftoff, Won’t Rule Out Hike Every Meeting A Nor’easter Approaching New York Risks Becoming a Bomb Cyclone Stocks Halt Rally as Bond Yields Spike After Fed: Markets Wrap Scientists Identify Factors That Appear Linked to Long Covid Astronomers Spot Never-Before Seen Object at 4,000 Light-Years Away\n\nThe company said late Wednesday it expects preliminary full-year net income of 1.8 billion yuan to 2.4 billion yuan ($284 million to $378 million) for 2021.\n\nIt cited capacity expansions by battery manufacturers, higher lithium product prices and sales volumes, and improved investment income from miner Sociedad Quimica y Minera de Chile as reasons for the result. The official figures are likely to be released in late April.\n\nChinese lithium carbonate prices have been on a tear, jumping by almost a third this year after surging more than 400% in 2021. The global push toward an electrified transport fleet has fired up consumption of the battery material and supplies are struggling to keep pace.\n\nThe resurgence in demand helped Tianqi make a profit for three quarters in a row last year, after suffering seven consecutive quarterly losses. It made a 1.8 billion yuan loss in 2020 amid debt repayment pressures that forced it to sell part of its stake in the Greenbushes mine -- the world’s largest lithium project -- in Western Australia.\n\nSee also: Supply Squeeze Risks Are Pushing Lithium Higher and Higher\n\nFirst-quarter earnings should continue to be supported by higher lithium carbonate prices, Daiwa Capital Markets analysts Dennis Ip and Leo Ho said in a note. However, Tianqi will likely see a sharp increase in the cost of spodumene -- a lithium-bearing raw mineral -- under an annual price adjustment mechanism, they said.\n\nStory continues\n\nTianqi, whose shares already trade in Shenzhen, is reviving a plan to list in Hong Kong. The lithium supplier is working with China International Capital Corp., Morgan Stanley and CMB International on a share offering that could take place as soon as mid-2022 and may raise $1 billion to $2 billion, people familiar with the matter said earlier.\n\nShares of the company rose as much as 6.8% on Thursday in Shenzhen.\n\nMost Read from Bloomberg Businessweek\n\nMarket Turmoil Is Ultimate Test of What’s Real and What’s Not What Happens When Russian Hackers Come for the Electrical Grid Pharmacy Workers Are the Pandemic’s Invisible Victims The Tragicomedy of Boris Johnson Enters Its Final Act The Charismatic Developer and the Ponzi Scheme That Suckered San Diego\n\n©2022 Bloomberg L.P.","https://finance.yahoo.com/news/tianqi-lithium-returns-annual-profit-033940431.html","002466.SHE","","","","","","","","","","","","","","","","","BLOOMBERG","HONG KONG","LITHIUM CARBONATE","SOCIEDAD QUIMICA Y MINERA DE CHILE","","","","","","","","-0.959","0.088","0.866","0.046"
"2022-01-20T11:45:57+00:00","Chinese Lithium Giant Said to Pick Banks for Hong Kong Listing","(Bloomberg) -- Tianqi Lithium Corp., a Chinese supplier of the key material used in batteries, has selected banks for a share offering in Hong Kong that could take place as soon as mid-2022, according to people familiar with the matter.\n\nMost Read from Bloomberg\n\nEarly Omicron Breakthroughs Show MRNA Vaccines’ Weakness Why Some Vaccinated People Resist Omicron and Others Don’t Biden Expects Russia to ‘Move In’ on Ukraine; Warns of Sanctions Stocks Drop as Selloff Puts Nasdaq Into Correction: Markets Wrap Is Covid Becoming Endemic? What Would That Mean?\n\nThe company, whose shares already trade in Shenzhen, is working with China International Capital Corp., Morgan Stanley and CMB International on the proposed sale that could raise between $1 billion and $2 billion, the people said, asking not to be identified as the information is private.\n\nDeliberations are ongoing and details such as the fundraising amount and timing could still change, the people said. A representative for CICC declined to comment, while Morgan Stanley, CMBI and Tianqi Lithium didn’t immediately respond to requests seeking comment.\n\nTianqi Lithium applied for a Hong Kong listing in 2018, but the plan was shelved amid falling lithium prices and a cash squeeze following its purchase of a 24% stake in a Chilean rival for about $4 billion. The company’s performance has improved since, as the global push for electrified transport has stoked demand for lithium, which is used in rechargeable batteries.\n\nMetals Key for EVs Will Be Pricier for Longer After Record Year\n\nThe Chengdu, Sichuan-based company has revived the stalled share sale plan after global prices for the raw material almost quadrupled in the past year. In September, the company said its board approved a proposal to issue H shares and list on the main board of Hong Kong’s stock exchange.\n\nThe resurgence in the consumption of the metal helped Tianqi Lithium return to profit for two quarters in a row last year. Share prices of Tianqi Lithium have more than doubled since end-March as it recovers from debt repayment pressures that forced the miner to sell stakes in the world’s biggest lithium mine in Australia and in a refinery to IGO Ltd. for $1.4 billion.\n\nStory continues\n\nMost Read from Bloomberg Businessweek\n\nWall Street Traders Muscle Into the Middle of Crypto One Year Into His Term, Biden Finds Himself Boxed In on China Microsoft Makes a $69 Billion Down Payment on the Metaverse Work From Home Is Becoming a Permanent Part of How Jobs Are Done Airlines Step Up Hygiene to Keep Covid Out of the Air\n\n©2022 Bloomberg L.P.","https://finance.yahoo.com/news/chinese-lithium-giant-said-pick-114557511.html","002466.SHE","","","","","","","","","","","","","","","","","BLOOMBERG","CHINA INTERNATIONAL CAPITAL CORP","CHINESE SUPPLIER","HONG KONG","MORGAN STANLEY","TIANQI LITHIUM","","","","","","0.719","0.047","0.897","0.056"
