date,title,sentiment__polarity
2019-12-11T21:30:00+00:00,EnerSys Announces Closing of Private Offering of $300 Million Aggregate Principal Amount of Senior Notes,0.93
2019-12-05T12:43:00+00:00,EnerSys Announces Proposed Private Offering of $300 Million Aggregate Principal Amount of Senior Notes,0.93
2019-11-06T21:52:00+00:00,EnerSys Reports Second Quarter Fiscal 2020 Results,0.996
2019-11-06T21:52:00+00:00,EnerSys Announces Quarterly Dividend,0.98
2019-10-16T20:15:00+00:00,EnerSys Announces Second Quarter Fiscal 2020 Results Conference Call,0.96
2019-09-19T20:15:00+00:00,EnerSys Announces Agreement to Acquire NorthStar Battery Company from Altor Fund II,0.998
2019-09-19T17:31:00+00:00,"EnerSys Reports Fire at its Richmond, Kentucky Production Facility",0.959
2019-09-11T20:15:00+00:00,EnerSys to Hold Investor Day at the New York Stock Exchange,0.986
2019-08-07T20:16:00+00:00,EnerSys Announces Quarterly Dividend,0.98
2019-08-07T20:15:00+00:00,EnerSys Reports First Quarter Fiscal 2020 Results,0.995
2019-07-17T20:15:00+00:00,EnerSys Announces First Quarter Fiscal 2020 Results Conference Call,0.956
2019-06-11T20:44:00+00:00,EnerSys Announces Plans to Expand TPPL Capacity and Commercialize GreenSeal® Bi-Polar Battery Technology,0.991
2019-05-29T21:10:00+00:00,EnerSys Reports Fourth Quarter and Full Year Fiscal 2019 Results,1
2019-05-16T20:16:00+00:00,EnerSys Announces Quarterly Dividend,0.98
2019-05-16T20:15:00+00:00,EnerSys Reports Preliminary Fourth Quarter and Full Year Fiscal 2019 Results,0.998
2019-05-06T11:10:00+00:00,"Market Trends Toward New Normal in Enersys, Globalstar, STERIS plc, and Enova International — Emerging Consolidated Expectations, Analyst Ratings",0.994
2019-05-01T20:15:00+00:00,EnerSys Announces Dates for Preliminary Fourth Quarter Fiscal 2019 Results and Investor Conference Call,0.956
2019-02-06T21:33:00+00:00,EnerSys Announces Quarterly Dividend,0.98
2019-02-06T21:31:00+00:00,EnerSys Reports Third Quarter Fiscal 2019 Results,0.999
2019-01-16T21:15:00+00:00,EnerSys Announces Third Quarter Fiscal 2019 Results Conference Call,0.949
2019-01-08T12:20:00+00:00,"New Research: Key Drivers of Growth for MDU Resources Group, Enersys, Sally Beauty, Par Pacific, Golub Capital BDC, and ZAGG — Factors of Influence, Major Initiatives and Sustained Production",0.998
2018-12-10T11:30:00+00:00,EnerSys Completes Acquisition of the Alpha Technologies Group of Companies,0.998
2018-11-07T21:16:00+00:00,EnerSys Announces Quarterly Dividend,0.979
2018-11-07T21:15:00+00:00,EnerSys Reports Second Quarter Fiscal 2019 Results,0.996
2018-11-05T21:15:00+00:00,"EnerSys CEO David M. Shaffer to Present at Baird 2018 Global Industrial Conference on November 6, 2018, in Chicago",0.923
2018-11-02T11:40:00+00:00,"Market Trends Toward New Normal in Enersys, Benchmark Electronics, Chegg, Century Communities, Mercury General, and Digimarc — Emerging Consolidated Expectations, Analyst Ratings",0.995
2018-11-01T20:15:00+00:00,"EnerSys® Products Now Part of Toyota Material Handling, U.S.A.’s STARLIFT Parts Program",0.995
2018-10-29T20:15:00+00:00,"EnerSys Announces Agreement to Acquire the Alpha Technologies Group of Companies, Creating the Only Complete Power Solution Provider for Broadband, Telecom and Energy Storage Systems",0.999
2018-10-12T12:00:00+00:00,"New Research Coverage Highlights MasTec, Conn's, DTE Energy, Enersys, Alliant Energy, and Helix Energy — Consolidated Revenues, Company Growth, and Expectations for 2018",0.998
2018-10-10T20:15:00+00:00,EnerSys Announces Second Quarter Fiscal 2019 Results Conference Call,0.949
2018-08-23T20:15:00+00:00,EnerSys® Makes Significant Investment in Advanced Munitions Batteries Manufacturing Facilities,0.994
2018-08-08T20:16:00+00:00,EnerSys Announces Quarterly Dividend,0.979
2018-08-08T20:15:00+00:00,EnerSys Reports First Quarter Fiscal 2019 Results,0.995
2018-08-03T12:10:00+00:00,"Report: Exploring Fundamental Drivers Behind Cal-Maine Foods, Enersys, Progress Software, Carvana, SendGrid, and Armada Hoffler Properties — New Horizons, Emerging Trends, and Upcoming Developments",0.998
2018-07-18T20:15:00+00:00,EnerSys Announces First Quarter Fiscal 2019 Results Conference Call,0.951
2018-05-30T20:15:00+00:00,EnerSys Reports Fourth Quarter and Full Year Fiscal 2018 Results,0.997
2018-05-16T20:16:00+00:00,EnerSys Announces Quarterly Dividend,0.979
2018-05-16T20:15:00+00:00,EnerSys Reports Preliminary Fourth Quarter and Full Year Fiscal 2018 Results,0.998
2018-05-03T20:15:00+00:00,"EnerSys CEO David M. Shaffer to Present at Oppenheimer Industrial Conference on May 8, 2018, in New York City",0.941
2018-05-02T20:15:00+00:00,EnerSys Announces Dates for Preliminary Fourth Quarter Fiscal 2018 Results and Investor Conference Call,0.957
2018-04-26T11:45:00+00:00,"Research Report Identifies Bridgepoint Education, SunCoke Energy, Ryerson Holding, Enersys, Global Brass and Copper, and Mobile Mini with Renewed Outlook — Fundamental Analysis, Calculating Forward Movement",0.997
2018-04-23T20:15:00+00:00,EnerSys Announces New Global Technology Center,0.991
2018-02-27T13:20:00+00:00,"Research Report Identifies Insteel Industries, First Cash, Integra LifeSciences, Vishay Precision Group, Cambrex, and Enersys with Renewed Outlook — Fundamental Analysis, Calculating Forward Movement",0.995
2018-02-07T21:16:00+00:00,EnerSys Announces Quarterly Dividend,0.979
2018-02-07T21:15:00+00:00,EnerSys Reports Third Quarter Fiscal 2018 Results,0.998
2018-01-17T21:15:00+00:00,EnerSys Announces Third Quarter Fiscal 2018 Results Conference Call,0.949
2017-12-20T13:05:00+00:00,"Analysis: Positioning to Benefit within Cambrex, Enersys, Esterline Technologies, Lsb Industries, Atkore International Group, and Virtusa — Research Highlights Growth, Revenue, and Consolidated Results",0.995
2017-11-08T21:26:00+00:00,EnerSys Reports Second Quarter Fiscal 2018 Results,0.996
2017-11-08T21:16:00+00:00,EnerSys Announces Stock Repurchase Authorization and Quarterly Dividend,0.98
2017-10-18T20:15:00+00:00,EnerSys Announces Second Quarter Fiscal 2018 Results Conference Call,0.957
2017-08-09T20:17:00+00:00,EnerSys Announces Stock Repurchase Authorization and Quarterly Dividend,0.972
2017-08-09T20:16:00+00:00,EnerSys Reports First Quarter Fiscal 2018 Results,0.995
2017-07-18T20:15:00+00:00,EnerSys Announces First Quarter Fiscal 2018 Results Conference Call,0.957
2017-07-10T20:15:00+00:00,EnerSys Appoints Two New Members to its Board of Directors,0.994
