date,date,sentiment__polarity,sentiment__neg,sentiment__neu,sentiment__pos
2022-06-29T13:11:53+00:00,LG Energy signs battery-grade lithium supply deal with Compass Minerals,0.727,0.018,0.928,0.054
2022-06-21T13:05:00+00:00,CBAK Energy Devlopes Cylindrical Batteries for Jemmell,0.995,0.018,0.88,0.102
2022-06-03T11:23:00+00:00,"2022 Insights on the Lithium Battery Global Market - Players Include Manz, Northvolt, Samsung SDI and Tesla Among Others",0.93,0.007,0.953,0.04
2022-05-25T08:18:00+00:00,"Global and China Power Battery Management System (BMS) Markets Report 2022-2026: Preferential Policies Draw to an End, and the NEV BMS Market will be Impacted",0.998,0.03,0.868,0.102
2022-05-13T13:15:00+00:00,CBAK Energy Obtains $29 Million Battery Order from European Customer,0.994,0.019,0.881,0.099
2022-04-04T10:15:03+00:00,"The Battery Metal Really Worrying China Is Lithium, Not Nickel",0.975,0.034,0.895,0.071
2022-03-18T14:44:43+00:00,"Stellantis, LG Energy Pick Ontario for Battery Plant",-0.926,0.09,0.839,0.071
2022-03-10T10:28:00+00:00,"Global Lithium-Ion Battery Market to 2026 - by Type, Shape, Application and Region",0.995,0.011,0.898,0.09
2022-02-17T15:00:28+00:00,Plugging Into the Battery Economy,0.974,0.038,0.897,0.065
2022-02-17T12:13:00+00:00,"Insights on the Gel Battery Global Market to 2027 - by Type, Distribution Channel, Application and Region",0.979,0.027,0.913,0.061
2022-02-02T11:43:00+00:00,"World Module-less (Cell to Pack) Battery Structure Market Report 2021 Featuring Leading Manufacturers - BYD, CATL, and LG Chem",0.993,0.006,0.861,0.133
2022-01-10T14:03:35+00:00,10 Best EV Battery Stocks To Invest In,0.998,0.013,0.908,0.079
2022-01-06T01:00:00+00:00,Could A Graphite Shortage Derail The $3 Trillion EV Boom?,1,0.04,0.821,0.139
2021-12-31T10:53:00+00:00,Battery Manufacture and Supply in South Africa: Demand for Lithium-Ion Batteries Forecast to Increase as Electric Vehicles Gain Market Share,0.973,0.034,0.878,0.087
2021-12-21T14:00:00+00:00,CBAK Energy Enters into Agreement with AZAPA R&amp;D China for Developing Customized Battery Pack,0.99,0.037,0.844,0.119
2021-11-16T12:00:00+00:00,Nouveau Monde Provides Corporate Update on the Development of its Mine-to-Market Battery Material Business,0.999,0.023,0.887,0.09
2021-11-16T09:00:00+00:00,Rio Tinto invests in InoBat,0.995,0.008,0.91,0.082
2021-10-25T12:17:56+00:00,BASF adds SVolt as latest partner in Chinese battery business,0.869,0,0.921,0.079
