date,title,sentiment__polarity,sentiment__neg,sentiment__neu,sentiment__pos
2022-06-27T18:58:28+00:00,UPDATE 1-Albemarle plans major U.S. lithium processing plant,0.908,0.003,0.957,0.04
2022-06-27T16:49:47+00:00,Albemarle plans major U.S. lithium processing plant,0.625,0.024,0.93,0.046
2022-06-27T13:00:00+00:00,"Race to Reduce Battery Size a Priority for Electric Vehicle Battery Manufacturers in Europe, States Fact.MR",0.995,0.012,0.913,0.075
2022-06-27T09:00:00+00:00,"Electric Vehicle Battery Swapping Market Size worth 641.0 Million, Globally, by 2028 at 27.1% CAGR",0.998,0.008,0.876,0.116
2022-06-15T10:00:00+00:00,"EV battery startup Alsym aims to slash cost, eliminate lithium and cobalt",0.95,0.005,0.924,0.071
2022-06-07T15:10:46+00:00,Top producer Albemarle risks shutting German plant if EU declares lithium a hazard,-0.396,0.051,0.899,0.05
2022-06-05T15:00:00+00:00,Soaring Diesel Prices Could Accelerate The Electric Vehicle Boom,0.988,0.016,0.919,0.065
2022-06-01T16:15:04+00:00,Univar (UNVR) to be Distributor for Cabot's Carbon Black Products,0.998,0,0.819,0.181
2022-05-24T19:23:00+00:00,"Stellantis, Samsung plan Indiana electric car battery plant",0,0,1,0
2022-05-23T23:12:00+00:00,Will Indiana get new EV battery factory? Stellantis to make announcement Tuesday,0,0,1,0
2022-05-23T09:43:00+00:00,"Worldwide Electric Vehicle Battery Recycling Industry to 2028 - Featuring Recupyl, Retriev Technologies and Sitrasa Among Others",0.971,0.006,0.926,0.068
2022-05-22T12:23:47+00:00,ABB and Siemens back Norwegian battery start-up,0.052,0.062,0.854,0.084
2022-05-18T11:03:00+00:00,"Worldwide Electric Vehicle Battery Recycling Industry to 2027 - Featuring American Manganese, Battery Solutions and SITRASA Among Others",0.986,0.011,0.931,0.058
2022-05-06T15:44:54+00:00,CME explores nickel contract after LME trade chaos -sources,0.944,0.035,0.901,0.064
2022-05-05T14:37:52+00:00,Shares of Tesla’s battery maker plunge after net profit slides,-0.511,0.121,0.77,0.109
2022-05-05T09:18:00+00:00,Global Electric Vehicle Fast-Charging System Market Report 2022: Constantly Evolving Business Models for Promoting EV Adoption Rate &amp; Emerging Economies Stimulating the Growth of EV Infrastructure,0.998,0.025,0.879,0.097
2022-05-04T22:14:53+00:00,Good Times Are Ahead for Lithium Miners as Prices Continue to Surge,0.967,0.039,0.856,0.105
2022-05-04T10:08:18+00:00,Porsche leads $400 million investment in EV battery startup Group14,0.31,0.007,0.974,0.019
2022-05-04T10:00:00+00:00,CORRECTED-Porsche leads $400 million investment in EV battery startup Group14,0.31,0.007,0.974,0.019
2022-04-28T03:04:03+00:00,Top Bid for Lithium Up 140% After Musk’s ‘Insane Levels’ Call,0.016,0.076,0.858,0.066
2022-04-27T11:01:39+00:00,Can You Invest in Nickel? 7 Stocks to Consider.,1,0.031,0.852,0.117
2022-04-18T20:30:00+00:00,Syrah Resources gets $107 mln U.S. loan for Louisiana EV battery plant,0.881,0.017,0.93,0.053
2022-04-15T17:29:42+00:00,"How Ford, Toyota stack up on electrification",0,0,1,0
2022-04-14T10:59:27+00:00,Panasonic To Introduce Bigger EV Battery To Diversify Business From Tesla: FT,0.977,0.025,0.851,0.123
2022-04-14T08:35:47+00:00,"High raw material prices having a ""big"" impact, Panasonic CEO says",0.875,0,0.95,0.05
2022-04-13T11:23:00+00:00,"Global Electric Vehicle Battery Market (2022 to 2027) - by Vehicle Type, Battery Type, Vehicle Class and Geography",0.997,0.012,0.903,0.086
2022-04-12T12:13:00+00:00,The Worldwide Electric Vehicle Battery Swapping Industry is Expected to Reach $690.8 Million by 2027,0.997,0.026,0.877,0.097
2022-03-24T23:15:50+00:00,Factbox-Swapping electric car batteries since the Gilded Age,0.511,0.048,0.898,0.053
2022-03-22T23:30:00+00:00,"Why Are Tesla, Volkswagen And Nio Scrambling For Graphite?",1,0.048,0.82,0.132
2022-03-22T20:41:00+00:00,"LG plans expansion of EV battery plant, adding up to 1,200 jobs in Michigan",0.527,0,0.845,0.155
2022-03-16T19:06:00+00:00,"Eramet, Suez eye EV battery recycling in France by 2024",0.649,0.008,0.956,0.036
2022-03-11T11:38:35+00:00,"UPDATE 2-Stellantis confident it can catch up with Tesla, says CEO Tavares",0.961,0.034,0.882,0.084
2022-03-07T23:00:00+00:00,Electric Vehicle (EV) Batteries Market Worth USD 900 Billion by 2031- Exclusive Report by Fact.MR,0.992,0.024,0.897,0.079
2022-03-07T17:52:36+00:00,UPDATE 1-GM ramps up EV push with plans to make battery materials in Canada,0.891,0.014,0.941,0.044
2022-03-07T16:04:23+00:00,GM ramps up EV push with plans to make battery materials in Canada,0.891,0.015,0.939,0.046
2022-03-04T18:51:27+00:00,UPDATE 1-BASF picks Canada to expand supplies for booming EV battery market,0.98,0.013,0.905,0.082
2022-03-04T17:51:10+00:00,BASF picks Canada to expand supplies for booming EV battery market,0.98,0.014,0.902,0.084
2022-02-17T19:41:59+00:00,Tesla co-founder seeks to solve California's battery waste problem,0.893,0.033,0.917,0.051
2022-02-16T17:34:19+00:00,Ford picks a lead contractor for its Kentucky battery plant project — but it's looking for more,0,0,1,0
2022-02-15T20:23:43+00:00,Australia's Syrah Resources to expand Louisiana graphite processing facility,0.933,0.009,0.891,0.101
2022-02-15T11:00:00+00:00,Solid-State Battery Market Worth $3.81 Billion and 7.3 GWh by 2029 — Exclusive Report by Meticulous Research®,0.999,0.015,0.892,0.093
2022-02-15T10:08:00+00:00,"Global Electric Vehicle Battery Reuse and Recycling Market Report 2021-2026 Featuring Accurec-Recycling, BMW, China Lithium Battery Technology Co., Ltd. (CALB), Nissan Motor, Tesla and Toshiba",0.995,0.004,0.929,0.068
2022-02-09T11:20:00+00:00,"Global Electric Vehicle Battery Swapping Market Size [2022-2028] | to Reach USD 641.0 Billion, at a CAGR 27.1%",0.998,0.007,0.888,0.105
2022-02-03T22:38:26+00:00,Is QuantumScape Stock Finally a Risk Worth Taking?,0.992,0.055,0.841,0.104
2022-02-02T11:00:40+00:00,3 Best Battery Stocks to Charge Up Your Portfolio,0.995,0.028,0.89,0.082
