date,title,sentiment__polarity,sentiment__neg,sentiment__neu,sentiment__pos
2022-06-21T13:05:00+00:00,CBAK Energy Devlopes Cylindrical Batteries for Jemmell,0.995,0.018,0.88,0.102
2022-06-03T11:23:00+00:00,"2022 Insights on the Lithium Battery Global Market - Players Include Manz, Northvolt, Samsung SDI and Tesla Among Others",0.93,0.007,0.953,0.04
2022-06-03T11:18:00+00:00,Outlook on the Battery Energy Storage System Global Market to 2027 - Increasing Rural Electrification Projects Worldwide Presents Opportunities,0.999,0.015,0.855,0.13
2022-05-31T11:00:00+00:00,Effective Growth Strategy To Counter Raw Material Price Hikes Challenges With Supply Chain Integration Supported By Strong Market Demands &amp; Increased Production Capacity,0.993,0.038,0.877,0.085
2022-05-27T19:04:54+00:00,Why EV Stocks Lit Up on Friday,0.49,0,0.934,0.066
2022-05-25T08:18:00+00:00,"Global and China Power Battery Management System (BMS) Markets Report 2022-2026: Preferential Policies Draw to an End, and the NEV BMS Market will be Impacted",0.998,0.03,0.868,0.102
2022-05-24T10:46:00+00:00,Lithium Battery Charger IC Market Forecasted to Hit USD 36 Billion by 2030 with a CAGR of 22.2% - Report by Market Research Future (MRFR),0.999,0.019,0.864,0.117
2022-05-21T12:00:50+00:00,Tesla Supplier Livent Leads Five Stocks With These Two Winning Traits,0.34,0,0.805,0.195
2022-05-19T10:00:00+00:00,"In Chile's Atacama, lithium mining stirs fight over flamingos",-0.948,0.068,0.897,0.035
2022-05-19T09:30:00+00:00,CBAK Energy Reports First Quarter 2022 Unaudited Financial Results,0.999,0.032,0.859,0.11
2022-05-14T00:00:00+00:00,Who Will Be King of the Road?,0,0,1,0
2022-05-13T13:15:00+00:00,CBAK Energy Obtains $29 Million Battery Order from European Customer,0.994,0.019,0.881,0.099
2022-05-11T14:23:20+00:00,"I’m Sorry, But Mullen Automotive Makes Little Sense",0.935,0.07,0.833,0.097
2022-05-09T08:33:00+00:00,Global Supercapacitors Market Trajectory &amp; Analytics Report 2022: Search for Efficient Energy Storage Solutions Beyond the Conventional Battery Brings Supercapacitors into the Spotlight,0.999,0.016,0.784,0.2
2022-04-28T16:11:23+00:00,10 Best Lithium Stocks To Buy Now,1,0.014,0.881,0.105
2022-04-26T18:15:00+00:00,LICY Shareholder Update: Robbins LLP Reminds Investors of Class Action Against Li-Cycle Holdings Corp. (LICY) f/k/a Peridot Acquisition Corp. (PDAC),0.882,0.075,0.827,0.098
2022-04-25T08:43:00+00:00,Global EV Vehicle Company Solid State Batteries Market Report 2022: Market to Grow at a CAGR of 147.8% from 2021 to 2028,0.995,0.018,0.838,0.144
2022-04-24T14:04:00+00:00,Electric vehicle demand spurs ‘white gold’ rush at California's largest lake,0.968,0.046,0.89,0.064
2022-04-21T15:20:00+00:00,"CBAT - 2021 Marked A Year of Turnaround, Backed By Strong Market Demands, Increasing Production Capacity &amp; Integrated Supply of Lithium-Battery Materials",0.991,0.039,0.882,0.079
2022-04-14T12:01:35+00:00,Why A Lithium Battery Shortage May Wreck The Great EV Race,-0.153,0.25,0.597,0.153
2022-04-14T09:30:00+00:00,CBAK Energy Reports Fourth Quarter and Full Year 2021 Unaudited Financial Results,1,0.033,0.856,0.111
2022-04-14T03:00:00+00:00,BLUETTI to Roll Out Loyalty Program,0.997,0.003,0.803,0.194
2022-04-08T12:47:19+00:00,"Duke Energy Florida's Innovative Battery Storage Projects Provide Customer, Grid Benefits",0.999,0.013,0.792,0.195
2022-03-31T15:10:00+00:00,Here's How to Ride the Wave With Lithium Manufacturer Livent,0.318,0.062,0.813,0.124
2022-03-25T16:00:00+00:00,Alpine 4 Holdings (ALPP) Subsidiary ElecJet Releases the Results from The Battery Innovation Center (BIC) On Its AX Class Solid-State Batteries,1,0.02,0.842,0.138
