date,title,sentiment__polarity,sentiment__neg,sentiment__neu,sentiment__pos
2022-06-22T14:30:00+00:00,"Lithium Mining Market Demand is expected to grow at a rapid pace owing to growing production of electric vehicles &amp; electronic products | Future Market Insights, Inc.",0.991,0.031,0.893,0.076
2022-06-01T17:57:00+00:00,Lithium Stock Investing Series: How Is Lithium Mined?,0,0,1,0
2022-05-31T20:08:58+00:00,Why Lithium Americas Stock Crashed Today,0.361,0.039,0.896,0.065
2022-05-12T14:00:00+00:00,"Global Lithium Mining Market Stood at US$ 829.73 Mn in 2019 and is Expected to Reach US$ 1,630.30 Mn by 2025, Registering a CAGR of 26.3%: Fairfield Market Research",0.993,0.019,0.878,0.104
2022-05-08T10:35:42+00:00,3 Lithium Stocks to Buy for May 2022,0.995,0.016,0.899,0.084
2022-05-02T14:40:00+00:00,Star Alliance International Executes a Binding Letter of Intent and Acquires 51% of Four Lithium Mining Properties,0.994,0.016,0.892,0.093
2022-04-20T23:10:24+00:00,Musk Appeals for More Lithium Production to Meet Battery Demand,-0.178,0.093,0.816,0.091
2022-03-30T17:18:40+00:00,Why Lithium Americas Stock Just Jumped 12%,0,0,1,0
2022-03-21T20:41:30+00:00,South Korea's Posco to invest $4 billion in lithium project in Argentina,0.775,0.006,0.951,0.043
2022-02-15T21:51:16+00:00,Why Lithium Americas Stock Popped 10% Tuesday,0.856,0.043,0.789,0.168
2021-12-20T16:18:20+00:00,Why Sociedad Quimica y Minera Stock Crashed Today,-0.422,0.066,0.904,0.029
2021-11-29T18:32:01+00:00,Why Lithium Americas Stock Just Spiked 13%,0.691,0.027,0.875,0.097
2021-09-10T21:54:11+00:00,Why Lithium Americas Stock Popped 8% Today,0.727,0.023,0.86,0.117
2021-08-17T17:52:00+00:00,Why Lithium Americas Stock Crashed Today,-0.226,0.108,0.796,0.096
2021-08-06T04:40:00+00:00,"Lithium Mining Market to Hit USD 516.22 Million in 2028; Rising Electrification of Buses, Trucks, Cars, and Two Wheelers to Bolster Growth: Fortune Business Insights™",0.999,0.018,0.87,0.112
2018-11-02T11:00:00+00:00,"Streetwise Reports Article Profiles Marifil Mines, a Company for the Electric Revolution",0.991,0.015,0.853,0.132
2018-10-29T11:00:00+00:00,Streetwise Reports Examines What Four Analysts and Goldman Sachs See In This Small-Cap Lithium Explorer,0.989,0,0.881,0.119
2018-10-25T18:05:00+00:00,Streetwise Reports Examines How Piedmont Lithium Is Poised to Take Advantage of Low-Cost U.S. Lithium Production,0.946,0.01,0.922,0.068
2018-09-25T12:00:00+00:00,Wealth Minerals Discusses the Role of Chile in Lithium and The Challenges Facing the Industry with Uptick Newswire’s Stock Day Podcast,0.998,0.022,0.871,0.108
2018-08-01T11:30:00+00:00,"Tim McCutcheon, President of Wealth Minerals, Ltd., Returns to Discuss Company Updates with Everett Jolly on Uptick Newswire’s “Stock Day” Podcast",0.999,0.018,0.846,0.136
2018-06-13T01:31:00+00:00,A$53 Million Fully Underwritten Placement to Advance Rhyolite Ridge Lithium-Boron Project,0.998,0.008,0.879,0.113
2018-05-08T17:00:00+00:00,CEO Tim Fernback of LiCo Energy Metals joins Everett Jolly on Uptick Newswire’s “Stock Day” Podcast,0.994,0.007,0.9,0.094
2018-05-03T02:10:00+00:00,Optimisation Success Leads to Further Significant Reductions in Leach Time and Acid Consumption,0.998,0.023,0.887,0.09
2018-03-19T13:33:00+00:00,Global Geoscience Joins S&P/ASX 300 Index and Provides Rhyolite Ridge Update,0.989,0.017,0.896,0.087
2018-02-01T13:30:00+00:00,"Trent Mell, President and CEO of First Cobalt Corporation Returns to “Stock Day” with Everett Jolly for an Operational Update and 2018 Forecast",0.99,0.021,0.892,0.088
2017-12-19T00:07:00+00:00,Initial Rhyolite Ridge Mining Study Confirms Potential for Long Mine Life from Currently Defined South Basin Resource,0.996,0.02,0.937,0.042
2017-12-12T02:16:00+00:00,Global Geoscience Makes Groundbreaking Discovery Heap Leach Lithium-Boron Extraction at Rhyolite Ridge,0.995,0.039,0.901,0.06
2017-11-27T13:00:00+00:00,"Uptick Network “Stock Day” Interviews CEO Tim Fernback Regarding Lico Energy Property’s and the Lithium, Cobalt Industry",0.951,0.022,0.899,0.079
2017-10-16T13:30:00+00:00,President Timothy McCutcheon Interviews on the Strategic Position of Wealth Minerals Assets in Chile,0.995,0.039,0.862,0.098
