"date","title","content","link","symbols__001","symbols__002","symbols__003","symbols__004","symbols__005","symbols__006","symbols__007","symbols__008","symbols__009","symbols__010","symbols__011","symbols__012","tags__001","tags__002","tags__003","tags__004","tags__005","tags__006","tags__007","tags__008","tags__009","tags__010","tags__011","tags__012","sentiment__polarity","sentiment__neg","sentiment__neu","sentiment__pos"
"2022-06-22T14:30:00+00:00","Lithium Mining Market Demand is expected to grow at a rapid pace owing to growing production of electric vehicles &amp; electronic products | Future Market Insights, Inc.","NEWARK, Del, June  22, 2022  (GLOBE NEWSWIRE) -- The global lithium mining market is anticipated to reach US$ 3.3 Bn by 2031, according to a recent report by Future Market Insights (FMI). Over the projection period of 2021–2031, rising demand for lithium ion batteries from end-use industries such as automotive, packaging, and consumer electronics is anticipated to drive lithium sales.\n\nDue to benefits like a longer lifespan, increased fuel efficiency, and low discharge rates, lithium is frequently used to make batteries for electric vehicles. In the upcoming years, it is projected that rising sales of electric vehicles would increase demand for lithium, which will in turn accelerate expansion of the worldwide lithium mining industry.\n\nRequest Sample Report @ https://www.futuremarketinsights.com/reports/sample/rep-gb-14064\n\nIn addition, increasing packaging sector demand for glass and ceramics would probably open up new business prospects for major companies in the lithium mining market. Pharmaceuticals, food and beverages, and other things are typically packaged in glass and ceramic. Lithium will continue to find more uses in the glass and ceramics industries, which will enhance the market for lithium mining's growth prospects.\n\nIn 2020, the global lithium mining market was heavily impacted by the novel coronavirus pandemic. Nationwide lockdowns, travel restrictions, and halted on mining operations hampered the production and consumption of lithium. However, sales are expected to recover in 2021 as demand for lithium from the automotive sector continues to grow.\n\n“Growing focus on fuel efficiency in automotive vehicles is expected to propel consumption of lithium for batteries in the forthcoming years. Besides this, increasing sales of wearables and portable consumer electronics will continue augmenting growth of the lithium mining market through 2031,” says an FMI analyst.\n\nKey Takeaways:\n\nLithium production through brine solutions is expected to capture 65% of the total lithium mining market share.The lithium hydroxide segment is projected to account for a dominant share over the forecast period.Applications of lithium in the battery segment are projected to grow at 8.5% year-over-year in 2021.Sales of lithium in the U.S. are projected to grow by 3.2% year-over year in 2021.Australia will emerge as an attractive market owing to the presence of high-capacity lithium reserves in the country.China will continue experiencing high demand for lithium due to increasing production and sales of consumer electronics.\n\nAsk an expert here @ https://www.futuremarketinsights.com/ask-question/rep-gb-14064\n\nCompetitive Landscape\n\nAlbemarle, Ganfeng Lithium, Livent, Nemaska Lithium, Orocobre limited, Sichuan Tianqi Lithium Industries, SQM and Lithium Americas Corp. are among the key market players identified by FMI. These players are projected to command 60-70% of the total lithium mining market share.\n\nLeading players operating in the global lithium mining market are focusing on production facility expansion through mergers and acquisitions to gain a competitive edge in the market. For instance:\n\nIn October 2021, Belgian material technologies group Umicore UMI.BR signed a long-term lithium supply deal with Gangfen Lithium Co. Ltd. to expand its production capacity in response to rising electric vehicles demand.\n\nLithium Mining market by Category\n\nBy Source:\n\nBrineHard RockOthers\n\nBy Type:\n\nLithium CarbonateLithium Hydroxide\n\nBy Application:\n\nBatteryCeramics and GlassLubricants & GreasePolymerFlux PowderRefrigerationOthers\n\nBy Region:\n\nNorth AmericaLatin AmericaEuropeEast AsiaSouth Asia PacificMiddle East and Africa\n\nReport Customization available @ https://www.futuremarketinsights.com/customization-available/rep-gb-14064\n\nTable of Content\n\n1. Executive Summary\n\n1.1. Global Market Outlook\n\n1.2. Demand Side Trends\n\n1.3. Supply Side Trends\n\n1.4. Product Evolution Roadmap\n\n1.5. FMI Analysis and Recommendations\n\n2. Market Overview\n\n2.1. Market Coverage / Taxonomy\n\n2.2. Market Definition / Scope / Limitations\n\n3. Key Market Trends\n\n4. Key Success Factors\n\n5. Global Lithium Mining Market Demand Analysis 2016-2020 and Forecast, 2021-2031\n\n5.1. Historical Market Volume (KT) Analysis, 2016-2020\n\n5.2. Current and Future Market Volume (KT) Projections, 2021-2031\n\n5.3. Y-o-Y Growth Trend Analysis\n\nTop Reports Related To  Chemicals & Materials Market Insights\n\nAsia Pacific Bentonite Market Size: Asia Pacific Bentonite Market by Product Type, Application, End Use & Region - Forecast 2022 – 2032\r\n\r\nFire Retardant Fabrics Market Share: Fire Retardant Fabrics Market by Material Type, Application, Processing Method & Region - Forecast 2022 – 2032\r\n\r\nPropylene Carbonate Market Trends: Propylene Carbonate Market by Type, Application & Region - Forecast 2022 - 2032\n\nChlorinated Polyethylene Market Analysis: Chlorinated Polyethylene Market by Product, Application & Region - Forecast 2022 - 2032\n\nAgricultural Grade Zinc Chemical Market Outlook: Agricultural Grade Zinc Chemicals Market By Type, Application & Region - Forecast 2022 - 2032\n\nGlycol Ethers Market Forecast: Glycol Ethers Market By Type, Application & Region - Forecast 2022 - 2032\n\nEthylene Copolymers Market Sales: Ethylene Copolymers Market by Application, Type & Region - Forecast 2022 - 2032\n\nCumene Market Type: Cumene Market by Production, Application & Region - Forecast 2022 - 2032\n\nCorrosion Inhibitors Market Value: Corrosion Inhibitors Market by Compound, Application, Type, End-Use Industry & Region - Forecast 2022 – 2032\n\nAmmonium Carbonate Market Demand: Ammonium Carbonate Market by Grade, Type, Application, End-Use & Region - Forecast 2022 – 2032\n\nAbout Future Market Insights (FMI)\n\nFuture Market Insights (ESOMAR certified market research organization and a member of Greater New York Chamber of Commerce) provides in-depth insights into governing factors elevating the demand in the market. It discloses opportunities that will favor the market growth in various segments on the basis of Source, Application, Sales Channel and End Use over the next 10-years.\n\nContact:\n\nFuture Market Insights Inc.  \r\nChristiana Corporate, 200 Continental Drive,\r\nSuite 401, Newark, Delaware - 19713, USA  \r\nT: +1-845-579-5705  \r\nReport:https://www.futuremarketinsights.com/reports/lithium-mining-market\r\nFor Sales Enquiries:sales@futuremarketinsights.com   \r\nBrowse latest Market Reports: https://www.futuremarketinsights.com/reports\r\nLinkedIn| Twitter| Blogs","https://www.globenewswire.com/news-release/2022/06/22/2467312/0/en/Lithium-Mining-Market-Demand-is-expected-to-grow-at-a-rapid-pace-owing-to-growing-production-of-electric-vehicles-electronic-products-Future-Market-Insights-Inc.html","","","","","","","","","","","","","FUTURE MARKET INSIGHTS GLOBAL AND CONSULTING PVT. LTD","LITHIUM MINING","LITHIUM MINING INDUSTRY","LITHIUM MINING MARKET","LITHIUM MINING MARKET DEMAND","LITHIUM MINING MARKET SIZE","MARKET RESEARCH REPORTS","","","","","","0.991","0.031","0.893","0.076"
"2022-06-01T17:57:00+00:00","Lithium Stock Investing Series: How Is Lithium Mined?","This lithium mining stock investing series kicks off with coverage of the types of lithium mining operations.","https://finance.yahoo.com/m/29e08266-4f74-35f8-8eb5-710867968d39/lithium-stock-investing.html","8LV.F","ALB.US","AMC.F","LTHM.US","QYM.F","SQM.US","","","","","","","LITHIUM CARBONATE","LITHIUM CHLORIDE","LITHIUM HYDROXIDE","LITHIUM MINING","LITHIUM PRODUCERS","","","","","","","","0","0","1","0"
"2022-05-31T20:08:58+00:00","Why Lithium Americas Stock Crashed Today","Despite being not yet operational, and having no revenue to its name (much less profits), Lithium Americas stock has had a terrific run as investors bid up lithium assets in anticipation of booming demand for the metal, which is used to make the batteries that power electric vehicles. With lithium currently priced at $60,000 a ton, Goldman sees that slipping 10% to $54,000 later this year -- a pothole that precedes a bigger fall off a cliff. By next year, the banker believes, lithium prices will average just $16,000, a staggering 73% decline from present-day prices.","https://finance.yahoo.com/m/811bf045-70f1-33fa-ae9e-72c6cddd549d/why-lithium-americas-stock.html","LAC.TO","LAC.US","WUC1.F","","","","","","","","","","AMERICAS","GOLDMAN SACHS","LITHIUM MINING","","","","","","","","","","0.361","0.039","0.896","0.065"
"2022-05-12T14:00:00+00:00","Global Lithium Mining Market Stood at US$ 829.73 Mn in 2019 and is Expected to Reach US$ 1,630.30 Mn by 2025, Registering a CAGR of 26.3%: Fairfield Market Research","LONDON, May  12, 2022  (GLOBE NEWSWIRE) -- The tremendous utility and widespread applications of lithium across a plethora of industries are encouraging lithium mining activities across the globe. Over the course of the coming decade, lithium mining is expected to attract the attention of several key investors and capitalists. However, expansion of the global lithium mining market can be strained by growing backlash against the environment dangers posed by such mining. In recent years, efforts to give a sustainable workaround to lithium mining activities have invigorated the growth of the market. Regions that host lithium mining activities on a large scale have witnessed sparkling night skies. Australia and South America are important territories with a large share of lithium mining reserves.\n\nFairfield Market Research conducted extensive research to find that the global lithium mining market would touch a value of US$1,630.30 Mn by 2025, growing by leaps and bounds from a value of US$829.73 Mn in 2019. The CAGR of the global lithium mining market is tabulated at 26.3% for the term between 2020 and 2025.\n\nLooking For a Sample Copy of This Report? Request the Same Here: https://www.fairfieldmarketresearch.com/report/lithium-mining-market/request-sample\n\nGlobal Lithium Mining Market: Notable Trends and Highlights\n\nPrice of lithium has dipped by a tremendous margin, exhibiting an 89% decrease over 2010 to 2020. Lower price of lithium has enhanced the prospects of growth within the electric vehicle (EV) industry.In 2019, owing to the large number of lithium mining reserves, Australia accounted for 50% of the total global production.Bolivia is believed to hold 50% of the world’s lithium reserves, but has failed at optimally utilizing this potential for lithium mining.\n\nAsia Pacific to Emerge as a Dominant Regional Market\n\nThe terrain and climate across several parts of Asia Pacific favor lithium mining activities. Australia has emerged as a prominent region hosting several mining reserves. Latin America is also exhibiting lucrative opportunities for vendors looking to invest in the lithium mining market. The triad of Bolivia, Chile, and Argentina has emerged as a distinct area for carrying out lithium mining. Therefore, the sales index of the lithium mining market in Asia Pacific and Latin America is slated to improve in the times to follow. Large producers of lithium are eyeing to capitalize on the favourabiliy of these regions for lithium mining.\n\nSome of the notable players competing in the global lithium mining market are Tianqi Lithium, SQM S.A., Albemarle Corporation, Ganfeng Lithium Co., Ltd., and Mineral Resources.\n\nDo You Have Any Query or Specific Requirement? Request Customization of Report:https://www.fairfieldmarketresearch.com/report/lithium-mining-market/request-customization\n\nREPORT SCOPE & SEGMENTATION:\n\nREPORT FEATURESDETAILSSource Coverage• Brine\r\n\r\n• Hard Rock\r\n\r\n• OthersType Coverage• Lithium Carbonate\r\n\r\n• Lithium HydroxideEnd-use Coverage• Battery\r\n\r\n• Glass & Ceramics\r\n\r\n• Grease\r\n\r\n• Polymer\r\n\r\n• Flux Powder\r\n\r\n• Refrigeration\r\n\r\n• OthersGeographical Coverage• North America\r\n\r\n• Europe\r\n\r\n• Asia Pacific\r\n\r\n• Rest of the World (RoW)Leading Companies• Albemarle Corporation\r\n\r\n• SQM S.A.\r\n\r\n• Ganfeng Lithium Co., Ltd.\r\n\r\n• Tianqi Lithium\r\n\r\n• Mineral Resources\r\n\r\n• Lithium Americas Corp.\r\n\r\n• Livent\r\n\r\n• Orocobre Limited Pty Ltd\r\n\r\n• Ramboll GroupReport HighlightsKey Market Indicators, Macro-micro economic impact analysis, Technological Roadmap, Key Trends, Driver, Restraints, and Future Opportunities & Revenue Pockets, Porter’s 5 Forces Analysis, Historical Trend (2017-2019), Price Trend Analysis- 2019-2025, Market Estimates and Forecast, Market Dynamics, Industry Trends, Competition Landscape, Category, Region, Country-wise Trends & Analysis, COVID-19 Impact Analysis (Demand and Supply Chain)\n\nAbout Us\r\nFairfield Market Research is a UK-based market research provider. Fairfield offers a wide spectrum of services, ranging from customized reports to consulting solutions. With a strong European footprint, Fairfield operates globally and helps businesses navigate through business cycles, with quick responses and multi-pronged approaches. The company values an eye for insightful take on global matters, ably backed by a team of exceptionally experienced researchers. With a strong repository of syndicated market research reports that are continuously published & updated to ensure the ever-changing needs of customers are met with absolute promptness.\n\nContact\r\nFairfield Market Research \r\nLondon, UK\r\nUK +44 (0)20 30025888 \r\nUSA (Toll-free) +1 (844) 3829746 \r\nWeb: https://www.fairfieldmarketresearch.com/\r\nEmail: sales@fairfieldmarketresearch.com","https://www.globenewswire.com/news-release/2022/05/12/2442146/0/en/Global-Lithium-Mining-Market-Stood-at-US-829-73-Mn-in-2019-and-is-Expected-to-Reach-US-1-630-30-Mn-by-2025-Registering-a-CAGR-of-26-3-Fairfield-Market-Research.html","","","","","","","","","","","","","FAIRFIELD CONSULTANCY SERVICES OPC PVT LTD","FAIRFIELD MARKET RESEARCH","GLOBAL LITHIUM MINING MARKET","LITHIUM MINING","LITHIUM MINING MARKET","MARKET RESEARCH REPORTS","MINING","RESEARCH ANALYSIS AND REPORTS","","","","","0.993","0.019","0.878","0.104"
"2022-05-08T10:35:42+00:00","3 Lithium Stocks to Buy for May 2022","This article covers three great lithium stocks to invest in this month. Lithium Americas (LAC) is a lithium mining startup with two major lithium projects coming online this year. Livent Corporation (LTHM) is a leading pure-play lithium producer expected to double its production capacity by next year. Albemarle Corporation (ALB) is a specialty chemicals giant focused on expanding its hugely successful lithium business. Lithium element on the periodic table. Lithium stocks.\n\nSource: tunasalmon / Shutterstock\n\nLithium demand has soared over the past few years with the surging popularity of electric vehicles (EVs). Multiple market studies suggest that the industry will grow at an incredible pace over the next ten years. Hence, lithium stocks can potentially be lucrative investments down the line.\n\nLithium stocks have been performing well for the better parts of the past couple of years. A lot has to do with the mind-boggling growth in EV sales. In 2021, EV sales volume shot up to 6.7 million units, representing a 108% bump from 2020. By 2030, demand for lithium will rise to two million metric tons.\n\nLithium prices are rising aggressively as supply has failed to keep up with ballooning demand. Therefore, lithium-producing firms are in for some enticing price realization in the foreseeable future.\n\nInvestorPlace - Stock Market News, Stock Advice & Trading Tips\n\n7 Dividend Stocks to Buy for May With Yields Over 6%\n\nHere are three lithium stocks to invest in this month:\n\nLAC Lithium Americas Corp. $24.56 LTHM Livent Corporation $28.03 ALB Albemarle Corporation $242.50\n\nLithium Stocks: Lithium Americas (LAC) Lithium Americas logo on a phone screen in front of a computer showing their website. LAC stock.\n\nSource: Wirestock Creators / Shutterstock\n\nLithium Americas (NYSE:LAC) is a lithium mining start-up with plenty of potential to profit from booming lithium demand. Moreover, with producer nations looking to foster a domestic production base, the company can benefit immensely from the trend.\n\nThe Canadian lithium miner has a couple of major lithium projects that could bring in the big bucks in the coming years. The first is its Argentinian lithium brine project called the Cauchari-Olaroz, which should commence production later this year. Moreover, it has also acquired one of its peers in Millennial Lithium, with major lithium mining assets in Argentina.\n\nStory continues\n\nFurthermore, LAC is working on another exciting project in Nevada called Thacker Pass. According to the company, it is the largest known lithium resource in the U.S. However, it has been the subject of controversy, but it could be a massive money-spinner for LAC stock if it gets through the legal hurdles.\n\nLivent Corporation (LTHM) Livent Corporation logo on a phone screen. LTHM stock.\n\nSource: Ralf Liebhold / Shutterstock\n\nLivent Corporation (NYSE:LTHM) is one of the top integrated pure-play lithium producers. It sells lithium compounds to EV original equipment manufacturers and leading battery makers across the globe. International diversity has been one of its key differentiators, which gives it access to multiple manufacturers. It produces lithium with the lowest-cost resources, giving it a major competitive advantage. Livent currently has over 20,000 metric tons production capacity, which could double by the fourth quarter of 2023.\n\nThe firm has been extracting lithium from Salar del Hombre Muerto in Argentina for the past two decades. It also produces qualified battery-grade lithium in the U.S. and China and is on track for capacity expansions.\n\n7 Restaurant Stocks Ready for a 'Revenge Travel' Rally\n\nMoreover, the financials are rock solid for the business, with revenues above 45% in the past year. Additionally, its EBITDA growth was at a spectacular 365% for the year. With the rising lithium demand and stronger margins, the business is in for another robust showing this year and beyond.\n\nLithium Stocks: Albemarle Corporation (ALB) Albemarle (ALB) logo on a mobile phone screen\n\nSource: IgorGolovniov/Shutterstock.com\n\nAlbemarle Corporation (NYSE:ALB) is a specialty chemicals producer that aims to expand its lithium business rapidly. It’s not a sector pure-play, but its lithium segment now accounts for 41% of total revenues and over 50% of its adjusted EBITDA. Last year, its lithium business grew at 19% compared to just 6% of total revenue growth. Albemarle’s lithium business will become a major growth catalyst, with the industry expected to grow extensively over the next few years.\n\nThe company has been investing heavily in acquiring lithium mining and converting properties in recent years. For instance, it acquired lithium converting giant Guangxi Tianyuan Corporation, strengthening its position in China. Moreover, Albermarle has a 49% stake in the Greenbushes mine, producing more than 60,000 metric tons every year.\n\nIn terms of financials, the firm has been knocking it out of the park. Its top- and bottom-line performance last year tracked well over its five-year averages. Additionally, it has been a dividend aristocrat, boasting 28 consecutive years of growth.\n\nOn the date of publication, Muslim Farooque did not have (either directly or indirectly) any positions in the securities mentioned in this article. The opinions expressed in this article are those of the writer, subject to the InvestorPlace.com Publishing Guidelines\n\nMore From InvestorPlace\n\nStock Prodigy Who Found NIO at $2… Says Buy THIS It doesn’t matter if you have $500 in savings or $5 million. Do this now.  Get in Now on Tiny $3 ‘Forever Battery’ Stock Early Bitcoin Millionaire Reveals His Next Big Crypto Trade “On Air”\n\nThe post 3 Lithium Stocks to Buy for May 2022 appeared first on InvestorPlace.","https://finance.yahoo.com/news/3-lithium-stocks-buy-may-103542978.html","8LV.F","ALB.US","AMC.F","LAC.TO","LAC.US","LTHM.US","WUC1.F","","","","","","ALBEMARLE CORPORATION","LITHIUM AMERICAS","LITHIUM MINING","LITHIUM STOCKS","","","","","","","","","0.995","0.016","0.899","0.084"
"2022-05-02T14:40:00+00:00","Star Alliance International Executes a Binding Letter of Intent and Acquires 51% of Four Lithium Mining Properties","WESTLAKE VILLAGE, CA / ACCESSWIRE / May 2, 2022 / Star Alliance International Corp. (OTC Pink:""STAL"") is pleased to announce that it signed a Binding Letter of Intent to acquire a majority interest in NSM USA, a Wyoming Corporation that owns four lithium mining sites in Africa. Currently these mines are in the exploration stage with exploration results showing significant reserves. STAL will pay $2,000,000 for the majority stake which will be used by NSM USA to develop and commence mining operations at the four properties.\n\nRichard Carey, Chairman of STAL, commented, ""This is the next step in the evolution of STAL. We continue to look for mining operations to acquire, while also seeking technologies that more efficiently process the minerals extracted, providing better yields at lower costs.""\n\nWeverson Correia, CEO of STAL stated, ""The world has a huge appetite for Lithium. As a result, the expected reserves of these four mines would hold significant value. As we develop the properties, and commence mining operations, we will regularly provide updated information to our shareholders.""\n\nAbout Star Alliance International Corp.\n\nStar Alliance International Corp. (""the Company"", or ""STAL"") was incorporated in the State of Nevada on April 17, 2014 under the laws of the State of Nevada.\n\nIn August 2019, following a change in control, STAL acquired the mining claims, buildings and equipment from Troy Mining Corporation. The Project is located at the base of the ""gold mother lode"" in one of the three major vein belts where the greatest concentration of minerals settled, over the years, in California. Now the final for these assets has been made.\n\nOur gold estimates have been confirmed by geologists showing significant reserves of gold located in veins within the areas that are covered by our California mining leases.\n\nSTAL plans to commence mining as soon as it is possible.\n\nIn December 2021 STAL executed the agreements to acquire 51% of Compania Minera Metalurgica Centro Americana SA (Commsa), a Honduran Corporation. Commsa owns the mining rights to five mines, one approved for mining and 4 approved for exploration. These mines that have significant gold resources run along a 12.5 mile stretch of the Rio Jalan River. We will commence mining operations very shortly and the Company plans to expand operations as soon as possible.\n\nStory continues\n\nIn November, 2021, STAL entered into a binding Letter of Intent to acquire 49% of Lions Works Advertising, SA, a Guatemala Corporation that owns the ""Genesis"" ore extraction process. Since signing the Letter of Intent the company has renegotiated and will now acquire a 51% interest. This green, environmentally friendly process, extracts up to 98% of the gold ore from the rock. A single module processes 300 to 350 tons of ore daily. The speed of extraction is up to 400 times faster than a conventional heap leaching process.\n\nThe Company plans to market ""Genesis"" to mining companies worldwide.\n\nSafe Harbor and Informational Statement\n\nThis press release may contain forward-looking information within the meaning of Section 21E of the Security Exchange Act of 1934, as amended (the Exchange Act), including all statements that are not statement of historical fact regarding the intent, belief or current expectations of the company, its directors or its officers with respect to, among other things: (i) the company's financing plans; (ii) trends affecting the company's financial conditions or results of operations; (iii): the company's growth strategy and operating strategy; and (iv) the declaration and payment of dividends.\n\nThe words ""may"", ""would"", ""will"", ""expect"", ""estimate"", ""anticipate"", ""believe"", ""intend"", and similar expressions and variations thereof are intended to identify forward-looking statements. Investors are cautioned that any such forward-looking statement is not a guarantee of future performance and involve risks and uncertainties, many of which are beyond the company's ability to control, and that actual results may differ materially from those projected in the forward-looking statements as a result of various factors including the risk disclosed in the company's statements and reports filed with the OTC Markets. The Company claims the safe harbor provided by Section 21E(c) of the Exchange Act for all forward-looking statements.\n\nFor more information, contact STAL.\n\nE Mail: info@staralliancemines.com\r\nWeb Site: staralliancemines.com\r\nFacebook, Linkedin, Twitter @staralliancein1\n\nSOURCE: Star Alliance International Corp.\n\nView source version on accesswire.com: \r\nhttps://www.accesswire.com/699669/Star-Alliance-International-Executes-a-Binding-Letter-of-Intent-and-Acquires-51-of-Four-Lithium-Mining-Properties","https://finance.yahoo.com/news/star-alliance-international-executes-binding-144000163.html","STAL.US","","","","","","","","","","","","EXPLORATION RESULTS","LETTER OF INTENT","LITHIUM MINING","MAJORITY INTEREST","MINING CLAIMS","MINING OPERATIONS","MINING RIGHTS","STAL","STAR ALLIANCE","STAR ALLIANCE INTERNATIONAL CORP","THE COMPANY","","0.994","0.016","0.892","0.093"
"2022-04-20T23:10:24+00:00","Musk Appeals for More Lithium Production to Meet Battery Demand","(Bloomberg) -- Tesla Inc. Chief Executive Officer Elon Musk made a public appeal for more investment in lithium mining to close what he sees as a yawning gap between supply and demand that’s being fueled by the adoption of electric vehicles.\n\nMost Read from Bloomberg\n\nKremlin Insiders Alarmed Over Growing Toll of Putin’s War in Ukraine Netflix Rout Is Worst Since 2004, Punishing Roku and Disney, Too Ukrainian Troops Risk Being Encircled in New Russian Offensive Ukraine Update: Mariupol on Brink; China Stands With Moscow Ackman Loses More Than $430 Million on 3-Month Netflix Bet\n\nBattery production, and more specifically lithium, is the “fundamental limiting factor” for electric-vehicle adoption worldwide, Musk said on an earnings call with investors Wednesday.\n\n“We think we’re going to need to help the industry on this front,” Musk said. “I’d certainly encourage entrepreneurs out there who are looking for opportunities to get into the lithium business. Lithium margins right now are practically software margins.”\n\nEarlier Wednesday, Tesla reported a record first-quarter profit, helped in part by raising prices.\n\nAn index of global lithium prices compiled by Benchmark Mineral Intelligence surged 280% in 2021 and another 127% in the first quarter. Soaring prices for lithium, a key ingredient in EV batteries, are increasing raw material costs for carmakers such as Tesla.\n\nMost Read from Bloomberg Businessweek\n\nBeijing Crackdown Derails Alibaba’s Bid for Amazon-Size Profit How WALL-E Predicted the Future Alzheimer’s Trials Exclude Black Patients at ‘Astonishing’ Rate America’s Favorite Truck Is About to Test Tesla’s Dominance How Two Ex-Cops Cracked a $100 Million Maritime Mystery\n\n©2022 Bloomberg L.P.","https://finance.yahoo.com/news/musk-appeals-more-lithium-production-231024234.html","TL0.F","TL0.XETRA","TSLA.MX","TSLA.US","TSLA34.SA","","","","","","","","BLOOMBERG","CHIEF EXECUTIVE OFFICER","ELECTRIC VEHICLES","ELON MUSK","LITHIUM MINING","","","","","","","","-0.178","0.093","0.816","0.091"
"2022-03-30T17:18:40+00:00","Why Lithium Americas Stock Just Jumped 12%","The U.S. government may throw its weight (and its money) behind expanding lithium production tomorrow.","https://finance.yahoo.com/m/bedeb23e-7e32-30c2-8767-94fa7c0b361c/why-lithium-americas-stock.html","LAC.TO","LAC.US","WUC1.F","","","","","","","","","","BLOOMBERG","CRITICAL MINERALS","DOMESTIC PRODUCTION","DPA","JOE BIDEN","LITHIUM AMERICAS","LITHIUM MINING","","","","","","0","0","1","0"
"2022-03-21T20:41:30+00:00","South Korea's Posco to invest $4 billion in lithium project in Argentina","BUENOS AIRES (Reuters) - South Korean steelmaker Posco said on Monday it will invest $4 billion in a new lithium mining project in Argentina, as the company seeks to tap into soaring demand for the key rechargeable battery metal.\n\nThe announcement came right after the company met with local government officials.\n\nThe funds will be invested in a project at a salt flat called Salar de Hombre Muerto, located in the border between the northern Salta and Catamarca provinces.\n\nPosco expects to initially produce 25,000 tonnes of lithium hydroxide, an especially high-demand lithium product for battery makers, there per year, reaching 100,000 tonnes once the venture is completed.\n\nExport value from the project is seen totaling $260 million per year over the next 30 years, according to a statement from President Alberto Fernandez's office.\n\nA spokesman for Posco confirmed the figures in a statement to Reuters.\n\nArgentina is part of the so-called ""lithium triangle,"" which also includes neighbors Bolivia and Chile, home to one of the world's largest lithium reserves.\n\nPosco was initially expected to invest $830 million in the venture, but changes in the original project led it to increase the amount, according to Salta's mining department.\n\n(Reporting by Agustin Geist; Writing by Gabriel Araujo; Editing by Jonathan Oatis)","https://finance.yahoo.com/news/south-koreas-posco-invest-4-204130789.html","005490.KO","PKX.F","PKX.US","","","","","","","","","","ALBERTO FERNANDEZ","ARGENTINA","LITHIUM HYDROXIDE","LITHIUM MINING","LITHIUM TRIANGLE","LOCAL GOVERNMENT OFFICIALS","POSCO","SALAR DE HOMBRE MUERTO","","","","","0.775","0.006","0.951","0.043"
"2022-02-15T21:51:16+00:00","Why Lithium Americas Stock Popped 10% Tuesday","Stock markets staged a broad rebound on Tuesday on hopeful news out of Eastern Europe, where Russian troops appeared to be pulling back from a feared invasion of Ukraine. Few stocks enjoyed gains quite as big as what investors in lithium mining company Lithium Americas (NYSE: LAC) just received, however. Helped by a positive note from investment bank J.P. Morgan, the stock closed the day up 10.1%.","https://finance.yahoo.com/m/ce40ce9a-dd3e-3595-be28-ce4220b8033d/why-lithium-americas-stock.html","LAC.TO","LAC.US","WUC1.F","","","","","","","","","","AMERICAS STOCK","J.P. MORGAN","LITHIUM MINING","STOCK MARKETS","","","","","","","","","0.856","0.043","0.789","0.168"
