date,title,sentiment.polarity
2019-12-20T13:30:00+00:00,Rock Tech Announces Private Placement,0.988
2019-11-07T12:01:00+00:00,Standard Lithium Announces Upcoming Event Participation,0.807
2019-10-30T13:00:00+00:00,Standard Lithium Secures C$5.0 Million Convertible Loan Financing,0.998
2019-10-30T12:02:00+00:00,Mark Beveridge joins Benchmark Mineral Intelligence from CRU as its electric vehicle supply chain strategy division grows,0.997
2019-09-17T22:08:00+00:00,Plateau Energy Metals Closes Private Placement,-0.69
2019-09-16T11:01:00+00:00,"Standard Lithium to Participate at Battery Next Summit in Boulder, CO on September 17, 2019",0.995
2019-09-05T08:00:00+00:00,"WILL PLUNKETT JOINS FROM ARGUS MEDIA AS BENCHMARK MINERALS RAMPS UP PRICE LICENSING FOR LITHIUM, COBALT, GRAPHITE, AND NICKEL",0.997
2019-08-22T15:15:00+00:00,"Element Global, Inc’s (ELGL) Subsidiary Element Global Mining Enterprises Announces Strategic Plan",0.954
2019-08-21T11:00:00+00:00,Ernst & Young Awards Highest IOSCO Assurance for Benchmark Minerals’ Lithium Prices,0.998
2019-08-19T09:00:00+00:00,Rock Tech Conducting Trade-off Study of Electricity Supply Options for Georgia Lake,0.973
2019-08-15T15:00:00+00:00,"Element Global, Inc.’s (ELGL) Subsidiary Clarinova to Start Mining Feasibility Study",0.8
2019-08-12T13:00:00+00:00,NRG Key Milestone with Filing of Preliminary Economic Assessment Report ( PEA ) for Hombre Muerto North Lithium Project,0.996
2019-08-06T11:01:00+00:00,Standard Lithium Files Preliminary Economic Assessment and Updated Mineral Resource Technical Report for Its Southern Arkansas Lithium Brine Project,0.948
2019-08-06T07:01:00+00:00,Standard Lithium Files Preliminary Economic Assessment and Updated Mineral Resource Technical Report for Its Southern Arkansas Lithium Brine Project,0.948
2019-07-22T10:00:00+00:00,Rock Tech Receives Data from KBM Resources Group for LiDAR Survey at Georgia Lake,0.966
2019-07-18T10:30:00+00:00,Plateau Energy Metals Announces Successful Metallurgical Program Results at its Falchani Lithium Project,0.898
2019-07-17T09:30:00+00:00,Roskill: Lithium prices to continue slide despite forecast supply disruptions and strong demand growth,0.966
2019-07-10T13:20:00+00:00,Rock Tech Announces Mobilization of Northern Bioscience for Initial Baseline Studies,0.97
2019-07-08T13:53:00+00:00,Rock Tech Engages Northern Bioscience for Environmental Assessment Baseline Studies,0.98
2019-06-28T05:15:00+00:00,Orocobre Limited – Change of Address,0.862
2019-06-25T11:30:00+00:00,Rock Tech Receives Results of Initial Leach Test from Georgia Lake Lithium Project,-0.894
2019-06-17T12:15:00+00:00,Rock Tech Engages KBM Resources Group for LiDAR Survey at Georgia Lake,0.976
2019-06-12T12:00:00+00:00,Rock Tech Covers Transportation Corridor Linking to Provincial Highway,0.969
2019-06-10T15:19:00+00:00,Roskill: recruitment of experienced battery technology and supply chain analyst further expands Shanghai office,0.832
2019-06-10T12:30:00+00:00,"Rock Tech’s Water Samples Confirm Excellent Water Quality, Meeting Provincial Water Quality Objectives",0.969
2019-06-06T12:30:00+00:00,Rock Tech Engages TBT Engineering Limited for Surface Water Sampling,0.948
2019-06-06T11:00:00+00:00,Enertopia Provides Positive Testing Results,0.998
2019-06-04T07:48:00+00:00,Benchmark Mineral Intelligence hires Albemarle Japan executive as it continues expansion of its Price Assessment division / ベンチマークミネラルに森　満博(元アルベマール)が加わりました,0.997
2019-06-03T11:25:00+00:00,Plateau Energy Metals Announces New Lithium Outcrop Discovery Six Kilometres West of Falchani Lithium Deposit,0.813
2019-05-21T12:30:00+00:00,QMC Reports 2.97% Li2O Over 1.22 Metres at Central Dike,0.987
2019-05-14T12:45:00+00:00,QMC Confirms Significant Spodumene Mineralization in Historical Drill Core,0.915
2019-05-10T05:00:00+00:00,"Roskill: Regulators, automakers, and battery manufacturers increasingly aligned for an electric future. Geographical competition remains uneven.",0.992
2019-05-09T20:30:00+00:00,Arena Minerals Increases Prospective Brine Field by 600% and Initiates Shallow Drill Program,0.946
2019-04-25T13:00:00+00:00,Rock Tech Selects EAG as Partner for Environmental Permitting at Georgia Lake,0.96
2019-04-24T12:45:00+00:00,"QMC Reports Lithium Assay Results to 2.79% Li2O From Mapetre, Central and Irgon West Dikes",0.967
2019-04-24T11:00:00+00:00,Plateau Energy Metals Files Technical Report for the Falchani Lithium Project,0.989
2019-04-16T23:45:00+00:00,Orocobre Limited Quarterly Report of Operations for the Period Ended 31 March 2019,1
2019-04-16T12:45:00+00:00,"QMC Drills 2,300 Metres at Irgon Lithium Mine Project",0.985
2019-04-10T17:21:00+00:00,Rock Tech Lithium Inc. Letter to Shareholders,0.996
2019-04-10T08:00:00+00:00,Benchmark Minerals hires SQM executive to expand its lithium and EV supply chain advisory team,0.997
2019-04-09T07:34:00+00:00,Rock Tech Closes Private Placement,0.921
2019-04-03T12:29:00+00:00,"Flux Power To Showcase Lithium-Ion Batteries for Electric Forklifts at ProMat 2019 Chicago, April 8 - 11",0.985
2019-04-01T12:30:00+00:00,Lomiko Metals Appoints Dean Nawata to the Board of Advisors,0.872
2019-03-28T21:38:00+00:00,Rock Tech Announces Private Placement,0.978
2019-03-19T15:38:00+00:00,LOMIKO COMPLETES DRILLING TO EXPAND LA LOUTRE HIGH-GRADE REFRACTORY ZONE AND REPORTS WIDE INTERCEPTS OF GRAPHITE IN MULTIPLE DRILL HOLES,0.986
2019-03-19T12:00:00+00:00,Arena Minerals Strengthens Board of Directors and Announces the Nomination of Eduardo Morales as Executive Chairman,0.995
2019-03-12T10:00:00+00:00,Nemaska Lithium Welcomes New Directors,0.983
2019-03-11T10:30:00+00:00,Plateau Energy Metals Creates Falchani Project Advisory Board,-0.142
2019-03-08T22:00:00+00:00,LSC Lithium Announces Results of Special Meeting of Securityholders,0.991
2019-03-08T21:06:00+00:00,Rock Tech Shareholders Approve All Motions at Annual General Meeting,0.768
2019-03-07T23:48:00+00:00,Plateau Energy Metals Announces Results of Annual and Special Meeting,0.998
2019-03-04T11:30:00+00:00,Plateau Energy Metals Increases Total Lithium Resources by More than 90%,0.927
2019-02-28T19:45:00+00:00,Nemaska Lithium Sends Lithium Hydroxide Monohydrate Samples to Several Potential Customers,0.942
2019-02-27T13:50:00+00:00,QMC Visualizes Spodumene as Diamond Drilling Continues at the Irgon Lithium Mine Project,0.973
2019-02-25T22:30:00+00:00,Sigma Granted Water License for Commercial Lithium Concentration Plant and Corporate Income Tax Exemptions,0.998
2019-02-25T13:30:00+00:00,Uptick Newswire Hosts Enertopia Corp. on the Stock Day Podcast to discuss the large scale Lithium Findings in Nevada,0.999
2019-02-22T03:07:00+00:00,Orocobre Limited reports first half net profit after tax of US$24 million,0.997
2019-02-19T14:20:00+00:00,QMC Mobilizes Diamond Drill to Irgon Lithium Mine Project,0.984
2019-02-19T12:30:00+00:00,"Enertopia Drills 262 Feet of 1,231 ppm Li from Clayton Valley",0.993
2019-02-14T13:19:00+00:00,Flux Power Continues Sales Ramp as Q2 Revenue Rose 126% to $2.7M and FY 2019 First Six Months Revenue Rose 236% Versus Last Year,0.999
2019-02-08T13:00:00+00:00,Key Process Equipment Delivered for the Lac Guéret Project,0.475
2019-01-30T22:00:00+00:00,Plateau Energy Metals Continues to Expand Falchani Lithium Deposit,0.695
2019-01-28T12:01:00+00:00,"Standard Lithium Announces Maiden Inferred Resource Of 802,000 Tonnes LCE At South-Western Arkansas Tetra Project",0.997
2019-01-28T08:01:00+00:00,"Standard Lithium Announces Maiden Inferred Resource Of 802,000 Tonnes LCE At South-Western Arkansas Tetra Project",0.997
2019-01-22T15:15:00+00:00,QMC to Initiate Process of Mineralogical Testing at Irgon Lithium Mine Project,0.977
2019-01-18T11:30:00+00:00,LSC Lithium Files Technical Report for Positive PEA for the Pozuelos-Pastos Grandes Project,0.998
2019-01-16T14:00:00+00:00,LOMIKO STARTS AWARENESS CAMPAIGN AT CONFERENCES IN VANCOUVER AND TORONTO TO HIGHLIGHT LA LOUTRE DRILLING CAMPAIGN,0.932
2019-01-15T11:30:00+00:00,LSC Lithium Enters Into Definitive Arrangement Agreement to be Acquired by Pluspetrol,1
2019-01-11T12:00:00+00:00,Streetwise Reports Examines Lithium Explorer's Expansion of North Carolina Properties by More Than 600 Acres,0.976
2019-01-10T11:30:00+00:00,"LSC Lithium Files Technical Report for Pozuelos With Measured and Indicated 1,678,000 Tonnes LCE at 505mg/l Li and Inferred 631,000 Tonnes LCE at 518mg/l Li",0.996
2019-01-09T13:55:00+00:00,QMC Receives Positive Results from the MMI Geochemical Orientation Survey Over the Irgon Dike; Two Additional Targets Identified,0.97
2018-12-28T13:21:00+00:00,Flux Continues Sales Ramp of Lithium-Ion Batteries for Forklifts and Airport Ground Support Equipment; Closes Initial Round of Private Placement,0.997
2018-12-13T08:05:00+00:00,"MGX Minerals Announces Drilling at Francisco Basin Lithium Project, Chile",0.985
2018-12-06T13:44:00+00:00,Arena Minerals Acquires Antofalla Minerals,0.992
2018-12-05T13:00:00+00:00,Mason Graphite Presents Its Updated Feasibility Study Economic Results for the Lac Guéret Graphite Project,0.971
2018-12-04T11:30:00+00:00,"LSC Announces Positive PEA Results of 20,000tpa Lithium Carbonate Operation From Pozuelos-Pastos Grandes Project",0.999
2018-11-29T08:05:00+00:00,"MGX Minerals Announces Mobilization for Drilling at Francisco Basin Lithium Project, Chile",0.976
2018-11-28T08:05:00+00:00,"MGX Minerals Announces Commencement of Drilling at Salinitas Lithium Project, Argentina",0.992
2018-11-27T11:30:00+00:00,"LSC Lithium Announces Pozuelos Updated Mineral Resource Measured and Indicated 1,678,000 Tonnes LCE at 505mg/l Li and Inferred 631,000 Tonnes LCE at 518mg/l Li",0.999
2018-11-20T04:58:00+00:00,Plateau Drills Over 330 Meters of Lithium Mineralization at Falchani,0.986
