date,title,content,link,symbols/0,symbols/1,symbols/2,symbols/3,symbols/4,symbols/5,tags/0,tags/1,tags/2,tags/3,sentiment/polarity,sentiment/neg,sentiment/neu,sentiment/pos,tags/4,symbols/6,symbols/7,symbols/8,symbols/9,symbols/10,symbols/11,symbols/12,tags/5,tags/6,symbols/13,symbols/14,symbols/15,symbols/16,symbols/17,tags/7,tags/8,symbols/18,tags/9
2022-07-06T00:33:01+00:00,Tepco shares tumble 7% on reported interest in bid for Toshiba,"TOKYO (Reuters) -Shares of Tokyo Electric Power Co (Tepco) fell more than 7% on Wednesday after a news report that the Japanese power utility is considering joining a state-backed fund to buy Toshiba Corp.

Tepco is considering joining a partnership between state-backed Japan Investment Corp and Japan Industrial Partners to bid for Toshiba, and is eyeing the conglomerate's nuclear business, Bloomberg News reported.

Tepco spokesperson Ryo Terada told Reuters it was not true. Toshiba said it would not comment on details of the bidders and their proposals.

Such a move by Tepco would mark a major development in the contest for Toshiba, which last month said it had received eight buyout proposals and two offers for capital alliances. Weakened by a series of scandals, the conglomerate has promised to consider all options, including private equity buyouts, as part of a far-reaching review process.

Shares of Tepco fell 7.2% to 606 yen, on track for their biggest one-day drop since September as the market appeared to worry about the impact of a potential acquisition on Tepco's finances.

The participation of local funds is seen as critical to winning government approval for a Toshiba buyout as some of the conglomerate's key businesses - including defence equipment and nuclear power - are seen as strategically important to Japan.

Tepco, Toshiba, utility Chubu Electric Power and Hitachi Ltd in 2019 said they agreed to consider cooperating on their nuclear plant businesses, a move seen as opening the door to closer collaboration in the Japanese industry.

Tepco, one Japan's 30 largest firms by revenue, is 2.7% owned by the Tokyo Metropolitan Government, its third-largest shareholder, according to Refinitiv. The utility owns the Fukushima Daiichi nuclear plant crippled by an earthquake and massive tsunami in 2011 that touched off the world's worst nuclear disaster since Chernobyl.

Japan's Supreme Court in March upheld an order that Tepco pay damages of around $12 million to about 3,700 people whose lives were devastated by the nuclear crisis, covering the first three of some 30 class-action suits the utility faces.

Story continues

The court ruled it negligent in taking preventive measures against a tsunami of that size.

Japan idled most of its nuclear plants in the aftermath of the Fukushima disaster but rising energy prices now have sparked expectations it could begin to restart them.

(Reporting by Makiko Yamazaki and David Dolan; Editing by Muralikumar Anantharaman and Christopher Cushing)",https://finance.yahoo.com/news/tepco-shares-down-more-5-003301405.html,TKECF.US,TKECY.US,TOSBF.US,TOSYY.US,TPO.F,TSE1.F,CONGLOMERATE,JAPAN,TOKYO ELECTRIC POWER CO,TOSHIBA CORP,-0.773,0.064,0.891,0.045,,,,,,,,,,,,,,,,,,,
2022-07-05T10:40:43+00:00,Utility Giant Tokyo Electric Mulls Joining Toshiba Bid,"(Bloomberg) -- Japan’s top utility company Tokyo Electric Power Co. is mulling joining a partnership between state-backed investment fund Japan Investment Corp. and a local private equity firm in bidding to take over Toshiba Corp., according to people familiar with the matter.

Most Read from Bloomberg

Person of Interest in July 4 Parade Shooting That Killed Six in Police Custody Bezos Slams Biden Over Call for Lowering of Gas Prices Tesla Pauses Plants After Ending Shaky Quarter With a Production Milestone Biden Close to Rollback of Chinese Tariffs to Fight Inflation Ukraine Latest: Kyiv’s Immediate Funding Needs Hit $65 Billion

The largest power utility in Japan, known as Tepco, is looking to secure Toshiba’s nuclear business, the people said. Foreign funds have approached JIC to join the bid, according to people familiar with the matter.

JIC and Japan Industrial Partners Inc. are partnering up because they don’t have enough funds on their own, they said. While foreign funds have approached JIC for potential joint offers, it’s too early to tell who JIC-JIP group will partner with or whether they will proceed with their own bid, the people said.

JIC and JIP declined to comment. Tepco spokesman said it wasn’t among companies that have submitted proposals to Toshiba, without elaborating on the potential JIC and JIP partnership. Toshiba spokeswoman Midori Hara declined to provide details of proposals and potential partners for the company. Toshiba said last month it received eight offers to buy out the conglomerate and two proposals for capital and business alliances.

Bain Capital, CVC Capital Partners and JIC are among potential bidders for Toshiba, Bloomberg News has reported. Foreign investors have been watching developments at Toshiba to gauge shareholder influence and regulators’ acceptance of foreign private equity firms in Japan.

Any sale of Toshiba, which owns key nuclear technologies, would require approval from the Japanese government. Toshiba is categorized as a company of interest to national security under the Foreign Exchange and Foreign Trade Act for is nuclear expertise.

Story continues

Most Read from Bloomberg Businessweek

The Lottery Lawyer Won Their Trust, Then Lost Their Mega Millions Did Razzlekhan and Dutch Pull Off History’s Biggest Crypto Heist? Gangs Are Fake-Killing People in India for Insurance Payouts Google Is Going to Let Politicians Spam Your Inbox How Generations of Black Americans Lost Their Land to Tax Liens

©2022 Bloomberg L.P.",https://finance.yahoo.com/news/utility-giant-tokyo-electric-mulls-104043089.html,TKECF.US,TKECY.US,TOSBF.US,TOSYY.US,TPO.F,TSE1.F,BLOOMBERG,JAPAN,JAPAN INDUSTRIAL PARTNERS INC,JIC,0.875,0.044,0.884,0.072,PRIVATE EQUITY FIRM,,,,,,,,,,,,,,,,,,
2022-06-30T06:45:34+00:00,"Over 20% of Toshiba investors against activist fund execs, dissident director","TOKYO (Reuters) - More than 20% of Toshiba Corp shareholders voted against a dissident external director and two board directors from activist hedge fund investors, final voting results showed on Thursday.

Such a level of opposition to company-backed candidates remains rare in Japan, although cases of rejection are on the rise as shareholder activism has begun to take root. Last year, Toshiba shareholders voted out the then-board chairman in a rebuke of the company after it was found to have colluded with the government in suppressing foreign investor interests.

External director Mariko Watahiki, who opposed the candidacy of directors from Elliott Management and Farallon Capital Management, saw 23% of shareholders vote against her. She had the lowest support rate, of 64%, among 13 director nominees.

Watahiki tendered her resignation soon after the vote at the annual shareholders meeting on Tuesday. The former high court judge had argued the appointments of the two could skew the board too much towards the input of activist investors.

Nabeel Bhanji, a senior portfolio manager at Elliott, and Eijiro Imai, managing director at Farallon, both had opposition rates of about 22%, while about 78% supported them.

Chief Executive Taro Shimada got 86% of votes, with more than 12% abstaining.

Seven new board directors were appointed and six including Watahiki were re-appointed on Tuesday.

(Reporting by Makiko Yamazaki; Editing by Tomasz Janowski)",https://finance.yahoo.com/news/over-20-toshiba-investors-against-064534645.html,TOSBF.US,TOSYY.US,TSE1.F,,,,ELLIOTT MANAGEMENT,FARALLON CAPITAL MANAGEMENT,MARIKO WATAHIKI,TOSHIBA CORP,-0.511,0.046,0.917,0.037,,,,,,,,,,,,,,,,,,,
2022-06-28T14:47:18+00:00,"CVS caps Plan B pill purchases, Envoy Air offers pay boost amid pilot shortage, KKR ends bid for Toshiba","Yahoo Finance's Julie Hyman breaks down leading business headlines on emergency contraceptive sales following the Supreme Court's Roe v. Wade decision, the pilot shortage, and bidding for Toshiba.",https://finance.yahoo.com/video/cvs-caps-plan-b-pill-144718632.html,0P1A.F,CVS.F,CVS.MX,CVS.US,CVSH34.SA,KKR-PC.US,,,,,0,0.139,0.753,0.108,,KKR.US,KR51.F,TOSBF.US,TOSYY.US,TSE1.F,W8A.F,WBA.US,,,,,,,,,,,
2022-06-28T12:53:00+00:00,"At Toshiba, Activist Investors Finally Get a Seat at the Table","Toshiba said it has received 10 nonbinding proposals from different suitors. With two activist investors now on the board, the company and its shareholders must work together to remake the industrial conglomerate.",https://finance.yahoo.com/m/5f16d62c-eb3b-3bfd-b0c1-6005c267c47f/at-toshiba%2C-activist.html,TOSBF.US,TOSYY.US,TSE1.F,,,,ACTIVIST INVESTORS,FARALLON CAPITAL,FOREIGN INVESTORS,INDEPENDENT DIRECTOR,0,0,1,0,INSTITUTIONAL SHAREHOLDER SERVICES,,,,,,,,SHAREHOLDERS,TOSHIBA,,,,,,,,,
2022-06-28T10:55:56+00:00,The Number of Netflix Bulls Is Dwindling,"(Bloomberg) -- In a year that has seen widespread selling of technology stocks and long-time market leaders fall into bear territory, the woes of Netflix Inc. stand alone.

Most Read from Bloomberg

Russia Slips Into Historic Default as Sanctions Muddy Next Steps Michael Burry of ‘The Big Short’ Fame Warns Fed May Alter Course Anti-Abortion Centers Find Pregnant Teens Online, Then Save Their Data A $2 Trillion Free-Fall Rattles Crypto to the Core Hyundai Quietly Climbs the EV Sales Charts and Elon Musk Notices

The video-streaming company has plummeted 69% this year, abandoned by both investors and analysts as back-to-back disappointing quarterly reports raised concerns about user trends in an industry that’s becoming more competitive and losing its pandemic-related tailwinds. The drop is the most of any Nasdaq 100 or S&P 500 component, and much worse than the former index’s 26% decline.

The growth outlook has weakened to the point that Netflix has cut hundreds of jobs and changed its tune on two longstanding principles: it is cracking down on password sharing, and will introduce an ad-based subscriber tier to the platform. That’s on top of a backdrop where high inflation has pushed the Federal Reserve to hike rates sharply, sparking recession fuels and fueling a rotation out of tech.

The scale of the challenges suggest it will be tough for Netflix to regain a valuation that exceeded that of Walt Disney Co.’s as recently as December. Now, “The Lion King” parent is worth more than twice the home of “Tiger King.”

“We’ve seen a lot more competition, and the cost for Netflix to continue competing has gone up, which hurts the expectation that earnings were going to grow at aggressive rates for a long time,” said Jeremiah Buckley, who oversees nearly $48 billion as a portfolio manager at Janus Henderson Investors.

Estimates for Netflix are moving in the wrong direction. The consensus for this year’s revenue now stands at $32.4 billion, which although representing year-on-year growth of 9.2%, is down from the $34.1 billion that was expected at the beginning of the year, according to data compiled by Bloomberg. The consensus for adjusted earnings has declined about 16% over the same period.

Story continues

The weakening growth outlook has led Wall Street to turn sour. At the start of the year, more than 70% of analysts had Netflix as a buy. Now, just about 30% do, with Goldman Sachs Group Inc. and Benchmark Co. among the firms downgrading their opinions this month. The consensus rating -- a proxy for the ratio of buy, hold, and sell recommendations -- is at 3.35 out of 5, the lowest since 2014.

Yet the stock is getting ever cheaper. Netflix now trades at around 16 times estimated earnings, near the lowest since 2008, and a fraction of a 10-year average exceeding 80. Its drop this year has been steep enough that the shares have joined the Russell 1000 Value Index following a re-balancing.

David Katz, chief investment officer at Matrix Asset Advisors, said investors “can at least make a case for Netflix” at current levels, although he remains skeptical about its prospects, given the competitive backdrop.

“That’s why we’re not prepared to buy Netflix yet, even though that’s also considered a value name now,” Katz said. “It is statistically cheap, but we have more questions than answers.”

Tech Chart of the Day

The Philadelphia Stock Exchange Semiconductor Index has fallen 31% this year, with every component down at least 14%. Some of the worst-performing stocks in the gauge include Marvell Technology Inc., Nvidia Inc. and Advanced Micro Devices Inc. While demand has remained strong for chipmakers, the industry has been plagued by constant supply constraints.

Top Tech Stories

Netflix is looking to Asia after its shock first-quarter slowdown, seeking to both maintain growth in the one region where it’s still adding subscribers and replicate its success there in other parts of the world. Chinese technology stocks fell as a plan by Tencent Holdings Ltd.’s major backer to further cut its stake in the company fueled concerns more investors may look to take profits following a strong rally. Toshiba Corp. shareholders elected representatives of two vocal activist hedge funds to the board in a contentious meeting, bringing the scandal-tainted industrial giant a step closer to possible privatization. Online education provider Byju’s, India’s most valuable startup, is pushing back payments for an approximately $1 billion acquisition struck last year, according to people familiar with the matter. GlobalWafers Co. plans to build a $5 billion semiconductor silicon-wafer facility that will be the biggest of its kind on American soil, as the country contends with the fallout from a global shortage of chips. Siemens AG will buy US firm Brightly Software for $1.58 billion to add digital services for buildings and infrastructure as the German company continues its transformation into a software provider.

Most Read from Bloomberg Businessweek

Why You Should Quit Your Job After 10 Years Moving to Ban Juul, the FDA Delivers a Blow to Big Nicotine A Sci-Fi Novel’s Eerily Accurate Predictions About Today’s Tech Can Crypto’s Richest Man Stand the Cold? If You’re Too Old for an Internship, Try a Returnship Instead

©2022 Bloomberg L.P.",https://finance.yahoo.com/news/number-netflix-bulls-dwindling-105556156.html,0700.HK,A1MD34.SA,AMD.F,AMD.MX,AMD.US,AMD.XETRA,BLOOMBERG,GROWTH OUTLOOK,NETFLIX,TECHNOLOGY STOCKS,0.927,0.063,0.864,0.073,,DIS.MX,DIS.US,DISB34.SA,GOS.F,GOS.XETRA,GS-PA.US,GS-PC.US,,,GS-PD.US,GS-PJ.US,GS-PK.US,GS.MX,GS.US,,,,
2022-06-28T10:27:57+00:00,Toshiba Adds Activist Directors in Move Toward Privatization,"(Bloomberg) -- Toshiba Corp. shareholders elected representatives of two vocal activist hedge funds to the board in a contentious meeting, bringing the scandal-tainted industrial giant a step closer to possible privatization.

Most Read from Bloomberg

Russia Slips Into Historic Default as Sanctions Muddy Next Steps A $2 Trillion Free-Fall Rattles Crypto to the Core Michael Burry of ‘The Big Short’ Fame Warns Fed May Alter Course Anti-Abortion Centers Find Pregnant Teens Online, Then Save Their Data Hyundai Quietly Climbs the EV Sales Charts and Elon Musk Notices

Shareholders of the Tokyo-based company voted their support for all 13 director appointees, including Eijiro Imai of Farallon Capital and Nabeel Bhanji of Elliott Management Corp., at an annual meeting of shareholders on Tuesday. Angry investors shouted at management from the start of the meeting, disrupting executives’ presentations.

The election paves the way for a major deal that will determine Toshiba’s future. The company has said it received eight bids to privatize the company and two offers to form business alliances. The board’s first task is to narrow the list of suitors, and conduct due diligence with each, before deciding the next step for the 147-year company. Toshiba shares have gained 20% this year, partly on its plans to review privatization bids.

Shares were little changed in Tokyo after the shareholders’ meeting.

The presence of the new directors on the board may help quiet the company’s bitter and longstanding fracas with shareholders, who have accused management of ignoring their interests. Following years of scandals and mismanagement, investors rejected key nominations at last year’s meeting and in March put the company in a state of limbo by voting against both proposals presented after months of wrangling -- splitting the company or selling it off.

“We believe management and shareholders can share the same footing by welcoming Imai and Bhanji to the board,” Chief Operating Officer Goro Yanase said.

Story continues

Bain Capital and CVC Capital Partners are among the candidates considering bids, along with state-backed investment fund Japan Investment Corp., Bloomberg News has reported. Foreign investors have watched developments at Toshiba to gauge shareholder influence and regulators’ acceptance of foreign private equity firms in Japan. Any sale of Toshiba, which owns key nuclear technologies, would require approval from the Japanese government.

Private Equity Giants Called Vultures Eye Breakthrough in Japan

How well the board can unite will also be critical. Toshiba external board member Mariko Watahiki earlier this month spoke out publicly against the appointments of Imai and Bhanji, saying that if they were appointed, activists would take up too much of the board. Watahiki resigned from the board after the shareholders’ meeting, Toshiba said.

Retail investors at the meeting questioned the appointments of both Imai and Bhanji as well as the need for privatization. Shareholders asked whether the activist funds’ interests were aligned with what was good for the company over the long-term.

“Toshiba has accumulated amazing technology precisely because it is listed,” another said. “Please do not go private.”

External board member George Zage, who chairs the appointment committee that nominated Imai and Bhanji, said that the company consulted multiple law firms to review conflicts of interest, and that the appointments were designed to address lack of trust between large shareholders and management. Chief Executive Officer Taro Shimada responded to shareholders opposing privatization by saying the company would thoroughly study all options.

The board’s first order of business, however, is finding a clear direction, said Chieko Matsuda, a professor at Tokyo Metropolitan University who specializes in corporate governance. Even after spinning out its memory chips, home appliances, PCs and TVs, the sprawling industrial conglomerate’s remaining products still span the gamut from nuclear turbines and high-speed trains to batteries, elevators, cloud computing and semiconductors.

“It is completely unclear where Toshiba is headed, what its business will be, or how it sees its future,” she said.

(Updates with board member resigning in the eighth paragraph)

Most Read from Bloomberg Businessweek

Why You Should Quit Your Job After 10 Years Moving to Ban Juul, the FDA Delivers a Blow to Big Nicotine A Sci-Fi Novel’s Eerily Accurate Predictions About Today’s Tech Can Crypto’s Richest Man Stand the Cold? If You’re Too Old for an Internship, Try a Returnship Instead

©2022 Bloomberg L.P.",https://finance.yahoo.com/news/toshiba-adds-activist-directors-move-055117676.html,TOSBF.US,TOSYY.US,TSE1.F,,,,BLOOMBERG,EIJIRO IMAI,FARALLON CAPITAL,NABEEL BHANJI,0.945,0.055,0.87,0.075,PRIVATIZATION,,,,,,,,TOSHIBA CORP,,,,,,,,,,
2022-06-28T10:03:11+00:00,"KKR Backs Out of Bidding for Toshiba, FT Says","(Bloomberg) -- KKR & Co. is backing away from a potential $22 billion bidding war for Toshiba Corp., the Financial Times reported, citing people familiar with the discussions.

Most Read from Bloomberg

Russia Slips Into Historic Default as Sanctions Muddy Next Steps A $2 Trillion Free-Fall Rattles Crypto to the Core Michael Burry of ‘The Big Short’ Fame Warns Fed May Alter Course Anti-Abortion Centers Find Pregnant Teens Online, Then Save Their Data Hyundai Quietly Climbs the EV Sales Charts and Elon Musk Notices

The private equity giant has lost enthusiasm for a takeover of the Japanese industrial icon, opting instead to acquire businesses that will get spun off during a privatization process, the newspaper said.

KKR’s retreat could pave the way for rivals like Bain Capital to acquire the company, which is trying to leave behind years of scandal and mismanagement. Toshiba has said it’s received eight bids to privatize the company and two offers to form business alliances. KKR and Blackstone Inc. had held exploratory discussions about teaming up on a joint bid for the Japanese conglomerate, Bloomberg News reported in May.

Read more: Toshiba Adds Activist Directors in Move Toward Privatization

Most Read from Bloomberg Businessweek

Why You Should Quit Your Job After 10 Years Moving to Ban Juul, the FDA Delivers a Blow to Big Nicotine A Sci-Fi Novel’s Eerily Accurate Predictions About Today’s Tech Can Crypto’s Richest Man Stand the Cold? If You’re Too Old for an Internship, Try a Returnship Instead

©2022 Bloomberg L.P.",https://finance.yahoo.com/news/kkr-backs-bidding-toshiba-ft-100311623.html,BBN1.F,BX.US,KKR-PC.US,KKR.US,KR51.F,TOSBF.US,BLOOMBERG,BLOOMBERG NEWS,KKR,TOSHIBA,0.361,0.059,0.873,0.068,,TOSYY.US,TSE1.F,,,,,,,,,,,,,,,,
2022-06-28T09:07:43+00:00,Japan's state-backed JIC hires SMBC Nikko for potential Toshiba deal -sources,"By Makiko Yamazaki and Kane Wu

TOKYO/HONG KONG (Reuters) - State-backed Japan Investment Corp (JIC) has hired SMBC Nikko Securities as its financial adviser for its pursuit of a potential equity investment in conglomerate Toshiba Corp, two people familiar with the matter told Reuters.

Toshiba said this month it had received eight initial buyout proposals as well as two proposals for capital alliances that would see it remain listed. It plans to shortlist bidders soon so that selected suitors can start due diligence from July.

The company's shareholders on Tuesday voted in two board directors from activist hedge fund investors at its annual general meeting - an inclusion that is expected to add momentum to its exploration of potential buyout deals.

Japanese funds, including JIC, and a number of strategic players are looking to see how they can participate in the deal, Reuters reported last week, citing people familiar with the matter.

It was not immediately clear whether JIC is planning to join hands with a global private equity fund or form its own consortium, but the two sources said that the fund is currently seeking financing for a potential deal.

JIC declined to comment, while an SMBC Nikko spokesperson said the company would not comment on individual deals. Toshiba said it would not comment on details of the bidders and their proposals.

Sources told Reuters last week that at least one bidder is considering offering up to 7,000 yen per share to take Toshiba private, valuing a potential deal at up to $22 billion.

This year SMBC Nikko and six former executives were indicted on market manipulation charges concerning the purchase of 10 individual stocks, accused of seeking to push up stock prices and ensure block trade deals in them did not fall through.

According to one of the two sources and a separate source familiar with the situation, SMBC Nikko was not chosen by Toshiba as a financial adviser due to the scandal. The SMBC spokesperson and Toshiba also declined to comment on the conglomerate's choice of financial advisers.

In response to the scandal, SMBC Nikko said last week it would take seriously an investigation report conducted by outside lawyers that found there was inappropriate and unfair conduct.

(Reporting by Makiko Yamazaki in Tokyo and Kane Wu in Hong Kong; Editing by Edwina Gibbs)",https://finance.yahoo.com/news/japans-state-backed-jic-hires-090743534.html,SMBC.US,TOSBF.US,TOSYY.US,TSE1.F,,,EQUITY INVESTMENT,FINANCIAL ADVISER,JAPAN INVESTMENT CORP,JIC,-0.926,0.067,0.886,0.046,PRIVATE EQUITY FUND,,,,,,,,SMBC NIKKO SECURITIES,TOSHIBA CORP,,,,,,,,,
2022-06-28T04:19:00+00:00,Toshiba Shareholders Vote to Add Activist Investors to Board,"Toshiba shareholders approved the company’s proposal to invite representatives from two foreign activist funds onto its board, a move which may help speed the transition of the troubled industrial conglomerate.",https://finance.yahoo.com/m/be4b1195-f793-3d61-9020-3edf3df0d7cf/toshiba-shareholders-vote-to.html,TOSBF.US,TOSYY.US,TSE1.F,,,,APPOINTMENTS,FARALLON CAPITAL MANAGEMENT,SHAREHOLDERS,TOSHIBA,0.477,0.085,0.712,0.202,,,,,,,,,,,,,,,,,,,
