headline,date,stock
34 Stocks Moving in Friday's Pre-Market Session,2020-05-29 07:15:00-04:00,ALB
"Deutsche Bank Maintains Hold on Albemarle, Raises Price Target to $80",2020-05-28 10:06:00-04:00,ALB
Shares of several basic material companies are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,2020-05-26 10:42:00-04:00,ALB
"Shares of several basic materials companies are trading higher amid market strength, potentially on economic optimism following earnings from some US retailers and as investors weigh reopening of US states.",2020-05-20 11:54:00-04:00,ALB
"Benzinga's Top Upgrades, Downgrades For May 12, 2020",2020-05-12 09:51:00-04:00,ALB
10 Biggest Price Target Changes For Tuesday,2020-05-12 08:03:00-04:00,ALB
"Goldman Sachs Downgrades Albemarle to Neutral, Lowers Price Target of $61",2020-05-12 06:29:00-04:00,ALB
"SunTrust Robinson Humphrey Maintains Hold on Albemarle, Lowers Price Target to $65",2020-05-11 13:33:00-04:00,ALB
"RBC Capital Maintains Sector Perform on Albemarle, Raises Price Target to $66",2020-05-11 07:54:00-04:00,ALB
"UBS Maintains Buy on Albemarle, Lowers Price Target to $90",2020-05-07 12:21:00-04:00,ALB
From Albemarle Earnings Conference Call: Top Priority Is To Maintain Dividend,2020-05-07 09:19:00-04:00,ALB
Albemarle shares are trading lower after the company reported worse-than-expected Q1 sales results.,2020-05-06 16:47:00-04:00,ALB
"Albemarle Sees Q2 Adj. EBITDA $140M-$190M, Sales $700M-$775M; Withdraws FY20 Guidance",2020-05-06 16:23:00-04:00,ALB
"Albemarle Q1 Adj. EPS $1.000 Beats $0.830 Estimate, Sales $739.000M Miss $762.330M Estimate",2020-05-06 16:23:00-04:00,ALB
"Earnings Scheduled For May 6, 2020",2020-05-06 04:36:00-04:00,ALB
"Benzinga's Top Upgrades, Downgrades For April 29, 2020",2020-04-29 09:32:00-04:00,ALB
3 ETFs For Tesla Earnings,2020-04-29 09:15:00-04:00,ALB
"Albemarle shares are trading lower after Loop Capital downgraded the stock from Buy to Sell and announced a price target of $48 per share. UPDATE: Shares have since reversed, now higher.",2020-04-29 08:27:00-04:00,ALB
"Loop Capital Downgrades Albemarle to Sell, Announces $48 Price Target",2020-04-29 08:00:00-04:00,ALB
"Albemarle Announces That Kent Masters Was Elected Chairman, President, And CEO",2020-04-20 16:22:00-04:00,ALB
"Deutsche Bank Maintains Hold on Albemarle, Raises Price Target to $68",2020-04-16 09:28:00-04:00,ALB
Shares of several material stocks are trading lower amid a warning that oil demand will reach a 25-year low. This has negative implications for industrial production and construction.,2020-04-15 09:02:00-04:00,ALB
Shares of several basic materials companies are trading lower amid overall market weakness. Equities are down for the sessions amid uncertainty surrounding the reopening of the economy.,2020-04-13 12:38:00-04:00,ALB
Shares of several basic material companies are trading higher amid overall market strength after the US Federal Reserve announced a further $2.3 trillion in financing programs to support the economy.,2020-04-09 10:29:00-04:00,ALB
"Citigroup Maintains Cautious on Albemarle, Lowers Price Target to $49",2020-04-09 07:57:00-04:00,ALB
"Shares of several basic material companies are trading higher amid optimism that coronavirus cases around the world are potentially easing. Global slowing cases could raise hopes of a sooner return to spending, economic activity and investment.",2020-04-08 11:51:00-04:00,ALB
"UBS Maintains Buy on Albemarle, Lowers Price Target to $98",2020-04-08 10:41:00-04:00,ALB
"BMO Capital Maintains Outperform on Albemarle, Lowers Price Target to $80",2020-04-06 11:38:00-04:00,ALB
"CFRA Downgrades Albemarle to Hold, Lowers Price Target to $70",2020-04-03 12:27:00-04:00,ALB
"Morgan Stanley Maintains Underweight on Albemarle, Lowers Price Target to $40",2020-03-30 10:30:00-04:00,ALB
"Wells Fargo Maintains Equal-Weight on Albemarle, Lowers Price Target to $68",2020-03-27 09:08:00-04:00,ALB
"Benzinga's Top Upgrades, Downgrades For March 26, 2020",2020-03-26 10:01:00-04:00,ALB
KeyBanc Initiates Coverage On Albemarle with Sector Weight Rating,2020-03-26 05:11:00-04:00,ALB
"Deutsche Bank Maintains Hold on Albemarle, Lowers Price Target to $62",2020-03-25 08:40:00-04:00,ALB
Stocks That Hit 52-Week Lows On Monday,2020-03-23 10:34:00-04:00,ALB
"UBS Maintains Buy on Albemarle, Lowers Price Target to $108",2020-03-23 07:15:00-04:00,ALB
25 Stocks Moving in Tuesday's Pre-Market Session,2020-03-10 07:33:00-04:00,ALB
"Shares of several basic materials companies are trading higher, rebounding from Monday's selloff. The basic materials space has been negatively impacted by the coronavirus outbreak, as the virus has disrupted economic activity globally.",2020-03-10 07:18:00-04:00,ALB
"Shares of several basic materials companies are trading lower amid the global coronavirus outbreak, which has disrupted economic growth and hampered the demand for basic materials.",2020-03-09 10:36:00-04:00,ALB
22 Basic Materials Stocks Moving In Monday's Pre-Market Session,2020-03-09 07:51:00-04:00,ALB
"Shares of several basic materials companies are trading lower as markets fall amid the continued spread of the coronavirus, which has weighed on global economic outlook, impacting stocks across sectors.",2020-02-25 13:09:00-05:00,ALB
Shares of several basic materials companies are trading lower as coronavirus cases surge outside of China. NOTE: The virus has raised fear of a global economic slowdown.,2020-02-24 08:01:00-05:00,ALB
21 Basic Materials Stocks Moving In Monday's Pre-Market Session,2020-02-24 07:24:00-05:00,ALB
"Oppenheimer Maintains Outperform on Albemarle, Raises Price Target to $116",2020-02-21 10:05:00-05:00,ALB
"SunTrust Robinson Humphrey Maintains Hold on Albemarle, Raises Price Target to $90",2020-02-21 09:15:00-05:00,ALB
"Deutsche Bank Maintains Hold on Albemarle, Raises Price Target to $96",2020-02-21 08:50:00-05:00,ALB
10 Biggest Price Target Changes For Friday,2020-02-21 08:47:00-05:00,ALB
"RBC Capital Maintains Sector Perform on Albemarle, Raises Price Target to $84",2020-02-21 08:04:00-05:00,ALB
6 Basic Materials Stocks Moving In Friday's Pre-Market Session,2020-02-21 07:45:00-05:00,ALB
"Wells Fargo Maintains Equal-Weight on Albemarle, Raises Price Target to $105",2020-02-21 07:27:00-05:00,ALB
Stocks That Hit 52-Week Highs On Thursday,2020-02-20 10:26:00-05:00,ALB
Albemarle shares are trading higher despite the company reporting worse-than-expected Q4 EPS and sales results.,2020-02-20 10:25:00-05:00,ALB
8 Basic Materials Stocks Moving In Thursday's Pre-Market Session,2020-02-20 07:54:00-05:00,ALB
Albemarle Corp Sees FY20 Adj. EPS $4.80-$5.10; Sales $3.48B-$3.53B,2020-02-19 16:55:00-05:00,ALB
"Albemarle Q4 EPS $1.73 Misses $1.74 Estimate, Sales $992.564M Miss $1B Estimate",2020-02-19 16:53:00-05:00,ALB
Some Market Stats in 5 Minutes,2020-02-19 13:26:00-05:00,ALB
"Earnings Scheduled For February 19, 2020",2020-02-19 04:01:00-05:00,ALB
"Market Taking A Step Back: Walmart Misses On Earnings, Apple Lowers Sales Guidance",2020-02-18 10:14:00-05:00,ALB
4 Basic Materials Stocks Moving In Wednesday's Pre-Market Session,2020-02-12 07:31:00-05:00,ALB
Germany's Volkswagen And Daimler Launch Study To Push For More Sustainable Mining Of Lithium In Chile,2020-02-11 11:36:00-05:00,ALB
Shares of several basic materials companies are trading lower as coronavirus fears continue to cloud the demand outlook for such products.,2020-02-07 10:15:00-05:00,ALB
Albemarle shares are trading lower after Baird downgraded the stock from Outperform to Neutral.,2020-02-05 10:30:00-05:00,ALB
"Earnings Bonanza: Results Keep Pouring In, With Investors Looking Over Merck, Disney",2020-02-05 10:00:00-05:00,ALB
"Benzinga's Top Upgrades, Downgrades For February 5, 2020",2020-02-05 09:55:00-05:00,ALB
10 Biggest Price Target Changes For Wednesday,2020-02-05 08:31:00-05:00,ALB
68 Biggest Movers From Yesterday,2020-02-05 05:56:00-05:00,ALB
"Baird Downgrades Albemarle to Neutral, Raises Price Target to $100",2020-02-05 05:35:00-05:00,ALB
55 Stocks Moving In Tuesday's Mid-Day Session,2020-02-04 12:35:00-05:00,ALB
Shares of basic materials companies are trading higher amid a rebound in global equities following last week's selloff on coronavirus fears.,2020-02-04 09:09:00-05:00,ALB
"Wells Fargo Maintains Equal-Weight on Albemarle, Raises Price Target to $80",2020-01-15 08:18:00-05:00,ALB
17 Basic Materials Stocks Moving In Wednesday's Pre-Market Session,2020-01-08 08:15:00-05:00,ALB
"Benzinga's Top Upgrades, Downgrades For January 3, 2020",2020-01-03 11:33:00-05:00,ALB
"Albemarle Sees FY24 Sales $4.4B-$5B, Adj. EBITDA $1.5M-$1.8M",2019-12-12 07:06:00-05:00,ALB
"Morgan Stanley Maintains Underweight On Albemarle, Lowers Target To $50 Notes 'it's now consensus that lithium is oversupplied, but 2021+ expectations on demand and price remain too optimistic'",2019-11-22 12:14:00-05:00,ALB
10 Biggest Price Target Changes For Friday,2019-11-22 08:47:00-05:00,ALB
"Morgan Stanley Maintains Underweight on Albemarle, Lowers Price Target to $50",2019-11-22 08:38:00-05:00,ALB
Albemarle Shares Rebound From Session Low; Hearing Hedgeye Named Stock A New Long Idea,2019-11-21 15:57:00-05:00,ALB
"Benzinga's Top Upgrades, Downgrades For November 14, 2019",2019-11-14 09:56:00-05:00,ALB
Seaport Global Downgrades Albemarle to Neutral,2019-11-14 07:45:00-05:00,ALB
"Benzinga's Top Upgrades, Downgrades For November 13, 2019",2019-11-13 09:35:00-05:00,ALB
"Citigroup Downgrades Albemarle to Sell, Lowers Price Target to $58",2019-11-13 07:26:00-05:00,ALB
"Benzinga's Top Upgrades, Downgrades For November 12, 2019",2019-11-12 09:37:00-05:00,ALB
10 Biggest Price Target Changes For Tuesday,2019-11-12 08:14:00-05:00,ALB
"UBS Maintains Buy on Albemarle, Lowers Price Target to $87",2019-11-12 07:45:00-05:00,ALB
"RBC Capital Downgrades Albemarle to Sector Perform, Lowers Price Target to $71",2019-11-12 06:02:00-05:00,ALB
Albemarle shares are trading lower after JP Morgan downgraded the stock from Neutral to Underweight and lowered the price target from $68 to $60 per share.,2019-11-08 10:03:00-05:00,ALB
"Benzinga's Top Upgrades, Downgrades For November 8, 2019",2019-11-08 09:33:00-05:00,ALB
"A Peek Into The Markets: US Stock Futures Flat Ahead Of Economic Data, Fed Speakers",2019-11-08 06:35:00-05:00,ALB
"JP Morgan Downgrades Albemarle to Underweight, Lowers Price Target to $60",2019-11-08 06:03:00-05:00,ALB
Albemarle shares are trading higher despite reporting worse-than-expected Q3 earnings results.,2019-11-07 12:33:00-05:00,ALB
Albemarle Option Alert: Dec 20 $70 Calls Sweep (46) near the Ask: 910 @ $3.8 vs 2240 OI; Ref=$71.2,2019-11-07 12:12:00-05:00,ALB
Albemarle CEO Says Lithium Division Will See Lower Financial Performance In 2020 Vs 2019 Due To Pricing Pressure,2019-11-07 10:07:00-05:00,ALB
"Albemarle Corp Says In 'Active Discussions' With Customers On Price, Timing And Other Facets Of Long-Term Contracts; Has Started Talks To Sell Fine Chemistry Services And Performance Catalyst Solutions Businesses",2019-11-07 10:07:00-05:00,ALB
Albemarle Sees FY19 Adj. EPS 6.00-$6.20 vs $6.12 Est.,2019-11-06 16:20:00-05:00,ALB
"Albemarle Q3 Adj. EPS $1.53 Misses $1.57 Estimate, Sales $879.7M Miss $890.57M Estimate",2019-11-06 16:20:00-05:00,ALB
"Earnings Scheduled For November 6, 2019",2019-11-06 04:13:00-05:00,ALB
Albemarle shares are trading higher after the company announced the completion of Lithium JV with Mineral Resources Limited.,2019-11-01 13:52:00-04:00,ALB
Albemarle Announces Completion of Lithium JV with Mineral Resources Limited,2019-11-01 03:55:00-04:00,ALB
"Jim Cramer Weighs In On Wendy's, CME Group And More",2019-10-29 12:41:00-04:00,ALB
"Benzinga's Top Upgrades, Downgrades For October 28, 2019",2019-10-28 09:58:00-04:00,ALB
Bank of America Downgrades Albemarle to Underperform,2019-10-28 07:03:00-04:00,ALB
10 Biggest Price Target Changes For Friday,2019-10-25 09:28:00-04:00,ALB
17 Stocks Moving in Friday's Pre-Market Session,2019-10-25 08:44:00-04:00,ALB
"BMO Capital Maintains Outperform on Albemarle, Lowers Price Target to $80",2019-10-25 08:37:00-04:00,ALB
"Wells Fargo Maintains Market Perform on Albemarle, Lowers Price Target to $65",2019-10-25 08:14:00-04:00,ALB
Albemarle shares are trading lower after the company cut its FY19 EPS and sales guidance. The company also issued Q3 sales guidance below analyst estimates.,2019-10-25 07:27:00-04:00,ALB
Albemarle Sees Prelim. Adj. Q3 EPS $1.53 vs $1.62 Est.,2019-10-24 17:18:00-04:00,ALB
"Albemarle Cuts Prelim. FY19 Adj. EPS From $6.25-$6.65 To $6.00-$6.20 vs $6.27 Est., Cuts Prelim. Sales Guidance From $3.65B-$3.85B To $3.6B-$3.7B vs $3.63B Est.",2019-10-24 17:17:00-04:00,ALB
Shares of several basic material companies are trading higher on renewed trade optimism. White House Economic Advisor Larry Kudlow said the December tariffs could be removed if U.S.-China trade talks go well.,2019-10-21 10:31:00-04:00,ALB
"Benzinga's Top Upgrades, Downgrades For October 16, 2019",2019-10-16 14:57:00-04:00,ALB
"Wells Fargo Initiates Coverage On Albemarle with Market Perform Rating, Announces $75 Price Target",2019-10-16 06:59:00-04:00,ALB
Shares of several basic material companies are trading higher after President Trump made positive remarks on the U.S.-China trade talks as traders grew more optimistic over the possibility of a limited trade deal. Trump is scheduled to meet with Chinese Vice Premier Liu He at the White House today.,2019-10-11 10:06:00-04:00,ALB
"Citigroup Maintains Neutral on Albemarle, Lowers Price Target to $73",2019-10-09 08:26:00-04:00,ALB
"Shares of several basic material companies are trading lower as optimism around the upcoming U.S.-China trade talks waned. A report says China is toning down its expectations of the meeting. The U.S. expanded its trade blacklist, and scheduled an increase in tariffs on $250 billion worth of Chinese goods from 25% to 30% on Oct. 15, which will go into effect if no progress is made.",2019-10-08 11:30:00-04:00,ALB
"Buckingham Maintains Neutral on Albemarle, Lowers Price Target to $75",2019-10-03 08:36:00-04:00,ALB
"UBS Maintains Buy on Albemarle, Lowers Price Target to $105",2019-10-02 08:36:00-04:00,ALB
"Gabelli & Co. Initiates Coverage On Albemarle with Buy Rating, Announces $109 Price Target",2019-09-12 09:39:00-04:00,ALB
"Bank of America Reiterates Buy on Albemarle, Lowers Price Target to $83",2019-08-12 09:14:00-04:00,ALB
"Oppenheimer Maintains Outperform on Albemarle, Lowers Price Target to $128",2019-08-09 09:46:00-04:00,ALB
"SunTrust Robinson Humphrey Maintains Buy on Albemarle, Lowers Price Target to $100",2019-08-09 09:26:00-04:00,ALB
Albemarle shares are trading higher after the company reported better-than-expected Q2 EPS results. The company also raised FY19 EPS guidance above analyst estimates.,2019-08-08 14:17:00-04:00,ALB
Albemarle Raises FY19 Adj. EPS Guidance From $6.10-$6.50 To $6.25-$6.65 vs $6.18 Estimate,2019-08-07 16:21:00-04:00,ALB
"Albemarle Q2 EPS $1.55 Beats $1.44 Estimate, Sales $885.1M Miss $892.37M Estimate",2019-08-07 16:20:00-04:00,ALB
"Earnings Scheduled For August 7, 2019",2019-08-07 04:43:00-04:00,ALB
"Jim Cramer Advises His Viewers On Colgate-Palmolive, Banco Santander And More",2019-08-01 11:07:00-04:00,ALB
Albemarle Corp Executive Says Company Sees Demand For Lithium Remaining Strong; Says Company Continues To Expect Annual Global Lithium Demand Will Hit 1 Million Tonnes By 2025,2019-06-11 09:50:00-04:00,ALB
"Top 10 Most Oversold Stocks Via Benzinga Pro's Radar Tool For Tue., May 14, 2019",2019-05-14 11:59:00-04:00,ALB
"Albemarle Option Alert: Jan, 2021 $75 Calls at the Ask: 809 @ $10.0 vs 2743 OI; Ref=$69.53",2019-05-13 12:44:00-04:00,ALB
"Albemarle Reaffirms FY19 Guidance; Sees Adj. EPS $6.10-$6.50 vs $6.21 Est., Sales $3.65B-$3.85B vs $3.68B Est.",2019-05-08 17:05:00-04:00,ALB
Albemarle shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.,2019-05-08 16:33:00-04:00,ALB
"Albemarle Q1 EPS $1.26 Beats $1.25 Estimate, Sales $832.064M Beat $817.04M Estimate",2019-05-08 16:16:00-04:00,ALB
Q1 Earnings Preview For Albemarle,2019-05-08 09:15:00-04:00,ALB
"Earnings Scheduled For May 8, 2019",2019-05-08 04:39:00-04:00,ALB
UPDATE: Morgan Stanley Remains Bearish On Lithium Prices Following Trip To Chile; Reduces Sociedad Quimica y Minera Target From $44 To $35,2019-04-12 10:42:00-04:00,ALB
Morgan Stanley Remains Underweight On Sociedad Quimica And Albemarle After Firm Returned From Chile After Meeting With Sociedad And Industry Contacts 'less optimistic about both the possibility of an early lease renewal and the pace of SQM's expansion',2019-04-12 10:40:00-04:00,ALB
"KeyBanc Maintains Overweight on Albemarle, Lowers Price Target to $110",2019-04-12 09:46:00-04:00,ALB
"Albemarle Shares Spike 0.7% Amid Reuters Report US Gov't Officials Plan to Meet With Execs From Automakers, Lithium Miners In Early May As Part Of An Effort To Launch A National Electric Vehicle Supply Chain Strategy",2019-04-05 11:38:00-04:00,ALB
"Shares of Albermarle Corp Trading at the Highs as Reuters Reports U.S. Officials, Automakers, Lithium Miners to Meet in May to Plan National EV Supply Chain Stategy",2019-04-05 11:37:00-04:00,ALB
"Jim Cramer Gives His Opinion On Nokia, Salesforce And More",2019-04-04 07:29:00-04:00,ALB
10 Biggest Price Target Changes For Friday,2019-03-29 10:36:00-04:00,ALB
