headline,date,stock
"Oppenheimer Maintains Outperform on EnerSys, Raises Price Target to $80",2020-06-03 10:13:00-04:00,ENS
"EnerSys Q4 Adj. EPS $1.11 Misses $1.18 Estimate, Sales $781.80M Beat $771.59M Estimate",2020-06-01 16:53:00-04:00,ENS
"5 Stocks To Watch For June 1, 2020",2020-06-01 04:31:00-04:00,ENS
"Earnings Scheduled For June 1, 2020",2020-06-01 04:00:00-04:00,ENS
EnerSys Q4 Sales $782.000M Down From $796.600M YoY,2020-04-21 16:19:00-04:00,ENS
"EnerSys Sees Prelim. Q4 Sales ~$782M vs $759.3M Estimate, Gross Profit $195M",2020-04-21 16:16:00-04:00,ENS
"Sidoti & Co. Maintains Buy on EnerSys, Lowers Price Target to $93",2020-03-27 10:30:00-04:00,ENS
EnerSys Announces It Suspended Its Q4 and FY20 Guidance Due To Coronavirus,2020-03-24 16:32:00-04:00,ENS
Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,ENS
"Shares of several companies in the broader industrial sector including construction, shipping, defense and others, are trading lower as equities sell off. The global coronavirus outbreak has weakened economic outlook and negatively impacted industrials.",2020-03-12 08:25:00-04:00,ENS
100 Biggest Movers From Yesterday,2020-02-07 04:30:00-05:00,ENS
74 Stocks Moving In Thursday's Mid-Day Session,2020-02-06 12:38:00-05:00,ENS
"Sidoti & Co. Maintains Buy on EnerSys, Raises Price Target to $102",2020-02-06 09:18:00-05:00,ENS
44 Stocks Moving in Thursday's Pre-Market Session,2020-02-06 07:26:00-05:00,ENS
19 Stocks Moving In Wednesday's After Hours,2020-02-05 17:31:00-05:00,ENS
EnerSys shares are trading lower after the company reported worse-than-expected Q3 EPS and sales results.,2020-02-05 16:34:00-05:00,ENS
"EnerSys Q3 Adj. EPS $1.04 Misses $1.13 Estimate, Sales $763.7M Miss $785.75M Estimate",2020-02-05 16:25:00-05:00,ENS
"Earnings Scheduled For February 5, 2020",2020-02-05 04:26:00-05:00,ENS
EnerSys Announces The Closing Of Its Private Offering Of $300 Million,2019-12-11 16:31:00-05:00,ENS
"EnerSys Q2 EPS $1.23 Beats $1.19 Estimate, Sales $762.1M Beat $759.59M Estimate",2019-11-06 17:25:00-05:00,ENS
"Earnings Scheduled For November 6, 2019",2019-11-06 04:13:00-05:00,ENS
45 Biggest Movers From Friday,2019-09-23 06:08:00-04:00,ENS
36 Stocks Moving In Friday's Mid-Day Session,2019-09-20 12:23:00-04:00,ENS
"EnerSys Reports Purchase Of NorthStar Battery Co. From Altor Fund II For $78M In Cash, Assumption Of $104.5M In Debt",2019-09-19 16:16:00-04:00,ENS
"Enersys Reports Fire At Its Richmond, Kentucky Production Facility",2019-09-19 13:33:00-04:00,ENS
"Earnings Scheduled For August 7, 2019",2019-08-07 04:43:00-04:00,ENS
