idx,Date,CBAK_Bat,ENS_Bat,TIA_Bat,ALB_Min,LAC_Min,SQM_Min,ALB_sentiment_nltk,CBAK_sentiment_nltk,ENS_sentiment_nltk,LAC_sentiment_nltk,SQM_sentiment_nltk,TIA_sentiment_nltk,lithium_sentiment_nltk,ALB_sentiment_TextBlob,CBAK_sentiment_TextBlob,ENS_sentiment_TextBlob,LAC_sentiment_TextBlob,SQM_sentiment_TextBlob,TIA_sentiment_TextBlob,lithium_sentiment_TextBlob
0,02/01/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1,05/01/2015,0.0299999713897705,-0.7700004577636719,0.0,-2.0,-0.1000001430511474,-0.525802612304684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,06/01/2015,-0.0499999523162841,-1.5,0.0245909826278687,-1.1400032043457031,0.0500001907348637,-0.3310623168945348,0.0,0.0,0.0,0.0,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
3,07/01/2015,0.0399999618530271,0.5299987792968821,-0.0005855197906494,-0.2299995422363352,0.0499999523162837,-0.0097370147705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,08/01/2015,0.1700000762939457,1.3800010681152273,-0.0102461720466613,1.7900009155273509,-0.0499999523162837,-0.0681591033935546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,09/01/2015,-0.0099999904632568,-0.1699981689453125,0.0064404348373412,0.2900009155273437,0.0499999523162837,0.4673805236816406,0.0,0.0,0.0,-0.3996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,12/01/2015,0.0499999523162839,-1.0500030517578196,0.0805058597564698,0.6800003051757812,-0.25,-0.3894844055175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,13/01/2015,-0.1399999856948852,1.1700019836425852,0.1156360571861265,1.2900009155273438,0.0499999523162841,-0.1460571289062535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,14/01/2015,-0.0199999809265136,-1.1700019836425852,-0.0319096971511838,-1.470001220703125,-0.0999999046325679,-0.5160655975341726,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15/01/2015,-0.03000009059906,-1.3999977111816335,-0.0093678923606874,-1.4399986267089844,0.0,-0.1265830993652379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,16/01/2015,-0.0199999809265138,0.5900001525878906,-0.0020493192672728,0.4399986267089844,0.0,0.1655311584472656,0.0,0.0,0.0,0.0,0.296,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0
11,20/01/2015,0.0400000810623168,-0.2800025939941477,0.0248837425231929,-0.720001220703125,0.0499999523162837,0.0973720550537073,0.0,0.0,0.2732,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0
12,21/01/2015,-0.0600000619888303,0.0200004577636789,0.0175648865699769,0.8100013732910156,-0.0499999523162837,0.925024032592777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,22/01/2015,0.0199999809265134,1.2800025939941406,0.0169795082092285,0.9399986267089844,0.0,0.5452766418457031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,23/01/2015,-0.0099999904632566,-0.19000244140625,0.0,-2.709999084472656,0.0499999523162837,-0.0876331329345703,0.0,0.0,0.0,0.0,0.2787,0.0,0.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.0,0.0
15,26/01/2015,0.0299999713897705,0.3400001525878906,0.0,0.2999992370605469,-0.1000001430511474,0.3992214202880859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,27/01/2015,-0.0299999713897705,-0.5200004577636648,0.0,-0.7700004577636719,0.0,0.3310604095458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
17,28/01/2015,0.0900000333786015,-0.4799995422363352,0.0,-1.0,0.1000001430511474,-0.6523857116699219,-0.0843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
