,idx,Date,CBAK_Bat,ENS_Bat,TIA_Bat,ALB_Min,LAC_Min,SQM_Min,ALB_sentiment_nltk,CBAK_sentiment_nltk,ENS_sentiment_nltk,LAC_sentiment_nltk,SQM_sentiment_nltk,TIA_sentiment_nltk,lithium_sentiment_nltk,ALB_sentiment_TextBlob,CBAK_sentiment_TextBlob,ENS_sentiment_TextBlob,LAC_sentiment_TextBlob,SQM_sentiment_TextBlob,TIA_sentiment_TextBlob,lithium_sentiment_TextBlob,ALB_1_temp,ALB_1_humidity,ALB_1_windspeed,ALB_1_conditions,ALB_2_temp,ALB_2_humidity,ALB_2_windspeed,ALB_2_conditions,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions,LAC_2_temp,LAC_2_humidity,LAC_2_windspeed,LAC_2_conditions,SQM_1_temp,SQM_1_humidity,SQM_1_windspeed,SQM_1_conditions,SQM_2_temp,SQM_2_humidity,SQM_2_windspeed,SQM_2_conditions
0,0,02/01/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.21075,0.0,0.0,0.0,0.0,0.0,0.5267,0.3,0.0,0.0,0.0,0.0,0.0,0.5,-1.7,39.6,18.1,0,14.0,19.7,35.3,2,17.5,64.1,26.8,5,16.1,70.3,23.5,4,14.0,19.7,35.3,2,18.9,72.0,22.3,2
1,1,05/01/2015,0.0299999713897705,-0.7700004577636719,0.0,-2.0,-0.1000001430511474,-0.525802612304684,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,3.3,49.7,15.9,0,15.1,22.4,27.0,1,24.7,65.5,17.1,2,23.2,66.5,18.3,2,15.1,22.4,27.0,1,19.1,73.2,24.1,2
2,2,06/01/2015,-0.0499999523162841,-1.5,0.0245909826278687,-1.1400032043457031,0.0500001907348637,-0.3310623168945348,0.0,0.0,0.0,0.0,0.296,0.0,-0.0772,0.175,0.0,0.0,0.0,0.2,0.0,0.2,5.5,52.6,18.4,0,15.8,24.0,37.1,2,26.3,66.1,17.1,2,24.0,69.8,21.9,2,15.8,24.0,37.1,2,19.4,72.1,25.9,2
3,3,07/01/2015,0.0399999618530271,0.5299987792968821,-0.0005855197906494,-0.2299995422363352,0.0499999523162837,-0.0097370147705078,0.44039999999999996,0.0,0.0,0.0,0.6369,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,6.9,52.4,18.9,0,16.1,25.3,38.9,2,24.7,71.1,29.5,5,22.2,76.3,29.5,5,16.1,25.3,38.9,2,19.2,67.2,29.5,2
4,4,08/01/2015,0.1700000762939457,1.3800010681152273,-0.0102461720466613,1.7900009155273509,-0.0499999523162837,-0.0681591033935546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333334,5.7,52.1,14.8,0,15.3,25.0,33.5,2,24.3,72.9,22.6,5,22.6,75.1,24.1,5,15.3,25.0,33.5,2,19.0,69.7,27.7,2
5,5,09/01/2015,-0.0099999904632568,-0.1699981689453125,0.0064404348373412,0.2900009155273437,0.0499999523162837,0.4673805236816406,0.11839999999999999,0.0,0.0,-0.3996,0.6124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,52.9,17.6,2,16.3,26.0,35.6,2,26.9,64.7,15.6,2,25.2,66.1,20.3,2,16.3,26.0,35.6,2,19.6,69.6,29.5,2
6,6,12/01/2015,0.0499999523162839,-1.0500030517578196,0.0805058597564698,0.6800003051757812,-0.25,-0.3894844055175781,0.07732499999999999,0.5473,0.33185,0.0,0.10853333333333332,0.0,0.0,-0.004166666666666667,0.3,0.0045454545454545435,0.0,0.07222222222222223,0.0,0.0,4.2,65.2,24.7,2,15.5,27.7,34.2,2,23.4,77.9,21.8,5,22.3,74.1,22.2,5,15.5,27.7,34.2,2,19.3,69.6,24.1,2
7,7,13/01/2015,-0.1399999856948852,1.1700019836425852,0.1156360571861265,1.2900009155273438,0.0499999523162841,-0.1460571289062535,0.39033333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.203968253968254,0.0,0.0,0.0,0.0,0.0,0.0,4.0,53.1,39.9,0,14.3,30.9,30.6,2,25.1,68.9,16.8,2,23.9,67.0,22.0,2,14.3,30.9,30.6,2,19.3,67.8,24.1,2
8,8,14/01/2015,-0.0199999809265136,-1.1700019836425852,-0.0319096971511838,-1.470001220703125,-0.0999999046325679,-0.5160655975341726,0.18109000000000003,0.0,0.0,0.064,0.0,0.0,0.0,0.10780303030303032,0.0,0.0,0.0,0.0,0.0,0.0,1.3,49.8,20.2,0,14.3,26.1,35.6,2,23.2,77.0,25.4,5,22.2,76.8,44.0,5,14.3,26.1,35.6,2,19.6,69.1,24.1,2
9,9,15/01/2015,-0.03000009059906,-1.3999977111816335,-0.0093678923606874,-1.4399986267089844,0.0,-0.1265830993652379,0.2207928571428571,0.0,0.49695,0.0,0.5473,0.0,0.0,0.003571428571428575,0.0,0.1590909090909091,0.0,0.3,0.0,0.0,0.8,37.7,15.8,0,15.1,22.9,34.9,5,22.0,73.6,22.4,5,22.1,73.0,17.5,5,15.1,22.9,34.9,5,19.2,69.6,25.9,2
