name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,12/31/2009
TotalAssets,"46,726,529,153.73","44,165,325,659.12","42,655,472,733.4","41,348,730,888.04","42,831,465,191.92","42,035,564,445.32","42,670,619,243.75","44,522,374,810.61","43,229,585,324.09","46,596,854,830.11","48,820,844,747.12","46,776,608,503.01","45,195,271,455.62","44,633,926,792.92","20,762,343,372.55","18,715,460,341.37","17,976,030,770.12","17,839,857,166.57","14,323,254,008.79","12,397,770,597.7","11,955,073,221.26","11,205,934,319.54","9,097,992,058.12","8,189,178,188.95","7,891,978,582.63","7,516,329,371.36","7,392,287,200.71","7,245,292,596.21","6,318,131,269.19","6,128,554,517.93","6,617,598,241.85","6,805,021,094.62","4,628,155,524.02","1,679,066,572.33","1,639,589,159.26","1,601,906,894.66","1,551,421,455.99","1,568,683,917.82","1,190,094,038.85","1,101,004,346.62","1,107,089,435.43","1,122,743,733.1","1,108,121,289.52","1,091,128,561.28","1,044,998,762.86","1,049,613,931.24","1,103,969,500.19","439,232,782.09","388,177,640.02"
	CurrentAssets,"7,229,592,406.12","6,470,437,993.99","3,610,092,236.61","2,615,937,947.99","2,974,787,240.49","2,854,380,360.55","2,962,918,356.98","3,603,449,963.63","3,346,232,107.08","6,443,032,093.94","3,666,270,642.28","3,622,239,897.83","3,977,505,680.62","3,868,135,810.38","6,558,940,582.27","5,595,254,461.64","8,055,463,772.62","7,865,142,178.03","5,262,282,145.34","4,673,868,054.3","4,160,910,315.69","3,914,137,382.98","3,144,521,203.94","2,303,011,854.11","1,980,200,256.59","1,710,667,548.89","2,021,900,322.76","1,719,160,011.69","1,795,402,307.75","1,404,742,088.02","1,612,189,488.15","1,748,638,907.03","744,003,512.84","535,987,705.45","492,556,635.25","456,096,787.95","762,956,131.08","831,827,188.91","519,673,032.05","541,098,203.45","625,854,204.85","698,532,113.04","727,951,291.21","718,846,686.64","761,332,251.13","775,797,162.38","864,857,276.33","218,277,944.04","198,983,502.71"
		CashCashEquivalentsAndShortTermInvestments,"2,485,781,003.55","1,991,177,666","1,236,672,293.88","720,947,854.22","1,230,845,113.64","994,147,013.14","1,294,703,874.02","1,874,159,081.9","1,245,152,402.49","4,486,872,030.53","1,924,905,702.66","1,838,238,661.83","1,775,063,519.77","1,956,926,431.21","3,584,751,359.8","2,828,915,509.8","4,901,694,994.93","5,524,158,549.03","2,871,513,447.1","2,343,362,425.56","1,717,388,179.53","1,506,192,384.98","1,166,118,668.23","887,852,640.11","701,437,352.61","577,670,598.81","874,544,236.63","769,561,388.47","861,090,697.45","436,076,185.09","723,490,135.66","869,215,172.8","293,471,437.52","47,814,793.19","93,451,717.58","66,766,917.03","88,470,078.51","499,558,975.89","187,040,891.83","201,573,671.52","289,288,321.59","377,333,620.43","409,817,257.2","414,795,353.04","503,698,639.87","529,955,562.59","669,303,424.07","18,842,930.11","45,349,478.3"
			CashAndCashEquivalents,"2,485,780,738.59","1,987,080,397.4","1,223,361,648.2","698,262,861.97","1,190,694,370.26","994,147,013.14","1,294,703,874.02","1,874,159,081.9","1,245,152,402.49","4,439,007,136.34","1,737,564,360.92","1,767,618,699.57","1,763,243,972.22","1,943,317,361.11","3,583,771,791.5","2,826,703,707.39","4,901,688,451.99","5,524,123,316.04","2,822,919,747.11","2,293,677,073.95","1,717,072,900.95","1,502,275,875.77","1,158,726,438.86","881,015,812.35","700,143,008.69","575,935,847.89","874,544,236.63","769,561,388.47","861,090,697.45","436,076,185.09","723,490,135.66","869,215,172.8","293,471,437.52","47,814,793.19","93,451,717.58","66,766,917.03","88,470,078.51","499,558,975.89","187,040,891.83","201,573,671.52","289,288,321.59","377,333,620.43","409,817,257.2","414,795,353.04","503,698,639.87","529,955,562.59","669,303,424.07","18,842,930.11","45,349,478.3"
				CashFinancial,,"1,766,095,853.61",,"641,654,376.9",,"788,979,030.78",,"1,564,695,358.73",,"3,930,935,591.71",,"943,798,931.59",,"1,302,950,539.26",,"2,776,703,227.22",,"5,275,967,549.21",,"1,997,251,368",,"1,468,367,763.14",,"868,894,150.83",,"545,257,820.33",,"537,725,367.01",,"434,605,915.51",,"857,355,664.81",,"43,291,014.76",,"60,793,191.93",,"493,939,313.5",,"198,260,085.56",,"344,054,981.78",,"414,729,053.04",,"527,177,034.5",,"16,839,714.87","43,575,751.54"
				CashEquivalents,,"220,984,543.79",,"56,608,485.07",,"205,167,982.36",,"309,463,723.17",,"508,071,544.63",,"823,819,767.98",,"640,366,821.85",,"50,000,480.17",,"248,155,766.83",,"296,425,705.95",,"33,908,112.63",,"12,121,661.52",,"30,678,027.56",,"231,836,021.46",,"1,470,269.58",,"11,859,507.99",,"4,523,778.43",,"5,973,725.1",,"5,619,662.39",,"3,313,585.96",,"33,278,638.65",,"66,300",,"2,778,528.09",,"2,003,215.24","1,773,726.76"
			OtherShortTermInvestments,"264.96","4,097,268.6","13,310,645.68","22,684,992.25","40,150,743.38",,,,,"47,864,894.19","187,341,341.74","70,619,962.26","11,819,547.55","13,609,070.1","979,568.3","2,211,802.41","6,542.94","35,232.99","48,593,699.99","49,685,351.61","315,278.58","3,916,509.21","7,392,229.37","6,836,827.76","1,294,343.92","1,734,750.92",,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,109,373,454.18","871,756,011.36","909,635,583.75","794,347,157.46","854,985,349.01","851,042,866.35","897,746,935.85","914,870,657.12","926,406,108.02","917,045,155.21","859,163,013.51","726,197,396.98","588,235,404.14","560,654,401.31","500,845,367.42","456,181,142.97","463,124,537.49","477,082,210.26","454,270,217.59","464,795,261.58","500,830,290.58","470,805,744.72","418,378,619.64","444,563,045.88","391,345,887.56","400,100,277.15","496,716,923.27","483,212,550.67","462,873,954.58","511,152,341.4","555,447,041.35","575,984,777.1","286,696,017.57","323,072,655.12","300,918,556.74","268,629,795.31","226,106,656.91","233,045,388.61","200,033,653.64","142,573,644.17","177,027,267.65","183,740,145.13","140,926,132.37","117,216,442.32","129,531,002.37","143,971,529.27","102,615,545.45","118,026,045.18","81,028,639.12"
			RawMaterials,,"432,253,813.84",,"340,153,404.24",,"363,174,944.69",,"298,455,157.14",,"296,147,111.87",,"288,318,751.81",,"210,075,698.45",,"175,421,056.95",,"177,706,173.76",,"178,830,669.2",,"153,732,400.59",,"97,761,589.21",,"178,653,830.55",,"290,353,595.41",,"108,483,874.64",,"255,684,797.58",,"265,230,933.83",,"232,986,056.41",,"197,925,727.82",,"119,618,563.75",,"162,053,118.19",,"84,336,775.77",,"88,537,965.48",,"66,713,464.9","38,790,379.27"
			WorkInProcess,,"302,029,006.9",,"283,897,796.07",,"304,408,302.06",,"349,880,562.87",,"254,355,478.99",,"220,218,960.9",,"131,374,755.41",,"103,071,551.95",,"84,128,262.45",,"122,582,408.31",,"80,544,435.31",,"117,505,574.1",,"101,495,374.57",,"22,855,115.76",,"108,089,302.53",,"126,438,818.04",,"16,369,093.28",,"10,386,251.99",,"10,086,700.15",,"10,191,688.9",,"9,045,061.88",,"13,474,530.01",,"17,772,242.04",,"7,466,094.55","6,816,443.88"
