name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
CashFlowsfromusedinOperatingActivitiesDirect,"5,576,020,357.58","3,836,609,528.29","714,428,552.37","624,186,913.28","400,795,363.64","355,038,106.4","31,273,797.7","526,934,801.45","125,297,444.89","12,928,127.45","971,037,089.62","438,985,911.88","490,135,401.93","454,768,617.24","838,318,492.81","973,203,205.5","841,717,945.18","966,735,632.33","923,080,907.34","999,879,874.38","512,126,076.32","659,532,020.26","521,285,366.45","342,945,218.72","500,202,980.72","411,932,672.71","160,522,105.45","167,761,490.66","214,457,412.33","116,812,704","136,385,537.35","42,432,089.18","142,087,295.46","-18,649,311.84","-72,518,416.99","1,566,661.84","-41,636,016.35","-15,623,208.63","-44,515,010.21","-21,222,715.71","36,458,097.61","-15,156,393.4","22,439,993.38","8,608,436.98","-13,233,735.42","-8,403,019.75","-14,828,463.38","-3,592,678.82","-44,253,823.08","36,390,551.71","-13,465,679.38"
	ClassesofCashReceiptsfromOperatingActivities,"10,167,491,245.54","5,681,008,016.6","1,857,446,653.38","1,563,593,574.95","1,065,443,000.61","771,683,538.15","668,232,929.9","855,483,717.66","1,061,786,913.83","933,428,189.84","1,051,445,718.37","1,886,130,448.16","1,502,901,384.75","1,219,882,400.75","1,619,851,177.85","1,886,541,686.72","1,837,962,835.88","1,655,355,146.22","1,420,632,914.55","1,787,091,095.67","1,228,966,787.64","1,168,423,390.89","952,869,067.8","822,685,483.05","941,403,202.01","657,586,065.18","516,001,531.37","390,073,056.91","262,718,139.15","476,198,710.88","400,319,831.98","246,513,207.34","480,191,323.46","34,673,176.77","-43,050.83","114,449,544.56","74,161,814.69","34,191,733.75","116,606,443.03","114,728,865.64","75,523,460.6","75,083,527.4","115,820,215.94","93,549,681.05","91,629,894.85","59,809,077.5","-108,008,068.25","212,474,897.18","-50,547,981.58","156,185,475.74","10,995,936.21"
		ReceiptsfromCustomers,"10,127,114,056.45","5,666,008,309.19","1,852,505,991.89","1,557,064,051.71","1,051,535,703.66","759,485,310.36","628,194,424.5","831,498,212.82","1,048,835,431.74","923,658,001.41","1,110,472,232.83","1,791,171,728.86","1,466,816,628.39","1,152,670,861.42","1,613,119,812.5","1,827,704,118.23","1,785,877,535.79","1,618,898,568.58","1,407,467,211.1","1,764,543,608.61","1,211,160,549.81","1,148,805,847.33","951,647,636.93","805,722,544.8","938,685,775.27","646,557,160.4","520,404,349.95","377,149,607.55","317,748,556.86","408,136,477.91","420,996,334.87","218,891,856.87","456,786,787.93","33,740,484.44","149,157.12","107,999,021.54","71,039,138.07","30,711,034.47","140,451,186.52","85,146,566.41","72,468,850.96","72,276,837.14","117,194,908.76","91,557,435.36","89,390,159.93","46,925,397.55","36,334,109.62","65,174,056.32","28,758,209.11","72,727,472.91","43,380,960.97"
		OtherCashReceiptsfromOperatingActivities,"40,377,189.09","14,999,707.41","4,940,661.49","6,529,523.24","13,907,296.95","12,198,227.79","40,038,505.4","23,985,504.84","12,951,482.09","9,770,188.43","-59,026,514.46","94,958,719.3","36,084,756.36","67,211,539.33","6,731,365.35","58,837,568.49","52,085,300.09","36,456,577.64","13,165,703.45","22,547,487.06","17,806,237.83","19,617,543.56","1,221,430.87","16,962,938.25","2,717,426.74","11,028,904.78","-4,402,818.58","12,923,449.36","-55,030,417.71","68,062,232.97","-20,676,502.89","27,621,350.47","23,404,535.53","932,692.33","-192,207.95","6,450,523.02","3,122,676.62","3,480,699.28","-23,844,743.49","29,582,299.23","3,054,609.64","2,806,690.26","-1,374,692.82","1,992,245.69","2,239,734.92","12,883,679.95","-144,342,177.87","147,300,840.86","-79,306,190.69","83,458,002.83","-32,385,024.76"
	ClassesofCashPayments,"-2,832,504,168.04","-850,143,100.24","-739,398,440.22","-650,609,010.94","-592,353,616.64","-491,463,872.61","-614,253,663.55","-380,029,575.9","-706,991,628.91","-689,782,702.99","85,572,875.05","-1,290,929,844","-708,062,172.7","-576,530,730.44","-677,273,973.32","-669,644,335.41","-491,352,629.65","-424,273,023.49","-337,840,098.92","-533,992,418.85","-367,640,653.88","-327,786,289.2","-260,454,708.87","-356,743,784.54","-235,715,372.82","-200,818,191.55","-321,528,014.65","-218,101,892.94","-41,390,171.76","-353,844,963.27","-245,856,823.37","-199,588,078.14","-316,919,824.96","-51,426,110.05","-73,685,101.01","-110,840,112.1","-112,258,649.94","-49,539,260.69","-158,847,134.16","-132,353,060.15","-31,739,275.98","-81,766,810.92","-88,731,701.36","-80,976,188.36","-100,211,887.45","-59,102,560.6","96,057,228.5","-212,378,722.04","9,785,343.37","-117,493,763.62","-14,953,493.45"
		PaymentstoSuppliersforGoodsandServices,"-1,909,306,374.55","-593,083,252.93","-519,731,751.58","-415,362,689.11","-381,128,680.93","-278,228,004.28","-407,386,538.44","-230,008,407.83","-513,666,357.21","-525,777,800.97","292,574,368.85","-1,120,766,688.43","-552,887,519.22","-442,119,359.33","-559,312,152.4","-499,435,277.31","-382,591,743.14","-306,672,627.4","-228,282,319.94","-384,364,856.85","-280,343,206.02","-237,625,437.29","-174,984,628.24","-280,875,675.69","-178,556,790.97","-130,741,510.37","-240,867,175.76","-159,937,041.7","-45,211,422.33","-241,784,782.09","-192,332,749.38","-154,805,166.13","-242,616,358.62","-14,110,499.38","-60,923,221.69","-88,965,991.95","-99,961,378.58","-36,878,795.72","-175,893,858.61","-86,357,085.57","-13,883,132.6","-68,653,571.16","-71,889,566.12","-75,586,732.98","-79,132,864.07","-48,492,714.42","-41,930,887.77","-54,847,312.52","-63,181,153.49","-27,322,173.6","-26,827,250.02"
		PaymentsonBehalfofEmployees,"-576,459,498.97","-156,891,328.51","-135,333,271.1","-156,662,502.98","-127,572,396.38","-129,764,907.65","-123,060,688.72","-113,865,970.55","-132,839,365.56","-122,307,975.23","-154,835,203.06","-113,673,742.51","-113,448,809.72","-112,925,168.42","-89,267,944.43","-90,805,538.7","-68,184,958.69","-94,106,403.6","-62,630,852.28","-54,501,333.93","-50,755,762.89","-73,908,056.17","-48,925,584.7","-48,884,091.29","-42,378,921.8","-46,042,434.74","-60,753,998.82","-43,112,060.93","-43,349,034.82","-40,496,441.54","-32,332,794.6","-34,608,340.07","-82,781,875.74","-10,667,709.67","-11,466,581.99","-10,865,985.81","-8,025,674.11","-9,249,439.46","-8,675,165.96","-11,881,190.23","-9,639,391.18","-10,813,930.14","-9,499,007.95","-9,287,969.44","-8,590,644","-6,137,316.5","-5,966,377.72","-7,265,838.23","-5,508,475.42","-5,262,377.31","-4,514,066.5"
		OtherCashPaymentsfromOperatingActivities,"-346,738,294.52","-100,168,518.8","-84,333,417.54","-78,583,818.85","-83,652,539.33","-83,470,960.68","-83,806,436.39","-36,155,197.52","-60,485,906.14","-41,696,926.79","-52,166,290.74","-56,489,413.06","-41,725,843.76","-21,486,202.69","-28,693,876.49","-79,403,519.4","-40,575,927.82","-23,493,992.49","-46,926,926.7","-95,126,228.07","-36,541,684.97","-16,252,795.74","-36,544,495.93","-26,984,017.56","-14,779,660.05","-24,034,246.44","-19,906,840.07","-15,052,790.31","47,170,285.39","-71,563,739.64","-21,191,279.39","-10,174,571.94","8,478,409.4","-26,647,901","-1,295,297.33","-11,008,134.34","-4,271,597.25","-3,411,025.51","25,721,890.41","-34,114,784.35","-8,216,752.2","-2,299,309.62","-7,343,127.29","3,898,514.06","-12,488,379.38","-4,472,529.68","143,954,493.99","-150,265,571.29","78,474,972.28","-84,909,212.71","16,387,823.07"
	TaxesRefundPaidDirect,"-1,758,966,719.92","-994,255,388.07","-403,619,660.79","-288,797,650.73","-72,294,020.33","74,818,440.86","-22,705,468.65","51,480,659.69","-229,497,840.03","-230,717,359.4","-165,981,503.8","-156,214,692.28","-304,703,810.12","-188,583,053.07","-104,258,711.72","-243,694,145.81","-504,892,261.05","-264,346,490.4","-159,711,908.29","-253,218,802.44","-349,200,057.44","-181,105,081.43","-171,128,992.48","-122,996,479.79","-205,484,848.47","-44,835,200.92","-33,951,411.27","-4,209,673.31","-6,870,555.06","-5,541,043.61","-18,077,471.26","-4,493,040.02","-21,184,203.04","-1,896,378.56","1,209,734.85","-2,042,770.62","-3,539,181.1","-275,681.69","-2,274,319.08","-3,598,521.2","-7,326,087.01","-8,473,109.88","-4,648,521.2","-3,965,055.71","-4,651,742.82","-9,109,536.65","-2,877,623.63","-3,688,853.96","-3,491,184.87","-2,301,160.41","-9,508,122.14"
InvestingCashFlow,"-227,573,433.29","-189,513,631.09","250,317,811.24","-103,155,826.87","-185,221,786.57","-99,516,186.87","22,988,445.72","-177,798,340.75","-68,300,672.8","-281,830,750.44","-684,524,822.87","-872,176,575.54","-423,786,716.91","-1,381,925,234.75","-25,380,667,964.78","-1,533,280,242.47","-2,655,155,654.02","-1,592,612,510.33","-592,385,232.67","-620,230,832.99","-25,790,850.37","-230,401,038.98","-1,664,499,508.27","-256,323,605.14","-63,172,873.09","-70,413,311.8","-28,403,962.34","-130,618,232.54","-443,978,500.44","32,229,728.26","-31,199,446.53","-220,561,360.27","-128,604,968.6","-2,737,424,219.06","4,198,608.44","-4,914,240.59","-21,343,521.94","-367,697,911.01","-65,956,866.89","-61,621,097.53","-76,099,414.39","-57,020,322.94","-51,806,867.01","-13,272,920.32","-87,152,122.94","-12,176,863.37","-42,450,615.61","-6,247,077.44","-12,568,310.19","-4,635,965.09","-23,935,977.91"
