name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,09/30/2009,06/30/2009,03/31/2009,09/30/2008,06/30/2008,03/31/2008,09/30/2007,06/30/2007,03/31/2007
OperatingCashFlow,"61,755,439,000,000","10,453,069,000,000","20,634,461,000,000","18,581,452,000,000","12,086,457,000,000","13,803,078,000,000","24,514,584,000,000","14,144,393,000,000","14,798,153,000,000","11,829,879,000,000","19,717,140,000,000","13,826,599,000,000","6,594,865,000,000","5,244,311,000,000","22,428,080,000,000","15,549,657,000,000","13,437,774,000,000","15,616,352,000,000","21,691,546,000,000","17,447,062,000,000","12,426,162,000,000","10,597,271,000,000","10,985,912,000,000","14,336,597,000,000","13,344,845,000,000","8,718,290,000,000","12,356,351,000,000","11,873,815,000,000","10,709,603,000,000","5,121,992,000,000","5,405,589,000,000","10,442,348,000,000","8,914,556,000,000","12,212,896,000,000","10,275,299,000,000","15,014,197,000,000","8,598,595,000,000","12,819,349,000,000","12,074,303,000,000","11,539,742,000,000","5,931,820,000,000","8,426,944,000,000","7,305,216,993,569.78","6,686,653,000,000","4,567,596,000,000","4,343,711,000,000","7,517,122,181,524.4","6,757,339,000,000","3,820,275,000,000","5,226,417,000,000","3,928,235,000,000","2,556,859,000,000","-17,498,000,000","3,622,241,000,000","2,969,454,000,000","2,608,858,000,000","3,138,531,000,000","3,134,529,000,000","1,852,250,000,000"
InvestingCashFlow,"-32,106,665,000,000","-636,511,000,000","-10,351,321,000,000","-16,949,490,000,000","-4,169,343,000,000","-1,577,609,000,000","-18,699,068,000,000","-23,988,863,000,000","-2,411,458,000,000","-8,529,202,000,000","-18,485,953,000,000","-12,933,588,000,000","-3,284,060,000,000","-5,244,570,000,000","-15,763,188,000,000","-16,922,190,000,000","-12,181,739,000,000","-7,373,336,000,000","-18,327,866,000,000","-14,954,628,000,000","-7,937,583,000,000","-8,165,139,000,000","-7,300,809,000,000","-12,180,872,000,000","-7,786,329,000,000","-2,390,665,000,000","-9,021,435,000,000","-7,985,729,000,000","-9,932,401,000,000","-228,222,000,000","-2,787,338,000,000","-8,244,089,000,000","-10,117,878,000,000","-11,657,103,000,000","-10,708,032,000,000","-13,179,931,000,000","-10,341,028,000,000","-10,518,028,000,000","-11,740,935,000,000","-8,983,375,000,000","-5,297,059,000,000","-5,300,185,000,000","-6,223,627,179,893.1","-5,753,515,000,000","-5,243,303,000,000","-3,892,117,000,000","-8,418,767,417,302.72","-4,973,148,000,000","-4,969,041,000,000","-5,166,413,000,000","-4,089,976,000,000","-1,772,715,000,000","-382,669,000,000","-3,390,324,000,000","-1,273,921,000,000","-3,474,442,000,000","-3,251,584,000,000","-2,020,781,000,000","506,178,000,000"
FinancingCashFlow,"-23,892,056,000,000","-495,346,000,000","-3,800,331,000,000","-547,765,000,000","-19,048,614,000,000","-594,323,000,000","-1,994,560,000,000","499,400,000,000","-3,859,066,000,000","-2,973,613,000,000","-405,077,000,000","-2,203,273,000,000","-2,778,625,000,000","-4,097,535,000,000","-9,401,145,000,000","3,631,369,000,000","-2,391,133,000,000","-6,929,313,000,000","-2,115,879,000,000","-1,273,582,000,000","-3,982,514,000,000","-5,188,892,000,000","1,590,914,000,000","-1,491,940,000,000","-4,506,919,000,000","-4,261,569,000,000","-3,588,307,000,000","1,311,467,000,000","-1,672,123,000,000","-2,624,546,000,000","-3,957,793,000,000","-197,696,000,000","-160,319,000,000","1,258,699,000,000","-402,883,000,000","-1,538,011,000,000","422,827,000,000","-2,618,964,000,000","62,695,000,000","843,006,000,000","-781,253,000,000","-1,988,956,000,000","2,852,491,908,196.02","506,058,000,000","-1,683,643,000,000","1,434,822,000,000","-265,621,934,311.92","158,735,000,000","1,060,336,000,000","-1,105,744,000,000","199,348,000,000","-723,606,000,000","21,022,000,000","-68,606,000,000","-959,581,000,000","10,569,000,000","-43,710,000,000","29,711,000,000","-2,538,451,000,000"
OtherCashAdjustmentInsideChangeinCash,,,"0","0","551,268,000,000","-551,129,000,000","44,571,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EndCashPosition,"47,347,577,000,000","48,944,982,000,000","39,031,415,000,000","32,675,040,000,000","30,683,788,000,000","41,039,591,000,000","29,382,578,000,000","26,566,097,000,000","36,109,613,000,000","27,916,683,000,000","26,885,999,000,000","26,604,994,000,000","27,531,931,000,000","26,676,045,000,000","30,340,505,000,000","33,088,093,000,000","31,362,222,000,000","32,303,752,000,000","30,545,130,000,000","30,788,226,000,000","29,007,086,000,000","27,562,938,000,000","32,111,442,000,000","25,267,569,000,000","25,840,759,000,000","24,769,756,000,000","22,636,744,000,000","23,608,377,000,000","17,865,256,000,000","18,395,883,000,000","16,840,766,000,000","18,004,063,000,000","16,057,574,000,000","18,150,284,000,000","16,284,780,000,000","17,514,764,000,000","17,924,523,000,000","18,838,157,000,000","18,791,460,000,000","18,823,533,000,000","15,521,957,000,000","15,923,545,000,000","17,193,621,333,571.9","11,048,427,000,000","9,251,994,000,000","11,709,152,000,000","12,926,308,340,894","10,645,625,000,000","8,629,948,000,000","9,225,243,000,000","2,079,190,000,000","2,041,583,000,000","1,981,045,000,000","2,071,039,000,000","1,907,728,000,000","1,171,776,000,000","1,784,662,000,000","1,941,425,000,000","797,966,000,000"
	ChangesInCash,"6,307,986,000,000","9,321,212,000,000","6,482,809,000,000","1,084,197,000,000","-10,580,232,000,000","11,080,017,000,000","3,865,527,000,000","-9,389,780,000,000","8,527,629,000,000","327,064,000,000","826,110,000,000","-1,310,262,000,000","532,180,000,000","-4,097,794,000,000","-2,736,253,000,000","2,258,836,000,000","-1,135,098,000,000","1,313,703,000,000","1,247,801,000,000","1,218,852,000,000","506,065,000,000","-2,756,760,000,000","5,276,017,000,000","663,785,000,000","1,051,597,000,000","2,066,056,000,000","-253,391,000,000","5,199,553,000,000","-894,921,000,000","2,269,224,000,000","-1,339,542,000,000","2,000,563,000,000","-1,363,641,000,000","1,814,492,000,000","-835,616,000,000","296,255,000,000","-1,319,606,000,000","-317,643,000,000","396,063,000,000","3,399,373,000,000","-146,492,000,000","1,137,803,000,000","3,934,081,721,872.7","1,439,196,000,000","-2,359,350,000,000","1,886,416,000,000","-1,167,267,170,090.24","1,942,926,000,000","-88,430,000,000","-1,045,740,000,000","37,607,000,000","60,538,000,000","-379,145,000,000","163,311,000,000","735,952,000,000","-855,015,000,000","-156,763,000,000","1,143,459,000,000","-180,023,000,000"
	EffectOfExchangeRateChanges,"1,597,405,000,000","592,355,000,000","-126,434,000,000","907,055,000,000","224,429,000,000","576,996,000,000","-1,049,046,000,000","-153,736,000,000","-334,699,000,000","703,620,000,000","-545,105,000,000","383,325,000,000","323,706,000,000","433,334,000,000","-11,335,000,000","-532,965,000,000","193,568,000,000","444,919,000,000","-1,490,897,000,000","562,288,000,000","938,083,000,000","-1,791,744,000,000","1,567,856,000,000","-1,236,975,000,000","19,406,000,000","66,956,000,000","-718,242,000,000","543,568,000,000","364,294,000,000","-714,107,000,000","176,245,000,000","-54,074,000,000","-729,069,000,000","51,012,000,000","-394,368,000,000","-706,014,000,000","405,972,000,000","364,340,000,000","-428,136,000,000","-97,797,000,000","-255,096,000,000","93,981,000,000",,"357,237,000,000","-97,808,000,000","31,317,000,000",,"72,751,000,000","-506,865,000,000","121,053,000,000",,,,,,,,,
	BeginningCashPosition,"41,039,591,000,000","39,031,415,000,000","32,675,040,000,000","30,683,788,000,000","41,039,591,000,000","29,382,578,000,000","26,566,097,000,000","36,109,613,000,000","27,916,683,000,000","26,885,999,000,000","26,604,994,000,000","27,531,931,000,000","26,676,045,000,000","30,340,505,000,000","33,088,093,000,000","31,362,222,000,000","32,303,752,000,000","30,545,130,000,000","30,788,226,000,000","29,007,086,000,000","27,562,938,000,000","32,111,442,000,000","25,267,569,000,000","25,840,759,000,000","24,769,756,000,000","22,636,744,000,000","23,608,377,000,000","17,865,256,000,000","18,395,883,000,000","16,840,766,000,000","18,004,063,000,000","16,057,574,000,000","18,150,284,000,000","16,284,780,000,000","17,514,764,000,000","17,924,523,000,000","18,838,157,000,000","18,791,460,000,000","18,823,533,000,000","15,521,957,000,000","15,923,545,000,000","14,691,761,000,000","11,048,427,000,000","9,251,994,000,000","11,709,152,000,000","9,791,419,000,000","10,645,625,000,000","8,629,948,000,000","9,225,243,000,000","10,149,930,000,000","2,041,583,000,000","1,981,045,000,000","2,360,190,000,000","1,907,728,000,000","1,171,776,000,000","2,026,791,000,000","1,941,425,000,000","797,966,000,000","977,989,000,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,"44,571,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CapitalExpenditure,"-48,720,743,000,000","-9,560,282,000,000","-12,865,507,000,000","-11,848,566,000,000","-14,446,388,000,000","-10,668,560,000,000","-11,401,462,000,000","-9,049,032,000,000","-10,287,846,000,000","-9,533,473,000,000","-10,305,676,000,000","-7,065,317,000,000","-6,781,909,000,000","-4,464,768,000,000","-6,184,477,000,000","-5,812,674,000,000","-8,527,439,000,000","-10,052,333,000,000","-10,824,883,000,000","-11,396,068,000,000","-12,482,233,000,000","-9,072,790,000,000","-10,235,778,000,000","-5,593,569,000,000","-4,274,819,000,000","-5,086,475,000,000","-6,152,559,000,000","-6,359,592,000,000","-6,687,831,000,000","-8,182,121,000,000","-7,937,546,000,000","-4,302,463,000,000","-4,920,307,000,000","-6,206,934,000,000","-8,363,274,000,000","-6,401,693,000,000","-5,660,605,000,000","-3,666,758,000,000","-4,282,495,000,000","-5,143,403,000,000","-6,376,300,000,000","-7,813,957,000,000","-6,113,225,834,298.58","-4,998,298,000,000","-5,818,213,000,000","-5,699,619,000,000","-6,856,310,553,385.84","-6,091,196,000,000","-5,188,506,000,000","-4,743,127,000,000","-1,377,399,000,000","-960,838,000,000","-630,432,000,000","-2,354,673,000,000","-2,740,595,000,000","-2,862,787,000,000","-1,746,595,000,000","-1,972,007,000,000","-2,779,358,000,000"
