name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
OperatingCashFlow,"2,668,143,786,390","761,733,970,650","580,359,123,380","698,811,705,660","627,238,986,700","269,617,542,830","672,445,060,180","528,629,118,760","397,060,886,650","350,685,174,920","217,115,679,210","208,118,406,320","469,278,157,140","28,559,390,000","138,616,097,390","306,843,529,000","1,190,153,000","-186,040,044,000","40,266,208,920","-280,983,964,000","-60,548,371,000","51,151,789,000","-58,038,137,260","-409,159,313,000","-719,248,261,000","-123,073,788,000","401,915,205,060","454,675,216,000","-188,733,783,660","213,209,920,660","133,235,328,340","166,850,674,000","-3,391,289,000","13,898,109,000","-93,657,615,120","268,909,250,000","158,443,618,000","-25,245,493,000","82,498,557,580","248,696,976,000","108,659,065,000","137,947,730,000","393,347,418,230","-80,707,590,000","2,797,728,000","-15,700,234,000","179,147,753,190","144,183,268,980","224,916,285,360","-59,342,073,350",,"82,199,379,000","30,200,301,000","-12,934,810,000",,"193,109,926,000","232,093,854,000","-36,646,716,000",,"9,016,303,000","79,475,638,000","20,599,919,000"
InvestingCashFlow,"-2,415,193,669,320","-700,544,672,850","-577,372,714,030","-630,564,951,860","-506,711,330,580","-234,884,215,350","-515,988,147,930","-538,138,400,940","-330,182,849,780","-394,123,585,820","-337,278,485,500","-325,029,930,580","-460,189,594,090","-412,561,755,000","-897,374,036,370","-560,602,436,000","165,567,979,000","-412,320,704,000","309,256,388,440","-213,528,730,000","-54,361,461,000","47,959,074,000","277,344,603,120","550,976,595,000","914,453,978,000","111,488,664,000","234,450,806,660","58,816,757,000","245,403,940,030","-423,341,317,030","-272,416,134,050","146,762,790,000","-101,024,972,000","-100,951,834,000","200,564,207,190","-263,971,658,000","-187,929,788,000","-252,893,793,000","-166,068,374,870","-141,980,531,000","-89,570,799,000","-113,652,913,000","-70,821,336,110","-242,068,783,000","-202,323,146,000","-363,885,374,000","-200,641,297,080","-75,166,966,650","8,925,441,050","14,788,272,050","-73,798,350,000","175,629,405,000","94,513,048,000","-290,348,885,000","-229,462,219,000","-478,392,188,000","36,842,883,000","-38,635,316,000","101,819,717,000","-123,410,721,000","-113,971,879,000","-220,279,318,000"
FinancingCashFlow,"441,714,602,110","-165,042,205,780","609,365,505,500","-163,076,378,790","160,467,681,180","-24,033,408,210","75,250,639,690","-191,753,599,530","151,114,637,400","206,007,275,900","317,056,201,100","-290,118,694,130","-47,551,728,350","259,548,969,000","492,309,856,960","835,924,029,000","187,502,365,000","240,389,613,000","82,242,462,350","245,144,092,000","123,199,816,000","-97,193,856,000","-246,498,068,150","-141,945,353,000","-296,958,071,000","-133,300,609,000","-451,001,960,960","47,130,007,000","16,464,527,630","32,752,482,370","-78,227,751,500","-258,963,812,000","267,122,786,000","-13,741,142,000","-41,677,455,950","-205,156,493,000","196,580,466,000","24,563,634,000","204,258,925,530","38,273,176,000","-197,080,802,000","67,348,779,000","-268,565,620,070","342,954,691,000","127,105,937,000","67,089,189,000","-155,380,201,570","-192,341,197,470","-254,032,549,850","-21,019,443,620","-12,077,272,000","204,629,345,000","-161,416,958,000","89,495,723,000","367,500,000","252,082,950,000","453,295,000","-16,313,000","29,034,022,000","41,217,270,000","12,031,533,000","-160,464,036,000"
OtherCashAdjustmentInsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,"-191,780,644,000",,,,,,,,,,,,,,,,,,,,,"56,432,049,390","-19,278,785,740","-28,559,619,160","8,127,632,910",,,,,,,,,,,,
EndCashPosition,"2,246,004,661,220","2,232,223,244,580","2,325,692,348,380","1,823,695,462,720","1,837,329,650,890","1,551,339,942,040","1,545,974,321,800","1,337,341,226,740","1,521,816,102,160","1,323,713,486,760","1,156,295,420,680","965,238,912,950","1,385,275,729,700","1,374,456,338,000","1,516,585,546,980","1,790,008,008,000","1,222,989,041,000","865,638,074,000","1,209,015,663,790","777,050,412,000","1,020,539,587,000","1,002,395,273,000","1,011,701,875,330","1,047,648,661,000","1,038,384,056,000","947,005,182,000","1,287,968,374,150","1,106,191,659,000","533,020,950,000","444,431,329,000","627,528,154,780","843,148,003,000","795,988,812,000","632,587,359,000","730,176,083,440","680,788,316,000","907,631,283,000","711,691,586,000","946,516,332,080","813,267,495,000","674,130,802,000","839,321,622,000","757,661,035,090","732,259,382,000","659,445,775,000","714,793,482,000","1,066,315,966,310","1,177,997,055,410","1,322,822,921,530","1,379,087,618,090","1,047,151,385,000","888,861,071,000","426,402,943,000","350,471,923,000","653,755,618,000","564,464,049,000","597,663,362,000","328,273,328,000","403,295,936,000","251,620,332,000","324,797,480,000","347,262,189,000"
	ChangesInCash,"694,664,719,180","-103,852,907,980","612,351,914,850","-94,829,624,990","280,995,337,300","10,699,919,270","231,707,551,940","-201,262,881,710","217,992,674,270","162,568,865,000","196,893,394,810","-407,030,218,390","-38,463,165,300","-124,453,396,000","-266,448,082,020","582,165,122,000","354,260,497,000","-357,971,135,000","431,765,059,710","-249,368,602,000","8,289,984,000","1,917,007,000","-27,191,602,290","-128,071,000","90,028,290,000","-336,666,377,000","185,364,050,760","560,621,980,000","73,134,684,000","-177,378,914,000","-217,408,557,210","54,649,652,000","162,706,525,000","-100,794,867,000","65,229,136,120","-200,218,901,000","167,094,296,000","-253,575,652,000","120,689,108,240","144,989,621,000","-177,992,536,000","91,643,596,000","53,960,462,050","20,178,318,000","-72,419,481,000","-312,496,419,000","-120,441,696,070","-142,603,680,880","-48,750,442,600","-57,445,612,010","158,290,313,000","462,458,129,000","75,931,020,000","-303,283,695,000","89,291,569,000","-33,199,312,000","269,390,032,000","-75,298,345,000","151,675,604,000","-73,177,148,000","-22,464,708,000","-360,143,435,000"
	EffectOfExchangeRateChanges,"-13,781,416,640","10,383,804,180","-110,355,029,190","81,195,436,820","4,994,371,550","-5,334,299,030","-23,074,456,890","16,788,006,290","-19,890,058,860","4,849,201,070","-5,836,887,080","-13,006,598,350","49,282,557,020","-17,675,813,000","-6,974,378,800","-15,146,155,000","3,090,470,000","14,593,545,000","200,191,760","5,879,428,000","9,854,330,000","-11,223,610,000","-8,755,183,530","9,392,675,000","1,350,584,000","-4,296,814,000","-3,587,336,400","12,548,730,000","15,454,936,300","-5,717,911,300","1,788,709,540","-7,490,461,000","694,926,000","3,206,144,000","-15,841,368,750","-26,624,066,000","28,845,402,000","18,750,905,000","12,559,728,750","-5,852,928,000","12,801,716,000","-9,983,009,000","-28,558,809,280","52,635,289,000","17,071,775,000","-39,026,066,000","8,760,606,970","-2,222,185,240","-7,514,253,960","2,792,510,520",,,,,,,,,,,,
	BeginningCashPosition,"1,551,339,942,040","2,325,692,348,380","1,823,695,462,720","1,837,329,650,890","1,551,339,942,040","1,545,974,321,800","1,337,341,226,740","1,521,816,102,160","1,323,713,486,760","1,156,295,420,680","965,238,912,950","1,385,275,729,700","1,374,456,338,000","1,516,585,547,000","1,790,008,008,000","1,222,989,041,000","865,638,074,000","1,209,015,664,000","777,050,412,000","1,020,539,587,000","1,002,395,273,000","1,011,701,875,000","1,047,648,661,000","1,038,384,056,000","947,005,182,000","1,287,968,374,000","1,106,191,659,000","533,020,950,000","444,431,329,000","627,528,154,780","843,148,003,000","795,988,812,000","632,587,359,000","730,176,083,000","680,788,316,000","907,631,283,000","711,691,586,000","946,516,332,000","813,267,495,000","674,130,802,000","839,321,622,000","757,661,035,000","732,259,382,000","659,445,775,000","714,793,482,000","1,066,315,966,000","1,177,997,055,410","1,322,822,921,530","1,379,087,618,090","1,433,740,719,580","888,861,071,000","426,402,943,000","350,471,923,000","653,755,618,000","564,464,049,000","597,663,362,000","328,273,328,000","403,571,675,000","251,620,332,000","324,797,480,000","347,262,189,000","707,405,624,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,"10","0",,,,,,,,,,"0","1,000",,,"0","-1,000","1,010",,,"-480","-990","0","2,000","-1,000",,,,"1,000",,,,,,,,"1,000",,,,,,,,,,,,"-2,000",,"0",,
CapitalExpenditure,"-2,729,375,781,900","-729,610,780,150","-589,185,607,410","-831,779,375,200","-578,800,019,140","-257,245,178,500","-478,178,398,280","-515,601,578,380","-343,226,580,060","-395,563,326,340","-370,579,302,480","-608,069,856,830","-435,290,069,150","-489,480,377,000","-796,601,781,470","-580,123,315,000","-383,598,738,000","-398,997,592,000","-159,371,376,620","-218,700,581,000","-275,711,831,000","-341,301,611,000","-250,897,770,260","-71,589,290,000","-352,355,347,000","-166,800,698,000","-231,478,801,760","-185,469,710,000","-135,336,329,280","-189,706,889,720","-130,221,444,350","-139,187,712,000","-109,895,114,000","-99,768,156,000","-73,927,246,580","-130,841,354,000","-205,433,163,000","-258,123,383,000","-157,712,991,610","-89,990,900,000","-95,072,684,000","-116,944,406,000","-103,181,950,300","-88,051,150,000","-164,912,262,000","-102,384,061,000","-188,070,061,380","-96,447,585,760","-63,768,049,040","-51,415,725,520","-29,475,024,000","-37,988,368,000","-40,817,621,000","-47,911,603,000","-109,360,045,000","-137,602,601,000","-113,190,725,000","-54,486,555,000","-57,464,232,000","-128,818,923,000","-119,319,236,000","-239,254,660,000"
