name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
TotalAssets,"64,417,455,000,000","51,135,302,000,000","49,821,983,000,000","46,735,009,000,000","44,712,807,000,000","41,388,894,000,000","40,018,869,000,000","38,576,295,000,000","37,121,128,000,000","34,024,426,000,000","33,530,759,000,000","32,435,547,000,000","31,212,285,000,000","28,944,137,000,000","28,419,260,000,000","27,399,282,000,000","26,415,499,000,000","25,041,221,000,000","23,707,550,000,000","22,671,119,000,000","22,171,179,000,000","20,487,060,000,000","20,039,691,000,000","19,826,108,000,000","18,860,285,000,000","18,578,728,000,000","18,447,273,000,000","18,346,326,000,000","18,147,563,000,000","18,127,646,000,000","18,261,690,000,000","17,664,191,000,000","18,288,116,000,000","17,446,464,000,000","17,598,290,000,000","17,958,966,000,000","17,510,808,000,000","16,581,153,000,000","16,920,082,000,000","15,971,865,000,000","16,390,680,000,000","15,285,554,000,000","14,941,129,000,000","14,207,091,000,000","13,926,650,000,000","12,673,459,000,000","12,054,390,000,000","11,990,828,000,000","11,255,761,000,000","8,358,827,000,000","8,265,770,000,000","7,677,455,000,000","8,622,625,000,000","8,036,382,000,000","8,510,640,000,000","7,614,912,000,000","7,215,960,000,000","7,049,952,000,000","6,241,299,000,000","6,079,910,000,000","5,942,410,000,000"
	CurrentAssets,"32,764,672,000,000","20,413,820,000,000","20,536,763,000,000","19,116,233,000,000","18,948,179,000,000","16,319,700,000,000","15,878,151,000,000","14,975,511,000,000","13,994,426,000,000","11,869,724,000,000","12,860,159,000,000","13,301,187,000,000","13,198,237,000,000","12,088,512,000,000","13,437,690,000,000","12,627,018,000,000","12,253,647,000,000","11,205,581,000,000","10,745,964,000,000","9,950,070,000,000","9,648,969,000,000","9,226,934,000,000","9,276,307,000,000","8,959,964,000,000","8,945,077,000,000","8,655,605,000,000","8,413,916,000,000","8,180,030,000,000","8,092,128,000,000","8,146,821,000,000","8,569,406,000,000","8,101,903,000,000","8,866,491,000,000","8,031,617,000,000","8,219,822,000,000","8,491,570,000,000","8,252,399,000,000","7,452,938,000,000","8,010,465,000,000","7,288,578,000,000","8,046,901,000,000","7,256,212,000,000","7,393,121,000,000","7,089,797,000,000","7,211,777,000,000","6,291,677,000,000","6,121,015,000,000","6,252,806,000,000","5,782,743,000,000","3,641,669,000,000","3,659,447,000,000","3,104,296,000,000","3,642,844,000,000","3,277,484,000,000","3,791,403,000,000","3,207,845,000,000","2,988,238,000,000","2,838,650,000,000","2,219,115,000,000","2,078,817,000,000","2,019,941,000,000"
		CashCashEquivalentsAndShortTermInvestments,"14,205,543,000,000","3,825,417,000,000","4,343,469,000,000","4,197,667,000,000","5,275,048,000,000","3,882,289,000,000","3,554,051,000,000","3,367,425,000,000","2,797,426,000,000","1,921,146,000,000","2,085,164,000,000","2,666,979,000,000","3,121,641,000,000","2,556,604,000,000","3,333,089,000,000","2,830,099,000,000","3,131,769,000,000","2,779,042,000,000","2,400,218,000,000","2,112,736,000,000","1,924,767,000,000","2,228,365,000,000","2,891,653,000,000","2,662,584,000,000","3,175,234,000,000","2,705,998,000,000","2,171,720,000,000","2,112,168,000,000","2,284,682,000,000","1,768,505,000,000","2,086,472,000,000","1,879,247,000,000","2,174,926,000,000","1,927,980,000,000","1,975,236,000,000","2,072,099,000,000","1,916,144,000,000","1,363,383,000,000","1,818,690,000,000","951,739,000,000","1,830,870,000,000","1,391,856,000,000","1,174,918,000,000","991,314,000,000","1,634,668,000,000","1,375,829,000,000","1,253,525,000,000","1,055,568,000,000","1,131,204,000,000",,"901,593,000,000","646,230,000,000","968,689,000,000",,"409,154,000,000","252,886,000,000","326,170,000,000",,"133,508,000,000","140,374,000,000","204,969,000,000"
			CashAndCashEquivalents,"9,052,010,000,000","3,760,834,000,000","4,279,041,000,000","4,188,541,000,000","5,058,435,000,000","3,274,250,000,000","3,539,014,000,000","3,363,343,000,000","2,767,390,000,000","1,888,631,000,000","2,054,796,000,000","2,631,013,000,000","3,098,413,000,000","2,513,702,000,000","3,066,867,000,000","2,351,721,000,000","2,916,612,000,000","2,249,341,000,000","1,780,623,000,000","1,729,938,000,000","1,491,895,000,000","1,474,367,000,000","1,896,079,000,000","1,717,576,000,000","2,234,599,000,000","1,704,918,000,000","1,246,564,000,000","1,197,241,000,000","1,417,600,000,000","988,016,000,000","1,266,308,000,000","1,228,747,000,000","1,517,401,000,000","1,399,054,000,000","1,502,133,000,000","1,584,272,000,000","1,556,902,000,000","720,767,000,000","1,301,961,000,000","931,717,000,000","1,813,483,000,000","1,379,379,000,000","1,161,666,000,000","989,970,000,000","1,621,927,000,000","1,368,034,000,000","1,251,214,000,000","1,042,506,000,000","1,119,851,000,000","862,585,000,000","901,593,000,000","646,230,000,000","968,689,000,000","373,300,000,000","409,154,000,000","252,886,000,000","326,170,000,000","466,438,000,000","127,132,000,000","134,018,000,000","198,636,000,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,"292,525,000,000","272,824,000,000","25,264,000,000",,,,,,,,,,,,,,,,"58,392,000,000","391,376,000,000",,,,,,,,,,,,,,,,,
				CashEquivalents,"9,052,010,000,000","3,760,834,000,000","4,279,041,000,000","4,188,541,000,000","5,058,435,000,000","3,274,250,000,000","3,539,014,000,000","3,363,343,000,000","2,767,390,000,000","1,888,631,000,000","2,054,796,000,000","2,631,013,000,000","3,098,413,000,000","2,513,702,000,000","3,066,867,000,000","2,351,721,000,000","2,916,612,000,000","2,249,341,000,000","1,780,623,000,000","1,729,938,000,000","1,491,895,000,000","1,474,367,000,000","1,896,079,000,000","1,717,576,000,000","1,942,074,000,000","1,432,094,000,000","1,246,564,000,000","1,197,241,000,000","1,417,600,000,000","988,016,000,000","1,266,308,000,000","1,228,747,000,000","1,517,401,000,000","1,399,054,000,000","1,502,133,000,000","1,584,272,000,000","1,556,902,000,000","720,767,000,000","1,301,961,000,000","931,717,000,000","1,813,483,000,000","1,379,379,000,000","1,161,666,000,000","598,594,000,000","1,621,927,000,000","1,368,034,000,000","1,251,214,000,000","1,042,506,000,000","1,119,851,000,000",,"901,593,000,000","646,230,000,000","968,689,000,000",,"409,154,000,000","252,886,000,000","326,170,000,000",,"127,132,000,000","134,018,000,000","198,636,000,000"
			OtherShortTermInvestments,"5,153,533,000,000","64,583,000,000","64,428,000,000","9,126,000,000","216,613,000,000","608,039,000,000","15,037,000,000","4,082,000,000","30,036,000,000","32,515,000,000","30,368,000,000","35,966,000,000","23,228,000,000","42,902,000,000","266,222,000,000","478,378,000,000","215,157,000,000","529,701,000,000","619,595,000,000","382,798,000,000","432,872,000,000","753,998,000,000","995,574,000,000","945,008,000,000","940,635,000,000","1,001,080,000,000","925,156,000,000","914,927,000,000","867,082,000,000","780,489,000,000","820,164,000,000","650,500,000,000","657,525,000,000","528,926,000,000","473,103,000,000","487,827,000,000","359,242,000,000","642,616,000,000","516,729,000,000","20,022,000,000","17,387,000,000","12,477,000,000","13,252,000,000","1,344,000,000","12,741,000,000","7,795,000,000","2,311,000,000","13,062,000,000","11,353,000,000","100,000,000,000",,,,"148,300,000,000",,,,"106,412,000,000","6,376,000,000","6,356,000,000","6,333,000,000"
		Inventory,"9,311,896,000,000","8,283,474,000,000","7,986,017,000,000","6,876,281,000,000","5,890,122,000,000","5,349,688,000,000","4,928,061,000,000","4,752,907,000,000","5,335,154,000,000","5,033,721,000,000","4,976,684,000,000","4,770,886,000,000","4,503,269,000,000","4,289,463,000,000","4,403,535,000,000","3,949,709,000,000","3,783,786,000,000","3,352,454,000,000","3,187,314,000,000","3,085,742,000,000","3,249,779,000,000","2,965,191,000,000","2,717,069,000,000","2,656,837,000,000","2,284,731,000,000","2,338,553,000,000","2,470,848,000,000","2,391,944,000,000","2,300,071,000,000","2,711,188,000,000","2,839,051,000,000","2,553,321,000,000","2,780,498,000,000","2,564,031,000,000","2,491,111,000,000","2,528,951,000,000","2,605,095,000,000","2,627,930,000,000","2,571,966,000,000","2,654,330,000,000","2,617,236,000,000","2,475,233,000,000","2,529,201,000,000","2,624,734,000,000","2,306,939,000,000","2,182,484,000,000","1,993,519,000,000","1,961,348,000,000","1,716,848,000,000","1,340,931,000,000","1,263,526,000,000","1,133,528,000,000","1,247,360,000,000","1,508,938,000,000","1,649,012,000,000","1,290,167,000,000","1,154,012,000,000","1,167,837,000,000","928,809,000,000","924,213,000,000","854,818,000,000"
			RawMaterials,"2,615,793,000,000","2,306,919,000,000","2,071,754,000,000","1,847,553,000,000","1,641,908,000,000","1,466,358,000,000","1,407,382,000,000","1,469,091,000,000","1,433,916,000,000","1,391,016,000,000","1,441,790,000,000","1,422,068,000,000","1,317,531,000,000","1,265,690,000,000","1,263,756,000,000","1,177,102,000,000","1,126,443,000,000","1,033,478,000,000","1,031,822,000,000","994,987,000,000","1,012,718,000,000","936,569,000,000","897,636,000,000","864,257,000,000","745,656,000,000","758,375,000,000","774,753,000,000","796,541,000,000","706,146,000,000","826,820,000,000","826,978,000,000","787,173,000,000","831,346,000,000","799,179,000,000","820,578,000,000","799,837,000,000","820,422,000,000","841,471,000,000","791,847,000,000","809,337,000,000","768,717,000,000","706,116,000,000","782,952,000,000","828,171,000,000","724,398,000,000","631,856,000,000","644,714,000,000","636,185,000,000",,"427,545,000,000","405,412,000,000","394,185,000,000","391,495,000,000","393,275,000,000","503,460,000,000","395,446,000,000","365,615,000,000","391,917,000,000","273,829,000,000","297,343,000,000","242,792,000,000"
			WorkInProcess,"27,826,000,000","25,587,000,000","22,069,000,000","22,486,000,000","18,743,000,000","23,570,000,000","13,986,000,000","17,661,000,000","17,955,000,000","11,561,000,000","16,050,000,000","20,601,000,000","20,381,000,000","15,530,000,000","11,264,000,000","13,748,000,000","13,190,000,000","9,852,000,000","11,669,000,000","14,902,000,000","13,724,000,000","785,000,000","602,021,000,000","556,953,000,000","446,990,000,000","416,710,000,000","432,530,000,000","410,422,000,000","403,202,000,000","430,973,000,000","415,729,000,000","376,734,000,000","398,659,000,000","374,023,000,000","359,906,000,000","334,349,000,000","345,566,000,000","363,000,000","344,079,000,000","352,713,000,000","346,606,000,000","320,865,000,000","320,531,000,000","327,013,000,000","307,935,000,000","269,927,000,000","287,391,000,000","269,421,000,000",,"171,288,000,000","199,649,000,000","191,269,000,000","199,613,000,000","178,072,000,000","192,437,000,000","156,456,000,000","144,717,000,000","141,239,000,000","132,937,000,000","136,899,000,000","127,303,000,000"
