name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
TotalRevenue,"44,618,100,000,000","11,608,071,000,000","10,948,697,000,000","10,610,153,000,000","11,456,142,000,000","9,650,032,000,000","8,904,869,000,000","7,507,281,000,000","6,935,191,000,000","7,115,729,000,000","7,461,222,000,000","7,347,303,000,000","7,177,444,000,000","6,639,073,000,000","7,342,712,000,000","7,234,858,000,000","7,051,853,000,000","6,553,590,000,000","6,432,202,000,000","6,397,083,000,000","6,382,062,000,000","6,486,668,000,000","5,511,696,000,000","5,054,278,000,000","5,219,229,000,000","4,874,092,000,000","5,040,590,000,000","5,177,749,000,000","5,073,222,000,000","4,915,022,000,000","5,372,303,000,000","5,663,948,000,000","5,868,763,000,000","5,672,816,000,000","5,640,637,000,000","5,865,132,000,000","5,917,239,000,000","5,720,604,000,000","5,680,813,000,000","5,833,516,000,000","5,995,619,000,000","5,753,070,000,000","5,598,854,000,000","5,885,891,000,000","5,699,963,000,000","5,490,886,000,000","4,998,913,000,000","5,021,386,000,000","5,028,046,000,000","4,423,105,000,000","3,563,007,000,000","3,797,697,000,000","3,401,784,000,000","2,932,027,000,000","1,394,106,000,000","4,064,817,000,000","3,737,993,000,000","3,448,084,000,000","3,003,756,000,000","2,766,613,000,000","2,644,917,000,000","2,380,735,000,000"
	OperatingRevenue,"44,618,100,000,000","11,608,071,000,000","10,948,697,000,000","10,610,153,000,000","11,456,142,000,000","9,650,032,000,000","8,904,869,000,000","7,507,281,000,000","6,935,191,000,000","7,115,729,000,000","7,461,222,000,000","7,347,303,000,000","7,177,444,000,000","6,639,073,000,000","7,342,712,000,000","7,234,858,000,000","7,051,853,000,000","6,553,590,000,000","6,432,202,000,000","6,397,083,000,000","6,382,062,000,000","6,486,668,000,000","5,511,696,000,000","5,054,278,000,000","5,219,229,000,000","4,874,092,000,000","5,040,590,000,000","5,177,749,000,000","5,073,222,000,000","4,915,022,000,000","5,372,303,000,000","5,663,948,000,000","5,868,763,000,000","5,672,816,000,000","5,640,637,000,000","5,865,132,000,000","5,917,239,000,000","5,720,604,000,000","5,680,813,000,000","5,833,516,000,000","5,995,619,000,000","5,753,070,000,000","5,598,854,000,000","5,885,891,000,000","5,699,963,000,000","5,490,886,000,000","4,998,913,000,000","5,021,386,000,000","5,028,046,000,000","4,423,105,000,000","3,563,007,000,000","3,797,697,000,000","3,401,784,000,000","2,932,027,000,000","1,394,106,000,000","4,064,817,000,000","3,737,993,000,000","3,448,084,000,000","3,003,756,000,000","2,766,613,000,000","2,644,917,000,000","2,380,735,000,000"
CostOfRevenue,"33,360,277,000,000","9,110,372,000,000","8,683,683,000,000","7,960,597,000,000","7,611,233,000,000","7,192,705,000,000","7,011,570,000,000","5,711,165,000,000","5,421,815,000,000","5,960,696,000,000","6,186,234,000,000","6,094,464,000,000","6,029,442,000,000","5,469,095,000,000","6,176,964,000,000","5,867,550,000,000","5,580,273,000,000","5,212,029,000,000","5,110,097,000,000","4,940,129,000,000","5,011,211,000,000","5,073,053,000,000","4,489,521,000,000","4,091,441,000,000","4,074,378,000,000","3,939,719,000,000","4,211,996,000,000","4,159,918,000,000","4,047,657,000,000","4,120,970,000,000","4,688,296,000,000","4,896,640,000,000","5,078,851,000,000","4,910,153,000,000","4,928,575,000,000","4,951,767,000,000","5,006,627,000,000","4,947,704,000,000","4,959,792,000,000","4,877,198,000,000","5,134,765,000,000","4,983,320,000,000","4,754,656,000,000","4,855,249,000,000","4,622,718,000,000","4,362,239,000,000","4,075,668,000,000","3,954,333,000,000","3,915,605,000,000","3,526,993,000,000","2,995,425,000,000","2,928,763,000,000","2,631,529,000,000","2,320,235,000,000","1,422,144,000,000","3,324,032,000,000","2,962,575,000,000","2,796,791,000,000","2,501,179,000,000","2,251,834,000,000","2,215,293,000,000","2,014,363,000,000"
GrossProfit,"11,257,823,000,000","2,497,699,000,000","2,265,014,000,000","2,649,556,000,000","3,844,909,000,000","2,457,327,000,000","1,893,299,000,000","1,796,116,000,000","1,513,376,000,000","1,155,033,000,000","1,274,988,000,000","1,252,839,000,000","1,148,002,000,000","1,169,978,000,000","1,165,748,000,000","1,367,308,000,000","1,471,580,000,000","1,341,561,000,000","1,322,105,000,000","1,456,954,000,000","1,370,851,000,000","1,413,615,000,000","1,022,175,000,000","962,837,000,000","1,144,851,000,000","934,373,000,000","828,594,000,000","1,017,831,000,000","1,025,565,000,000","794,052,000,000","684,007,000,000","767,308,000,000","789,912,000,000","762,663,000,000","712,062,000,000","913,365,000,000","910,612,000,000","772,900,000,000","721,021,000,000","956,318,000,000","860,854,000,000","769,750,000,000","844,198,000,000","1,030,642,000,000","1,077,245,000,000","1,128,647,000,000","923,245,000,000","1,067,053,000,000","1,112,441,000,000","896,112,000,000",,"868,934,000,000","770,255,000,000","611,792,000,000",,"740,785,000,000","775,418,000,000","651,293,000,000",,"514,779,000,000","429,624,000,000","366,372,000,000"
OperatingExpense,"6,617,581,000,000","1,473,439,000,000","1,516,598,000,000","1,922,951,000,000","1,705,101,000,000","1,049,183,000,000","1,774,722,000,000","894,032,000,000","941,734,000,000","918,575,000,000","1,302,496,000,000","872,565,000,000","880,487,000,000","894,611,000,000","876,189,000,000","764,929,000,000","768,289,000,000","690,720,000,000","707,124,000,000","667,256,000,000","643,981,000,000","616,707,000,000","560,451,000,000","502,840,000,000","532,398,000,000","476,628,000,000","476,587,000,000","471,513,000,000","462,124,000,000","432,250,000,000","452,428,000,000","409,855,000,000","430,278,000,000","400,568,000,000","395,700,000,000","397,115,000,000","409,094,000,000","363,984,000,000","374,222,000,000","347,444,000,000","355,755,000,000","320,164,000,000","329,264,000,000","307,896,000,000","294,957,000,000","293,633,000,000","336,718,000,000","286,508,000,000","277,969,000,000","246,450,000,000",,"213,068,000,000","207,224,000,000","195,297,000,000",,"297,876,000,000","294,025,000,000","272,503,000,000",,"262,263,000,000","266,734,000,000","239,454,000,000"
	SellingGeneralAndAdministration,"4,246,919,000,000","860,801,000,000","890,161,000,000","1,344,380,000,000","1,151,800,000,000","578,631,000,000","1,326,107,000,000","443,348,000,000","494,339,000,000","498,595,000,000","851,754,000,000","491,988,000,000","461,277,000,000","497,430,000,000","493,434,000,000","412,243,000,000","408,528,000,000","364,951,000,000","387,992,000,000","360,313,000,000","342,837,000,000","319,634,000,000","305,545,000,000","283,177,000,000","285,809,000,000","265,006,000,000","278,029,000,000","264,849,000,000","262,286,000,000","247,218,000,000","294,430,000,000","276,290,000,000","274,848,000,000","259,573,000,000","282,625,000,000","271,746,000,000","271,681,000,000","243,754,000,000","259,785,000,000","245,859,000,000","250,889,000,000","221,819,000,000","237,814,000,000","217,782,000,000","218,367,000,000","206,077,000,000","282,227,000,000","193,473,000,000","188,506,000,000","162,394,000,000","127,839,000,000","142,855,000,000","136,328,000,000","132,178,000,000","-29,437,000,000","200,635,000,000","188,569,000,000","177,884,000,000","156,637,000,000","163,170,000,000","161,698,000,000","147,475,000,000"
		GeneralAndAdministrativeExpense,"2,061,082,000,000","193,640,000,000","286,097,000,000","848,093,000,000","733,328,000,000","187,882,000,000","969,385,000,000","143,117,000,000","165,576,000,000","135,434,000,000","499,031,000,000","171,715,000,000","176,742,000,000","233,342,000,000","193,372,000,000","152,173,000,000","146,403,000,000","126,119,000,000","132,486,000,000","123,272,000,000","109,473,000,000","101,252,000,000","105,360,000,000","93,326,000,000","90,927,000,000","82,193,000,000","87,014,000,000","85,395,000,000","81,450,000,000","69,724,000,000","115,121,000,000","106,244,000,000","99,423,000,000","94,024,000,000","110,556,000,000","103,482,000,000","102,650,000,000","91,085,000,000","111,011,000,000","89,737,000,000","94,783,000,000","83,026,000,000","94,522,000,000","80,224,000,000","85,030,000,000","77,832,000,000","139,767,000,000","51,357,000,000","50,865,000,000","46,178,000,000","10,187,000,000","38,179,000,000","32,521,000,000","31,524,000,000","-6,247,000,000","49,798,000,000","47,657,000,000","47,669,000,000","14,609,000,000","42,010,000,000","42,730,000,000","39,390,000,000"
		SellingAndMarketingExpense,"2,185,837,000,000","667,161,000,000","604,064,000,000","496,287,000,000","418,472,000,000","390,749,000,000","356,722,000,000","300,231,000,000","328,763,000,000","363,161,000,000","352,723,000,000","320,273,000,000","284,535,000,000","264,088,000,000","300,062,000,000","260,070,000,000","262,125,000,000","238,832,000,000","255,506,000,000","237,041,000,000","233,364,000,000","218,382,000,000","200,185,000,000","189,851,000,000","194,882,000,000","182,813,000,000","191,015,000,000","179,454,000,000","180,836,000,000","177,494,000,000","179,309,000,000","170,046,000,000","175,425,000,000","165,549,000,000","172,069,000,000","168,264,000,000","169,031,000,000","152,669,000,000","148,774,000,000","156,122,000,000","156,106,000,000","138,793,000,000","143,292,000,000","137,558,000,000","133,337,000,000","128,245,000,000","142,460,000,000","142,116,000,000","137,641,000,000","116,216,000,000","117,652,000,000","104,676,000,000","103,807,000,000","100,654,000,000","-23,190,000,000","150,837,000,000","140,912,000,000","130,215,000,000","142,028,000,000","121,160,000,000","118,968,000,000","108,085,000,000"
	ResearchAndDevelopment,"262,161,000,000","57,880,000,000","75,429,000,000","68,097,000,000","60,754,000,000","50,869,000,000","54,166,000,000","50,214,000,000","59,664,000,000","53,951,000,000","82,860,000,000","54,652,000,000","58,440,000,000","46,666,000,000","51,443,000,000","45,233,000,000","50,244,000,000","39,365,000,000","45,925,000,000","39,670,000,000","33,337,000,000","27,712,000,000","34,854,000,000","41,120,000,000","28,654,000,000","21,348,000,000","25,345,000,000","22,800,000,000","20,057,000,000","16,699,000,000",,,,,,,,,,,,,,,,,,"15,173,000,000","14,096,000,000","13,466,000,000",,"9,924,000,000","9,421,000,000","6,351,000,000",,"9,568,000,000","9,366,000,000","7,753,000,000",,"6,536,000,000","8,679,000,000","7,136,000,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,"102,548,000,000","93,846,000,000","82,928,000,000","76,267,000,000","80,302,000,000","68,971,000,000","68,519,000,000","61,426,000,000","65,023,000,000","65,169,000,000","62,652,000,000","51,901,000,000","96,546,000,000",,"81,493,000,000","76,461,000,000","92,573,000,000","85,159,000,000","83,695,000,000","73,882,000,000","94,690,000,000","1,520,000,000","654,000,000","1,401,000,000","2,923,000,000","893,000,000","2,736,000,000","590,000,000","19,635,000,000","910,000,000","1,991,000,000","1,028,000,000","43,531,000,000","32,000,000","253,000,000","483,000,000","-8,123,000,000","1,845,000,000","329,000,000","1,780,000,000","38,208,000,000","1,148,000,000","299,000,000",
