name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,06/30/2017
TotalAssets,"376,255,651,900","307,666,860,900","249,151,796,229.37","207,783,497,819.91","173,328,904,927.36","156,618,426,940.59","137,768,858,254.52","100,037,103,426.95","101,436,464,896.65","101,351,976,711.32","96,311,356,658.95","89,888,631,586.99","84,101,272,459.52","73,883,704,016.51","63,790,614,595.48","55,443,992,871.36","47,823,235,529.37","49,662,885,758.45","40,883,616,374.7"
	CurrentAssets,"222,276,559,600","177,734,938,700","149,294,839,099.23","132,996,356,932.87","120,622,316,843.24","112,864,989,321.68","101,740,472,119.2","68,130,152,338.81","71,654,624,828.61","71,694,937,173.28","68,689,001,550.95","63,881,882,652.5","60,520,697,494.05","53,911,422,755.37","45,173,587,344.33","37,691,162,710.81","30,651,507,998.01","33,033,102,914.27","26,689,382,296.28"
		CashCashEquivalentsAndShortTermInvestments,"102,224,782,900","90,435,862,600","82,489,126,999.11","76,901,549,012.85","73,451,685,647.91","71,712,187,566.28","68,404,422,791.91","38,445,341,295.36","38,479,105,935.31","33,659,220,919.44","33,640,149,595.99","32,615,466,370.73","32,262,851,522.9","27,731,189,739.92","23,009,873,374.81","17,800,002,418.59","9,676,141,216.63","14,080,936,626.3","1,817,625,421.27"
			CashAndCashEquivalents,"100,289,630,900","89,071,889,700","80,735,121,590.38","74,686,697,280.12","71,677,310,067","68,424,116,053.67","66,437,209,386.46","37,571,034,186.03","37,110,260,152.45","32,269,635,327.07","33,352,339,595.99","32,556,486,370.73","32,224,951,522.9","27,731,189,739.92","23,009,873,374.81","17,800,002,418.59","9,676,141,216.63","14,080,936,626.3","1,817,625,421.27"
				CashFinancial,,"76,393,724,000",,"67,726,466,436.27",,"63,678,260,783.57",,"34,328,014,861.42",,"27,368,275,114.95",,"28,026,766,925.54",,"24,650,654,649.03",,"16,371,517,555.69",,"12,039,904,759.83",
				CashEquivalents,,"12,678,165,700",,"6,960,230,843.85",,"4,745,855,270.1",,"3,243,019,324.61",,"4,901,360,212.12",,"4,529,719,445.19",,"3,080,535,090.89",,"1,428,484,862.9",,"2,041,031,866.47",
			OtherShortTermInvestments,"1,935,152,000","1,363,972,900","1,754,005,408.73","2,214,851,732.73","1,774,375,580.91","3,288,071,512.61","1,967,213,405.45","874,307,109.33","1,368,845,782.86","1,389,585,592.37","287,810,000","58,980,000","37,900,000",,,,,,
		Inventory,"61,578,271,700","40,199,691,900","34,961,665,056.94","24,165,705,805.13","17,194,779,915.91","13,224,640,950.39","9,346,975,874.54","9,120,702,363.9","10,193,303,476.8","11,480,549,879.88","10,005,326,799.83","9,623,692,125.75","7,686,537,622.67","7,076,101,849.47","5,286,472,060.07","4,919,942,324.71","4,113,040,896.1","3,417,757,092.32","3,955,037,968.76"
			RawMaterials,,"931,773.81",,"4,819,446,915.64",,"2,653,320,197.81",,"1,734,021,132.06",,"2,828,517,164.88",,"1,299,798,749.83",,"1,035,774,409.31",,"592,897,650.61",,"1,003,685,556.53",
			WorkInProcess,,"453,425.65",,"2,841,776,010.12",,"1,872,203,436.62",,"1,085,805,597.94",,"1,115,596,002.04",,"1,172,333,072.61",,"854,735,581.95",,"628,642,420.64",,"254,428,581.79",
