name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017
CashFlowsfromusedinOperatingActivitiesDirect,"39,017,024,500","7,075,886,400","14,221,770,147.45","2,944,178,865.97","14,775,189,135.03","10,966,870,551.55","8,123,977,849.87","4,479,371,892.75","2,679,802,573.66","3,146,750,315.68","3,147,025,015.96","3,048,626,632.09","2,299,451,707.5","4,976,851,201.25","5,712,835,020.25","4,545,104,577.32","4,328,160,587.37","-3,269,834,484.41","4,074,112,784.47","-1,113,720,455.03","-813,377,723.42","193,733,604.23"
	ClassesofCashReceiptsfromOperatingActivities,"179,348,446,300","55,770,082,600","53,506,262,210.01","36,224,900,042.27","33,847,201,489.77","21,336,761,157.95","19,203,808,589.65","14,741,024,765.1","12,563,412,615.65","13,892,078,472.2","16,101,125,296.19","14,190,777,044.84","12,320,369,390.61","13,300,050,997.98","14,352,990,820.34","9,865,487,234.67","9,136,379,026.68","2,773,165,893.12","8,630,189,377.42","3,834,337,636.43","3,170,525,112.57","3,767,033,282.08"
		ReceiptsfromCustomers,"163,888,766,200","52,971,346,200","46,989,829,322.73","32,541,721,555.91","31,385,869,076.86","19,699,155,644.5","17,631,789,008.26","12,354,535,623","11,766,211,747.93","12,250,452,196.35","14,112,717,852.18","13,197,456,950.41","11,960,350,978.54","12,878,552,646.43","12,783,528,169.58","9,720,866,121.96","8,787,594,140.63","2,561,651,184.82","8,539,777,910.92","3,631,941,632.4","3,296,661,177.86","3,404,527,894.74"
		OtherCashReceiptsfromOperatingActivities,"15,459,680,100","2,798,736,400","6,516,432,887.28","3,683,178,486.36","2,461,332,412.91","1,637,605,513.45","1,572,019,581.39","2,386,489,142.1","797,200,867.72","1,641,626,275.85","1,988,407,444.01","993,320,094.43","360,018,412.07","421,498,351.55","1,569,462,650.76","144,621,112.71","348,784,886.05","211,514,708.3","90,411,466.5","202,396,004.03","-126,136,065.29","362,505,387.34"
	ClassesofCashPayments,"-135,863,765,500","-46,986,957,300","-38,516,070,843.05","-32,719,308,541.19","-17,641,428,767.4","-9,417,061,848.36","-10,597,597,623.4","-9,938,438,015.69","-9,383,097,426.98","-9,937,629,837.88","-12,830,163,905.96","-10,518,782,533.02","-9,175,878,379.52","-7,622,429,885.07","-7,777,676,853.77","-4,878,185,273.12","-4,484,438,697.92","-5,840,502,419.88","-4,038,731,497.4","-4,531,149,395.91","-3,671,507,454.77","-3,347,665,351.37"
		PaymentstoSuppliersforGoodsandServices,"-119,904,479,600","-40,822,552,900","-35,014,381,819.87","-29,819,725,681.17","-14,247,819,149.34","-7,311,949,649.62","-8,639,854,155.58","-8,633,773,682.42","-7,992,112,320.4","-8,196,211,578.47","-10,213,997,176.9","-9,345,192,530.14","-7,478,953,257.93","-6,221,938,005.9","-6,453,314,671.7","-3,848,272,012.9","-3,840,056,757.46","-4,899,971,184.88","-3,017,748,146.59","-3,659,024,978.38","-2,958,583,857.66","-2,722,235,315.54"
		PaymentsonBehalfofEmployees,"-11,707,870,800","-4,043,971,400","-2,851,611,541.55","-2,360,042,477.63","-2,452,245,407.31","-1,759,283,573.51","-1,204,487,272.76","-919,680,786.77","-1,000,059,094.84","-903,620,974.34","-1,092,850,138","-858,318,304.94","-1,004,200,610.44","-748,693,434.59","-745,641,106.03","-577,750,197.3","-524,908,434.95","-451,661,730.79","-674,697,360.91","-493,199,985.69","-584,887,301.39","-369,852,769.21"
		OtherCashPaymentsfromOperatingActivities,"-4,251,415,100","-2,120,433,000","-650,077,481.63","-539,540,382.39","-941,364,210.75","-345,828,625.23","-753,256,195.06","-384,983,546.5","-390,926,011.74","-837,797,285.07","-1,523,316,591.06","-315,271,697.94","-692,724,511.15","-651,798,444.58","-578,721,076.04","-452,163,062.92","-119,473,505.51","-488,869,504.21","-346,285,989.9","-378,924,431.84","-128,036,295.72","-255,577,266.62"
	TaxesRefundPaidDirect,"-4,467,656,300","-1,707,238,900","-768,421,219.51","-561,412,635.11","-1,430,583,587.34","-952,828,758.04","-482,233,116.38","-323,214,856.66","-500,512,615.01","-807,698,318.64","-123,936,374.27","-623,367,879.73","-845,039,303.59","-700,769,911.66","-862,478,946.32","-442,197,384.23","-323,779,741.39","-202,497,957.65","-517,345,095.55","-416,908,695.55","-312,395,381.22","-225,634,326.48"
OperatingCashFlow,,,,,,,,,,,,,,,,,"4,328,160,587.37","-3,269,834,484.41",,,"-813,377,704.23","193,733,604.23"
InvestingCashFlow,"-61,432,884,900","-16,465,251,700","-17,225,575,230.95","-11,428,680,877.54","-16,313,377,042.04","-8,813,426,249.47","-6,472,439,173.66","-6,052,147,944.31","-1,137,963,905.79","-1,389,905,142.79","-5,423,527,054.79","9,335,886,386.57","650,960,364.72","-2,707,004,444.65","-5,140,852,968.44","-5,383,056,557.27","-11,364,435,434.11","2,400,671,786.96","-3,393,001,304.68","1,276,184,163.15","-1,391,162,691.95","-4,127,833,894.85"
