name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017
TotalRevenue,"159,867,530,300","48,678,419,100","56,994,250,877.8","29,286,984,893.04","24,907,875,405.64","19,166,685,223.52","18,797,006,767.23","12,693,027,797","9,798,659,080.51","9,030,794,052.46","12,932,314,106.33","12,591,862,365.64","10,281,988,504.06","9,981,855,666.38","10,475,341,673.85","9,776,343,092.25","5,647,939,437.35","3,711,641,230.77","8,025,960,906.88","5,676,204,750.45","4,840,309,457.16","1,454,385,691.84"
	OperatingRevenue,"159,867,530,300","48,678,419,100","56,994,250,877.8","29,286,984,893.04","24,907,875,405.64","19,166,685,223.52","18,797,006,767.23","12,693,027,797","9,798,659,080.51","9,030,794,052.46","12,932,314,106.33","12,591,862,365.64","10,281,988,504.06","9,981,855,666.38","10,475,341,673.85","9,776,343,092.25","5,647,939,437.35","3,711,641,230.77","8,025,960,906.88","5,676,204,750.45","4,840,309,457.16","1,454,385,691.84"
CostOfRevenue,"123,783,191,700","41,627,574,200","42,914,690,365.29","21,117,296,627.89","18,123,630,533.21","13,938,104,773.61","13,465,699,786.81","9,166,336,663.27","6,952,251,656.56","6,764,865,485.58","9,181,355,031.75","9,074,678,483.45","7,110,592,193.02","7,116,134,804.4","6,751,806,349.89","6,718,911,262.54","3,935,926,141.73","2,495,640,398.99","5,042,523,006.09","3,763,061,221.25","3,029,343,586.14","905,259,335.22"
GrossProfit,"36,084,338,600","7,050,844,900","14,079,560,512.51","8,169,688,265.15","6,784,244,872.43","5,228,580,449.91","5,331,306,980.42","3,526,691,133.73","2,846,407,423.95","2,265,928,566.88","3,750,959,074.58","3,517,183,882.19","3,171,396,311.04","2,865,720,861.98","3,723,535,323.96","3,057,431,829.71","1,712,013,295.62","1,216,000,831.78","2,983,437,900.79","1,913,143,529.2","1,810,965,871.02","549,126,356.62"
OperatingExpense,"16,984,749,000","5,048,340,400","5,603,241,208.53","3,220,240,599.67","3,112,926,834.32","2,304,905,557.48","2,882,205,155.52","1,490,709,122.49","1,207,887,853.35","1,132,589,843.94","1,587,079,057.47","1,943,401,546.12","1,455,309,272.09","1,621,401,629.88","1,971,991,820.75","1,066,476,970.75","1,012,194,425.95","573,273,861.88","1,254,742,298.89","923,064,992.99","562,625,278.43","617,477,789.42"
	SellingGeneralAndAdministration,"6,464,667,000","2,779,432,200","239,210,974.33","2,969,218,408.63","476,805,383.67","1,408,913,133.37","204,130,127.61","853,508,367.74","223,033,855.71","765,313,786.25","-444,797,382.56","1,240,527,727.63","87,362,913.17","926,224,314.14","-136,581,054.26","779,787,830.91","-165,070,230.82","712,782,860.41","-265,284,924.3","618,998,473.15","815,171,901.47","613,066,804.97"
		GeneralAndAdministrativeExpense,"1,255,074,400","1,245,955,100","-1,500,655,703.99","1,934,436,544.87","-424,661,576.94","717,159,236.06","-711,507,884.03","344,576,931.83","-216,539,947.19","412,747,503.97","-1,123,821,335.13","567,071,778.69","-315,534,528.41","525,048,115.72","-668,573,445.56","381,707,179.73","-466,116,348.85","565,033,595.37","-556,889,296.87","384,843,387.95","620,407,764","538,433,567.86"
		SellingAndMarketingExpense,"5,209,592,600","1,533,477,100","1,739,866,678.32","1,034,781,863.76","901,466,960.61","691,753,897.31","915,638,011.64","508,931,435.91","439,573,802.9","352,566,282.28","679,023,952.57","673,455,948.94","402,897,441.58","401,176,198.42","531,992,391.3","398,080,651.18","301,046,118.03","147,749,265.04","291,604,372.57","234,155,085.2","194,764,137.47","74,633,237.11"
	ResearchAndDevelopment,"9,078,678,800","2,568,036,600","3,096,504,333.18","1,801,169,492.38","1,612,968,397.54","1,180,785,376.9","1,449,217,591.63","821,706,654.98","659,790,398.88","638,663,048.54","736,153,445.92","842,842,263.58","664,525,708.48","748,586,098.54","843,152,640.65","429,627,706.7","1,162,820,223.07","273,619,851.91","553,312,622.11","394,923,133.79",,
	OtherOperatingExpenses,"536,492,300","158,282,700","153,150,659.7","86,197,198.66","138,861,797.37","108,324,544.27","120,274,237.82","73,410,275.62","47,430,109.61","54,015,270.55","70,719,137.93","83,603,915.99","31,265,829.65","86,639,222.05","69,721,264.07","66,093,680.92","20,576,784.56","14,792,182.15","51,562,785.48","20,312,187.96","19,614,563.11","4,410,984.45"
OperatingIncome,"19,099,589,600","2,002,504,500","8,476,319,303.98","4,949,447,665.48","3,671,318,038.11","2,923,674,892.43","2,449,101,824.9","2,035,982,011.24","1,638,519,570.6","1,133,338,722.94","2,163,880,017.11","1,573,782,336.07","1,716,087,038.95","1,244,319,232.1","1,751,543,503.21","1,990,954,858.96","699,818,869.67","642,726,969.9","1,728,695,601.9","990,078,536.21","1,248,340,592.59","-68,351,432.8"
NetNonOperatingInterestIncomeExpense,"861,454,000","374,100","562,026,099.82","-86,437,150.85","385,490,994.98","199,348,756.05","139,326,111.17","289,309,516.46","223,449,980.77","139,684,257.75","125,504,418.91","204,550,776.13","285,390,829.88","110,462,345.72","109,249,854.53","127,738,077.23","43,542,104.42","-2,765,177.74","21,696,455.96","-9,563,505.84","-18,897,064.85","-29,237,196.09"
	InterestIncomeNonOperating,"2,472,699,400","661,516,300","756,510,028.35","496,563,736.56","558,109,326.8","512,078,908.29","423,852,336.87","447,015,867.36","319,200,711.65","304,532,042.79","249,909,167.44","295,355,870.26","277,921,011.86","255,070,916.72","196,398,315.04","162,917,584.96",,,"67,910,705.77","20,655,781.67",,
	InterestExpenseNonOperating,"1,432,839,500","488,026,200","439,419,808.64","269,321,523.26","236,071,923.11","216,287,144.99","253,566,452.65","130,179,815.1","140,483,548.61","116,204,500.18","97,131,811.4","72,176,871.04","61,282,915.65","58,662,867.4","47,088,439.37","77,033,983.85","152,309,785.24","2,765,177.74","38,411,160.71","27,308,465.7","18,897,064.85","29,237,196.09"
	TotalOtherFinanceCost,"178,405,900","173,116,000","-244,935,880.11","313,679,364.15","-63,453,591.29","96,443,007.25","30,959,773.05","27,526,535.8","-44,732,817.73","48,643,284.86","27,272,937.13","18,628,223.09","-68,752,733.67","85,945,703.6","40,060,021.14","-41,854,476.12","7,884,420.9","2,765,177.74","7,803,089.1","2,910,821.81","18,897,064.85","29,237,196.09"
PretaxIncome,"19,571,906,800","2,480,356,100","9,013,440,900.7","4,538,767,849.57","3,539,341,902.96","2,795,578,446.77","2,548,112,242.98","1,837,785,614.87","1,499,678,910.73","1,096,976,640.66","1,303,072,576.22","1,652,725,913.47","1,482,548,760.37","1,322,417,314.19","1,121,389,110.24","1,862,749,252.85","679,666,687.26","541,008,201.58","1,545,890,503.1","1,015,215,727.94","2,302,446,457.81","30,370,418.69"
TaxProvision,"2,079,586,800","504,896,900","297,692,304.15","718,894,635.15","558,102,999.26","451,709,061.44","126,404,676.59","299,493,158.92","260,774,478.44","191,963,042.83","50,616,209.82","239,003,682.44","252,875,660.73","205,595,113.39","27,729,093.08","290,406,476.59","79,037,481.67","71,743,712.87","183,121,585.64","158,848,965.77","298,197,876.37","13,875,218.84"
NetIncomeCommonStockholders,"15,469,705,300","1,492,804,600","8,180,172,241.22","3,267,358,094.72","2,529,370,327.44","1,954,417,236.62","2,226,463,666.83","1,419,593,953.05","1,195,237,907.3","742,043,183.2","1,096,002,165.15","1,361,870,124.86","1,055,201,915.75","1,047,233,226.95","1,008,535,197.58","1,467,545,722.06","497,607,128.78","413,347,159.22","1,307,444,664.55","759,398,007.98","1,868,622,995.53","-11,687,915.1"
	NetIncome,"15,469,705,300","1,492,804,600","8,180,172,241.22","3,267,358,094.72","2,529,370,327.44","1,954,417,236.62","2,226,463,666.83","1,419,593,953.05","1,195,237,907.3","742,043,183.2","1,096,002,165.15","1,361,870,124.86","1,055,201,915.75","1,047,233,226.95","1,008,535,197.58","1,467,545,722.06","497,607,128.78","413,347,159.22","1,307,444,664.55","759,398,007.98","1,868,622,995.53","-11,687,915.1"
		NetIncomeIncludingNoncontrollingInterests,"17,492,319,800","1,975,459,100","8,715,748,596.55","3,819,873,214.42","2,981,238,903.7","2,343,869,385.33","2,421,707,566.39","1,538,292,455.95","1,238,904,432.29","905,013,597.83","1,252,456,366.4","1,413,722,231.03","1,229,673,099.64","1,116,822,200.8","1,093,660,017.16","1,572,342,776.26","600,629,205.59","469,264,488.71","1,362,768,917.46","856,366,762.17","2,004,248,581.44","16,495,199.85"
			NetIncomeContinuousOperations,"17,492,319,800","1,975,459,100","8,715,748,596.55","3,819,873,214.42","2,981,238,903.7","2,343,869,385.33","2,421,707,566.39","1,538,292,455.95","1,238,904,432.29","905,013,597.83","1,252,456,366.4","1,413,722,231.03","1,229,673,099.64","1,116,822,200.8","1,093,660,017.16","1,572,342,776.26","600,629,205.59","469,264,488.71","1,362,768,917.46","856,366,762.17","2,004,248,581.44","16,495,199.85"
			NetIncomeExtraordinary,,"-100",,,,,,,,,,,,,,,,,,,,
		MinorityInterests,"-2,022,614,700","-482,654,500","-535,576,455.33","-552,515,119.7","-451,868,576.26","-389,452,148.71","-195,243,899.56","-118,698,502.9","-43,666,524.99","-162,970,414.63","-156,454,201.25","-51,852,106.17","-174,471,183.89","-69,588,973.85","-85,124,819.58","-104,797,054.2","-103,022,076.81","-55,917,329.49","-55,324,252.91","-96,968,754.19","-127,818,579.77","-35,990,121.09"
	OtherunderPreferredStockDividend,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
BasicEPS,,"0.644",,,,"0.846",,"0.629",,"0.341",,"0.629",,"0.48",,"0.68",,"0.212",,"0.39",,"0.019"
DilutedEPS,,"0.641",,,,"0.843",,"0.627",,"0.34",,"0.628",,"0.48",,"0.68",,"0.212",,"0.39",,"0.019"
BasicAverageShares,,"2,318,379,562",,,,"2,309,366,934",,"2,255,830,213",,"2,178,635,300",,"2,164,103,170",,"2,181,735,889",,"2,158,155,474",,"1,949,750,751",,"1,947,174,379",,
DilutedAverageShares,,"2,330,686,339",,,,"2,318,407,161",,"2,263,744,145",,"2,185,050,598",,"2,169,965,145",,"2,181,735,889",,"2,158,155,474",,"1,968,319,806",,"1,947,174,379",,
TotalOperatingIncomeAsReported,"19,473,435,300","2,456,137,800","8,932,133,579.01","4,574,757,261.82","3,510,406,644.29","2,806,431,714.88","2,531,069,852.36","1,834,378,975.39","1,487,994,284.19","1,106,046,439.49","1,312,515,242.26","1,633,728,142.77","1,491,424,746.06","1,321,125,127.01","1,096,750,218.97","1,855,933,161.82","675,903,903.62","539,889,042.27","1,538,820,349.26","1,012,639,845.08","2,341,401,389.1","-12,738,473.39"
TotalExpenses,"140,767,940,700","46,675,914,600","48,517,931,573.82","24,337,537,227.56","21,236,557,367.53","16,243,010,331.09","16,347,904,942.33","10,657,045,785.76","8,160,139,509.91","7,897,455,329.52","10,768,434,089.22","11,018,080,029.57","8,565,901,465.11","8,737,536,434.28","8,723,798,170.64","7,785,388,233.29","4,948,120,567.68","3,068,914,260.87","6,297,265,304.98","4,686,126,214.24","3,591,968,864.57","1,522,737,124.64"
NetIncomeFromContinuingAndDiscontinuedOperation,"15,469,705,500","1,492,804,700","8,180,172,241.22","3,267,358,094.72","2,529,370,327.44","1,954,417,236.62","2,226,463,666.83","1,419,593,953.05","1,195,237,907.3","742,043,183.2","1,096,002,165.15","1,361,870,124.86","1,055,201,915.75","1,047,233,226.95","1,008,535,197.58","1,467,545,722.06","497,607,128.78","413,347,159.22","1,307,444,664.55","759,398,007.98","1,868,622,995.53","-11,687,915.1"
NormalizedIncome,"15,865,791,175.161","1,608,539,396.728","8,290,246,590.462","3,348,982,596.62","2,602,685,183.09","1,999,408,711.179","2,522,313,106.065","1,453,118,893.423","1,446,179,097.751","521,896,158.146","1,194,888,844.063","1,358,788,753.141","1,013,096,105.182","1,089,847,347.75","1,578,612,905.931","1,697,434,375.372","569,652,070.026","524,412,563.566","1,488,686,102.791","815,073,569.352","1,913,139,356.956","-11,446,357.89"
InterestIncome,"2,472,699,400","661,516,300","756,510,028.35","496,563,736.56","558,109,326.8","512,078,908.29","423,852,336.87","447,015,867.36","319,200,711.65","304,532,042.79","249,909,167.44","295,355,870.26","277,921,011.86","255,070,916.72","196,398,315.04","162,917,584.96",,,"67,910,705.77","20,655,781.67",,
InterestExpense,"1,432,839,500","488,026,200","439,419,808.64","269,321,523.26","236,071,923.11","216,287,144.99","253,566,452.65","130,179,815.1","140,483,548.61","116,204,500.18","97,131,811.4","72,176,871.04","61,282,915.65","58,662,867.4","47,088,439.37","77,033,983.85","152,309,785.24","2,765,177.74","38,411,160.71","27,308,465.7","18,897,064.85","29,237,196.09"
NetInterestIncome,"861,454,000","374,100","562,026,099.82","-86,437,150.85","385,490,994.98","199,348,756.05","139,326,111.17","289,309,516.46","223,449,980.77","139,684,257.75","125,504,418.91","204,550,776.13","285,390,829.88","110,462,345.72","109,249,854.53","127,738,077.23","43,542,104.42","-2,765,177.74","21,696,455.96","-9,563,505.84","-18,897,064.85","-29,237,196.09"
EBIT,"21,004,746,300","2,968,382,300","9,452,860,709.34","4,808,089,372.83","3,775,413,826.07","3,011,865,591.76","2,801,678,695.63","1,967,965,429.97","1,640,162,459.34","1,213,181,140.84","1,400,204,387.62","1,724,902,784.51","1,543,831,676.02","1,381,080,181.59","1,168,477,549.61","1,939,783,236.7","733,022,881.92","642,726,969.9","1,584,301,663.81","1,042,524,193.64","1,248,340,592.59","-68,351,432.8"
EBITDA,"21,004,746,300"
ReconciledCostOfRevenue,"123,783,191,700","41,627,574,200","42,914,690,365.29","21,117,296,627.89","18,123,630,533.21","13,938,104,773.61","13,465,699,786.81","9,166,336,663.27","6,952,251,656.56","6,764,865,485.58","9,181,355,031.75","9,074,678,483.45","7,110,592,193.02","7,116,134,804.4","6,751,806,349.89","6,718,911,262.54","3,935,926,141.73","2,495,640,398.99","5,042,523,006.09","3,763,061,221.25","3,029,343,586.14","905,259,335.22"
ReconciledDepreciation,,,,,,,,,,,,,,,,,"540,034,654.58","441,464,366.83",,,"205,003,899.35","303,844,100.65"
NetIncomeFromContinuingOperationNetMinorityInterest,"15,469,705,500","1,492,804,700","8,180,172,241.22","3,267,358,094.72","2,529,370,327.44","1,954,417,236.62","2,226,463,666.83","1,419,593,953.05","1,195,237,907.3","742,043,183.2","1,096,002,165.15","1,361,870,124.86","1,055,201,915.75","1,047,233,226.95","1,008,535,197.58","1,467,545,722.06","497,607,128.78","413,347,159.22","1,307,444,664.55","759,398,007.98","1,868,622,995.53","-11,687,915.1"
TotalUnusualItemsExcludingGoodwill,"-443,174,600","-145,314,700","-113,834,013.29","-96,986,115.55","-87,039,767.39","-53,662,203.77","-311,291,746.64","-40,051,976.41","-303,761,292.11","266,842,558.58","-102,883,040.8","3,602,307.99","50,764,644.1","-50,458,928.14","-584,531,686.36","-272,348,322.3","-81,525,417.17","-128,045,688.75","-205,595,691.65","-66,002,918.45","-51,139,633.89","-322,076.28"
TotalUnusualItems,"-443,174,600","-145,314,700","-113,834,013.29","-96,986,115.55","-87,039,767.39","-53,662,203.77","-311,291,746.64","-40,051,976.41","-303,761,292.11","266,842,558.58","-102,883,040.8","3,602,307.99","50,764,644.1","-50,458,928.14","-584,531,686.36","-272,348,322.3","-81,525,417.17","-128,045,688.75","-205,595,691.65","-66,002,918.45","-51,139,633.89","-322,076.28"
NormalizedEBITDA,"21,447,920,900","3,113,697,000","9,566,694,722.63","4,905,075,488.38","3,862,453,593.46","3,065,527,795.53","3,112,970,442.27","2,008,017,406.38","1,943,923,751.45","946,338,582.26","1,503,087,428.42","1,721,300,476.52","1,493,067,031.92","1,431,539,109.73","1,753,009,235.97","2,212,131,559","1,354,582,953.67","1,212,237,025.48","1,789,897,355.46","1,108,527,112.09","1,504,484,125.83","235,814,744.13"
TaxRateForCalcs,"0.106","0.204","0.033","0.158","0.158","0.162","0.05","0.163","0.174","0.175","0.039","0.145","0.171","0.155","0.025","0.156","0.116","0.133","0.118","0.156","0.13","0.25"
TaxEffectOfUnusualItems,"-47,088,924.839","-29,580,003.272","-3,759,664.048","-15,361,613.65","-13,724,911.74","-8,670,729.211","-15,442,307.405","-6,527,036.037","-52,820,101.659","46,695,533.526","-3,996,361.887","520,936.271","8,658,833.532","-7,844,807.34","-14,453,978.009","-42,459,668.988","-9,480,475.924","-16,980,284.404","-24,354,253.409","-10,327,357.078","-6,623,272.464","-80,519.07"
