name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
OperatingCashFlow,"2,106,000,000","457,000,000","523,000,000","775,000,000","351,000,000","253,000,000","668,000,000","1,267,000,000","447,000,000","373,000,000","691,000,000","761,000,000","324,000,000","690,000,000","662,000,000","767,000,000","399,000,000","515,000,000","800,000,000","735,000,000","251,000,000","703,000,000","702,000,000","819,000,000","723,000,000","640,000,000","629,000,000","915,000,000","153,000,000","437,000,000","575,000,000","763,000,000","232,000,000","221,000,000","675,000,000","855,000,000","567,000,000","618,000,000","652,000,000","1,015,000,000","587,000,000","647,000,000","576,000,000","1,128,000,000","675,000,000","505,000,000","1,098,000,000","996,000,000","732,000,000","684,000,000","314,000,000","1,028,000,000","495,000,000","376,000,000","590,000,000","784,000,000","320,000,000","471,000,000","509,000,000","741,000,000","526,000,000","581,000,000","597,000,000","837,000,000","433,000,000","544,000,000","699,000,000","619,000,000","327,000,000","520,000,000","455,000,000","507,000,000","209,000,000","401,000,000","556,000,000","349,000,000","312,000,000","425,000,000","326,000,000","122,000,000","433,000,000","627,000,000","380,000,000","198,000,000","237,000,000","876,000,000","150,000,000","-302,000,000","362,000,000","249,000,000","-146,000,000","184,000,000","151,000,000","8,000,000","391,000,000","-61,000,000","190,000,000","8,000,000","76,000,000","22,000,000","85,000,000","10,000,000","35,000,000","79,000,000","23,000,000","45,000,000","30,300,000","62,000,000","62,300,000","42,400,000","42,700,000","46,400,000","35,500,000","38,900,000"
	CashFlowFromContinuingOperatingActivities,"2,106,000,000","457,000,000","523,000,000","775,000,000","351,000,000","253,000,000","668,000,000","1,267,000,000","447,000,000","373,000,000","691,000,000","761,000,000","324,000,000","690,000,000","662,000,000","767,000,000","399,000,000","515,000,000","800,000,000","735,000,000","251,000,000","703,000,000","702,000,000","819,000,000","723,000,000","640,000,000","629,000,000","915,000,000","153,000,000","437,000,000","575,000,000","763,000,000","232,000,000","221,000,000","675,000,000","855,000,000","567,000,000","618,000,000","772,000,000","1,015,000,000","580,000,000","534,000,000","576,000,000","1,128,000,000","675,000,000","505,000,000","1,098,000,000","996,000,000","732,000,000","684,000,000","314,000,000","1,028,000,000","495,000,000","376,000,000","590,000,000","784,000,000","320,000,000","471,000,000","509,000,000","741,000,000","526,000,000","581,000,000","535,000,000","837,000,000","433,000,000","544,000,000","699,000,000","619,000,000","327,000,000","520,000,000","459,000,000","502,000,000","205,000,000","402,000,000","490,000,000","349,000,000","291,000,000","446,000,000","262,000,000","122,000,000","433,000,000","627,000,000","151,000,000","198,000,000","237,000,000","876,000,000","150,000,000","-302,000,000","362,000,000","249,000,000","-146,000,000","184,000,000","151,000,000","8,000,000","391,000,000","-61,000,000","190,000,000","8,000,000","76,000,000","22,000,000","85,000,000","10,000,000","35,000,000","79,000,000","23,000,000","45,000,000","30,300,000","62,000,000","62,300,000","42,400,000","42,700,000","46,400,000","35,500,000","38,900,000"
		NetIncomeFromContinuingOperations,"-751,000,000","171,000,000","-1,330,000,000","485,000,000","-77,000,000","-29,000,000","401,000,000","-481,000,000","3,000,000","229,000,000","-120,000,000","298,000,000","67,000,000","233,000,000","181,000,000","191,000,000","416,000,000","777,000,000","-1,286,000,000","261,000,000","150,000,000","98,000,000","-693,000,000","229,000,000","-387,000,000","74,000,000","41,000,000","203,000,000","264,000,000","254,000,000","298,000,000","508,000,000","275,000,000","66,000,000","-204,000,000","223,000,000","333,000,000","199,000,000","323,000,000","-1,402,000,000","207,000,000","515,000,000","445,000,000","175,000,000","427,000,000","483,000,000","-169,000,000","397,000,000","429,000,000","402,000,000","283,000,000","440,000,000","531,000,000","501,000,000","-47,000,000","145,000,000","903,000,000","233,000,000","17,000,000","103,000,000","240,000,000","-455,000,000","81,000,000","-340,000,000","169,000,000","351,000,000","177,000,000","244,000,000","76,000,000","133,000,000","160,000,000","140,000,000","38,000,000","48,000,000","-444,000,000","76,000,000","-130,000,000","95,000,000","-3,112,000,000","31,000,000","-115,000,000","-313,000,000","52,000,000","3,000,000","112,000,000","106,000,000","221,000,000","135,000,000","111,000,000","174,000,000","112,000,000","58,000,000","71,000,000","-13,000,000","92,000,000","79,000,000","71,000,000","65,000,000","59,000,000","47,000,000","42,000,000","40,000,000","36,000,000","32,000,000","28,000,000","29,000,000","28,400,000","27,300,000","26,500,000","24,800,000","26,200,000","25,500,000","25,700,000","20,900,000"
		OperatingGainsLosses,"1,817,000,000","42,000,000","1,818,000,000","-47,000,000","4,000,000","22,000,000","215,000,000","147,000,000","69,000,000","-41,000,000","251,000,000","54,000,000","63,000,000","21,000,000","-123,000,000","53,000,000","-83,000,000","-616,000,000","36,000,000","65,000,000","67,000,000","-5,000,000","21,000,000","28,000,000","31,000,000","-51,000,000","-7,000,000","7,000,000","124,000,000","33,000,000","31,000,000","-304,000,000","18,000,000","138,000,000","-282,000,000","267,000,000","152,000,000","106,000,000","101,000,000","1,874,000,000","-110,000,000","-92,000,000","-314,000,000","322,000,000","49,000,000","3,000,000","1,068,000,000","209,000,000","-74,000,000","4,000,000","172,000,000","-12,000,000","-3,000,000","-100,000,000","-500,000,000","354,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-51,000,000","35,000,000","-82,000,000","28,000,000","-33,000,000","-10,000,000","-15,000,000","15,000,000","-28,000,000","-17,000,000",,,"-3,000,000","-600,000","-10,200,000","16,200,000","-1,400,000","-3,000,000","3,500,000","800,000","-2,300,000"
			GainLossOnSaleOfBusiness,"1,677,000,000","-1,000,000","1,764,000,000","-22,000,000","-64,000,000","5,000,000","-22,000,000","90,000,000",,,"-19,000,000","-16,000,000","3,000,000","4,000,000","-128,000,000","21,000,000","-89,000,000","-788,000,000","3,000,000","1,000,000","48,000,000","0","1,000,000","0","17,000,000","-47,000,000","-5,000,000",,,,"5,000,000",,,,"55,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"4,000,000",,,"4,000,000",,"18,000,000",,,,,,,,,,,"2,000,000","9,000,000","15,000,000","7,000,000","12,000,000","12,000,000","12,000,000",,,,"11,000,000","2,000,000","10,000,000","324,000,000","-351,000,000","3,000,000","4,000,000","-299,000,000","267,000,000","-13,000,000","59,000,000","-36,000,000","1,873,000,000","21,000,000","-92,000,000","65,000,000","284,000,000","34,000,000","3,000,000","1,081,000,000","214,000,000","14,000,000","4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"33,000,000","33,000,000","8,000,000","-18,000,000","10,000,000","36,000,000","12,000,000",,,,"176,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,051,000,000","270,000,000","261,000,000","257,000,000","263,000,000","275,000,000","265,000,000","264,000,000","271,000,000","268,000,000","271,000,000","262,000,000","266,000,000","246,000,000","233,000,000","258,000,000","258,000,000","254,000,000","285,000,000","303,000,000","290,000,000","291,000,000","299,000,000","291,000,000","296,000,000","290,000,000","264,000,000","283,000,000","299,000,000","298,000,000","308,000,000","312,000,000","319,000,000","306,000,000","312,000,000","321,000,000","332,000,000","329,000,000","356,000,000","332,000,000","346,000,000","360,000,000","315,000,000","325,000,000","317,000,000","305,000,000","302,000,000","292,000,000","291,000,000","293,000,000","282,000,000","269,000,000","253,000,000","245,000,000","241,000,000","260,000,000",,,,,,,,,,,,,,"224,000,000","232,000,000","210,000,000","199,000,000","200,000,000",,,,,,,,,,,,,,,,,,,,"60,000,000","48,000,000","73,000,000","30,000,000","45,000,000","61,000,000","19,000,000","19,000,000","15,000,000",,,,,,,,,,,,
			DepreciationAndAmortization,"1,051,000,000","270,000,000","261,000,000","257,000,000","263,000,000","275,000,000","265,000,000","264,000,000","271,000,000","268,000,000","271,000,000","262,000,000","266,000,000","246,000,000","233,000,000","258,000,000","258,000,000","254,000,000","285,000,000","303,000,000","290,000,000","291,000,000","299,000,000","291,000,000","296,000,000","290,000,000","264,000,000","283,000,000","299,000,000","298,000,000","308,000,000","312,000,000","319,000,000","306,000,000","312,000,000","321,000,000","332,000,000","329,000,000","356,000,000","332,000,000","346,000,000","360,000,000","315,000,000","325,000,000","317,000,000","305,000,000","302,000,000","292,000,000","291,000,000","293,000,000","282,000,000","269,000,000","253,000,000","245,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-434,000,000","-7,000,000","-329,000,000","-4,000,000","-94,000,000","21,000,000","109,000,000","-396,000,000","52,000,000","2,000,000","-12,000,000","-11,000,000","-47,000,000","62,000,000","92,000,000","38,000,000","3,000,000","180,000,000","675,000,000","15,000,000","-12,000,000","-6,000,000","-318,000,000","-32,000,000","-474,000,000","31,000,000","-42,000,000","-25,000,000","29,000,000","-12,000,000","-36,000,000","31,000,000","-4,000,000","56,000,000","-76,000,000","-36,000,000","-59,000,000","13,000,000","61,000,000","29,000,000","-29,000,000","101,000,000",,"-95,000,000","11,000,000","17,000,000","-449,000,000","-86,000,000","88,000,000","29,000,000","39,000,000","87,000,000","-86,000,000","-25,000,000",,"88,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-21,000,000","4,000,000","28,000,000","15,000,000","20,000,000","1,000,000","7,000,000","7,000,000","5,000,000","-4,000,000","8,000,000","8,000,000","14,000,000","9,600,000","11,800,000","12,500,000","14,100,000","12,200,000","10,800,000","6,500,000","9,100,000"
			DeferredIncomeTax,"-434,000,000","-7,000,000","-329,000,000","-4,000,000","-94,000,000","21,000,000","109,000,000","-396,000,000","52,000,000","2,000,000","-12,000,000","-11,000,000","-47,000,000","62,000,000","92,000,000","38,000,000","3,000,000","180,000,000","675,000,000","15,000,000","-12,000,000","-6,000,000","-318,000,000","-32,000,000","-474,000,000","31,000,000","-42,000,000","-25,000,000","29,000,000","-12,000,000","-36,000,000","31,000,000","-4,000,000","56,000,000","-76,000,000","-36,000,000","-59,000,000","13,000,000","61,000,000","29,000,000","-29,000,000","101,000,000",,"-95,000,000","11,000,000","17,000,000","-449,000,000","-86,000,000","88,000,000","29,000,000","39,000,000","87,000,000","-86,000,000","-25,000,000",,"88,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-21,000,000","4,000,000","28,000,000","15,000,000","20,000,000","1,000,000","7,000,000","7,000,000","5,000,000","-4,000,000","8,000,000","8,000,000","14,000,000","9,600,000","11,800,000","12,500,000","14,100,000","12,200,000","10,800,000","6,500,000","9,100,000"
		AssetImpairmentCharge,"1,103,000,000","1,000,000","201,000,000","29,000,000","872,000,000","473,000,000","9,000,000","849,000,000","158,000,000","50,000,000","161,000,000","0",,,"183,000,000","79,000,000","93,000,000","0","888,000,000","2,000,000","90,000,000","168,000,000","1,223,000,000","79,000,000","1,018,000,000","161,000,000","326,000,000","231,000,000","37,000,000","8,000,000","79,000,000","31,000,000","107,000,000","166,000,000",,,,,,,,,,,,,,,,"13,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"387,000,000","118,000,000","128,000,000",,,,"-183,000,000",,,,,,,,"13,000,000",,,,"4,000,000","7,000,000","11,000,000","12,000,000","20,000,000","7,000,000","22,000,000","-1,000,000","19,000,000","43,000,000","-148,000,000","14,000,000","7,000,000","7,000,000","-60,000,000","12,000,000","11,000,000","-3,000,000","10,000,000","26,000,000","-4,000,000","16,000,000","18,000,000","17,000,000","-205,000,000","-10,000,000","24,000,000","22,000,000",,"3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"-103,000,000","50,000,000","-277,000,000","92,000,000","-26,000,000","77,000,000","-42,000,000","225,000,000","17,000,000","8,000,000","46,000,000","135,000,000","44,000,000","99,000,000","85,000,000","75,000,000","-184,000,000","72,000,000","85,000,000","-33,000,000","51,000,000","43,000,000","62,000,000","27,000,000","82,000,000","-3,000,000","-22,000,000","-20,000,000","16,000,000","54,000,000","-44,000,000","89,000,000","18,000,000","79,000,000","74,000,000","28,000,000","-40,000,000","94,000,000","-60,000,000","-40,000,000","90,000,000","-40,000,000","84,000,000","154,000,000","-5,000,000","-84,000,000","-88,000,000","-39,000,000","-68,000,000","26,000,000","-93,000,000","69,000,000","-94,000,000","41,000,000",,,,,,,,,,,,,,,,"153,000,000",,"124,000,000","193,000,000","226,000,000",,,,"351,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"22,000,000","7,000,000","14,000,000","16,300,000","14,800,000","11,900,000","12,000,000","11,100,000","11,000,000","10,700,000","10,600,000"
