name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
TotalRevenue,"11,358,000,000","2,852,000,000","2,770,000,000","3,036,000,000","2,700,000,000","2,635,000,000","2,560,000,000","2,545,000,000","2,217,000,000","2,338,000,000","2,431,000,000","2,625,000,000","2,483,000,000","2,650,000,000","2,622,000,000","2,837,000,000","2,537,000,000","2,740,000,000","-64,000,000","3,632,000,000","3,470,000,000","3,492,000,000","3,544,000,000","3,542,000,000","3,229,000,000","3,471,000,000","3,400,000,000","3,721,000,000","3,858,000,000","3,984,000,000","4,132,000,000","4,441,000,000","4,311,000,000","4,262,000,000","3,783,000,000","4,003,000,000","4,068,000,000","4,265,000,000","4,622,000,000","4,587,000,000","4,192,000,000","4,740,000,000","4,157,000,000","4,381,000,000","4,544,000,000","4,264,000,000","4,404,000,000","4,151,000,000","4,021,000,000","4,112,000,000","3,408,000,000","3,838,000,000","3,495,000,000","3,378,000,000","3,475,000,000","4,345,000,000","4,146,000,000","4,104,000,000","3,664,000,000","3,471,000,000","3,344,000,000","3,121,000,000","3,129,000,000","3,150,000,000","3,038,000,000","3,013,000,000","2,973,000,000","2,782,000,000","2,668,000,000","2,645,000,000","2,543,000,000","2,423,000,000","2,263,000,000","2,257,000,000","2,087,000,000","2,322,000,000","2,192,000,000","2,223,000,000","2,134,000,000","2,138,000,000","2,131,000,000","2,719,000,000","2,299,000,000","2,268,000,000","2,215,000,000","2,545,000,000","1,916,000,000","1,761,000,000","1,538,000,000","1,476,000,000","1,128,000,000","847,000,000","640,000,000","638,000,000","646,000,000","612,000,000","565,000,000","575,000,000","531,000,000","358,000,000","261,000,000","261,000,000","284,000,000","205,000,000","174,000,000","172,000,000","172,900,000","174,100,000","167,300,000","137,500,000","135,100,000","136,400,000","136,000,000","125,200,000","131,100,000","129,200,000","128,800,000","129,500,000","117,200,000","107,600,000","87,200,000","89,000,000","87,000,000","92,300,000","81,300,000","72,900,000","50,000,000","55,100,000","51,000,000","34,000,000"
	OperatingRevenue,"11,358,000,000","2,852,000,000","2,770,000,000","3,036,000,000","2,700,000,000","2,635,000,000","2,560,000,000","2,545,000,000","2,217,000,000","2,338,000,000","2,431,000,000","2,625,000,000","2,483,000,000","2,650,000,000","2,622,000,000","2,837,000,000","2,537,000,000","2,740,000,000","-64,000,000","3,632,000,000","3,470,000,000","3,492,000,000","3,544,000,000","3,542,000,000","3,229,000,000","3,471,000,000","3,400,000,000","3,721,000,000","3,858,000,000","3,984,000,000","4,132,000,000","4,441,000,000","4,311,000,000","4,262,000,000","3,783,000,000","4,003,000,000","4,068,000,000","4,265,000,000","4,622,000,000","4,587,000,000","4,192,000,000","4,740,000,000","4,157,000,000","4,381,000,000","4,544,000,000","4,264,000,000","4,404,000,000","4,151,000,000","4,021,000,000","4,112,000,000","3,408,000,000","3,838,000,000","3,495,000,000","3,378,000,000","3,475,000,000","4,345,000,000","4,146,000,000","4,104,000,000","3,664,000,000","3,471,000,000","3,344,000,000","3,121,000,000","3,129,000,000","3,150,000,000","3,038,000,000","3,013,000,000","2,973,000,000","2,782,000,000","2,668,000,000","2,645,000,000","2,543,000,000","2,423,000,000","2,263,000,000","2,257,000,000","2,087,000,000","2,322,000,000","2,192,000,000","2,223,000,000","2,134,000,000","2,138,000,000","2,131,000,000","2,719,000,000","2,299,000,000","2,268,000,000","2,215,000,000","2,545,000,000","1,916,000,000","1,761,000,000","1,538,000,000","1,476,000,000","1,128,000,000","847,000,000","640,000,000","638,000,000","646,000,000","612,000,000","565,000,000","575,000,000","531,000,000","358,000,000","261,000,000","261,000,000","284,000,000","205,000,000","174,000,000","172,000,000","172,900,000","174,100,000","167,300,000","137,500,000","135,100,000","136,400,000","136,000,000","125,200,000","131,100,000","129,200,000","128,800,000","129,500,000","117,200,000","107,600,000","87,200,000","89,000,000","87,000,000","92,300,000","81,300,000","72,900,000","50,000,000","55,100,000","51,000,000","34,000,000"
CostOfRevenue,"8,781,000,000","2,322,000,000","2,211,000,000","2,276,000,000","1,972,000,000","1,971,000,000","1,654,000,000","1,789,000,000","1,693,000,000","1,831,000,000","1,871,000,000","1,924,000,000","1,981,000,000","2,064,000,000","1,976,000,000","2,166,000,000","1,937,000,000","2,084,000,000","-554,000,000","2,921,000,000","2,800,000,000","2,899,000,000","2,882,000,000","2,854,000,000","2,655,000,000","2,967,000,000","2,682,000,000","3,048,000,000","3,104,000,000","3,263,000,000","3,424,000,000","3,674,000,000","3,492,000,000","3,468,000,000","3,139,000,000","3,066,000,000","3,150,000,000","3,510,000,000","3,682,000,000","3,583,000,000","3,500,000,000","3,662,000,000","3,042,000,000","3,361,000,000","3,525,000,000","3,248,000,000","3,393,000,000","3,166,000,000","3,039,000,000","3,112,000,000","2,651,000,000","2,830,000,000","2,648,000,000","2,495,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,691,000,000","1,990,000,000","1,588,000,000","1,762,000,000","1,754,000,000","1,921,000,000","841,000,000","1,308,000,000","1,203,000,000","1,057,000,000","539,000,000","602,000,000","421,000,000","349,000,000","357,000,000","327,000,000","355,000,000","352,000,000","344,000,000","227,000,000","144,000,000","152,000,000","159,000,000","108,000,000","-46,000,000","84,000,000","84,000,000","86,500,000","88,300,000","59,400,000","56,500,000","58,500,000","56,300,000","54,300,000",,,,,,,,,,,,,,,,
GrossProfit,"2,577,000,000","530,000,000","559,000,000","760,000,000","728,000,000","664,000,000","906,000,000","756,000,000","524,000,000","507,000,000","560,000,000","701,000,000","502,000,000","586,000,000","646,000,000","671,000,000","600,000,000","656,000,000","490,000,000","711,000,000","670,000,000","593,000,000","662,000,000","688,000,000","574,000,000","504,000,000","718,000,000","673,000,000","754,000,000","721,000,000","708,000,000","767,000,000","819,000,000","794,000,000","644,000,000","937,000,000","918,000,000","755,000,000","940,000,000","1,004,000,000","692,000,000","1,078,000,000","1,115,000,000","1,020,000,000","1,019,000,000","1,016,000,000","1,011,000,000","985,000,000","982,000,000","1,000,000,000","757,000,000","1,008,000,000","847,000,000","883,000,000",,"4,345,000,000",,,,,"3,344,000,000",,"3,129,000,000",,,,"2,973,000,000",,"2,668,000,000",,,,,"2,257,000,000","2,087,000,000","2,322,000,000",,,,,"440,000,000","729,000,000","711,000,000","506,000,000","461,000,000","624,000,000","1,075,000,000","453,000,000","335,000,000","419,000,000","589,000,000","245,000,000","219,000,000","289,000,000","289,000,000","285,000,000","210,000,000","223,000,000","187,000,000","131,000,000","117,000,000","109,000,000","125,000,000","97,000,000","220,000,000","88,000,000","88,900,000","87,600,000","79,000,000","78,100,000","78,600,000","77,900,000","79,700,000","70,900,000",,,,,,,,,,,,,,,,
OperatingExpense,"161,000,000","52,000,000","25,000,000","39,000,000","45,000,000","46,000,000","46,000,000","41,000,000","40,000,000","38,000,000","60,000,000","41,000,000","49,000,000","46,000,000","65,000,000","43,000,000","35,000,000","56,000,000","45,000,000","67,000,000","49,000,000","54,000,000","111,000,000","40,000,000","47,000,000","48,000,000","46,000,000","45,000,000","50,000,000","55,000,000","39,000,000","45,000,000","52,000,000","51,000,000","37,000,000","63,000,000","59,000,000","61,000,000","76,000,000","64,000,000","74,000,000","87,000,000","108,000,000","91,000,000","97,000,000","95,000,000","113,000,000","98,000,000","101,000,000","82,000,000","90,000,000","82,000,000","88,000,000","85,000,000","-9,572,000,000","3,499,000,000","3,240,000,000","3,204,000,000","-7,225,000,000","2,724,000,000","2,544,000,000","2,338,000,000","2,697,000,000","2,242,000,000","2,178,000,000","2,114,000,000","2,122,000,000","1,932,000,000","2,187,000,000","1,912,000,000","1,881,000,000","1,732,000,000","1,689,000,000","1,626,000,000","1,432,000,000","1,835,000,000","1,757,000,000","1,650,000,000","3,672,000,000","1,810,000,000","87,000,000","85,000,000","33,000,000","56,000,000","46,000,000","116,000,000","598,000,000","21,000,000","19,000,000","29,000,000","313,000,000","13,000,000","15,000,000","76,000,000","63,000,000","88,000,000","42,000,000","62,000,000","86,000,000","38,000,000","28,000,000","31,000,000","54,000,000","22,000,000","151,000,000","23,000,000","26,600,000","22,500,000","18,400,000","19,500,000","21,000,000","19,700,000","17,400,000","16,900,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"161,000,000","52,000,000","25,000,000","39,000,000","45,000,000","46,000,000","46,000,000","41,000,000","40,000,000","38,000,000","60,000,000","41,000,000","49,000,000","46,000,000","58,000,000","43,000,000","35,000,000","56,000,000","60,000,000","52,000,000","49,000,000","54,000,000","59,000,000","40,000,000","47,000,000","48,000,000","46,000,000","45,000,000","50,000,000","55,000,000","39,000,000","45,000,000","52,000,000","51,000,000","37,000,000","63,000,000","59,000,000","61,000,000","76,000,000","64,000,000","74,000,000","87,000,000","108,000,000","91,000,000","97,000,000","95,000,000","113,000,000","98,000,000","101,000,000","82,000,000","90,000,000","82,000,000","88,000,000","85,000,000","84,000,000","90,000,000","98,000,000","99,000,000","115,000,000","93,000,000","88,000,000","85,000,000","125,000,000","66,000,000","59,000,000","55,000,000","78,000,000","49,000,000","45,000,000","49,000,000","52,000,000","40,000,000","42,000,000","48,000,000","60,000,000","36,000,000","32,000,000","29,000,000","44,000,000","12,000,000","28,000,000","28,000,000","33,000,000","19,000,000","46,000,000","22,000,000","16,000,000","21,000,000","19,000,000","29,000,000","27,000,000","13,000,000","15,000,000","16,000,000","14,000,000","15,000,000","12,000,000","15,000,000","20,000,000","10,000,000","6,000,000","9,000,000","12,000,000","8,000,000","6,000,000","9,000,000","10,300,000","7,700,000","6,500,000","7,500,000","9,800,000","8,900,000","6,600,000","6,300,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"161,000,000","52,000,000","25,000,000","39,000,000","45,000,000","46,000,000","46,000,000","41,000,000","40,000,000","38,000,000","60,000,000","41,000,000","49,000,000","46,000,000","58,000,000","43,000,000","35,000,000","56,000,000","60,000,000","52,000,000","49,000,000","54,000,000","59,000,000","40,000,000","47,000,000","48,000,000","46,000,000","45,000,000","50,000,000","55,000,000","39,000,000","45,000,000","52,000,000","51,000,000","37,000,000","63,000,000","59,000,000","61,000,000",,,,,,,,,,,,,,"82,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"172,000,000","52,000,000","36,000,000","39,000,000","45,000,000","46,000,000","46,000,000","41,000,000","40,000,000","38,000,000","60,000,000","41,000,000","49,000,000","46,000,000","58,000,000","43,000,000","35,000,000","56,000,000","60,000,000","52,000,000","49,000,000","54,000,000","59,000,000","40,000,000","47,000,000","48,000,000","46,000,000","45,000,000","50,000,000","55,000,000","39,000,000","45,000,000","52,000,000","51,000,000","37,000,000","63,000,000","59,000,000","61,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,000,000","48,000,000","73,000,000","30,000,000","45,000,000","61,000,000","19,000,000","19,000,000","15,000,000","22,000,000","14,000,000","145,000,000","14,000,000","16,300,000","14,800,000","11,900,000","12,000,000","11,200,000","10,800,000","10,800,000","10,600,000",,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,"-21,000,000",,,,,"15,000,000",,,"39,000,000",,,,"-26,000,000",,,"4,000,000","-37,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"3,409,000,000","3,142,000,000","3,105,000,000",,"2,631,000,000","2,456,000,000","2,253,000,000","2,572,000,000","2,176,000,000","2,119,000,000","2,059,000,000","2,044,000,000","1,883,000,000","2,142,000,000","1,863,000,000","1,829,000,000","1,692,000,000","1,647,000,000","1,578,000,000","1,372,000,000","1,799,000,000","1,725,000,000","1,621,000,000","3,628,000,000","1,798,000,000","59,000,000","57,000,000","0","37,000,000",,"94,000,000",,,,,,,,,,,,"2,000,000","5,000,000","9,000,000","3,000,000","7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
