name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,12/31/1988,12/31/1987,12/31/1986
TotalAssets,"10,904,800,000","10,581,300,000","10,410,200,000","10,942,100,000","10,423,300,000","10,186,400,000","9,772,200,000","9,993,700,000","10,189,200,000","9,872,700,000","9,803,800,000","9,824,500,000","9,946,000,000","9,974,300,000","9,406,900,000","9,718,200,000","10,149,100,000","9,206,300,000","6,056,800,000","5,984,300,000","6,036,300,000","6,139,300,000","6,209,800,000","6,282,200,000","6,390,400,000","6,325,900,000","6,447,000,000","7,075,200,000","5,311,700,000","5,340,500,000","5,251,100,000","5,127,300,000","5,090,700,000","5,235,200,000","4,930,800,000","4,349,700,000","4,448,000,000","4,373,900,000","4,065,900,000","3,907,600,000","3,851,600,000","3,743,500,000","3,389,600,000","3,466,200,000","3,416,200,000","3,319,900,000","3,403,800,000","3,219,100,000","3,233,000,000","3,136,200,000","3,045,500,000","3,028,500,000","3,020,000,000","2,993,900,000","2,930,400,000","2,978,700,000","2,902,500,000","2,733,400,000","2,738,200,000","2,730,000,000","2,764,500,000","2,735,000,000","2,786,200,000","2,781,200,000","2,778,600,000","2,740,000,000","2,684,300,000","2,906,000,000","2,970,100,000","2,978,400,000","2,878,700,000","2,803,900,000","2,860,000,000","2,828,800,000","2,812,400,000","2,981,100,000","2,915,500,000","2,872,000,000","2,367,900,000","2,466,700,000","2,432,500,000","2,477,200,000","3,792,800,000","3,767,000,000","3,891,100,000","3,745,900,000","3,794,200,000","3,929,500,000","3,998,100,000","3,995,800,000","4,167,400,000","4,428,400,000","4,270,200,000","4,166,400,000","4,163,700,000","4,137,600,000","4,171,600,000","4,113,100,000","4,386,500,000","4,992,900,000","4,926,800,000","4,989,800,000","4,852,400,000","4,797,500,000","4,479,000,000","4,301,100,000","4,163,200,000","4,063,400,000","3,561,100,000","3,351,500,000","3,361,100,000","3,315,000,000","3,192,700,000","2,813,100,000","2,894,200,000","3,292,600,000","2,933,500,000","2,826,600,000","3,098,700,000","3,023,800,000","3,038,100,000","2,815,600,000","2,896,200,000","2,963,100,000","3,045,600,000","2,959,200,000","3,115,600,000","3,037,200,000","2,906,900,000","2,819,000,000","2,716,300,000","2,748,800,000","2,595,100,000","2,685,800,000"
	CurrentAssets,"5,298,400,000","4,937,600,000","4,728,200,000","5,197,300,000","4,667,100,000","4,375,600,000","4,015,200,000","4,288,200,000","4,472,000,000","4,074,800,000","4,077,600,000","4,097,000,000","4,204,100,000","4,030,200,000","3,491,200,000","3,993,000,000","4,335,600,000","3,652,700,000","3,574,200,000","3,485,800,000","3,554,200,000","2,849,200,000","2,804,100,000","2,899,100,000","2,955,200,000","2,971,900,000","3,238,100,000","3,805,700,000","3,329,600,000","2,934,400,000","2,857,300,000","2,752,000,000","2,752,500,000","2,945,000,000","2,610,700,000","2,182,700,000","2,285,300,000","2,181,800,000","2,025,500,000","1,952,700,000","1,943,300,000","1,869,400,000","1,690,300,000","1,753,100,000","1,717,500,000","1,646,200,000","1,762,400,000","1,658,600,000","1,637,900,000","1,487,700,000","1,435,100,000","1,423,700,000","1,480,900,000","1,432,800,000","1,432,900,000","1,515,500,000","1,410,400,000","1,194,100,000","1,174,200,000","1,149,600,000","1,123,400,000","1,067,800,000","1,131,300,000","1,133,800,000","1,118,600,000","1,067,300,000","941,300,000","1,136,000,000","1,126,000,000","1,072,700,000","1,110,500,000","1,034,900,000","1,087,300,000","1,009,700,000","1,082,900,000","1,224,500,000","1,197,300,000","1,175,700,000","734,600,000","808,700,000","793,600,000","820,300,000","1,575,000,000","1,510,000,000","1,521,900,000","1,329,800,000","1,354,900,000","1,383,700,000","1,414,000,000","1,416,500,000","1,618,100,000","1,797,500,000","1,818,500,000","1,681,700,000","1,704,200,000","1,766,400,000","1,815,800,000","1,715,600,000","1,692,700,000","2,223,900,000","2,168,400,000","2,193,100,000","2,080,700,000","2,075,900,000","1,958,600,000","1,804,900,000","1,748,500,000","1,717,200,000","1,560,400,000","1,376,300,000","1,475,600,000","1,512,300,000","1,479,900,000","1,159,700,000","1,224,700,000","1,595,800,000","1,252,100,000","1,123,000,000","1,400,200,000","1,324,100,000","1,321,800,000","1,179,800,000","1,301,900,000","1,355,900,000","1,412,200,000","1,295,300,000","1,427,100,000","1,419,900,000","1,375,700,000","1,312,000,000","1,262,800,000","1,316,600,000","1,069,800,000","1,101,200,000"
		CashCashEquivalentsAndShortTermInvestments,"365,100,000","6,500,000","341,000,000","728,500,000","416,700,000","568,900,000","297,100,000","342,700,000","436,200,000","339,100,000","419,700,000","83,400,000","109,500,000","190,800,000","176,500,000","326,400,000","359,700,000","283,000,000","93,800,000","113,200,000","96,100,000","64,200,000","130,700,000","93,600,000","64,300,000","78,600,000","173,700,000","477,500,000","105,200,000","109,500,000","124,300,000","114,400,000","92,500,000","123,200,000","109,600,000","77,400,000","82,600,000","77,100,000","84,400,000","75,500,000","70,800,000","158,900,000","109,400,000","186,600,000","86,000,000","161,500,000","267,300,000","162,400,000","86,700,000","76,600,000","59,900,000","67,000,000","54,900,000","52,400,000","95,000,000","123,300,000","70,400,000","75,500,000","115,900,000","63,200,000","49,200,000","165,500,000","257,500,000","203,800,000","184,100,000","206,400,000","93,800,000","269,100,000","229,300,000","212,400,000","185,200,000","100,600,000","65,100,000","57,000,000","153,100,000","93,700,000","60,000,000","89,600,000","37,300,000","50,300,000","14,200,000","23,400,000","123,600,000","32,400,000","30,800,000","25,100,000","57,900,000","56,200,000","52,300,000","64,000,000","76,000,000","90,100,000","115,200,000","61,700,000","90,900,000","70,000,000","58,200,000","62,700,000","85,900,000","105,600,000","52,000,000","74,800,000","116,600,000","117,600,000","107,600,000","70,900,000","100,800,000","127,200,000","146,000,000","98,400,000","114,500,000","66,500,000","140,500,000","77,500,000","150,100,000","135,900,000","130,000,000","24,300,000","152,400,000","106,100,000","89,200,000","44,200,000","141,300,000","184,500,000","188,500,000","93,000,000","197,200,000","194,200,000","136,300,000","94,500,000","136,000,000","130,800,000","184,600,000","184,200,000"
			CashAndCashEquivalents,"365,100,000","6,500,000","341,000,000","728,500,000","416,700,000","568,900,000","297,100,000","342,700,000","436,200,000","339,100,000","419,700,000","83,400,000","109,500,000","161,700,000","176,500,000","326,400,000","359,700,000","283,000,000","93,800,000","113,200,000","96,100,000","64,200,000","130,700,000","93,600,000","64,300,000","78,600,000","173,700,000","477,500,000","105,200,000","109,500,000","124,300,000","114,400,000","92,500,000","123,200,000","109,600,000","77,400,000","82,600,000","77,100,000","84,400,000","75,500,000","70,800,000","158,900,000","109,400,000","186,600,000","86,000,000","161,500,000","267,300,000","162,400,000","86,700,000","76,600,000","59,900,000","67,000,000","54,900,000","52,400,000","95,000,000","123,300,000","70,400,000","75,500,000","115,900,000","63,200,000","49,200,000","165,500,000","257,500,000","203,800,000","184,100,000","206,400,000","93,800,000","269,100,000","229,300,000","212,400,000","185,200,000","100,600,000","65,100,000","57,000,000","153,100,000","93,700,000","60,000,000","89,600,000","37,300,000","50,300,000","14,200,000","23,400,000","123,600,000","32,400,000","30,800,000","25,100,000","57,900,000","56,200,000","52,300,000","64,000,000","76,000,000","90,100,000","115,200,000","61,700,000","90,900,000","70,000,000","58,200,000","62,700,000","85,900,000","105,600,000","52,000,000","74,800,000","116,600,000","117,600,000","107,600,000","70,900,000","100,800,000","127,200,000","146,000,000","98,400,000","114,500,000","66,500,000","140,500,000","77,500,000","150,100,000","135,900,000","130,000,000","24,300,000","152,400,000","106,100,000","89,200,000","44,200,000","141,300,000","184,500,000","188,500,000","93,000,000","197,200,000","194,200,000","136,300,000","94,500,000","136,000,000","130,800,000","184,600,000","184,200,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,"29,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"2,868,600,000","2,809,900,000","2,503,500,000","2,627,300,000","2,532,800,000","2,528,000,000","2,137,900,000","2,342,400,000","2,460,100,000","2,460,400,000","2,001,100,000","2,384,000,000","2,530,200,000","2,507,700,000","1,901,900,000","2,194,100,000","2,399,700,000","2,174,000,000","1,457,600,000","1,442,300,000","1,630,600,000","1,957,700,000","1,603,400,000","1,627,600,000","1,769,200,000","1,975,400,000","1,689,600,000","1,865,500,000","1,537,400,000","1,840,700,000","1,572,600,000","1,500,000,000","1,568,300,000","1,565,300,000","1,179,600,000","1,092,100,000","1,223,100,000","1,184,200,000","1,009,200,000","993,700,000","1,051,100,000","931,300,000","854,300,000","858,400,000","973,900,000","852,900,000","813,700,000","830,900,000","892,500,000","749,600,000","715,400,000","701,500,000","724,800,000","687,700,000","719,700,000","754,000,000","759,000,000","599,700,000","613,100,000","683,200,000","690,100,000","537,900,000","538,100,000","599,900,000","591,600,000","494,300,000","482,100,000","535,700,000","564,800,000","479,700,000","482,800,000","482,900,000","550,600,000","478,200,000","432,500,000","487,600,000","504,900,000","462,200,000","367,500,000","407,900,000","406,400,000","441,700,000","669,800,000","689,000,000","654,700,000","635,500,000","642,500,000","625,700,000","621,100,000","635,400,000","781,100,000","858,300,000","870,400,000","840,600,000","820,800,000","814,100,000","874,700,000","834,200,000","837,600,000","985,200,000","1,013,300,000","1,001,900,000","873,300,000","928,000,000","827,200,000","837,800,000","766,800,000","759,800,000","695,600,000","642,800,000","652,400,000","701,100,000","627,700,000","573,200,000","576,300,000","600,000,000","568,500,000","543,500,000","637,800,000","588,700,000","568,600,000","529,700,000","553,400,000","522,000,000","535,300,000","536,500,000","523,400,000","519,900,000","516,700,000","587,400,000","539,700,000","582,800,000","261,000,000","185,500,000"
			AccountsReceivable,"2,868,600,000","2,583,700,000","2,503,500,000","2,627,300,000","2,532,800,000","2,330,300,000","2,137,900,000","2,342,400,000","2,460,100,000","2,231,200,000","2,001,100,000","2,384,000,000","2,530,200,000","2,285,200,000","1,901,900,000","2,194,100,000","2,399,700,000","2,043,500,000","1,457,600,000","1,442,300,000","1,630,600,000","1,828,000,000","1,603,400,000","1,627,600,000","1,769,200,000","1,851,400,000","1,689,600,000","1,865,500,000","1,537,400,000","1,751,000,000","1,572,600,000","1,500,000,000","1,568,300,000","1,484,300,000","1,179,600,000","1,092,100,000","1,223,100,000","1,124,500,000","1,009,200,000","993,700,000","1,051,100,000","931,300,000","854,300,000","858,400,000","973,900,000","852,900,000","813,700,000","830,900,000","892,500,000","749,600,000","715,400,000","701,500,000","724,800,000","687,700,000","719,700,000","754,000,000","759,000,000","599,700,000","613,100,000","683,200,000","690,100,000","537,900,000","538,100,000","599,900,000","591,600,000","494,300,000","482,100,000","535,700,000","564,800,000","479,700,000","482,800,000","482,900,000","550,600,000","478,200,000","432,500,000","487,600,000","504,900,000","462,200,000","367,500,000","407,900,000","406,400,000","441,700,000","669,800,000","689,000,000","654,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"2,908,200,000","2,621,100,000","2,536,400,000","2,659,900,000","2,564,400,000","2,358,200,000","2,160,400,000","2,367,200,000","2,483,000,000","2,257,500,000","2,036,700,000","2,413,500,000","2,557,500,000","2,307,600,000","1,921,900,000","2,235,500,000","2,443,700,000","2,082,200,000","1,479,100,000","1,470,800,000","1,655,400,000","1,845,800,000","1,615,000,000","1,644,800,000","1,786,700,000","1,865,300,000","1,724,500,000","1,906,300,000","1,572,300,000","1,788,600,000","1,605,000,000","1,531,000,000","1,599,100,000","1,514,500,000","1,207,400,000","1,120,100,000","1,251,000,000","1,151,700,000","1,034,700,000","1,018,700,000","1,076,100,000","952,800,000","874,000,000","881,100,000","995,700,000",,"834,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-39,600,000","-37,400,000","-32,900,000","-32,600,000","-31,600,000","-27,900,000","-22,500,000","-24,800,000","-22,900,000","-26,300,000","-35,600,000","-29,500,000","-27,300,000","-22,400,000","-20,000,000","-41,400,000","-44,000,000","-38,700,000","-21,500,000","-28,500,000","-24,800,000","-17,800,000","-11,600,000","-17,200,000","-17,500,000","-13,900,000","-34,900,000","-40,800,000","-34,900,000","-37,600,000","-32,400,000","-31,000,000","-30,800,000","-30,200,000","-27,800,000","-28,000,000","-27,900,000","-27,200,000","-25,500,000","-25,000,000","-25,000,000","-21,500,000","-19,700,000","-22,700,000","-21,800,000",,"-20,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,"226,200,000",,,,"197,700,000",,,,"229,200,000",,,,"219,300,000",,,,"127,300,000",,,,"124,600,000",,,,"105,300,000",,,,"74,900,000",,,,"81,000,000",,,,"59,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
