name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989
OperatingCashFlow,"514,300,000","-608,800,000","575,800,000","316,100,000","231,200,000","-303,000,000","400,600,000","340,900,000","234,600,000","-328,300,000","458,900,000","255,100,000","51,700,000","-277,200,000","-45,600,000","220,600,000","271,800,000","-78,400,000","16,000,000","59,400,000","295,000,000","-34,900,000","110,000,000","163,300,000","124,200,000","100,300,000","-47,200,000","-137,900,000","124,600,000","-297,200,000","172,000,000","86,600,000","211,900,000","-96,800,000","-20,500,000","116,100,000","277,600,000","-44,500,000","27,100,000","85,600,000","234,600,000","12,400,000","83,300,000","154,200,000","203,400,000","-59,600,000","69,700,000","97,500,000","195,000,000","-7,700,000","58,300,000","89,400,000","138,600,000","15,200,000","28,200,000","167,700,000","178,100,000","-66,400,000","69,100,000","164,800,000","93,900,000","-58,200,000","22,700,000","155,600,000","111,200,000","-25,500,000","54,500,000","52,400,000","86,000,000","24,100,000","68,400,000","81,900,000","136,300,000","-76,200,000","8,500,000","151,600,000","111,200,000","-102,800,000","53,900,000","140,200,000","54,900,000","-142,400,000","-51,100,000","69,000,000","48,000,000","-275,200,000","136,400,000","74,800,000","72,500,000","-36,600,000","227,000,000","473,300,000","-76,500,000","-36,500,000","88,600,000","277,600,000","157,200,000","-142,500,000","554,300,000","53,500,000","234,400,000","99,700,000","23,400,000","228,400,000","-102,100,000","-68,700,000","18,100,000","-138,400,000","83,600,000","-66,700,000","54,500,000","207,400,000","67,200,000","-23,400,000","99,500,000","153,000,000","53,500,000","37,800,000","209,500,000","78,500,000","83,400,000","-26,300,000","163,300,000","118,300,000","100,200,000","42,200,000","127,700,000","121,000,000","75,600,000","121,100,000","45,100,000"
	CashFlowFromContinuingOperatingActivities,"594,900,000","-597,800,000","600,400,000","337,600,000","254,700,000","-294,100,000","423,300,000","361,900,000","260,500,000","-308,900,000","489,800,000","282,600,000","66,100,000","-282,900,000","-14,900,000","232,400,000","290,200,000","-61,700,000","42,000,000","67,500,000","275,000,000","-70,000,000","126,300,000","168,400,000","135,400,000","107,200,000","-30,300,000","-124,300,000","182,400,000","-304,900,000","184,300,000","86,100,000","233,800,000","-85,300,000","-1,800,000","135,300,000","277,200,000","-31,900,000","45,500,000","96,500,000","243,500,000","24,400,000","97,800,000","164,800,000","213,700,000","-50,700,000","91,500,000","109,000,000","200,600,000","-1,400,000","69,200,000","100,400,000","149,100,000","24,800,000","60,300,000","172,900,000","185,100,000","-60,900,000","79,600,000","173,200,000","99,200,000","-61,600,000","36,400,000","177,400,000","97,100,000","-16,500,000","65,900,000","65,300,000","92,900,000","-24,500,000","77,800,000","87,300,000","143,300,000","-69,700,000","19,900,000","158,200,000","113,800,000","-97,300,000","59,700,000","144,300,000","62,100,000","-129,900,000","-38,700,000","81,600,000","50,600,000","-183,500,000","85,500,000","85,000,000","78,000,000","-24,700,000","186,900,000","481,500,000","-82,500,000","-27,700,000","100,300,000","296,500,000","171,100,000","-125,400,000","204,300,000","33,000,000","242,700,000","108,000,000","57,300,000","97,100,000","-85,400,000","-65,800,000","14,600,000","-125,400,000","88,100,000","-64,700,000","56,100,000","212,900,000","76,900,000","-20,000,000","111,300,000","164,500,000","55,800,000","41,100,000","231,500,000","83,600,000","82,400,000","-22,400,000","152,500,000","125,500,000","91,100,000","37,100,000","131,700,000","124,800,000","80,400,000","127,200,000","47,700,000"
		NetIncomeFromContinuingOperations,"837,700,000","226,800,000","223,000,000","170,100,000","217,800,000","191,300,000","38,900,000","130,500,000","195,800,000","213,700,000","30,700,000","110,800,000","194,400,000","207,600,000","173,800,000","79,500,000","138,500,000","263,100,000","-247,900,000","70,900,000","48,700,000","45,000,000","35,200,000","82,600,000","72,800,000","54,800,000","-180,300,000","5,400,000","58,100,000","-61,100,000","84,500,000","80,600,000","125,900,000","120,500,000","132,900,000","74,900,000","119,300,000","140,200,000","114,600,000","100,900,000","118,400,000","132,000,000","90,300,000","97,200,000","121,100,000","105,400,000","-42,000,000","86,200,000","88,200,000","86,100,000","74,900,000","34,100,000","74,500,000","73,500,000","71,200,000","80,000,000","84,400,000","93,900,000","40,900,000","37,100,000","8,600,000","45,800,000","12,900,000","45,500,000","35,300,000","38,300,000","45,200,000","-3,000,000","33,300,000","35,500,000","97,400,000","30,100,000","40,800,000","7,300,000","19,600,000","-3,400,000","21,700,000","1,900,000","12,700,000","28,200,000","19,200,000","9,000,000","-6,900,000","21,300,000","-299,800,000","-20,900,000","50,000,000","-10,200,000","38,000,000","32,800,000","31,400,000","64,000,000","86,900,000","30,300,000","-7,200,000","55,400,000","67,600,000","26,800,000","-8,700,000","62,900,000","72,800,000","39,900,000","44,600,000","54,600,000","56,300,000","55,200,000","28,400,000","57,100,000","77,700,000","52,400,000","25,300,000","34,700,000","67,300,000","46,100,000","-102,300,000","35,300,000","62,600,000","45,400,000","-42,900,000","42,200,000","65,400,000","54,700,000","30,200,000","41,700,000","62,500,000","38,700,000","27,100,000","35,400,000","54,800,000","38,000,000","32,300,000"
		OperatingGainsLosses,"24,200,000","5,500,000","6,500,000","6,100,000","6,100,000","6,200,000","6,100,000","13,000,000","3,500,000","3,200,000","4,400,000","-1,100,000","4,700,000","4,600,000","6,400,000","-100,000","1,800,000","2,200,000","32,300,000","-1,700,000","-2,400,000","-2,400,000","25,100,000","1,200,000","4,000,000","3,800,000","18,900,000","7,900,000","11,800,000","10,800,000","7,100,000","5,700,000","9,200,000","8,500,000","14,500,000","12,800,000","17,800,000","18,100,000","13,700,000","6,800,000","35,300,000","1,600,000","5,000,000","13,600,000","-2,100,000","13,300,000","126,700,000","-8,600,000","15,300,000","15,800,000","54,100,000","46,800,000","44,000,000","32,700,000","22,800,000","6,100,000","9,500,000","8,100,000","-137,300,000","22,200,000","96,500,000","32,500,000","70,000,000","-56,400,000","43,100,000","36,500,000","-50,000,000","55,600,000","16,500,000","6,100,000","4,800,000","14,700,000","-8,500,000","16,100,000","16,000,000","39,500,000","8,500,000","6,100,000","11,100,000","-3,600,000","13,700,000","5,300,000","52,300,000","30,600,000","510,100,000","15,100,000","-109,200,000","75,100,000","85,700,000","-3,800,000","-12,700,000","69,100,000","-16,000,000","-43,900,000","45,100,000","16,300,000","-13,000,000","-12,800,000","128,900,000","-81,600,000","9,300,000","4,600,000","8,600,000","3,500,000","19,800,000","27,600,000","11,000,000","57,000,000","8,600,000","16,400,000","-200,000","-1,600,000","-1,800,000","-1,700,000","-2,000,000","-1,500,000","-1,300,000","-1,600,000","-3,600,000","-1,400,000","-4,000,000","-2,100,000","1,700,000","-1,700,000","-1,600,000","-1,600,000","-2,400,000","-300,000","-3,400,000","1,900,000","7,000,000"
			EarningsLossesFromEquityInvestments,,,,,,,,,,,"0","0","0","0","0","0","0","-100,000","100,000","0","-100,000","-100,000","-100,000",,,"0","200,000","0","-100,000","100,000","300,000","400,000","200,000","0","400,000","800,000","200,000","-500,000","-400,000","500,000","300,000","-100,000","500,000","-500,000","-1,700,000","-900,000","-800,000","-1,000,000","0","-900,000","100,000","-900,000","200,000","-1,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"24,200,000","5,500,000","6,500,000","6,100,000","6,100,000","6,200,000","6,100,000","13,000,000","3,500,000","3,200,000","4,400,000","-1,100,000","4,700,000","4,600,000","6,400,000","-100,000","1,800,000","2,300,000","32,200,000","-1,700,000","-2,300,000","-2,300,000","25,200,000","1,600,000","4,000,000","3,800,000","18,700,000","7,900,000","11,900,000","10,700,000","6,800,000","5,300,000","9,000,000","8,500,000","14,100,000","12,000,000","17,600,000","18,600,000","14,100,000","13,600,000",,,,,,"9,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"170,700,000","42,400,000","42,400,000","43,400,000","42,500,000","42,600,000","42,000,000","41,500,000","40,100,000","39,100,000","39,000,000","36,600,000","37,200,000","37,300,000","43,500,000","42,400,000","43,200,000","39,100,000","41,800,000","25,100,000","22,500,000","23,600,000","35,600,000","34,300,000","33,600,000","33,600,000","23,500,000","38,000,000","31,400,000","22,800,000","33,200,000","32,300,000","32,600,000","33,100,000","35,500,000","23,700,000","34,300,000","33,700,000","37,400,000","33,700,000","34,500,000","32,200,000","32,300,000","31,600,000","32,300,000","30,400,000","34,600,000","32,500,000","32,600,000","33,900,000","33,700,000","32,300,000","30,900,000","30,300,000","29,900,000","32,600,000","30,700,000","31,000,000","33,000,000","32,300,000","33,900,000","34,500,000","33,800,000","32,400,000","33,500,000","32,100,000","32,500,000","33,700,000","35,500,000","34,600,000","34,300,000","33,300,000","33,500,000","33,200,000","31,900,000","31,300,000","30,900,000","30,500,000","29,800,000","33,600,000","29,200,000","26,200,000","-6,600,000","41,900,000","50,300,000","46,000,000","47,200,000","46,000,000","50,000,000","45,700,000","46,400,000","45,100,000","45,700,000","43,500,000","52,500,000","51,700,000","49,200,000","53,200,000","57,800,000","46,000,000","71,100,000","63,500,000","67,500,000","62,400,000","59,300,000","65,000,000","66,200,000","65,000,000","58,800,000","58,900,000","63,200,000","56,300,000","55,600,000","53,900,000","61,400,000","52,400,000","53,600,000","59,200,000","60,900,000","58,100,000","58,500,000","55,600,000","59,600,000","55,900,000","54,700,000","54,700,000","59,700,000","48,900,000","52,800,000","49,800,000","64,500,000"
			DepreciationAndAmortization,"170,700,000","42,400,000","42,400,000","43,400,000","42,500,000","42,600,000","42,000,000","41,500,000","40,100,000","39,100,000","39,000,000","36,600,000","37,200,000","37,300,000","43,500,000","42,400,000","43,200,000","39,100,000","41,800,000","25,100,000","22,500,000","23,600,000","35,600,000","34,300,000","33,600,000","33,600,000","23,500,000","38,000,000","31,400,000","22,800,000","33,200,000","32,300,000","32,600,000","33,100,000","35,500,000","23,700,000","34,300,000","33,700,000","37,400,000","33,700,000","34,500,000","32,200,000","32,300,000","31,600,000","32,300,000","30,400,000","34,600,000","32,500,000","32,600,000","33,900,000","33,700,000","32,300,000","30,900,000","30,300,000","29,900,000","32,600,000","30,700,000","31,000,000","33,000,000","32,300,000","33,900,000","34,500,000","33,800,000","32,400,000","33,500,000","32,100,000","32,500,000","33,700,000","35,500,000","34,600,000","34,300,000","33,300,000","33,500,000","33,200,000","31,900,000","31,300,000","30,900,000","30,500,000","29,800,000","33,600,000","29,200,000","26,200,000","-6,600,000","41,900,000","50,300,000","46,000,000","47,200,000","46,000,000","50,000,000","45,700,000","46,400,000","45,100,000","45,700,000","43,500,000","52,500,000","51,700,000","49,200,000","53,200,000","57,800,000","46,000,000","71,100,000","63,500,000","67,500,000","62,400,000","59,300,000","65,000,000","66,200,000","65,000,000","58,800,000","58,900,000","63,200,000","56,300,000","55,600,000","53,900,000","61,400,000","52,400,000","53,600,000","59,200,000","60,900,000","58,100,000","58,500,000","55,600,000","59,600,000","55,900,000","54,700,000","54,700,000","59,700,000","48,900,000","52,800,000","49,800,000","64,500,000"
		DeferredTax,"3,600,000","-6,300,000","500,000","12,100,000","-2,700,000","-200,000","31,000,000","3,200,000","-15,000,000","14,400,000","49,700,000","-1,000,000","3,500,000","-6,100,000","-4,500,000","2,500,000","-27,200,000","-18,200,000","99,600,000","-2,800,000","2,600,000","4,800,000","64,300,000","-1,600,000","-3,400,000","-1,200,000","-32,500,000","31,200,000","-8,100,000","29,300,000","-36,000,000","-4,200,000","-22,100,000","1,300,000","-8,200,000","12,800,000","-200,000","15,200,000","25,000,000","8,500,000","10,800,000","13,000,000","20,900,000","26,700,000","6,600,000","35,600,000","-12,600,000","-24,800,000","32,700,000","36,800,000","-24,000,000","24,200,000","9,800,000","39,900,000","8,000,000","16,600,000","33,500,000","38,800,000","-4,600,000","2,400,000","-5,900,000","14,600,000","8,900,000","22,200,000","6,600,000","19,500,000","37,700,000","1,300,000","15,500,000","1,900,000","-44,600,000","-5,700,000","-9,500,000","-300,000","-16,800,000","-8,000,000","9,100,000","-1,600,000","-9,800,000","12,400,000","11,000,000","-6,400,000","-76,400,000","39,400,000","-176,700,000","13,400,000","-42,300,000","6,800,000","13,100,000","14,500,000","-23,400,000","17,200,000","13,400,000","13,400,000","5,900,000","12,000,000","9,200,000","300,000","-41,400,000","14,600,000","2,900,000","8,100,000","71,300,000","-33,800,000","7,200,000","7,300,000","9,900,000","-35,300,000","9,500,000","12,200,000","-6,400,000","11,700,000","12,400,000","12,600,000","-53,600,000","16,000,000","6,700,000","-8,000,000","700,000","9,600,000","-6,100,000","-7,200,000","100,000","7,900,000","-3,500,000","-8,800,000","-6,500,000","-5,800,000","-3,500,000","-6,800,000","-15,400,000"
			DeferredIncomeTax,"3,600,000","-6,300,000","500,000","12,100,000","-2,700,000","-200,000","31,000,000","3,200,000","-15,000,000","14,400,000","49,700,000","-1,000,000","3,500,000","-6,100,000","-4,500,000","2,500,000","-27,200,000","-18,200,000","99,600,000","-2,800,000","2,600,000","4,800,000","64,300,000","-1,600,000","-3,400,000","-1,200,000","-32,500,000","31,200,000","-8,100,000","29,300,000","-36,000,000","-4,200,000","-22,100,000","1,300,000","-8,200,000","12,800,000","-200,000","15,200,000","25,000,000","8,500,000","10,800,000","13,000,000","20,900,000","26,700,000","6,600,000","35,600,000","-12,600,000","-24,800,000","32,700,000","36,800,000","-24,000,000","24,200,000","9,800,000","39,900,000","8,000,000","16,600,000","33,500,000","38,800,000","-4,600,000","2,400,000","-5,900,000","14,600,000","8,900,000","22,200,000","6,600,000","19,500,000","37,700,000","1,300,000","15,500,000","1,900,000","-44,600,000","-5,700,000","-9,500,000","-300,000","-16,800,000","-8,000,000","9,100,000","-1,600,000","-9,800,000","12,400,000","11,000,000","-6,400,000","-76,400,000","39,400,000","-176,700,000","13,400,000","-42,300,000","6,800,000","13,100,000","14,500,000","-23,400,000","17,200,000","13,400,000","13,400,000","5,900,000","12,000,000","9,200,000","300,000","-41,400,000","14,600,000","2,900,000","8,100,000","71,300,000","-33,800,000","7,200,000","7,300,000","9,900,000","-35,300,000","9,500,000","12,200,000","-6,400,000","11,700,000","12,400,000","12,600,000","-53,600,000","16,000,000","6,700,000","-8,000,000","700,000","9,600,000","-6,100,000","-7,200,000","100,000","7,900,000","-3,500,000","-8,800,000","-6,500,000","-5,800,000","-3,500,000","-6,800,000","-15,400,000"
