name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986
TotalRevenue,"5,200,400,000","1,350,800,000","1,413,600,000","1,194,000,000","1,242,000,000","1,195,600,000","1,152,200,000","1,084,600,000","1,155,300,000","1,250,000,000","1,197,300,000","1,014,300,000","1,206,100,000","1,192,100,000","1,219,200,000","1,035,600,000","1,262,300,000","1,210,700,000","979,600,000","646,200,000","656,800,000","596,000,000","865,600,000","807,700,000","810,300,000","798,800,000","899,300,000","830,700,000","887,100,000","659,400,000","1,092,200,000","1,015,900,000","987,800,000","941,800,000","1,130,700,000","957,400,000","959,400,000","990,200,000","1,000,000,000","902,400,000","905,200,000","940,700,000","908,600,000","862,100,000","812,200,000","795,000,000","810,500,000","772,500,000","776,800,000","756,500,000","722,100,000","713,300,000","700,300,000","690,500,000","737,700,000","820,800,000","806,600,000","750,200,000","674,300,000","626,600,000","657,900,000","674,100,000","588,400,000","572,200,000","592,300,000","594,100,000","522,200,000","510,000,000","565,600,000","552,400,000","513,700,000","497,500,000","534,300,000","505,700,000","506,900,000","470,500,000","510,000,000","434,000,000","459,700,000","476,600,000","482,400,000","434,200,000","-891,700,000","956,800,000","1,001,300,000","876,600,000","1,079,800,000","919,200,000","967,500,000","959,000,000","1,031,200,000","1,034,300,000","1,070,400,000","974,700,000","1,055,600,000","1,128,700,000","1,155,100,000","1,039,000,000","1,082,600,000","1,074,700,000","1,478,100,000","1,297,700,000","1,407,600,000","1,273,100,000","1,266,800,000","1,144,300,000","1,161,500,000","1,176,300,000","1,139,800,000","1,032,100,000","1,039,100,000","1,009,600,000","1,053,800,000","908,300,000","946,400,000","926,500,000","979,300,000","901,700,000","1,002,500,000","976,300,000","1,061,100,000","933,900,000","1,007,900,000","967,400,000","1,046,700,000","877,400,000","980,500,000","941,000,000","987,300,000","813,500,000","822,700,000","837,600,000","917,100,000","837,100,000","882,100,000","798,200,000","892,700,000","713,900,000","856,300,000","730,000,000","828,500,000","724,300,000","778,100,000","664,900,000","807,400,000","752,300,000"
	OperatingRevenue,"5,200,400,000","1,350,800,000","1,413,600,000","1,194,000,000","1,242,000,000","1,195,600,000","1,152,200,000","1,084,600,000","1,155,300,000","1,250,000,000","1,197,300,000","1,014,300,000","1,206,100,000","1,192,100,000","1,219,200,000","1,035,600,000","1,262,300,000","1,210,700,000","979,600,000","646,200,000","656,800,000","596,000,000","865,600,000","807,700,000","810,300,000","798,800,000","899,300,000","830,700,000","887,100,000","659,400,000","1,092,200,000","1,015,900,000","987,800,000","941,800,000","1,130,700,000","957,400,000","959,400,000","990,200,000","1,000,000,000","902,400,000","905,200,000","940,700,000","908,600,000","862,100,000","812,200,000","795,000,000","810,500,000","772,500,000","776,800,000","756,500,000","722,100,000","713,300,000","700,300,000","690,500,000","737,700,000","820,800,000","806,600,000","750,200,000","674,300,000","626,600,000","657,900,000","674,100,000","588,400,000","572,200,000","592,300,000","594,100,000","522,200,000","510,000,000","565,600,000","552,400,000","513,700,000","497,500,000","534,300,000","505,700,000","506,900,000","470,500,000","510,000,000","434,000,000","459,700,000","476,600,000","482,400,000","434,200,000","-891,700,000","956,800,000","1,001,300,000","876,600,000","1,079,800,000","919,200,000","967,500,000","959,000,000","1,031,200,000","1,034,300,000","1,070,400,000","974,700,000","1,055,600,000","1,128,700,000","1,155,100,000","1,039,000,000","1,082,600,000","1,074,700,000","1,478,100,000","1,297,700,000","1,407,600,000","1,273,100,000","1,266,800,000","1,144,300,000","1,161,500,000","1,176,300,000","1,139,800,000","1,032,100,000","1,039,100,000","1,009,600,000","1,053,800,000","908,300,000","946,400,000","926,500,000","979,300,000","901,700,000","1,002,500,000","976,300,000","1,061,100,000","933,900,000","1,007,900,000","967,400,000","1,046,700,000","877,400,000","980,500,000","941,000,000","987,300,000","813,500,000","822,700,000","837,600,000","917,100,000","837,100,000","882,100,000","798,200,000","892,700,000","713,900,000","856,300,000","730,000,000","828,500,000","724,300,000","778,100,000","664,900,000","807,400,000","752,300,000"
CostOfRevenue,"2,968,400,000","778,100,000","798,900,000","681,200,000","710,200,000","683,200,000","650,800,000","618,200,000","632,600,000","688,500,000","641,300,000","581,900,000","655,600,000","647,400,000","677,300,000","589,400,000","718,200,000","656,000,000","594,800,000","380,300,000","422,400,000","379,800,000","528,000,000","528,200,000","509,000,000","517,400,000","600,700,000","610,400,000","581,300,000","408,700,000","727,000,000","692,200,000","630,200,000","613,300,000","775,800,000","653,000,000","616,500,000","620,500,000","659,400,000","586,900,000","567,400,000","593,400,000","615,500,000","574,700,000","513,400,000","506,900,000","546,100,000","517,800,000","512,200,000","489,500,000","502,400,000","510,000,000","477,300,000","453,900,000","518,000,000","580,800,000","536,400,000","499,200,000","478,700,000","440,200,000","447,900,000","463,300,000","415,600,000","412,600,000","407,900,000","400,400,000","360,100,000","367,800,000","387,400,000","390,200,000","359,300,000","359,700,000","377,600,000","377,600,000","360,200,000","344,400,000","370,700,000","325,200,000","329,700,000","350,100,000","356,200,000","322,800,000","-710,100,000","726,700,000","733,400,000","660,900,000","779,900,000","611,200,000","620,600,000","671,400,000","706,800,000","729,900,000","715,800,000","675,100,000","728,800,000","790,900,000","796,900,000","720,700,000","769,600,000","733,300,000","1,016,000,000","914,500,000","978,800,000","872,500,000","885,200,000","747,600,000","852,500,000","792,500,000","751,300,000","686,900,000","724,600,000","693,800,000","693,200,000","601,000,000","676,200,000","651,900,000","673,600,000","606,900,000","704,400,000","688,000,000","728,100,000","634,300,000","728,200,000","681,500,000","710,200,000","598,900,000","711,600,000","649,900,000","665,900,000","532,600,000","446,600,000","610,800,000",,,,,,,,,,,,,,
GrossProfit,"2,232,000,000","572,700,000","614,700,000","512,800,000","531,800,000","512,400,000","501,400,000","466,400,000","522,700,000","561,500,000","556,000,000","432,400,000","550,500,000","544,700,000","541,900,000","446,200,000","544,100,000","554,700,000","384,800,000","265,900,000","234,400,000","216,200,000","337,600,000","279,500,000","301,300,000","281,400,000","298,600,000","220,300,000","305,800,000","250,700,000","365,200,000","323,700,000","357,600,000","328,500,000","354,900,000","304,400,000","342,900,000","369,700,000","340,600,000","315,500,000","337,800,000","347,300,000","293,100,000","287,400,000","298,800,000","288,100,000","264,400,000","254,700,000","264,600,000","267,000,000","219,700,000","203,300,000","223,000,000","236,600,000","219,700,000","240,000,000","270,200,000","251,000,000","195,600,000","186,400,000","210,000,000","210,800,000","172,800,000","159,600,000","184,400,000","193,700,000","162,100,000","142,200,000","178,200,000","162,200,000","154,400,000","137,800,000","156,700,000","128,100,000","146,700,000","126,100,000","139,300,000","108,800,000","130,000,000","126,500,000","126,200,000","111,400,000","-181,600,000","230,100,000","267,900,000","215,700,000","299,900,000","308,000,000","346,900,000","287,600,000","324,400,000","304,400,000","354,600,000","299,600,000","326,800,000","337,800,000","358,200,000","318,300,000","313,000,000","341,400,000","462,100,000","383,200,000","428,800,000","400,600,000","381,600,000","396,700,000","309,000,000","383,800,000","388,500,000","345,200,000","314,500,000","315,800,000","360,600,000","307,300,000","270,200,000","274,600,000","305,700,000","294,800,000","298,100,000","288,300,000","333,000,000","299,600,000","279,700,000","285,900,000","336,500,000","278,500,000","268,900,000","291,100,000","321,400,000","280,900,000","376,100,000","226,800,000",,,,,,,,,,,,,,
OperatingExpense,"1,030,600,000","260,300,000","280,400,000","263,000,000","226,900,000","248,500,000","277,400,000","263,400,000","235,300,000","263,100,000","408,900,000","265,700,000","270,000,000","255,100,000","331,400,000","278,500,000","288,400,000","266,300,000","291,000,000","183,800,000","161,700,000","140,200,000","214,000,000","158,100,000","166,700,000","169,100,000","201,300,000","177,100,000","198,500,000","326,400,000","291,500,000","195,300,000","159,500,000","146,900,000","177,900,000","154,900,000","168,900,000","162,100,000","179,300,000","157,100,000","156,700,000","157,600,000","146,800,000","138,400,000","133,900,000","128,600,000","155,500,000","123,900,000","117,900,000","114,400,000","116,300,000","103,000,000","95,700,000","100,100,000","106,800,000","105,300,000","113,000,000","105,500,000","113,400,000","94,300,000","101,600,000","100,600,000","104,100,000","95,100,000","93,100,000","89,500,000","96,500,000","86,000,000","92,200,000","90,100,000","94,400,000","82,900,000","82,100,000","88,800,000","87,800,000","77,300,000","82,300,000","76,900,000","74,500,000","75,100,000","78,100,000","78,500,000","-167,200,000","160,800,000","498,900,000","171,300,000","215,000,000","206,400,000","224,000,000","220,500,000","226,800,000","217,700,000","233,900,000","230,300,000","250,600,000","232,000,000","237,900,000","256,600,000","264,600,000","238,200,000","309,500,000","277,700,000","317,200,000","279,800,000","267,600,000","273,000,000","290,000,000","285,800,000","252,800,000","238,000,000","262,100,000","245,900,000","241,000,000","234,600,000","423,500,000","221,900,000","220,700,000","221,400,000","249,800,000","219,700,000","233,000,000","209,500,000","233,600,000","207,000,000","214,800,000","200,500,000","222,900,000","211,600,000","217,500,000","203,100,000","332,500,000","151,400,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"728,100,000","188,500,000","195,100,000","183,500,000","161,000,000","174,500,000","181,600,000","187,700,000","171,000,000","189,400,000","223,800,000","188,300,000","196,900,000","183,900,000","231,800,000","207,600,000","211,400,000","200,400,000","231,600,000","150,900,000","126,400,000","109,700,000","156,100,000","117,800,000","129,100,000","126,500,000","147,000,000","137,000,000","156,000,000","297,900,000","229,400,000","147,400,000","125,000,000","119,400,000","141,700,000","124,900,000","138,800,000","131,300,000","142,100,000","127,600,000","128,300,000","129,100,000","117,100,000","110,600,000","108,900,000","105,900,000","124,800,000","99,900,000","95,600,000","90,900,000","87,700,000","79,800,000","74,700,000","80,100,000","81,200,000","81,900,000","90,000,000","83,700,000","86,200,000","73,800,000","77,900,000","77,400,000","77,400,000","69,500,000","70,500,000","67,500,000","73,300,000","63,100,000","68,500,000","65,500,000","68,100,000","60,400,000","61,400,000","64,900,000","62,600,000","57,200,000","60,300,000","56,800,000","52,900,000","55,700,000","57,700,000","57,900,000","173,300,000","122,900,000","134,500,000","133,400,000","124,500,000","125,100,000","134,800,000","138,100,000","140,700,000","135,800,000","149,400,000","149,700,000","153,300,000","143,300,000","150,900,000","165,300,000","159,600,000","148,400,000","192,700,000","170,600,000","60,300,000","217,400,000","162,900,000","164,200,000","362,400,000","163,400,000","151,100,000","140,800,000","149,700,000","149,000,000","146,500,000","180,700,000","362,100,000","169,500,000","167,100,000","162,200,000","188,900,000","161,600,000","174,500,000","153,900,000","174,000,000","151,100,000","160,100,000","145,800,000","163,200,000","162,700,000","164,700,000","153,300,000","268,000,000","107,000,000",,,,,,,,,,,,,,
	ResearchAndDevelopment,"302,500,000","71,800,000","85,300,000","79,500,000","65,900,000","74,000,000","84,600,000","71,700,000","64,300,000","67,300,000","76,400,000","77,400,000","73,100,000","71,200,000","77,700,000","70,900,000","77,000,000","65,900,000","51,100,000","30,200,000","32,000,000","28,200,000","38,200,000","32,200,000","35,100,000","36,000,000","40,900,000","37,200,000","39,000,000","26,600,000","38,400,000","30,600,000","33,200,000","26,100,000","33,000,000","29,000,000","29,100,000","29,800,000","31,400,000","29,500,000","28,400,000","28,500,000","29,700,000","27,800,000","25,000,000","22,700,000","30,700,000","24,000,000","22,300,000","23,500,000","28,600,000","23,200,000","21,000,000","20,000,000","25,600,000","23,400,000","23,000,000","21,800,000","27,200,000","20,500,000","23,700,000","23,200,000","26,700,000","25,600,000","22,600,000","22,000,000","23,200,000","22,900,000","23,700,000","24,600,000","26,300,000","22,500,000","20,700,000","23,900,000","25,200,000","20,100,000","22,000,000","20,100,000","21,600,000","19,400,000","20,400,000","20,600,000","-16,100,000","37,900,000","41,300,000","36,600,000","43,300,000","35,300,000","39,200,000","36,700,000","39,700,000","36,800,000","38,800,000","37,100,000","44,800,000","37,000,000","37,800,000","38,100,000","47,200,000","43,800,000","45,700,000","43,600,000",,,"45,400,000","43,800,000",,"57,400,000","42,900,000","38,300,000","49,200,000","40,600,000","38,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,200,000","46,000,000","50,000,000","45,700,000","46,400,000","45,100,000","45,700,000","43,500,000","52,500,000","51,700,000","49,200,000","53,200,000","57,800,000","46,000,000","71,100,000","63,500,000","67,500,000","62,400,000","59,300,000","65,000,000","66,200,000","65,000,000","58,800,000","58,900,000","63,200,000","56,300,000","55,600,000","53,900,000","61,400,000","52,400,000","53,600,000","59,200,000","60,900,000","58,100,000","58,500,000","55,600,000","59,600,000","55,900,000","54,700,000","54,700,000","59,700,000","48,900,000","52,800,000","49,800,000","64,500,000","44,400,000",,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,200,000","46,000,000","50,000,000","45,700,000","46,400,000","45,100,000","45,700,000","43,500,000","52,500,000","51,700,000","49,200,000","53,200,000","57,800,000","46,000,000","71,100,000","63,500,000","67,500,000","62,400,000","59,300,000","65,000,000","66,200,000","65,000,000","58,800,000","58,900,000","63,200,000","56,300,000","55,600,000","53,900,000","61,400,000","52,400,000","53,600,000","59,200,000","60,900,000","58,100,000","58,500,000","55,600,000","59,600,000","55,900,000","54,700,000","54,700,000","59,700,000","48,900,000","52,800,000","49,800,000","64,500,000","44,400,000",,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,"11,200,000","4,000,000",,"6,400,000",,,,,,,,,"8,300,000","2,700,000","3,300,000","2,300,000","19,700,000","8,100,000","2,500,000","6,600,000","13,400,000","2,900,000","3,500,000","1,900,000","23,700,000","17,300,000","1,300,000","1,400,000","3,200,000","1,000,000","1,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"323,100,000","1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
