name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,09/30/1997,03/31/1997,09/30/1996,03/31/1996,09/30/1995,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989,03/31/1988,11/30/1986,11/30/1985
TotalAssets,"8,023,583,000,000","7,376,772,000,000","7,275,344,000,000","6,945,693,000,000","6,847,073,000,000","6,672,760,000,000","6,384,330,000,000","6,209,199,000,000","6,218,518,000,000","6,710,685,000,000","6,626,202,000,000","6,503,123,000,000","6,013,931,000,000","6,261,873,000,000","6,462,583,000,000","6,385,523,000,000","6,291,148,000,000","6,374,949,000,000","6,283,021,000,000","6,156,490,000,000","5,982,961,000,000","6,145,007,000,000","5,731,952,000,000","5,399,889,000,000","5,596,982,000,000","5,864,872,000,000","5,872,060,000,000","6,037,585,000,000","5,956,947,000,000","5,617,543,000,000","5,344,525,000,000","5,235,960,000,000","5,212,994,000,000","5,476,647,000,000","5,343,227,000,000","5,444,354,000,000","5,397,812,000,000","5,744,186,000,000","5,599,751,000,000","6,432,717,000,000","6,601,055,000,000","7,000,907,000,000","7,315,865,000,000","7,665,004,000,000","7,822,870,000,000","8,138,376,000,000","8,963,966,000,000","8,351,031,000,000","8,358,057,000,000","8,675,083,000,000","6,808,552,000,000","6,610,242,000,000","6,403,316,000,000","6,584,362,845,210","7,272,332,378,520","7,624,044,251,480","7,422,076,086,240","7,364,479,835,900","7,555,486,641,370","8,153,826,999,450","7,897,378,229,280","8,091,065,783,570","7,994,074,865,990","7,980,989,397,000","7,963,747,767,000","8,272,644,510,340","8,080,789,787,840","8,190,893,307,600","8,060,801,319,060","8,217,422,739,400","8,333,223,259,680","8,666,666,824,400","7,456,145,714,178.3","7,681,823,350,130","7,784,455,667,380","8,108,024,016,960","7,702,353,560,580","7,691,293,349,350","7,523,241,784,860","7,638,882,399,130","7,640,452,187,940","7,483,149,258,080","7,622,426,854,060","7,983,236,201,080","8,194,738,964,370","8,204,281,611,200","8,128,804,936,320","7,975,593,345,020","7,695,540,343,400","7,847,633,082,900","7,785,938,374,980","7,997,939,603,130","7,878,063,511,815","8,018,629,705,840","8,743,075,474,120","8,528,506,959,660","8,559,287,295,600","8,580,569,696,640","8,680,534,271,508","8,252,067,140,760","8,094,978,232,497","7,907,820,873,600","7,962,546,009,733","8,160,804,715,188","8,545,549,513,732","9,027,982,453,770","8,791,793,849,940","7,803,924,871,275","6,397,471,650,498","4,829,729,660,033","4,381,933,314,300","4,399,951,522,404"
	CurrentAssets,"4,031,197,000,000","3,537,409,000,000","3,463,731,000,000","4,024,191,000,000","3,922,747,000,000","3,614,256,000,000","3,383,400,000,000","3,261,435,000,000","3,435,835,000,000","3,997,091,000,000","3,540,487,000,000","3,201,850,000,000","3,274,093,000,000","3,495,219,000,000","3,685,126,000,000","3,614,804,000,000","3,485,958,000,000","3,413,045,000,000","3,336,778,000,000","3,267,873,000,000","3,204,819,000,000","3,407,664,000,000","3,090,212,000,000","2,766,473,000,000","3,054,359,000,000","3,348,236,000,000","3,344,281,000,000","3,496,951,000,000","3,412,740,000,000","3,072,754,000,000","2,816,365,000,000","2,718,737,000,000","2,653,992,000,000","2,703,755,000,000","2,527,898,000,000","2,554,741,000,000","2,494,083,000,000","2,689,957,000,000","2,599,537,000,000","2,826,885,000,000","2,906,040,000,000","3,086,381,000,000","3,296,722,000,000","3,429,217,000,000","3,489,849,000,000","3,773,525,000,000","4,597,534,000,000","3,946,958,000,000","3,806,048,000,000","3,897,426,000,000","3,559,170,000,000","3,333,802,000,000","3,194,694,000,000","3,185,888,282,490","3,638,444,455,680","3,949,129,178,850","3,788,214,233,280","3,828,993,021,980","3,896,409,573,650","4,331,547,399,300","4,199,116,204,800","4,417,236,946,710","4,401,114,199,280","4,400,251,909,900","4,406,073,513,300","4,430,179,362,930","4,305,911,745,520","4,270,423,080,000","4,032,491,700,300","4,172,070,698,200","4,265,544,170,520","4,421,968,541,600","3,784,180,345,388.8","4,092,225,357,600","4,022,189,918,180","4,116,526,979,040","3,918,834,421,960","3,787,029,262,850","3,839,255,354,610","3,842,329,281,480","3,848,668,789,030","3,713,270,257,440","3,842,992,455,010","4,055,978,919,860","4,338,302,197,770","4,360,243,764,200","4,294,828,180,080","4,249,270,660,670","4,254,212,827,600","4,381,634,337,600","4,305,999,964,310","4,432,553,607,390","4,375,872,289,630","4,560,964,493,960","5,056,869,417,600","4,882,006,525,200","4,922,135,864,175","4,934,237,275,840","5,101,574,511,096","4,707,207,422,550","4,633,246,283,481","4,564,852,735,580","4,109,088,563,790","4,057,876,553,940","4,315,619,594,132","4,444,519,655,906","4,418,331,737,520","4,585,174,416,585","3,528,716,481,652","2,755,957,455,202","2,450,064,945,870","2,518,484,111,946"
		CashCashEquivalentsAndShortTermInvestments,"1,416,506,000,000","1,050,201,000,000","1,116,359,000,000","1,766,133,000,000","1,742,853,000,000","1,489,790,000,000","1,348,484,000,000","1,164,628,000,000","1,164,940,000,000","1,004,413,000,000","956,326,000,000","808,275,000,000","903,569,000,000","1,022,852,000,000","1,269,042,000,000","1,302,434,000,000","1,293,142,000,000","1,159,374,000,000","1,179,608,000,000","1,246,090,000,000","1,414,306,000,000","1,146,300,000,000","1,022,012,000,000","688,048,000,000","1,014,410,000,000","1,157,934,000,000","1,159,050,000,000","1,269,993,000,000","1,298,878,000,000","824,235,000,000","636,208,000,000","635,809,000,000","592,467,000,000","520,151,000,000","458,602,000,000","476,306,000,000","497,957,000,000","541,919,000,000","471,829,000,000","537,117,000,000","611,469,000,000","711,937,000,000","791,413,000,000","895,106,000,000","1,044,723,000,000","1,206,693,000,000","1,970,482,000,000","1,255,622,000,000","1,201,944,000,000","1,212,853,000,000","1,491,359,000,000","1,228,243,000,000","975,865,000,000","815,746,499,490","1,085,302,542,960","1,319,881,065,880","1,328,447,521,320","1,260,981,355,420","1,308,256,687,260","1,350,945,221,010","1,555,463,864,640","1,578,953,589,920","1,469,005,238,260","1,621,392,565,400","1,734,934,113,000","1,710,701,908,680","1,683,649,164,120","1,606,011,838,320","1,327,221,108,220","1,350,708,016,800","1,250,467,697,160","1,371,180,014,080","1,280,813,035,230.9","1,152,707,818,890","1,184,879,545,080","1,193,293,422,720","1,148,941,189,580","963,178,505,550","1,456,193,744,370","1,456,590,361,870","913,223,167,090","1,136,914,200,640","1,169,372,653,640","1,207,513,743,870","1,394,017,397,580","1,422,775,367,700","1,365,902,202,240","1,515,997,319,340","1,252,466,068,200","1,675,529,280,750","1,650,528,804,230","1,666,101,070,210","1,645,349,512,400","1,558,564,041,600","1,843,513,488,440","1,768,164,400,860","1,905,290,537,790","1,883,777,750,640","2,021,253,164,268","1,723,915,154,750","1,867,964,799,717","1,454,601,032,700","1,499,892,061,619","1,387,581,297,096","1,380,130,922,016","1,259,364,056,414","1,663,322,646,435","1,998,741,977,106","1,650,976,669,958","1,532,209,433,652","1,084,155,076,530","1,038,421,168,860"
			CashAndCashEquivalents,"1,205,873,000,000","889,745,000,000","975,319,000,000","1,625,376,000,000","1,593,224,000,000","1,358,889,000,000","1,226,315,000,000","1,060,830,000,000","1,016,504,000,000","864,303,000,000","821,966,000,000","690,400,000,000","772,264,000,000","868,882,000,000","1,071,595,000,000","1,058,609,000,000","1,089,585,000,000","1,007,790,000,000","1,035,216,000,000","1,095,715,000,000","1,270,787,000,000","1,146,300,000,000","1,022,012,000,000","688,048,000,000","1,014,264,000,000","1,157,934,000,000","1,156,050,000,000","1,247,544,000,000","1,280,408,000,000","815,604,000,000","634,555,000,000","634,329,000,000","592,467,000,000","520,151,000,000","458,570,000,000","474,635,000,000","496,283,000,000","525,303,000,000","471,368,000,000","536,651,000,000","574,411,000,000","685,865,000,000","740,595,000,000","837,041,000,000","974,826,000,000","1,125,951,000,000","1,868,406,000,000","1,169,237,000,000","1,109,912,000,000","1,110,905,000,000","1,459,505,000,000","1,041,126,000,000","973,867,000,000","723,392,698,980","969,481,836,120","1,158,028,897,840","1,211,287,284,320","1,100,815,934,190","1,220,649,187,490","1,258,451,843,220","1,236,759,899,040","1,266,353,158,140","1,408,101,598,300","1,443,426,465,200","1,667,255,204,250","1,414,836,934,830","1,454,101,903,100","1,480,893,988,080","1,170,339,434,040","1,238,867,258,800","1,242,874,432,080","1,359,543,254,760","1,278,122,459,612.5","1,150,026,853,640","1,181,980,348,000","1,192,095,817,920","1,147,761,457,380","959,021,242,300","1,451,083,011,750","1,085,241,690,800","901,394,195,780","1,124,934,210,800","1,152,646,849,440","1,194,292,335,250","1,382,541,408,510","1,383,922,391,250","1,357,143,646,320","1,391,202,915,900","1,117,550,328,800","1,501,994,145,600","1,509,698,701,480","1,538,116,584,130","1,521,960,207,985","1,558,564,041,600","1,843,513,488,440","1,768,164,400,860","1,905,290,537,790","1,883,777,750,640","2,021,253,164,268","1,723,915,154,750","1,867,964,799,717","1,454,601,032,700","1,499,892,061,619","1,387,581,297,096","1,380,130,922,016","1,259,364,056,414","1,663,322,646,435","1,998,741,977,106","1,650,976,669,958","1,532,209,433,652","1,084,155,076,530","1,038,421,168,860"
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"471,368,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"210,633,000,000","160,456,000,000","141,040,000,000","140,757,000,000","149,629,000,000","130,901,000,000","122,169,000,000","103,798,000,000","148,436,000,000","140,110,000,000","134,360,000,000","117,875,000,000","131,305,000,000","153,970,000,000","197,447,000,000","243,825,000,000","203,557,000,000","151,584,000,000","144,392,000,000","150,375,000,000","143,519,000,000",,,,"146,000,000",,"3,000,000,000","22,449,000,000","18,470,000,000","8,631,000,000","1,653,000,000","1,480,000,000",,,"32,000,000","1,671,000,000","1,674,000,000","16,616,000,000","461,000,000","466,000,000","37,058,000,000","26,072,000,000","50,818,000,000","58,065,000,000","69,897,000,000","80,742,000,000","102,076,000,000","86,385,000,000","92,032,000,000","101,948,000,000","31,854,000,000","187,117,000,000","1,998,000,000","92,353,800,510","115,820,706,840","161,852,168,040","117,160,237,000","160,165,421,230","87,607,499,770","92,493,377,790","318,703,965,600","312,600,431,780","60,903,639,960","177,966,100,200","67,678,908,750","295,864,973,850","229,547,261,020","125,117,850,240","156,881,674,180","111,840,758,000","7,593,265,080","11,636,759,320","2,690,575,618.4","2,680,965,250","2,899,197,080","1,197,604,800","1,179,732,200","4,157,263,250","5,110,732,620","371,348,671,070","11,828,971,310","11,979,989,840","16,725,804,200","13,221,408,620","11,475,989,070","38,852,976,450","8,758,555,920","124,794,403,440","134,915,739,400","173,535,135,150","140,830,102,750","127,984,486,080","123,389,304,415",,,,,,,,,,,,,,,,,,,
		Inventory,"1,132,664,000,000","1,059,124,000,000","996,042,000,000","917,932,000,000","832,569,000,000","796,110,000,000","793,581,000,000","843,016,000,000","793,516,000,000","877,913,000,000","1,005,419,000,000","1,041,995,000,000","1,016,437,000,000","1,103,249,000,000","1,078,259,000,000","1,036,139,000,000","988,609,000,000","1,048,112,000,000","971,760,000,000","905,829,000,000","806,309,000,000","833,275,000,000","786,943,000,000","771,646,000,000","756,448,000,000","831,944,000,000","835,143,000,000","843,583,000,000","762,670,000,000","844,941,000,000","828,802,000,000","793,979,000,000","750,681,000,000","850,719,000,000","846,652,000,000","837,080,000,000","786,845,000,000","838,115,000,000","851,730,000,000","838,387,000,000","830,266,000,000","872,253,000,000","916,147,000,000","976,729,000,000","896,424,000,000","945,881,000,000","1,010,673,000,000","975,862,000,000","913,646,000,000","979,348,000,000","783,184,000,000","796,911,000,000","771,137,000,000","926,171,495,970","995,761,374,360","1,004,035,693,340","861,800,790,120","919,637,882,680","933,484,892,700","1,110,536,334,930","949,396,138,560","1,054,818,136,330","1,037,132,333,970","1,012,024,728,100","915,254,251,200","987,279,567,430","1,005,333,036,400","1,024,236,018,720","893,893,120,960","978,452,723,200","1,059,425,549,640","1,070,038,083,640","779,435,611,528.3","831,206,466,110","874,999,980,260","847,065,875,040","770,011,206,940","812,448,018,000","862,253,603,460","861,978,312,120","836,002,579,100","960,242,262,560","1,023,380,276,980","1,093,510,277,090","1,052,512,140,420","1,126,048,653,750","1,072,112,122,800","1,045,259,246,500","943,279,884,000","970,344,665,550","988,680,464,740","1,054,902,430,720","1,010,944,374,335","1,053,625,749,760","1,210,857,531,000","1,201,746,057,000","1,101,067,292,655","1,132,459,751,840","1,077,523,893,876","1,107,761,699,440","1,024,444,490,877","996,468,296,460","889,166,364,653","920,823,663,012","965,453,078,744","1,088,133,276,036","934,346,447,955","840,910,153,476","795,963,540,695","567,092,152,105","588,031,156,260","630,962,944,188"
			RawMaterials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"206,215,000,000","210,749,000,000","234,873,000,000","254,950,000,000",,"276,977,000,000","265,834,000,000","279,832,000,000","283,820,000,000","270,722,000,000","256,794,000,000",,,,"201,441,000,000",,"246,582,602,760","255,097,708,420","231,428,859,640",,,,"246,833,570,400",,,,"254,354,994,450",,"278,792,694,180",,"262,398,808,420",,,,"224,196,216,739.5",,,,"223,441,278,680",,"253,468,001,130",,"255,319,706,590",,,,"344,910,220,950",,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150,404,000,000","151,977,000,000","144,403,000,000","148,375,000,000",,"169,302,000,000","164,329,000,000","180,839,000,000","174,108,000,000","174,335,000,000","159,699,000,000",,,,"129,949,000,000",,"149,835,754,320","153,887,002,290","132,515,706,360",,,,"126,185,562,720",,,,"126,177,026,400",,"149,097,924,360",,"139,831,649,440",,,,"126,522,733,801.3",,,,"126,939,184,720",,"148,576,298,310",,"157,365,191,360",,,,"188,155,776,840",,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"495,111,000,000","475,661,000,000","450,990,000,000","468,928,000,000",,"530,450,000,000","466,261,000,000","485,210,000,000","552,745,000,000","530,805,000,000","497,153,000,000",,,,"439,747,000,000",,"599,343,017,280","595,050,982,630","497,856,224,120",,,,"576,377,005,440",,,,"534,722,230,350",,"577,442,417,860",,"491,662,663,100",,,,"428,716,660,987.5",,,,"419,630,743,540",,"460,209,304,020",,"423,317,681,150",,,,"519,446,142,630",,,,,,,,,,,,,,,,,,,,,,,,,,,
