name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006
OperatingCashFlow,"252,630,000,000","148,696,000,000","62,358,000,000","-88,514,000,000","130,090,000,000","173,975,000,000","254,056,000,000","174,281,000,000","-98,274,000,000","142,473,000,000","145,237,000,000","37,685,000,000","104,908,000,000","125,630,000,000","46,607,000,000","-5,190,000,000","36,630,000,000","158,998,000,000","122,144,000,000","63,572,000,000","78,468,000,000","273,703,000,000","82,318,000,000","3,225,000,000","26,164,000,000","176,042,000,000","95,837,000,000","40,061,000,000","86,740,000,000","122,455,000,000","201,708,000,000","39,662,000,000","127,638,000,000","226,795,000,000","193,688,000,000","59,059,000,000","102,408,000,000","256,585,000,000","61,848,000,000","-33,452,000,000","53,769,000,000","1,331,000,000","-39,262,000,000","44,298,000,000","-43,258,000,000","94,903,000,000","126,970,000,000","102,438,000,000","144,884,000,000","216,174,000,000","149,929,000,000","86,214,000,000","70,016,000,000","-7,127,070,890","-11,968,221,390","12,866,335,310","122,875,956,970","222,883,438,400","60,453,518,640","117,002,436,530","64,412,831,670","205,186,388,900","129,660,688,250","89,592,662,050","108,108,107,200"
InvestingCashFlow,"-796,149,000,000","-35,298,000,000","-58,120,000,000","-643,777,000,000","-58,954,000,000","194,797,000,000","-46,047,000,000","-16,220,000,000","44,066,000,000","-46,816,000,000","-35,282,000,000","-60,296,000,000","-63,702,000,000","-50,728,000,000","-27,557,000,000","-37,978,000,000","-77,124,000,000","-105,035,000,000","-102,647,000,000","-125,986,000,000","-125,160,000,000","-109,915,000,000","-53,808,000,000","-64,187,000,000","-192,246,000,000","-66,961,000,000","-57,391,000,000","-77,087,000,000","-72,835,000,000","-30,371,000,000","-27,612,000,000","-37,979,000,000","-42,046,000,000","89,092,000,000","-30,712,000,000","2,842,000,000","-49,094,000,000","66,161,000,000","30,123,000,000","-81,195,000,000","1,317,000,000","-103,277,000,000","-87,784,000,000","-64,240,000,000","-47,701,000,000","-62,516,000,000","-48,213,000,000","-111,603,000,000","19,387,000,000","14,560,000,000","-318,000,000,000","63,068,000,000","-83,287,000,000","-114,318,972,670","-86,216,623,890","-83,830,951,410","-185,110,452,030","15,674,829,520","-92,397,956,930","-2,480,730,690","17,981,402,340","-43,996,569,870","-180,783,261,360","-95,862,624,470","-247,251,486,700"
FinancingCashFlow,"58,910,000,000","148,793,000,000","-119,330,000,000","75,642,000,000","-46,195,000,000","-228,026,000,000","-66,459,000,000","12,287,000,000","104,494,000,000","55,263,000,000","-73,997,000,000","166,231,000,000","-99,275,000,000","-175,280,000,000","-200,909,000,000","39,109,000,000","-4,681,000,000","72,809,000,000","-57,702,000,000","-12,202,000,000","-131,668,000,000","-6,062,000,000","-30,884,000,000","412,337,000,000","-80,793,000,000","-202,749,000,000","-32,750,000,000","-3,388,000,000","-69,144,000,000","380,413,000,000","-44,626,000,000","-40,432,000,000","-37,740,000,000","-229,691,000,000","-132,454,000,000","-76,440,000,000","-93,730,000,000","-386,998,000,000","-57,614,000,000","27,369,000,000","-73,815,000,000","-37,348,000,000","67,339,000,000","-47,200,000,000","-35,885,000,000","-199,394,000,000","-808,960,000,000","723,226,000,000","-69,499,000,000","-240,022,000,000","-189,528,000,000","291,153,000,000","81,424,000,000","346,768,675,430","-81,494,207,430","-80,772,323,230","-35,790,144,770","-31,010,360,620","-65,118,794,080","5,416,619,490","-112,199,024,190","-187,106,850,470","-112,754,085,400","-44,455,319,330","-83,371,506,400"
EndCashPosition,"1,205,873,000,000","1,205,873,000,000","889,745,000,000","975,319,000,000","1,625,376,000,000","1,593,224,000,000","1,358,889,000,000","1,226,315,000,000","1,060,830,000,000","1,016,504,000,000","864,303,000,000","821,966,000,000","690,400,000,000","772,264,000,000","868,882,000,000","1,071,595,000,000","1,058,609,000,000","1,089,585,000,000","1,007,790,000,000","1,035,216,000,000","1,095,715,000,000","1,270,787,000,000","1,146,300,000,000","1,022,012,000,000","688,048,000,000","1,014,264,000,000","1,157,934,000,000","1,156,050,000,000","1,247,544,000,000","1,280,408,000,000","815,604,000,000","634,555,000,000","634,329,000,000","592,467,000,000","520,151,000,000","458,570,000,000","474,635,000,000","496,283,000,000","525,303,000,000","443,899,000,000","536,651,000,000","574,411,000,000","685,865,000,000","740,595,000,000","837,041,000,000","974,826,000,000","1,125,951,000,000","1,868,406,000,000","1,169,237,000,000","1,109,912,000,000","1,110,905,000,000","1,459,505,000,000","1,041,126,000,000","973,867,000,000","723,392,698,980","969,481,836,120","1,158,028,897,840","1,211,287,284,320","1,100,815,934,190","1,220,649,187,490","1,258,451,843,220","1,236,759,899,040","1,266,353,158,140","1,408,101,598,300","1,443,426,465,200"
	ChangesInCash,"-484,609,000,000","262,191,000,000","-115,092,000,000","-656,649,000,000","24,941,000,000","140,746,000,000","141,550,000,000","170,348,000,000","50,286,000,000","150,920,000,000","35,958,000,000","143,620,000,000","-58,069,000,000","-100,378,000,000","-181,859,000,000","-4,059,000,000","-45,175,000,000","126,772,000,000","-38,205,000,000","-74,616,000,000","-178,360,000,000","157,726,000,000","-2,374,000,000","351,375,000,000","-246,875,000,000","-93,668,000,000","5,696,000,000","-40,414,000,000","-55,239,000,000","472,497,000,000","129,470,000,000","-38,749,000,000","47,852,000,000","86,196,000,000","30,522,000,000","-14,539,000,000","-40,416,000,000","-64,252,000,000","34,357,000,000","-87,278,000,000","-18,729,000,000","-139,294,000,000","-59,707,000,000","-67,142,000,000","-126,844,000,000","-167,007,000,000","-730,203,000,000","714,061,000,000","94,772,000,000","-9,288,000,000","-357,599,000,000","440,435,000,000","68,153,000,000","225,322,631,870","-179,679,052,710","-151,736,939,330","-98,024,639,830","207,547,907,300","-97,063,232,370","119,938,325,330","-29,804,790,180","-25,917,031,440","-163,876,658,510","-50,725,281,750","-222,514,885,900"
	EffectOfExchangeRateChanges,"96,806,000,000","54,042,000,000","29,594,000,000","6,592,000,000","6,578,000,000","94,083,000,000","-8,976,000,000","-5,925,000,000","-4,898,000,000","-16,028,000,000","19,720,000,000","-7,947,000,000","-23,795,000,000","3,760,000,000","-20,854,000,000","17,045,000,000","14,199,000,000","-44,977,000,000","10,779,000,000","14,117,000,000","3,288,000,000","-31,641,000,000","126,662,000,000","-17,411,000,000","-79,341,000,000","-50,002,000,000","-3,812,000,000","-51,080,000,000","22,375,000,000","-7,693,000,000","51,579,000,000","38,975,000,000","-5,990,000,000","-13,880,000,000","31,059,000,000","-1,526,000,000","18,768,000,000","35,232,000,000","47,047,000,000","-5,474,000,000","-19,031,000,000","27,840,000,000","4,977,000,000","-29,304,000,000","-10,941,000,000","15,882,000,000","-12,252,000,000","-14,892,000,000","-35,447,000,000","8,295,000,000","8,999,000,000","-22,056,000,000","-894,000,000","23,920,910,070","-69,759,009,870","-30,712,526,740","39,719,626,540","-117,627,329,730","-586,293,940","-154,144,627,270","50,003,077,740","-3,309,130,580","21,900,592,290","17,009,124,650","-3,435,639,000"
	BeginningCashPosition,"1,593,224,000,000","889,745,000,000","975,319,000,000","1,625,376,000,000","1,593,224,000,000","1,358,889,000,000","1,226,315,000,000","1,060,830,000,000","1,016,504,000,000","864,303,000,000","821,966,000,000","690,400,000,000","772,264,000,000","868,882,000,000","1,071,595,000,000","1,058,609,000,000","1,089,585,000,000","1,007,790,000,000","1,035,216,000,000","1,095,715,000,000","1,270,787,000,000","1,146,300,000,000","1,022,012,000,000","688,048,000,000","1,014,264,000,000","1,157,934,000,000","1,156,050,000,000","1,247,544,000,000","1,280,408,000,000","815,604,000,000","634,555,000,000","634,329,000,000","592,467,000,000","520,151,000,000","458,570,000,000","474,635,000,000","496,283,000,000","525,303,000,000","443,899,000,000","536,651,000,000","574,411,000,000","685,865,000,000","740,595,000,000","837,041,000,000","974,826,000,000","1,125,951,000,000","1,868,406,000,000","1,169,237,000,000","1,109,912,000,000","1,110,905,000,000","1,459,505,000,000","1,041,126,000,000","973,867,000,000","723,392,698,980","969,481,836,120","1,158,028,897,840","1,216,227,708,920","1,100,815,934,190","1,220,649,187,490","1,258,451,843,220","1,238,253,555,660","1,266,353,158,140","1,408,101,598,300","1,443,426,465,200","1,669,491,511,400"
	OtherCashAdjustmentOutsideChangeinCash,"452,000,000","-105,000,000","-76,000,000","0","633,000,000",,,,"-1,062,000,000","17,309,000,000","-13,341,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-212,168,090","106,202,210",,,,,,,,"-114,521,300"
CapitalExpenditure,"-297,776,000,000","-84,326,000,000","-75,191,000,000","-64,191,000,000","-74,068,000,000","-118,433,000,000","-55,094,000,000","-61,279,000,000","-61,621,000,000","-93,445,000,000","-76,225,000,000","-86,223,000,000","-89,395,000,000","-106,911,000,000","-90,243,000,000","-87,858,000,000","-113,851,000,000","-127,898,000,000","-103,846,000,000","-114,323,000,000","-129,536,000,000","-140,320,000,000","-65,534,000,000","-73,047,000,000","-62,913,000,000","-67,973,000,000","-54,099,000,000","-63,319,000,000","-56,445,000,000","-68,113,000,000","-53,830,000,000","-51,132,000,000","-51,087,000,000","-59,824,000,000","-42,081,000,000","-48,399,000,000","-51,431,000,000","-70,943,000,000","-73,672,000,000","-89,534,000,000","-86,019,000,000","-156,100,000,000","-127,001,000,000","-84,487,000,000","-88,880,000,000","-126,759,000,000","-93,434,000,000","-106,593,000,000","-94,135,000,000","-68,920,000,000","-103,509,000,000","-100,693,000,000","-102,526,000,000","-124,830,978,930","-126,006,197,670","-107,085,217,790","-163,657,605,610","-109,005,991,480","-89,866,415,440","-123,413,975,990","-95,202,904,170","-90,734,589,830","-113,669,013,860","-115,175,572,130","-91,731,561,300"
IssuanceOfCapitalStock,"2,000,000","0","1,000,000",,,"0","1,000,000",,,"1,000,000","0","1,000,000","0","0","0","18,000,000","41,000,000","4,000,000",,,"3,000,000","6,000,000","1,000,000","1,000,000","1,000,000","3,000,000","1,000,000","2,000,000","2,000,000",,,,,"2,000,000","2,000,000",,,"2,000,000","2,000,000","2,000,000","2,000,000","5,000,000",,,"42,000,000","1,000,000","2,000,000","6,000,000","8,000,000",,,,,,,,,"864,788,340","-608,388,840",,,,,,
IssuanceOfDebt,"401,008,000,000","287,000,000","400,001,000,000","269,000,000","451,000,000","1,456,000,000","201,337,000,000","1,245,000,000","1,095,000,000","103,986,000,000","4,239,000,000","272,931,000,000","305,000,000","0","77,000,000","647,000,000","216,000,000","-751,000,000","1,277,000,000","679,000,000","2,316,000,000","-3,404,000,000","846,000,000","400,786,000,000","2,321,000,000","-7,627,000,000","-848,000,000","6,403,000,000","7,962,000,000",,,,,"119,000,000","4,159,000,000",,,"433,820,000,000","-17,654,000,000","18,302,000,000","0","40,000,000",,,"3,466,000,000","-42,059,000,000","-253,286,000,000","755,615,000,000","44,853,000,000","-178,899,000,000","-174,912,000,000","296,338,000,000","110,645,000,000",,,,,,,,,,,,
RepaymentOfDebt,"-283,404,000,000","-80,517,000,000","-1,114,000,000","-200,362,000,000","-1,411,000,000","-1,125,000,000","-991,000,000","528,000,000","-25,387,000,000","-222,329,000,000","-336,000,000","-299,000,000","-31,499,000,000","-102,698,000,000","-1,464,000,000","-2,541,000,000","-2,823,000,000","-152,178,000,000","-5,821,000,000","-2,892,000,000","-2,538,000,000","-1,020,000,000","-2,501,000,000","-3,614,000,000","-43,765,000,000","-205,880,000,000","-6,450,000,000","-3,682,000,000","-43,195,000,000","-21,611,000,000","4,528,000,000","-42,219,000,000","-3,687,000,000","-222,280,000,000","-123,094,000,000","-148,898,000,000","-19,351,000,000","-839,928,000,000","-17,738,000,000","-20,795,000,000","-23,965,000,000","-178,173,000,000","-131,756,000,000","-41,912,000,000","-18,211,000,000","-151,534,000,000","-18,522,000,000","-28,082,000,000","-37,802,000,000",,,,"-6,592,000,000",,,,,,,,,,,,
RepurchaseOfCapitalStock,"-45,000,000","-9,000,000","-13,000,000","-13,000,000","-10,000,000","-17,000,000","-13,000,000","-10,000,000","-3,000,000","-10,000,000","-11,000,000","-8,000,000","-6,000,000","-10,000,000","-10,000,000","-16,000,000","-14,000,000","-21,000,000","-38,000,000","-28,000,000","-32,000,000","-71,000,000","-17,000,000","-10,000,000","-8,000,000","-11,000,000","-28,000,000","-27,000,000","-49,000,000","36,637,000,000","-37,016,000,000","-32,000,000","-15,000,000","-43,000,000","-47,000,000","-17,000,000","-9,000,000","-14,000,000","-5,000,000","-7,000,000","-9,000,000","-357,000,000","-70,000,000","46,000,000","-55,000,000","-14,000,000","-32,000,000","-12,000,000","-374,000,000","-39,000,000","-6,000,000","-13,000,000","-14,000,000","-676,076,300","-424,886,460","-30,427,186,390","-40,887,850,850","-21,880,895,600","-19,377,573,000","-20,407,870,580","-41,135,536,860","-60,910,005,250","-50,827,771,940","-773,577,310","-40,655,061,500"
FreeCashFlow,"-45,146,000,000","64,370,000,000","-12,833,000,000","-152,705,000,000","56,022,000,000","55,542,000,000","198,962,000,000","113,002,000,000","-159,895,000,000","49,028,000,000","69,012,000,000","-48,538,000,000","15,513,000,000","18,719,000,000","-43,636,000,000","-93,048,000,000","-77,221,000,000","31,100,000,000","18,298,000,000","-50,751,000,000","-51,068,000,000","133,383,000,000","16,784,000,000","-69,822,000,000","-36,749,000,000","108,069,000,000","41,738,000,000","-23,258,000,000","30,295,000,000","54,342,000,000","147,878,000,000","-11,470,000,000","76,551,000,000","166,971,000,000","151,607,000,000","10,660,000,000","50,977,000,000","185,642,000,000","-11,824,000,000","-122,986,000,000","-32,250,000,000","-154,769,000,000","-166,263,000,000","-40,189,000,000","-132,138,000,000","-31,856,000,000","33,536,000,000","-4,155,000,000","50,749,000,000","147,254,000,000","46,420,000,000","-14,479,000,000","-32,510,000,000","-131,958,049,820","-137,974,419,060","-94,218,882,480","-40,781,648,640","113,877,446,920","-29,412,896,800","-6,411,539,460","-30,790,072,500","114,451,799,070","15,991,674,390","-25,582,910,080","16,376,545,900"
