name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,11/30/1986,08/31/1986,05/31/1986,02/28/1986,11/30/1985,08/31/1985
TotalRevenue,"7,388,791,000,000","1,965,435,000,000","1,889,802,000,000","1,741,133,000,000","1,792,421,000,000","1,825,505,000,000","1,814,134,000,000","1,667,243,000,000","1,391,912,000,000","1,734,967,000,000","1,911,210,000,000","1,953,295,000,000","1,891,129,000,000","1,919,748,000,000","2,074,807,000,000","1,999,443,000,000","2,008,735,000,000","2,069,998,000,000","2,054,302,000,000","1,992,589,000,000","1,865,275,000,000","1,993,679,000,000","1,854,537,000,000","1,746,978,000,000","1,748,513,000,000","1,882,403,000,000","1,910,886,000,000","1,902,585,000,000","1,857,843,000,000","1,995,704,000,000","1,996,450,000,000","1,870,603,000,000","1,852,280,000,000","2,056,730,000,000","1,973,491,000,000","1,881,805,000,000","1,824,515,000,000","1,863,382,000,000","1,801,503,000,000","1,823,662,000,000","1,814,498,000,000","1,880,818,000,000","1,960,200,000,000","2,075,650,000,000","1,929,548,000,000","2,039,311,000,000","2,285,413,000,000","2,206,822,000,000","2,161,126,000,000","2,198,096,000,000","1,886,588,000,000","1,737,838,000,000","1,595,458,000,000","1,548,107,486,020","1,878,042,230,430","2,183,532,923,280","2,154,524,234,270","2,307,234,209,540","2,298,647,629,460","2,282,158,146,040","2,242,379,400,030","2,280,047,976,280","2,437,711,973,340","2,197,370,281,270","2,139,601,447,900","2,229,372,681,480","2,400,699,185,020","2,141,608,998,760","2,065,331,889,600","2,191,447,095,080","2,265,750,108,400","2,197,534,933,080","2,116,693,893,880","1,971,526,396,116.15","2,035,817,772,240","1,884,701,117,160","1,760,119,774,560","1,926,664,716,920","1,848,794,356,750","1,767,340,013,640","1,764,354,387,620","1,779,577,869,540","1,732,622,486,640","1,717,620,621,310","1,684,607,026,620","2,007,550,381,580","1,985,856,999,850","1,966,998,651,120","1,774,393,894,490","1,834,283,184,600","1,871,459,344,950","1,825,051,844,770","1,758,332,314,440","1,856,068,111,955","1,903,772,305,200","2,043,133,955,980","1,848,327,114,720","1,869,121,485,075","2,095,472,037,740","1,997,650,326,240","1,903,255,272,240","2,023,601,430,670","2,033,022,727,200","1,891,683,569,810","1,732,206,377,600","1,806,212,995,896","1,832,454,834,920","1,705,666,453,400","1,530,275,183,385","896,011,889,980","2,074,647,717,768","172,643,938,740","164,059,654,018","1,630,336,731,696","1,758,108,051,450","1,625,303,542,128","1,606,470,231,520","1,183,216,140,480","2,025,671,434,016","1,858,230,460,432","1,857,619,174,224","2,198,455,381,880","1,752,767,210,734","1,862,498,387,048","1,934,052,968,256","1,594,626,473,415","1,783,018,754,760","1,667,131,947,992","1,577,903,578,365","1,878,991,342,008","1,477,321,073,232","1,492,499,172,931","1,403,043,087,880","1,290,004,842,197","1,515,470,625,920","1,368,759,201,140","1,323,351,893,255","1,184,313,127,515","1,308,903,719,200","1,195,205,014,806","1,159,117,344,550","1,328,148,857,238","1,021,388,401,686","1,256,355,613,458","1,142,313,924,555","1,393,290,873,945","1,228,779,217,076"
	OperatingRevenue,"7,388,791,000,000","1,965,435,000,000","1,889,802,000,000","1,741,133,000,000","1,792,421,000,000","1,825,505,000,000","1,814,134,000,000","1,667,243,000,000","1,391,912,000,000","1,734,967,000,000","1,911,210,000,000","1,953,295,000,000","1,891,129,000,000","1,919,748,000,000","2,074,807,000,000","1,999,443,000,000","2,008,735,000,000","2,069,998,000,000","2,054,302,000,000","1,992,589,000,000","1,865,275,000,000","1,993,679,000,000","1,854,537,000,000","1,746,978,000,000","1,748,513,000,000","1,882,403,000,000","1,910,886,000,000","1,902,585,000,000","1,857,843,000,000","1,995,704,000,000","1,996,450,000,000","1,870,603,000,000","1,852,280,000,000","2,056,730,000,000","1,973,491,000,000","1,881,805,000,000","1,824,515,000,000","1,863,382,000,000","1,801,503,000,000","1,823,662,000,000","1,814,498,000,000","1,880,818,000,000","1,960,200,000,000","2,075,650,000,000","1,929,548,000,000","2,039,311,000,000","2,285,413,000,000","2,206,822,000,000","2,161,126,000,000","2,198,096,000,000","1,886,588,000,000","1,737,838,000,000","1,595,458,000,000","1,548,107,486,020","1,878,042,230,430","2,183,532,923,280","2,154,524,234,270","2,307,234,209,540","2,298,647,629,460","2,282,158,146,040","2,242,379,400,030","2,280,047,976,280","2,437,711,973,340","2,197,370,281,270","2,139,601,447,900","2,229,372,681,480","2,400,699,185,020","2,141,608,998,760","2,065,331,889,600","2,191,447,095,080","2,265,750,108,400","2,197,534,933,080","2,116,693,893,880","1,971,526,396,116.15","2,035,817,772,240","1,884,701,117,160","1,760,119,774,560","1,926,664,716,920","1,848,794,356,750","1,767,340,013,640","1,764,354,387,620","1,779,577,869,540","1,732,622,486,640","1,717,620,621,310","1,684,607,026,620","2,007,550,381,580","1,985,856,999,850","1,966,998,651,120","1,774,393,894,490","1,834,283,184,600","1,871,459,344,950","1,825,051,844,770","1,758,332,314,440","1,856,068,111,955","1,903,772,305,200","2,043,133,955,980","1,848,327,114,720","1,869,121,485,075","2,095,472,037,740","1,997,650,326,240","1,903,255,272,240","2,023,601,430,670","2,033,022,727,200","1,891,683,569,810","1,732,206,377,600","1,806,212,995,896","1,832,454,834,920","1,705,666,453,400","1,530,275,183,385","896,011,889,980","2,074,647,717,768","172,643,938,740","164,059,654,018","1,630,336,731,696","1,758,108,051,450","1,625,303,542,128","1,606,470,231,520","1,183,216,140,480","2,025,671,434,016","1,858,230,460,432","1,857,619,174,224","2,198,455,381,880","1,752,767,210,734","1,862,498,387,048","1,934,052,968,256","1,594,626,473,415","1,783,018,754,760","1,667,131,947,992","1,577,903,578,365","1,878,991,342,008","1,477,321,073,232","1,492,499,172,931","1,403,043,087,880","1,290,004,842,197","1,515,470,625,920","1,368,759,201,140","1,323,351,893,255","1,184,313,127,515","1,308,903,719,200","1,195,205,014,806","1,159,117,344,550","1,328,148,857,238","1,021,388,401,686","1,256,355,613,458","1,142,313,924,555","1,393,290,873,945","1,228,779,217,076"
CostOfRevenue,"5,306,580,000,000","1,419,864,000,000","1,363,127,000,000","1,257,696,000,000","1,265,893,000,000","1,269,885,000,000","1,263,646,000,000","1,180,691,000,000","1,009,721,000,000","1,229,801,000,000","1,350,750,000,000","1,400,797,000,000","1,358,209,000,000","1,353,561,000,000","1,494,696,000,000","1,440,335,000,000","1,447,642,000,000","1,477,015,000,000","1,444,982,000,000","1,403,664,000,000","1,317,291,000,000","1,347,962,000,000","1,317,344,000,000","1,244,923,000,000","1,246,934,000,000","1,308,616,000,000","1,349,360,000,000","1,347,958,000,000","1,334,065,000,000","1,414,406,000,000","1,429,487,000,000","1,351,444,000,000","1,331,876,000,000","1,503,619,000,000","1,415,814,000,000","1,383,032,000,000","1,336,404,000,000","1,367,255,000,000","1,342,620,000,000","1,359,018,000,000","1,350,995,000,000","1,382,268,000,000","1,487,926,000,000","1,538,814,000,000","1,455,507,000,000","1,498,347,000,000","1,691,283,000,000","1,628,763,000,000","1,570,787,000,000","1,588,951,000,000","1,328,571,000,000","1,252,666,000,000","1,170,871,000,000","1,203,792,405,440","1,367,962,291,920","1,567,023,433,440","1,527,612,588,640","1,588,221,999,060","1,608,025,062,970","1,634,918,989,810","1,590,122,504,190","1,590,697,019,110","1,717,992,928,960","1,551,980,546,190","1,496,220,784,500","1,541,884,450,470","1,652,710,011,610","1,500,397,149,020","1,420,775,304,720","1,535,327,692,180","1,609,378,247,000","1,595,466,045,360","1,476,563,376,520","1,310,039,396,288.65","1,426,166,274,390","1,348,907,195,260","1,238,802,405,120","1,449,467,390,810","1,284,950,681,100","1,261,499,168,370","1,253,525,864,880","1,355,689,017,280","1,280,674,078,720","1,296,010,885,440","1,229,591,001,660","1,489,770,046,750","1,392,288,961,400","1,377,039,625,200","1,260,253,686,440","987,837,947,650","1,289,907,009,300","1,296,593,527,130","1,243,728,026,660","947,241,105,880","1,317,146,117,320","1,433,190,128,500","1,286,910,257,340",,,"1,398,403,428,400",,,,"1,330,895,919,470",,,,"1,193,374,614,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"2,082,211,000,000","545,571,000,000","526,675,000,000","483,437,000,000","526,528,000,000","555,620,000,000","550,488,000,000","486,552,000,000","382,191,000,000","505,166,000,000","560,460,000,000","552,498,000,000","532,920,000,000","566,187,000,000","580,111,000,000","559,108,000,000","561,093,000,000","592,983,000,000","609,320,000,000","588,925,000,000","547,984,000,000","645,717,000,000","537,193,000,000","502,055,000,000","501,579,000,000","573,787,000,000","561,526,000,000","554,627,000,000","523,778,000,000","581,298,000,000","566,963,000,000","519,159,000,000","520,404,000,000","553,111,000,000","557,677,000,000","498,773,000,000","488,111,000,000","496,127,000,000","458,883,000,000","464,644,000,000","463,503,000,000","498,550,000,000","472,274,000,000","536,836,000,000","474,041,000,000","540,964,000,000","594,130,000,000","578,059,000,000","590,339,000,000","609,145,000,000","558,017,000,000","485,172,000,000","424,587,000,000","344,315,080,580","510,079,938,510","616,509,489,840","626,911,645,630","719,012,210,480","690,622,566,490","647,239,156,230","652,256,895,840","689,350,957,170","719,719,044,380","645,389,735,080","643,380,663,400","687,488,231,010","747,989,173,410","641,211,849,740","644,556,584,880","656,119,402,900","656,371,861,400","602,068,887,720","640,130,517,360","661,486,999,827.5","609,651,497,850","535,793,921,900","521,317,369,440","477,197,326,110","563,843,675,650","505,840,845,270","510,828,522,740","423,888,852,260","451,948,407,920","421,609,735,870","455,016,024,960","517,780,334,830","593,568,038,450","589,959,025,920","514,140,208,050","846,445,236,950","581,552,335,650","528,458,317,640","514,604,287,780","908,827,006,075","586,626,187,880","609,943,827,480","561,416,857,380",,,"599,246,897,840",,,,"560,787,650,340",,,,"512,291,838,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"1,712,048,000,000","461,273,000,000","452,439,000,000","382,733,000,000","415,603,000,000","520,989,000,000","417,313,000,000","392,630,000,000","364,566,000,000","453,839,000,000","461,294,000,000","469,966,000,000","477,492,000,000","452,047,000,000","485,583,000,000","465,891,000,000","462,333,000,000","532,712,000,000","491,684,000,000","478,486,000,000","465,865,000,000","617,868,000,000","441,263,000,000","424,360,000,000","434,647,000,000","490,828,000,000","438,839,000,000","428,247,000,000","437,518,000,000","489,658,000,000","438,049,000,000","424,466,000,000","438,118,000,000","401,203,000,000","415,647,000,000","389,868,000,000","423,910,000,000","435,753,000,000","386,948,000,000","415,881,000,000","424,900,000,000","494,365,000,000","480,333,000,000","494,813,000,000","468,465,000,000","500,042,000,000","498,766,000,000","492,929,000,000","506,501,000,000","524,120,000,000","458,752,000,000","437,240,000,000","466,356,000,000","525,710,164,580","483,835,839,840","498,463,499,520","517,204,762,700","578,794,664,480","528,445,297,680","501,418,022,930","578,237,561,550","573,164,597,690","583,893,799,650","504,697,605,560","578,218,043,700","574,118,893,650","618,422,755,720","517,757,860,620","598,191,991,440","646,292,486,220","559,409,002,400","446,241,882,600","592,495,932,480","496,099,881,959.55","502,520,126,460","475,022,290,800","501,317,369,280","451,797,223,310","520,845,695,750","483,207,600,810","496,247,081,520","641,542,103,180","379,278,579,440","458,764,915,200","493,931,869,200","486,995,960,710","534,428,994,650","511,456,413,600","492,916,670,050","807,128,262,150","527,047,782,300","477,972,054,390","500,181,793,610","870,762,956,335","536,155,144,720","536,471,455,260","528,768,265,080",,,"501,159,832,720",,,,"474,452,642,590",,,,"450,142,048,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,724,511,000,000","475,162,000,000","439,196,000,000","403,082,000,000","407,071,000,000","480,391,000,000","407,707,000,000","391,512,000,000","388,086,000,000","470,286,000,000","465,131,000,000","458,410,000,000","470,554,000,000","509,650,000,000","483,446,000,000","466,860,000,000","479,511,000,000","519,187,000,000","484,615,000,000","466,015,000,000","468,193,000,000","542,658,000,000","441,263,000,000","424,360,000,000","434,647,000,000","478,332,000,000","441,722,000,000","430,735,000,000","447,220,000,000","489,658,000,000","453,669,000,000","424,466,000,000","438,118,000,000","511,173,000,000","441,090,000,000","416,385,000,000","423,910,000,000","457,144,000,000","424,296,000,000","415,881,000,000","424,900,000,000","-284,987,000,000","480,333,000,000","494,813,000,000","468,465,000,000","500,042,000,000","498,766,000,000","492,929,000,000","506,501,000,000","524,120,000,000","458,752,000,000","437,240,000,000","466,356,000,000","525,710,164,580","483,835,839,840","498,463,499,520","517,204,762,700","578,794,664,480","528,445,297,680","501,418,022,930","578,237,561,550","573,164,597,690","583,893,799,650","504,697,605,560","578,103,522,400","574,118,893,650","618,422,755,720","517,757,860,620","598,191,991,440","588,833,014,220","569,259,197,600","490,150,763,280","596,411,103,840","459,209,800,119.55","538,552,299,420","475,914,351,440","501,317,369,280","440,038,107,260","521,439,590,500","483,207,600,810","496,247,081,520","490,936,516,620","521,458,678,640","458,764,915,200","493,931,869,200","486,995,960,710","534,428,994,650","511,456,413,600","492,916,670,050","-84,466,460,450","527,047,782,300","477,972,054,390","500,181,793,610","4,239,206,905","536,155,144,720","536,471,455,260","528,768,265,080",,,"501,159,832,720",,,,"474,452,642,590",,,,"450,142,048,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"1,724,511,000,000","475,162,000,000","439,196,000,000","403,082,000,000","407,071,000,000","480,391,000,000","407,707,000,000","391,512,000,000","388,086,000,000","470,286,000,000","465,131,000,000","458,410,000,000","470,554,000,000","509,650,000,000","483,446,000,000","466,860,000,000","479,511,000,000","519,187,000,000","484,615,000,000","466,015,000,000","468,193,000,000","542,658,000,000","441,263,000,000","424,360,000,000","434,647,000,000","478,332,000,000","441,722,000,000","430,735,000,000","447,220,000,000","489,658,000,000","453,669,000,000","424,466,000,000","438,118,000,000","511,173,000,000","441,090,000,000","416,385,000,000","423,910,000,000","457,144,000,000","424,296,000,000","415,881,000,000","424,900,000,000","-422,929,000,000","480,333,000,000","494,813,000,000","468,465,000,000","500,042,000,000","498,766,000,000","492,929,000,000","506,501,000,000","524,120,000,000","458,752,000,000","437,240,000,000","466,356,000,000","525,710,164,580","483,835,839,840","498,463,499,520","517,204,762,700","578,794,664,480","528,445,297,680","501,418,022,930","578,237,561,550","573,164,597,690","583,893,799,650","504,697,605,560","578,103,522,400","574,118,893,650","618,422,755,720","517,757,860,620","598,191,991,440","588,833,014,220","569,259,197,600","490,150,763,280","596,411,103,840","459,209,800,119.55","538,552,299,420","475,914,351,440","501,317,369,280","440,038,107,260","521,439,590,500","483,207,600,810","496,247,081,520","490,936,516,620","521,458,678,640","458,764,915,200","493,931,869,200","486,995,960,710","534,428,994,650","511,456,413,600","492,916,670,050","-84,466,460,450","527,047,782,300","477,972,054,390","500,181,793,610","4,239,206,905","536,155,144,720","536,471,455,260","528,768,265,080",,,"501,159,832,720",,,,"474,452,642,590",,,,"450,142,048,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"-12,463,000,000","-13,889,000,000","13,243,000,000","-20,349,000,000","8,532,000,000","40,598,000,000","9,606,000,000","1,118,000,000","-23,520,000,000","-16,447,000,000","-3,837,000,000","11,556,000,000","6,938,000,000","-57,603,000,000","2,137,000,000","-969,000,000","-17,178,000,000","13,525,000,000","7,069,000,000","12,471,000,000","-2,328,000,000",,,,,,"-2,883,000,000","-2,488,000,000","-9,702,000,000",,"-15,620,000,000",,,"-109,970,000,000","-25,443,000,000","-26,517,000,000",,"-21,391,000,000","-37,348,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"114,521,300",,,,,,"-9,850,195,200","-43,908,880,680","-3,915,171,360",,"-36,032,172,960","-892,060,640",,,"-593,894,750",,,,"-142,180,099,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"370,163,000,000","84,298,000,000","74,236,000,000","100,704,000,000","110,925,000,000","34,631,000,000","133,175,000,000","93,922,000,000","17,625,000,000","51,327,000,000","99,166,000,000","82,532,000,000","55,428,000,000","114,140,000,000","94,528,000,000","93,217,000,000","98,760,000,000","60,271,000,000","117,636,000,000","110,439,000,000","82,119,000,000","27,849,000,000","95,930,000,000","77,695,000,000","66,932,000,000","82,959,000,000","122,687,000,000","126,380,000,000","86,260,000,000","91,640,000,000","128,914,000,000","94,693,000,000","82,286,000,000","151,908,000,000","142,030,000,000","108,905,000,000","64,201,000,000","60,374,000,000","71,935,000,000","48,763,000,000","38,603,000,000","4,185,000,000","-8,059,000,000","42,023,000,000","5,576,000,000","40,922,000,000","95,364,000,000","85,130,000,000","83,838,000,000","85,025,000,000","99,265,000,000","47,932,000,000","-41,769,000,000","-181,395,084,000","26,244,098,670","118,045,990,320","109,706,882,930","140,217,546,000","162,177,268,810","145,821,133,300","74,019,334,290","116,186,359,480","135,825,244,730","140,692,129,520","65,162,619,700","113,369,337,360","129,566,417,690","123,453,989,120","46,364,593,440","9,826,916,680","96,962,859,000","155,827,005,120","47,634,584,880","165,387,117,867.95","107,131,371,390","60,771,631,100","20,000,000,160","25,400,102,800","42,997,979,900","22,633,244,460","14,581,441,220","-217,653,250,920","72,669,828,480","-37,155,179,330","-38,915,844,240","30,784,374,120","59,139,043,800","78,502,612,320","21,223,538,000","39,316,974,800","54,504,553,350","50,486,263,250","14,422,494,170","38,064,049,740","50,471,043,160","73,472,372,220","32,648,592,300","-5,680,238,584,110","2,095,472,037,740","98,087,065,120","1,903,255,272,240","-5,265,500,939,602","2,033,022,727,200","86,335,007,750","1,732,206,377,600","-4,791,923,668,752","1,832,454,834,920","62,149,789,800","1,530,275,183,385","-5,596,536,392,394","2,074,647,717,768","172,643,938,740","164,059,654,018","-4,794,580,613,772","1,758,108,051,450","1,625,303,542,128","1,606,470,231,520","-5,563,883,859,160","2,025,671,434,016","1,858,230,460,432","1,857,619,174,224","-4,868,989,778,002","1,752,767,210,734","1,862,498,387,048","1,934,052,968,256","-4,553,513,971,380","1,783,018,754,760","1,667,131,947,992","1,577,903,578,365","-3,637,637,783,811","1,477,321,073,232","1,492,499,172,931","1,403,043,087,880","-3,793,547,204,148","1,515,470,625,920","1,368,759,201,140","1,323,351,893,255","-3,336,595,376,953","1,308,903,719,200","1,195,205,014,806","1,159,117,344,550","-2,943,972,582,192","1,021,388,401,686","1,256,355,613,458","1,142,313,924,555","-3,134,919,586,455","1,228,779,217,076"
NetNonOperatingInterestIncomeExpense,"2,869,000,000","-2,356,000,000","665,000,000","403,000,000","4,157,000,000","8,936,000,000","-3,264,000,000","-2,763,000,000","-689,000,000","-90,000,000","-223,000,000","-2,225,000,000","-163,000,000","3,424,000,000","-486,000,000","-270,000,000","2,290,000,000","1,226,000,000","-1,409,000,000","187,000,000","-1,953,000,000","-2,019,000,000","164,000,000","-455,000,000","592,000,000","-681,000,000","723,000,000","614,000,000","1,274,000,000","960,000,000","-360,000,000","-1,545,000,000","-1,646,000,000","-2,397,000,000","-1,829,000,000","-3,176,000,000","-3,877,000,000","-5,145,000,000","-4,194,000,000","-3,803,000,000","-2,823,000,000","-3,511,000,000","-4,069,000,000","-3,517,000,000","-3,919,000,000","-3,095,000,000","-4,268,000,000","-3,956,000,000","-4,612,000,000","-5,701,000,000","-2,147,000,000","-2,390,000,000","-3,132,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
