name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007
TotalRevenue,"3,336,967,000,000","981,851,000,000","808,719,000,000","818,534,000,000","727,863,000,000","954,836,000,000","728,154,000,000","771,562,000,000","599,823,000,000","931,293,000,000","747,178,000,000","898,242,000,000","813,158,000,000","1,046,378,000,000","869,209,000,000","935,675,000,000","842,277,000,000","1,147,265,000,000","926,577,000,000","1,242,576,000,000","1,143,633,000,000","1,023,921,000,000","1,267,855,000,000","1,371,585,000,000","1,207,412,000,000","1,246,990,000,000","1,448,976,000,000","1,622,843,000,000","1,349,879,000,000","1,939,674,000,000","1,607,830,000,000","1,700,429,000,000","1,407,961,000,000","1,913,747,000,000","1,549,589,000,000","1,648,609,000,000","1,390,598,000,000","1,757,321,000,000","1,357,050,000,000","1,456,683,000,000","1,276,374,000,000","1,746,394,000,000","1,441,386,000,000","1,594,274,000,000","1,341,401,000,000","1,771,595,000,000","1,773,341,000,000","1,643,425,000,000","1,475,692,000,000","1,987,247,000,000","1,385,276,000,000","1,749,548,000,000","1,352,996,000,000","1,709,003,000,000","1,590,089,000,000","1,895,578,000,000","1,648,790,000,000","2,141,035,000,000","2,026,262,000,000","2,063,684,000,000","1,705,106,000,000"
	OperatingRevenue,"3,336,967,000,000","981,851,000,000","808,719,000,000","818,534,000,000","727,863,000,000","954,836,000,000","728,154,000,000","771,562,000,000","599,823,000,000","931,293,000,000","747,178,000,000","898,242,000,000","813,158,000,000","1,046,378,000,000","869,209,000,000","935,675,000,000","842,277,000,000","1,147,265,000,000","926,577,000,000","1,242,576,000,000","1,143,633,000,000","1,023,921,000,000","1,267,855,000,000","1,371,585,000,000","1,207,412,000,000","1,246,990,000,000","1,448,976,000,000","1,622,843,000,000","1,349,879,000,000","1,939,674,000,000","1,607,830,000,000","1,700,429,000,000","1,407,961,000,000","1,913,747,000,000","1,549,589,000,000","1,648,609,000,000","1,390,598,000,000","1,757,321,000,000","1,357,050,000,000","1,456,683,000,000","1,276,374,000,000","1,746,394,000,000","1,441,386,000,000","1,594,274,000,000","1,341,401,000,000","1,771,595,000,000","1,773,341,000,000","1,643,425,000,000","1,475,692,000,000","1,987,247,000,000","1,385,276,000,000","1,749,548,000,000","1,352,996,000,000","1,709,003,000,000","1,590,089,000,000","1,895,578,000,000","1,648,790,000,000","2,141,035,000,000","2,026,262,000,000","2,063,684,000,000","1,705,106,000,000"
CostOfRevenue,"2,449,757,000,000","719,473,000,000","590,754,000,000","604,205,000,000","548,672,000,000","686,759,000,000","535,785,000,000","571,439,000,000","436,833,000,000","665,995,000,000","540,755,000,000","654,693,000,000","610,559,000,000","784,089,000,000","648,108,000,000","712,191,000,000","639,176,000,000","886,948,000,000","702,827,000,000","850,688,000,000","808,528,000,000","648,997,000,000","973,112,000,000","1,024,745,000,000","929,666,000,000","1,196,971,000,000","1,251,867,000,000","1,344,352,000,000","1,020,512,000,000","1,499,445,000,000","1,236,612,000,000","1,291,106,000,000","1,051,865,000,000","1,397,958,000,000","1,176,548,000,000","1,232,799,000,000","1,047,044,000,000","1,323,923,000,000","1,031,773,000,000","1,060,974,000,000","967,744,000,000","1,298,631,000,000","1,123,812,000,000","1,195,110,000,000","1,015,321,000,000","1,322,493,000,000","1,321,726,000,000","1,228,699,000,000","1,137,190,000,000","1,451,824,000,000","1,120,401,000,000","1,296,612,000,000","1,053,400,000,000","1,386,580,000,000","1,268,756,000,000","1,461,744,000,000","1,249,007,000,000","1,564,982,000,000","1,415,479,000,000","1,530,618,000,000","1,248,761,000,000"
GrossProfit,"887,210,000,000","262,378,000,000","217,965,000,000","214,329,000,000","179,191,000,000","268,077,000,000","192,369,000,000","200,123,000,000","162,990,000,000","265,298,000,000","206,423,000,000","243,549,000,000","202,599,000,000","262,289,000,000","221,101,000,000","223,484,000,000","203,101,000,000","260,317,000,000","223,750,000,000","391,888,000,000","335,105,000,000","374,924,000,000","294,743,000,000","346,840,000,000","277,746,000,000","50,019,000,000","197,109,000,000","278,491,000,000","329,367,000,000","440,229,000,000","371,218,000,000","409,323,000,000","356,096,000,000","515,789,000,000","373,041,000,000","415,810,000,000","343,554,000,000","433,398,000,000","325,277,000,000","395,709,000,000","308,630,000,000","447,763,000,000","317,574,000,000","399,164,000,000","326,080,000,000","449,102,000,000","451,615,000,000","414,726,000,000","338,502,000,000","535,423,000,000","264,875,000,000","452,936,000,000","299,596,000,000","322,423,000,000","321,333,000,000","433,834,000,000","399,783,000,000","576,053,000,000","610,783,000,000","533,066,000,000","456,345,000,000"
OperatingExpense,"728,265,000,000","191,081,000,000","175,293,000,000","183,881,000,000","164,663,000,000","187,687,000,000","171,471,000,000","184,374,000,000","175,625,000,000","197,359,000,000","195,955,000,000","199,324,000,000","194,771,000,000","235,044,000,000","210,037,000,000","217,238,000,000","202,371,000,000","245,816,000,000","206,417,000,000","256,810,000,000","238,415,000,000","227,508,000,000","251,253,000,000","270,106,000,000","257,684,000,000","234,278,000,000","336,124,000,000","358,028,000,000","340,322,000,000","434,602,000,000","321,526,000,000","333,707,000,000","316,592,000,000","378,372,000,000","325,267,000,000","334,583,000,000","319,208,000,000","337,347,000,000","295,987,000,000","298,569,000,000","289,648,000,000","378,892,000,000","308,906,000,000","315,141,000,000","306,663,000,000","308,394,000,000","250,741,000,000","330,054,000,000","302,540,000,000","519,177,000,000","301,725,000,000","317,878,000,000","353,353,000,000","388,291,000,000","454,424,000,000","472,062,000,000","408,155,000,000","537,435,000,000","451,743,000,000","478,876,000,000","412,808,000,000"
	SellingGeneralAndAdministration,"728,265,000,000","191,081,000,000","175,293,000,000","183,881,000,000","164,663,000,000","187,687,000,000","171,471,000,000","184,374,000,000","175,625,000,000","197,359,000,000","195,955,000,000","199,324,000,000","194,771,000,000","235,044,000,000","210,037,000,000","217,238,000,000","202,371,000,000","245,816,000,000","206,417,000,000","256,810,000,000","238,415,000,000","227,508,000,000","251,253,000,000","270,106,000,000","257,684,000,000","234,278,000,000","336,124,000,000","358,028,000,000","340,322,000,000","434,602,000,000","321,526,000,000","333,707,000,000","316,592,000,000","378,372,000,000","325,267,000,000","334,583,000,000","319,208,000,000","337,347,000,000","295,987,000,000","298,569,000,000","289,648,000,000","-897,563,000,000","308,906,000,000","315,141,000,000","306,663,000,000","308,394,000,000","311,035,000,000","330,054,000,000","302,540,000,000","369,215,000,000","346,640,000,000","302,447,000,000","323,869,000,000","351,701,000,000","378,369,000,000","414,660,000,000","393,887,000,000","421,131,000,000","420,971,000,000","433,387,000,000","394,648,000,000"
		GeneralAndAdministrativeExpense,"728,265,000,000","191,081,000,000","175,293,000,000","183,881,000,000","164,663,000,000","187,687,000,000","171,471,000,000","184,374,000,000","175,625,000,000","197,359,000,000","195,955,000,000","199,324,000,000","194,771,000,000","235,044,000,000","210,037,000,000","217,238,000,000","202,371,000,000","245,816,000,000","206,417,000,000","256,810,000,000","238,415,000,000","227,508,000,000","251,253,000,000","270,106,000,000","257,684,000,000","234,278,000,000","336,124,000,000","358,028,000,000","340,322,000,000","434,602,000,000","321,526,000,000","333,707,000,000","316,592,000,000","378,372,000,000","325,267,000,000","334,583,000,000","319,208,000,000","337,347,000,000","295,987,000,000","298,569,000,000","289,648,000,000",,"308,906,000,000","315,141,000,000","306,663,000,000","308,394,000,000","311,035,000,000","330,054,000,000","302,540,000,000","369,215,000,000","346,640,000,000","302,447,000,000","323,869,000,000","351,701,000,000","378,369,000,000","414,660,000,000","393,887,000,000","421,131,000,000","420,971,000,000","433,387,000,000","394,648,000,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,431,000,000","29,484,000,000","36,590,000,000","76,055,000,000","57,402,000,000","14,268,000,000","116,304,000,000","30,772,000,000","45,489,000,000","18,160,000,000"
OperatingIncome,"158,945,000,000","71,297,000,000","42,672,000,000","30,448,000,000","14,528,000,000","80,390,000,000","20,898,000,000","15,749,000,000","-12,635,000,000","67,939,000,000","10,468,000,000","44,225,000,000","7,828,000,000","27,245,000,000","11,064,000,000","6,246,000,000","730,000,000","14,501,000,000","17,333,000,000","135,078,000,000","96,690,000,000","147,416,000,000","43,490,000,000","76,734,000,000","20,062,000,000","-184,259,000,000","-139,015,000,000","-79,537,000,000","-10,955,000,000","5,627,000,000","49,692,000,000","75,616,000,000","39,504,000,000","137,417,000,000","47,774,000,000","81,227,000,000","24,346,000,000","96,051,000,000","29,290,000,000","97,140,000,000","18,982,000,000","68,871,000,000","8,668,000,000","84,023,000,000","19,417,000,000","140,708,000,000","200,874,000,000","84,672,000,000","35,962,000,000","16,246,000,000","-36,850,000,000","135,058,000,000","-53,757,000,000","-65,868,000,000","-133,091,000,000","-38,228,000,000","-8,372,000,000","38,618,000,000","159,040,000,000","54,190,000,000","43,537,000,000"
NetNonOperatingInterestIncomeExpense,"-1,481,000,000","-683,000,000","-349,000,000","-620,000,000","171,000,000","-597,000,000","-610,000,000","-716,000,000","100,000,000","-330,000,000","-227,000,000","-466,000,000","-141,000,000","-970,000,000","-958,000,000","-828,000,000","-1,558,000,000","-5,729,000,000","-6,598,000,000","-2,877,000,000","-1,527,000,000","-939,000,000","-3,226,000,000","-2,299,000,000","-2,771,000,000","-3,066,000,000","-3,986,000,000","-3,493,000,000","-3,608,000,000","-421,000,000","-4,318,000,000","-3,234,000,000","-6,125,000,000","-3,660,000,000","-4,808,000,000","-6,070,000,000","-5,402,000,000","-3,763,000,000","-4,455,000,000","-6,968,000,000","-7,114,000,000","-5,968,000,000","-5,801,000,000","-4,386,000,000","-4,976,000,000","-5,176,000,000","-4,537,000,000","-6,538,000,000","-8,220,000,000","-15,083,000,000","-8,061,000,000","-4,997,000,000","-7,594,000,000","-7,348,000,000","-9,440,000,000","-8,876,000,000","-8,029,000,000","-9,313,000,000","-9,567,000,000","-11,417,000,000","-9,530,000,000"
