name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007
OperatingCashFlow,"249,244,000,000","84,037,000,000","-19,310,000,000","-1,532,000,000","186,049,000,000","60,665,000,000","28,968,000,000","-47,514,000,000","103,026,000,000","20,157,000,000","-81,392,000,000","-149,289,000,000","68,376,000,000","55,696,000,000","-130,028,000,000","2,452,000,000","196,735,000,000","425,292,000,000","-418,478,000,000","-1,809,000,000","36,636,000,000","111,239,000,000","89,937,000,000","-19,896,000,000","-47,117,000,000","74,536,000,000","7,847,000,000","-44,521,000,000","-39,092,000,000","267,472,000,000","81,901,000,000","-38,439,000,000","19,508,000,000","215,943,000,000","85,135,000,000","-36,909,000,000","22,417,000,000","239,661,000,000","-80,671,000,000","-17,725,000,000","-8,949,000,000","317,107,000,000","-12,240,000,000","41,947,000,000","-11,817,000,000","201,895,000,000","-35,399,000,000","134,435,000,000","73,153,000,000","167,628,000,000","207,286,000,000","-56,397,000,000","132,928,000,000","145,501,000,000","-135,236,000,000","78,094,000,000","-104,370,000,000","206,786,000,000","-61,433,000,000","164,226,000,000","-62,451,000,000"
InvestingCashFlow,"-124,521,000,000","-43,321,000,000","-28,125,000,000","-22,375,000,000","-30,700,000,000","-40,268,000,000","-17,999,000,000","-28,681,000,000","-19,723,000,000","-33,031,000,000","-28,336,000,000","-32,648,000,000","-28,499,000,000","-30,844,000,000","-28,613,000,000","-11,926,000,000","1,376,817,000,000","-88,397,000,000","-115,407,000,000","88,541,000,000","-35,724,000,000","-101,311,000,000","3,891,000,000","-43,680,000,000","-37,829,000,000","627,415,000,000","-53,108,000,000","122,959,000,000","-43,824,000,000","-21,691,000,000","-31,156,000,000","-56,681,000,000","-80,602,000,000","-54,610,000,000","-59,741,000,000","-80,542,000,000","-51,662,000,000","-44,796,000,000","-8,409,000,000","-59,415,000,000","-83,727,000,000","-81,171,000,000","-47,829,000,000","-166,901,000,000","-81,326,000,000","-63,943,000,000","-13,678,000,000","-92,135,000,000","-44,944,000,000","-65,967,000,000","-91,905,000,000","-20,902,000,000","-74,148,000,000","-102,347,000,000","-7,395,000,000","-123,053,000,000","-102,513,000,000","-147,520,000,000","17,403,000,000","-111,664,000,000","-80,921,000,000"
FinancingCashFlow,"-216,832,000,000","-5,145,000,000","-22,321,000,000","-155,392,000,000","-33,974,000,000","-2,826,000,000","-42,996,000,000","-6,629,000,000","150,262,000,000","-185,253,000,000","-33,049,000,000","-160,460,000,000","-308,482,000,000","-115,409,000,000","-341,124,000,000","-82,594,000,000","-105,891,000,000","-455,968,000,000","677,533,000,000","-90,871,000,000","-194,307,000,000","-101,938,000,000","164,686,000,000","9,288,000,000","-291,794,000,000","-90,566,000,000","34,365,000,000","105,480,000,000","86,468,000,000","-254,193,000,000","-22,838,000,000","104,733,000,000","46,503,000,000","-182,367,000,000","-25,233,000,000","124,362,000,000","-6,071,000,000","-212,361,000,000","120,959,000,000","38,094,000,000","95,080,000,000","-265,319,000,000","86,784,000,000","116,180,000,000","62,115,000,000","-116,547,000,000","60,518,000,000","-38,053,000,000","-60,634,000,000","-164,653,000,000","-84,970,000,000","48,400,000,000","-76,638,000,000","18,077,000,000","186,238,000,000","35,460,000,000","238,677,000,000","-135,882,000,000","130,340,000,000","-104,111,000,000","156,226,000,000"
EndCashPosition,"421,219,000,000","421,219,000,000","398,408,000,000","465,690,000,000","643,620,000,000","525,456,000,000","498,751,000,000","529,498,000,000","611,833,000,000","376,973,000,000","579,628,000,000","718,342,000,000","1,062,667,000,000","1,335,520,000,000","1,424,470,000,000","1,930,489,000,000","2,017,066,000,000","533,119,000,000","658,196,000,000","512,612,000,000","515,819,000,000","707,693,000,000","804,502,000,000","524,493,000,000","581,977,000,000","975,529,000,000","371,475,000,000","383,113,000,000","205,471,000,000","199,366,000,000","210,250,000,000","172,446,000,000","155,505,000,000","171,340,000,000","196,443,000,000","185,843,000,000","179,048,000,000","209,169,000,000","217,905,000,000","170,343,000,000","208,320,000,000","214,305,000,000","233,401,000,000","206,032,000,000","224,238,000,000","258,840,000,000","233,188,000,000","313,539,000,000","224,613,000,000","267,449,000,000","329,640,000,000","205,980,000,000","330,264,000,000","343,793,000,000","273,848,000,000","266,677,000,000","295,126,000,000","248,649,000,000","347,161,000,000","261,303,000,000","332,437,000,000"
	ChangesInCash,"-92,109,000,000","35,571,000,000","-69,756,000,000","-179,299,000,000","121,375,000,000","17,571,000,000","-32,027,000,000","-82,824,000,000","233,565,000,000","-198,127,000,000","-142,777,000,000","-342,397,000,000","-268,605,000,000","-90,557,000,000","-499,765,000,000","-92,068,000,000","1,467,661,000,000","-119,073,000,000","143,648,000,000","-4,139,000,000","-193,395,000,000","-92,010,000,000","258,514,000,000","-54,288,000,000","-376,740,000,000","611,385,000,000","-10,896,000,000","183,918,000,000","3,552,000,000","-8,412,000,000","27,907,000,000","9,613,000,000","-14,591,000,000","-21,034,000,000","161,000,000","6,911,000,000","-35,316,000,000","-17,496,000,000","31,879,000,000","-39,046,000,000","2,404,000,000","-29,383,000,000","26,715,000,000","-8,774,000,000","-31,028,000,000","21,405,000,000","11,441,000,000","4,247,000,000","-32,425,000,000","-62,992,000,000","30,411,000,000","-28,899,000,000","-17,858,000,000","61,231,000,000","43,607,000,000","-9,499,000,000","31,794,000,000","-76,616,000,000","86,310,000,000","-51,549,000,000","12,854,000,000"
	EffectOfExchangeRateChanges,"9,551,000,000","8,919,000,000","2,474,000,000","1,369,000,000","-3,211,000,000","9,134,000,000","1,280,000,000","489,000,000","1,295,000,000","-4,528,000,000","4,063,000,000","-1,928,000,000","-4,248,000,000","1,607,000,000","-6,254,000,000","5,491,000,000","748,000,000","-6,004,000,000","1,936,000,000","932,000,000","1,521,000,000","-4,799,000,000","21,495,000,000","-3,196,000,000","-16,812,000,000","-7,331,000,000","-742,000,000","-6,276,000,000","2,553,000,000","-2,472,000,000","9,897,000,000","7,328,000,000","-1,244,000,000","-4,069,000,000","10,439,000,000","-116,000,000","5,195,000,000","8,760,000,000","15,683,000,000","1,069,000,000","-8,389,000,000","10,287,000,000","654,000,000","-9,432,000,000","-3,574,000,000","4,247,000,000","-15,448,000,000","8,335,000,000","-10,411,000,000","801,000,000","16,905,000,000","-19,041,000,000","4,329,000,000","8,714,000,000","-36,436,000,000","-18,950,000,000","14,683,000,000","-21,896,000,000","-452,000,000","-19,585,000,000","10,271,000,000"
	BeginningCashPosition,"525,456,000,000","398,408,000,000","465,690,000,000","643,620,000,000","525,456,000,000","498,751,000,000","529,498,000,000","611,833,000,000","376,973,000,000","579,628,000,000","718,342,000,000","1,062,667,000,000","1,335,520,000,000","1,424,470,000,000","1,930,489,000,000","2,017,066,000,000","548,657,000,000","658,196,000,000","512,612,000,000","515,819,000,000","707,693,000,000","804,502,000,000","524,493,000,000","581,977,000,000","975,529,000,000","371,475,000,000","383,113,000,000","205,471,000,000","199,366,000,000","210,250,000,000","172,446,000,000","155,505,000,000","171,340,000,000","196,443,000,000","185,843,000,000","179,048,000,000","209,169,000,000","217,905,000,000","170,343,000,000","208,320,000,000","214,305,000,000","233,401,000,000","206,032,000,000","224,238,000,000","258,840,000,000","233,188,000,000","313,539,000,000","224,613,000,000","267,449,000,000","329,640,000,000","205,980,000,000","330,264,000,000","343,793,000,000","273,848,000,000","266,677,000,000","295,126,000,000","248,649,000,000","347,161,000,000","261,303,000,000","332,437,000,000","309,312,000,000"
	OtherCashAdjustmentOutsideChangeinCash,"-21,679,000,000"
CapitalExpenditure,"-130,541,000,000","-40,568,000,000","-30,413,000,000","-28,940,000,000","-30,620,000,000","-39,985,000,000","-28,375,000,000","-39,434,000,000","-31,359,000,000","-42,651,000,000","-28,128,000,000","-34,903,000,000","-29,486,000,000","-25,511,000,000","-22,030,000,000","-27,388,000,000","-63,308,000,000","-71,754,000,000","-54,938,000,000","-45,117,000,000","-28,099,000,000","-45,605,000,000","-36,558,000,000","-49,199,000,000","-49,373,000,000","-91,636,000,000","-58,914,000,000","-84,402,000,000","-56,513,000,000","-105,430,000,000","-47,594,000,000","-73,065,000,000","-61,795,000,000","-78,080,000,000","-43,980,000,000","-66,958,000,000","-65,334,000,000","-71,076,000,000","-62,525,000,000","-77,254,000,000","-85,356,000,000","-88,736,000,000","-65,542,000,000","-66,156,000,000","-110,725,000,000","-53,068,000,000","-45,779,000,000","-81,794,000,000","-48,588,000,000","-31,963,000,000","-65,617,000,000","-62,282,000,000","-56,014,000,000","-123,352,000,000","-55,031,000,000","-82,875,000,000","-216,462,000,000","-173,800,000,000","-55,861,000,000","-107,751,000,000","-70,280,000,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,,,,"-24,453,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-317,541,000,000","317,541,000,000","0",,,,"317,541,000,000",,,,,,,,
