name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993
TotalAssets,"11,416,058,000","10,974,118,000","10,832,325,000","10,796,926,000","10,290,302,000","10,450,946,000","10,231,983,000","10,170,253,000","9,847,638,000","9,860,863,000","8,141,603,000","8,094,414,000","7,871,062,000","7,581,674,000","7,487,195,000","7,538,363,000","7,556,340,000","7,750,772,000","7,523,300,000","7,291,989,000","7,366,468,000","8,161,207,000","9,396,944,000","9,312,381,000","9,438,968,000","9,615,014,000","9,675,064,000","9,770,809,000","9,794,759,000","5,223,103,000","3,393,466,000","3,454,532,000","3,558,728,000","3,584,797,000","3,470,065,000","3,335,949,000","3,450,445,000","3,437,291,000","3,362,655,000","3,302,707,000","3,363,499,000","3,203,824,000","3,269,055,000","3,292,347,000","3,139,881,000","3,068,081,000","2,936,660,000","2,731,070,000","2,756,888,000","2,771,557,000","2,780,148,000","2,660,908,000","2,685,089,000","2,872,717,000","3,021,589,000","3,069,164,000","2,975,395,000","2,830,450,000","2,724,987,000","2,664,863,000","2,609,944,000","2,530,368,000","2,612,707,000","2,642,142,000","2,582,249,000","2,547,243,000","2,561,926,000","2,525,927,000","2,503,374,000","2,442,745,000","2,429,140,000","1,381,081,000","1,385,163,000","1,387,291,000","1,326,251,000","1,249,182,000","1,225,773,000","1,192,956,000","1,155,490,000","1,161,966,000","1,130,910,000","1,129,475,000","1,166,461,000","999,122,000","971,694,000","981,803,000","976,935,000","969,394,000","914,308,000","954,094,000","949,334,000","937,418,000","1,083,039,000","937,797,000","904,239,000","899,701,000","901,828,000","888,181,000","864,116,000","849,528,000","842,146,000","846,261,000","846,252,000","873,649,000","1,165,485,000","1,204,500,000","1,244,700,000","1,221,400,000","1,199,400,000","1,139,200,000","1,162,900,000","1,128,800,000","1,113,100,000","1,085,000,000"
	CurrentAssets,"2,336,483,000","2,007,981,000","2,078,106,000","2,151,354,000","2,009,394,000","2,206,184,000","2,227,012,000","2,292,409,000","2,155,181,000","2,225,109,000","1,969,752,000","2,036,637,000","1,987,176,000","1,998,421,000","2,059,577,000","2,283,070,000","2,158,725,000","2,477,563,000","2,327,324,000","2,204,448,000","2,390,254,000","3,306,618,000","1,557,703,000","1,527,760,000","1,615,391,000","1,831,003,000","1,720,915,000","1,654,081,000","1,686,543,000","3,348,850,000","1,508,307,000","1,525,883,000","1,477,402,000","1,482,915,000","1,394,706,000","1,281,878,000","1,403,500,000","1,407,313,000","1,386,852,000","1,451,675,000","1,469,556,000","1,355,620,000","1,449,354,000","1,455,696,000","1,346,374,000","1,348,198,000","1,212,062,000","1,081,086,000","1,063,631,000","1,032,087,000","1,002,753,000","912,673,000","1,001,579,000","1,178,923,000","1,214,570,000","1,204,144,000","1,143,447,000","1,053,438,000","1,011,374,000","1,028,807,000","981,103,000","960,854,000","932,254,000","933,101,000","899,752,000","873,663,000","854,715,000","857,558,000","841,911,000","747,410,000","740,366,000","482,658,000","487,500,000","481,369,000","449,639,000","443,760,000","424,353,000","413,064,000","404,103,000","402,775,000","384,337,000","383,661,000","411,766,000","290,914,000","305,812,000","315,154,000","312,750,000","298,942,000","299,247,000","332,599,000","321,151,000","310,279,000","314,749,000","311,530,000","295,460,000","303,124,000","306,862,000","296,736,000","273,416,000","259,579,000","258,074,000","259,141,000","269,696,000","305,450,000","595,029,000","428,800,000","453,300,000","430,200,000","419,600,000","390,100,000","405,300,000","369,300,000","361,600,000","327,500,000"
		CashCashEquivalentsAndShortTermInvestments,"463,325,000","439,272,000","595,049,000","823,572,000","569,859,000","746,724,000","702,073,000","736,696,000","553,228,000","613,110,000","317,823,000","398,183,000","465,274,000","555,320,000","641,226,000","908,144,000","692,188,000","1,137,303,000","1,045,339,000","1,006,945,000","1,254,536,000","2,269,756,000","233,599,000","193,661,000","252,382,000","213,734,000","234,490,000","207,238,000","261,421,000","2,489,768,000","653,120,000","515,119,000","524,043,000","477,239,000","401,427,000","314,659,000","434,904,000","477,696,000","402,642,000","461,751,000","519,359,000","469,416,000","481,258,000","490,715,000","441,013,000","529,650,000","424,673,000","324,123,000","267,317,000","308,791,000","260,434,000","172,476,000","183,899,000","253,303,000","207,211,000","168,482,000","135,130,000","130,551,000","101,281,000","200,406,000","125,016,000","149,499,000","89,575,000","98,995,000","67,100,000","58,570,000","47,859,000","98,288,000","73,780,000","46,390,000","60,817,000","38,653,000","50,521,000","35,173,000","20,789,000","49,993,000","40,287,000","37,636,000","36,093,000","33,404,000","29,498,000","30,585,000","34,222,000","7,887,000","14,565,000","19,300,000","18,847,000","17,785,000","21,378,000","48,621,000","45,655,000","35,874,000","38,041,000","21,180,000","29,177,000","43,091,000","42,244,000","34,322,000","10,339,000","3,858,000","2,615,000","14,242,000","39,326,000","44,292,000","329,693,000","33,100,000","46,600,000","33,700,000","31,500,000","32,100,000","59,600,000","36,200,000","39,200,000","32,500,000"
			CashAndCashEquivalents,"463,325,000","439,272,000","595,049,000","823,572,000","569,859,000","746,724,000","702,073,000","736,696,000","553,228,000","613,110,000","317,823,000","398,183,000","465,274,000","555,320,000","641,226,000","908,144,000","692,188,000","1,137,303,000","1,045,339,000","1,006,945,000","1,254,536,000","2,269,756,000","233,599,000","193,661,000","252,382,000","213,734,000","234,490,000","207,238,000","261,421,000","2,489,768,000","653,120,000","515,119,000","524,043,000","477,239,000","401,427,000","314,659,000","434,904,000","477,696,000","402,642,000","461,751,000","519,359,000","469,416,000","481,258,000","490,715,000","441,013,000","529,650,000","424,673,000","324,123,000","267,317,000","308,791,000","260,434,000","172,476,000","183,899,000","253,303,000","207,211,000","168,482,000","135,130,000","130,551,000","101,281,000","200,406,000","125,016,000","149,499,000","89,575,000","98,995,000","67,100,000","58,570,000","47,859,000","98,288,000","73,780,000","46,390,000","60,817,000","38,653,000","50,521,000","35,173,000","20,789,000","49,993,000","40,287,000","37,636,000","36,093,000","33,404,000","29,498,000","30,585,000","34,222,000","7,887,000","14,565,000","19,300,000","18,847,000","17,785,000","21,378,000","48,621,000","45,655,000","35,874,000","38,041,000","21,180,000","29,177,000","43,091,000","42,244,000","34,322,000","10,339,000","3,858,000","2,615,000","14,242,000","39,326,000","44,292,000","329,693,000","33,100,000","46,600,000","33,700,000","31,500,000","32,100,000","59,600,000","36,200,000","39,200,000","32,500,000"
		Receivables,"729,958,000","700,058,000","577,044,000","513,478,000","593,522,000","637,827,000","577,688,000","594,583,000","592,468,000","752,448,000","723,593,000","730,015,000","660,561,000","697,887,000","592,749,000","615,483,000","650,378,000","619,393,000","570,147,000","539,227,000","562,946,000","543,105,000","491,516,000","490,789,000","652,963,000","656,445,000","694,572,000","710,580,000","709,998,000","457,472,000","424,586,000","446,711,000","462,898,000","518,268,000","446,713,000","451,245,000","454,956,000","449,025,000","378,938,000","416,147,000","425,851,000","391,571,000","439,947,000","457,230,000","446,503,000","374,660,000","370,729,000","384,385,000","405,065,000","329,215,000","325,774,000","302,724,000","313,830,000","347,529,000","449,704,000","441,495,000","472,159,000","425,362,000","435,189,000","388,357,000","432,996,000","400,053,000","430,112,000","397,649,000","407,968,000","387,463,000","354,611,000","346,875,000","374,609,000","341,551,000","373,697,000","238,668,000","233,847,000","226,026,000","222,514,000","204,288,000","202,055,000","197,089,000","187,609,000","189,609,000","171,626,000","175,160,000","185,475,000","149,353,000","167,084,000","174,297,000","176,746,000","159,685,000","157,844,000","155,140,000","141,098,000","134,203,000","131,145,000","145,207,000","130,976,000","132,499,000","146,762,000","154,421,000","150,457,000","148,585,000","145,598,000","141,293,000","137,740,000","152,963,000","157,147,000","198,100,000","215,900,000","211,600,000","197,800,000","182,000,000","177,900,000","175,500,000","165,800,000","140,400,000"
			AccountsReceivable,"658,733,000","556,922,000","520,746,000","455,222,000","532,964,000","530,838,000","516,166,000","517,626,000","518,703,000","612,651,000","637,037,000","624,808,000","603,542,000","605,712,000","550,788,000","571,032,000","606,968,000","534,326,000","520,076,000","487,921,000","508,460,000","486,035,000","441,266,000","446,352,000","565,724,000","552,828,000","618,301,000","638,339,000","626,965,000","385,212,000","383,325,000","407,298,000","427,979,000","446,864,000","409,206,000","407,842,000","407,823,000","378,973,000","378,938,000","416,147,000","425,851,000","391,571,000","439,947,000","457,230,000","446,503,000","374,660,000","370,729,000","384,385,000","405,065,000","329,215,000","325,774,000","302,724,000","313,830,000","327,758,000","449,704,000","379,761,000","472,159,000","425,362,000","435,189,000","388,357,000","350,769,000","400,053,000","384,721,000","372,684,000","407,968,000","351,989,000","319,652,000","309,706,000","374,609,000","341,551,000","373,697,000","238,668,000","233,847,000","226,026,000","212,829,000","193,010,000","190,972,000","197,089,000","187,609,000","189,609,000","171,626,000","175,160,000","185,475,000","149,353,000","167,084,000","174,297,000","176,746,000","159,685,000","157,844,000","155,140,000","141,098,000","134,203,000","131,145,000","145,207,000","130,976,000","132,499,000","146,762,000","154,421,000","150,457,000","148,585,000","145,598,000","141,293,000","137,740,000","152,963,000","157,147,000",,,,,,,,,
				GrossAccountsReceivable,"661,281,000","559,481,000","523,320,000","457,845,000","535,048,000","532,921,000","518,320,000","520,189,000","522,403,000","616,362,000","641,428,000","629,321,000","608,028,000","610,172,000","557,088,000","579,677,000","617,066,000","544,751,000","526,454,000","502,916,000",,"501,347,000","455,344,000","459,897,000","571,705,000","556,976,000","620,787,000","640,923,000","628,956,000","386,775,000","384,903,000","408,911,000","429,593,000","448,478,000","410,743,000","409,385,000","409,376,000","380,614,000","380,514,000","417,715,000","428,566,000","394,280,000","443,766,000","460,859,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,548,000","-2,559,000","-2,574,000","-2,623,000","-2,084,000","-2,083,000","-2,154,000","-2,563,000","-3,700,000","-3,711,000","-4,391,000","-4,513,000","-4,486,000","-4,460,000","-6,300,000","-8,645,000","-10,098,000","-10,425,000","-6,378,000","-14,995,000",,"-15,312,000","-14,078,000","-13,545,000","-5,981,000","-4,148,000","-2,486,000","-2,584,000","-1,991,000","-1,563,000","-1,578,000","-1,613,000","-1,614,000","-1,614,000","-1,537,000","-1,543,000","-1,553,000","-1,641,000","-1,576,000","-1,568,000","-2,715,000","-2,709,000","-3,819,000","-3,629,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,"112,710,000",,,,"90,340,000",,,,"124,305,000",,,,"80,596,000",,,,"70,288,000",,,,"30,409,000",,,,"48,056,000",,,,"46,042,000",,,,"48,266,000",,,,"48,606,000",,,,,,,,,,,,,,,,"19,771,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"71,225,000","30,426,000","56,298,000","58,256,000","60,558,000","16,649,000","61,522,000","76,957,000","73,765,000","15,492,000","86,556,000","105,207,000","57,019,000","11,579,000","41,961,000","44,451,000","43,410,000","14,779,000","50,071,000","51,306,000","54,486,000","26,661,000","50,250,000","44,437,000","87,239,000","55,561,000","76,271,000","72,241,000","83,033,000","26,218,000","41,261,000","39,413,000","34,919,000","23,138,000","37,507,000","43,403,000","47,133,000","21,446,000",,,,,,,,,,,,,,,,,,"61,734,000",,,,,"82,227,000",,"45,391,000","24,965,000",,"35,474,000","34,959,000","37,169,000",,,,,,,"9,685,000","11,278,000","11,083,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
