name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
OperatingCashFlow,"392,484,000","206,176,000","-146,329,000","104,733,000","227,904,000","157,949,000","337,200,000","253,797,000","52,863,000","155,054,000","373,736,000","146,350,000","144,372,000","54,916,000","169,224,000","153,084,000","102,303,000","121,554,000","229,135,000","129,299,000","-137,040,000","82,585,000","280,968,000","199,934,000","79,793,000","172,708,000","43,786,000","183,720,000","87,392,000","45,791,000","62,067,000","135,395,000","145,974,000","149,173,000","115,338,000","138,667,000","80,204,000","98,650,000","182,284,000","121,573,000","61,365,000","123,544,000","201,892,000","139,297,000","99,614,000","46,556,000","55,577,000","141,588,000","116,060,000","18,084,000","99,117,000","157,093,000","106,414,000","-4,099,000","166,121,000","55,068,000","76,580,000","17,978,000","93,702,000","67,527,000","75,363,000","5,950,000","160,436,000","84,049,000","95,082,000","36,727,000","74,843,000","52,739,000","43,723,000","-2,443,000","60,338,000","45,774,000","40,718,000","44,725,000","42,335,000","22,430,000","36,172,000","49,161,000","16,850,000","49,605,000","44,644,000","33,672,000","41,974,000","33,580,000","36,975,000","31,436,000","34,749,000","44,391,000","33,550,000","42,377,000","28,345,000","50,910,000","22,724,000","62,318,000","18,232,000","31,671,000","34,529,000","52,782,000","31,113,000","28,334,000","23,840,000","15,521,000","9,708,000","23,293,000","-21,637,000","17,105,000","30,500,000","29,200,000","23,400,000","33,100,000","14,600,000","45,200,000","41,100,000","9,800,000"
	CashFlowFromContinuingOperatingActivities,"392,484,000","206,176,000","-146,329,000","104,733,000","227,904,000","157,949,000","337,200,000","253,797,000","52,863,000","155,054,000","373,736,000","146,350,000","144,372,000","54,916,000","169,224,000","153,084,000","102,303,000","121,554,000","229,135,000","129,299,000","-137,040,000","82,585,000","280,968,000","199,934,000","79,793,000","172,708,000","43,786,000","183,720,000","87,392,000","45,791,000","62,067,000","135,395,000","145,974,000","149,173,000","115,338,000","138,667,000","80,204,000","98,650,000","182,284,000","121,573,000","61,365,000","123,544,000","201,892,000","139,297,000","99,614,000","46,556,000","55,577,000","141,588,000","116,060,000","18,084,000","99,117,000","157,093,000","106,414,000","-4,099,000","166,121,000","55,068,000","76,580,000","17,978,000","93,702,000","67,527,000","75,363,000","5,950,000","160,436,000","84,049,000","95,082,000","36,727,000","74,843,000","52,739,000","43,723,000","-2,443,000","60,338,000","45,774,000","40,718,000","44,725,000","42,335,000","22,430,000","36,172,000","49,161,000","16,850,000","49,605,000","44,644,000","33,672,000","41,974,000","33,580,000","36,975,000","31,436,000","34,749,000","44,391,000","33,550,000","42,377,000","28,345,000","50,910,000","22,724,000","62,318,000","18,232,000","31,671,000","34,529,000","52,782,000","31,113,000","28,334,000","23,840,000","15,521,000","9,708,000","23,293,000","-21,637,000","17,105,000","30,500,000","29,200,000","23,400,000","33,100,000","14,600,000","45,200,000","41,100,000","9,800,000"
		NetIncomeFromContinuingOperations,"363,791,000","281,547,000","10,469,000","-374,433,000","446,208,000","117,698,000","102,177,000","117,045,000","103,758,000","123,635,000","106,243,000","171,618,000","174,970,000","151,526,000","146,049,000","143,479,000","310,686,000","138,925,000","-207,071,000","130,193,000","113,689,000","62,657,000","610,278,000","137,697,000","-302,754,000","235,548,000","182,677,000","70,872,000","59,366,000","47,149,000","-14,048,000","81,340,000","29,379,000","64,235,000","161,346,000","97,844,000","91,128,000","89,516,000","72,239,000","104,236,000","41,238,000","112,414,000","103,944,000","122,958,000",,,"89,339,000","97,020,000","86,086,000","64,914,000","65,216,000","57,329,000","40,132,000","26,946,000","13,111,000","56,175,000","61,655,000","63,261,000","58,620,000","59,099,000","53,863,000","58,108,000","62,977,000","2,289,000","43,327,000","34,376,000","32,198,000","26,292,000","32,058,000","24,319,000","19,637,000","827,000","20,768,000","13,607,000","18,512,000","7,636,000","24,803,000","20,994,000","16,901,000","20,352,000","20,694,000","16,798,000","14,056,000","16,761,000","14,805,000","22,545,000","15,709,000","23,706,000","33,813,000","28,548,000","23,905,000","17,139,000","24,613,000","23,172,000","22,695,000","17,577,000","21,811,000","22,649,000","20,894,000","18,548,000","20,363,000","20,177,000","17,913,000","7,887,000","14,635,000","115,624,000","28,900,000","22,200,000","12,500,000","14,600,000","5,700,000","19,500,000","15,300,000","10,800,000"
		OperatingGainsLosses,"-502,143,000","-58,286,000","37,339,000","-30,708,000","-450,488,000","7,061,000","-184,000","-27,817,000","-32,707,000","-28,323,000","8,530,000","-32,650,000","-37,833,000","-45,682,000","-6,142,000","-22,996,000","-238,577,000","-21,567,000","-41,727,000","-18,970,000","-15,029,000","31,604,000","-369,655,000","-10,842,000","-13,268,000","-136,501,000","-47,348,000","-5,211,000","-5,407,000","-11,850,000","104,193,000","80,894,000","-9,401,000","7,768,000","-143,858,000","-3,760,000","-8,139,000","-8,679,000","36,342,000","-101,599,000","101,538,000","3,094,000","-2,244,000","-4,424,000","-13,602,000","-56,096,000","-51,477,000","-4,397,000","4,073,000","-21,914,000","-13,587,000","560,000","-6,713,000","-2,136,000","39,846,000","2,526,000","7,921,000","-14,634,000","-4,658,000","6,073,000","-2,351,000","-2,427,000","115,958,000","-1,085,000","28,829,000","-35,734,000","-10,983,000","5,396,000","2,594,000","2,529,000","6,700,000",,,,"-19,244,000",,,"2,220,000",,,,,,,,,"-12,526,000","0",,,"2,925,000","4,781,000",,,,,,,,,,,"-63,780,000","0","0","-94,377,000","-15,400,000","-700,000",,,"10,100,000",,,
			GainLossOnSaleOfBusiness,,,"132,453,000","984,000",,,,,,,,"0",,,"8,277,000","0",,,"0","0","0","0","-387,980,000","0","-974,000","-121,324,000","0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,"0","0",,,"-3,332,000","0","0","-11,079,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"8,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-141,695,000","-62,436,000","-33,555,000","-27,706,000","-17,998,000","-16,511,000","-43,649,000","-26,154,000","-31,114,000","-26,604,000","-22,841,000","-33,236,000","-38,310,000","-35,181,000","-27,537,000","-22,081,000","-18,969,000","-20,677,000","-29,224,000","-19,044,000","-15,048,000","-21,171,000","-15,310,000","-15,363,000","-14,295,000","-16,566,000","-8,763,000","-6,050,000","-5,794,000","-10,392,000","-7,542,000","-8,650,000","-10,649,000","-8,901,000","-6,421,000","-5,338,000","-9,709,000","-10,261,000","-32,078,000","-1,460,000","-126,000","-4,403,000","-6,636,000","-9,500,000","-17,008,000","-10,610,000","-3,530,000","-6,073,000","-6,858,000","-5,100,000","625,000","1,299,000","-4,213,000","-1,988,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"-74,034,000","-4,250,000","-61,559,000","-3,986,000","-4,239,000","-4,226,000","50,633,000","-1,663,000","-1,593,000","-1,719,000","29,874,000","586,000","477,000","578,000","13,118,000","-915,000","-903,000","-890,000","-12,503,000","74,000","19,000","-26,000","33,635,000","4,521,000","2,001,000","1,389,000","-38,585,000","839,000","387,000","-1,458,000","111,735,000","4,029,000","1,248,000","16,669,000","-137,437,000","1,578,000","1,570,000","1,582,000","68,420,000","-5,436,000","6,961,000","7,497,000","4,392,000","5,076,000","3,406,000","-45,486,000","-47,947,000","1,676,000","3,973,000","-16,814,000","-26,605,000","-739,000","-2,500,000","-148,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"258,314,000","66,574,000","68,235,000","62,082,000","61,423,000","62,260,000","61,770,000","58,679,000","57,841,000","53,694,000","56,766,000","54,487,000","52,948,000","49,283,000","50,187,000","49,707,000","50,474,000","50,330,000","52,841,000","49,895,000","49,122,000","45,070,000","49,670,000","47,994,000","67,953,000","60,552,000","59,704,000","68,903,000","67,483,000","63,986,000","25,228,000","25,630,000","24,905,000","27,809,000","27,893,000","27,660,000","26,573,000","25,244,000","24,592,000","24,979,000","25,214,000","24,235,000","24,827,000","24,616,000","24,306,000","23,004,000","24,092,000","23,075,000","23,710,000","24,701,000","25,974,000","24,135,000","24,629,000","25,775,000","30,130,000","27,513,000","27,500,000","26,542,000","27,031,000","26,066,000","26,409,000","27,349,000","26,935,000","28,349,000","27,040,000","30,626,000","31,238,000","28,505,000","28,647,000","29,045,000","27,980,000","26,326,000","21,396,000","21,566,000","22,249,000","20,986,000","20,641,000","20,138,000","19,957,000","20,171,000","20,206,000","20,269,000","22,149,000","18,447,000","18,569,000","18,445,000","19,438,000","18,123,000","18,039,000","18,150,000","18,906,000","19,076,000","18,882,000","18,886,000","19,553,000","19,216,000","18,636,000","17,607,000","18,327,000","17,110,000","17,510,000","16,097,000","16,840,000","17,409,000","16,165,000","20,630,000","24,500,000","22,700,000","23,700,000","23,200,000","24,400,000","22,800,000","23,300,000","22,800,000"
