name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
TotalRevenue,"3,626,394,000","1,127,728,000","894,204,000","830,566,000","773,896,000","829,291,000","879,147,000","746,868,000","764,049,000","738,845,000","992,564,000","879,747,000","885,052,000","832,064,000","921,699,000","777,748,000","853,874,000","821,629,000","857,789,000","754,866,000","737,258,000","722,063,000","696,655,000","654,010,000","669,327,000","865,398,000","930,353,000","905,093,000","931,485,000","884,404,000","598,566,000","642,418,000","604,721,000","656,679,000","691,956,000","648,638,000","634,197,000","641,625,000","687,596,000","661,226,000","684,894,000","711,704,000","707,390,000","722,977,000","742,108,000","696,530,000","604,975,000","585,036,000","592,483,000","580,270,000","558,228,000","515,276,000","445,299,000","486,591,000","517,725,000","660,463,000","620,750,000","668,177,000","599,156,000","583,981,000","563,812,000","589,238,000","584,537,000","607,818,000","568,797,000","607,354,000","588,175,000","506,605,000","502,754,000","509,965,000","451,065,000","413,904,000","326,759,000","322,009,000","298,640,000","276,551,000","269,476,000","265,570,000","247,212,000","263,324,000","245,051,000","224,628,000","239,186,000","242,017,000","211,286,000","224,410,000","218,810,000","237,053,000","226,206,000","235,480,000","224,683,000","212,086,000","200,811,000","208,345,000","205,418,000","196,192,000","204,103,000","215,149,000","216,670,000","207,111,000","207,675,000","198,394,000","204,495,000","183,776,000","196,039,000","270,171,000","296,000,000","315,200,000","319,700,000","313,300,000","286,600,000","282,600,000","269,900,000","241,800,000","234,900,000","226,000,000","226,600,000","215,900,000"
	OperatingRevenue,"3,626,394,000","1,127,728,000","894,204,000","830,566,000","773,896,000","829,291,000","879,147,000","746,868,000","764,049,000","738,845,000","992,564,000","879,747,000","885,052,000","832,064,000","921,699,000","777,748,000","853,874,000","821,629,000","857,789,000","754,866,000","737,258,000","722,063,000","696,655,000","654,010,000","669,327,000","865,398,000","930,353,000","905,093,000","931,485,000","884,404,000","598,566,000","642,418,000","604,721,000","656,679,000","691,956,000","648,638,000","634,197,000","641,625,000","687,596,000","661,226,000","684,894,000","711,704,000","707,390,000","722,977,000","742,108,000","696,530,000","604,975,000","585,036,000","592,483,000","580,270,000","558,228,000","515,276,000","445,299,000","486,591,000","517,725,000","660,463,000","620,750,000","668,177,000","599,156,000","583,981,000","563,812,000","589,238,000","584,537,000","607,818,000","568,797,000","607,354,000","588,175,000","506,605,000","502,754,000","509,965,000","451,065,000","413,904,000","326,759,000","322,009,000","298,640,000","276,551,000","269,476,000","265,570,000","247,212,000","263,324,000","245,051,000","224,628,000","239,186,000","242,017,000","211,286,000","224,410,000","218,810,000","237,053,000","226,206,000","235,480,000","224,683,000","212,086,000","200,811,000","208,345,000","205,418,000","196,192,000","204,103,000","215,149,000","216,670,000","207,111,000","207,675,000","198,394,000","204,495,000","183,776,000","196,039,000","270,171,000","296,000,000","315,200,000","319,700,000","313,300,000","286,600,000","282,600,000","269,900,000","241,800,000","234,900,000","226,000,000","226,600,000","215,900,000"
CostOfRevenue,"2,443,080,000","678,698,000","657,610,000","581,293,000","525,479,000","565,604,000","613,727,000","492,812,000","530,690,000","496,827,000","654,053,000","569,880,000","559,138,000","548,578,000","601,315,000","497,211,000","542,518,000","516,650,000","550,780,000","479,077,000","465,164,000","466,975,000","455,689,000","415,038,000","421,223,000","528,000,000","604,723,000","592,883,000","630,919,000","625,938,000","436,126,000","436,972,000","397,358,000","462,393,000","438,429,000","436,989,000","437,558,000","442,035,000","482,930,000","446,469,000","442,209,000","463,817,000","473,308,000","464,965,000","490,159,000","463,514,000","408,514,000","388,213,000","404,316,000","415,799,000","408,769,000","381,197,000","335,481,000","396,085,000","394,626,000","506,280,000","457,769,000","500,766,000","442,798,000","431,019,000","410,430,000","429,449,000","435,788,000","459,590,000","437,413,000","484,901,000","476,877,000","406,994,000","397,587,000","402,643,000","342,036,000","337,796,000","260,331,000","261,225,000","232,206,000","220,543,000","211,050,000","207,928,000","190,865,000","198,350,000","186,896,000","168,868,000","182,723,000","185,336,000","162,550,000","164,955,000","156,794,000","168,214,000","160,200,000","160,878,000","154,130,000","150,923,000","141,441,000","134,886,000","136,121,000","138,683,000","137,925,000","147,328,000","152,335,000","144,191,000","139,866,000","132,032,000","137,011,000","139,016,000","139,266,000","196,060,000","200,100,000","219,100,000","230,800,000","223,100,000","202,500,000","196,900,000","180,400,000","162,200,000",,,,
GrossProfit,"1,183,314,000","449,030,000","236,594,000","249,273,000","248,417,000","263,687,000","265,420,000","254,056,000","233,359,000","242,018,000","338,511,000","309,867,000","325,914,000","283,486,000","320,384,000","280,537,000","311,356,000","304,979,000","307,009,000","275,789,000","272,094,000","255,088,000","240,966,000","238,972,000","248,104,000","337,398,000","325,630,000","312,210,000","300,566,000","258,466,000","162,440,000","205,446,000","207,363,000","194,286,000","253,527,000","211,649,000","196,639,000","199,590,000","204,666,000","214,757,000","242,685,000","247,887,000","234,082,000","258,012,000","251,949,000","233,016,000","196,461,000","196,823,000","188,167,000","164,471,000","149,459,000","134,079,000","109,818,000","90,506,000","123,099,000","154,183,000","162,981,000","167,411,000","156,358,000","152,962,000","153,382,000","159,789,000","148,749,000","148,228,000","131,384,000","122,453,000","111,298,000","99,611,000","105,167,000","107,322,000","109,029,000","76,108,000","66,428,000","60,784,000","66,434,000","56,008,000","58,426,000","57,642,000","56,347,000","64,974,000","58,155,000","55,760,000","56,463,000","56,681,000","48,736,000","59,455,000","62,016,000","68,839,000","66,006,000","74,602,000","70,553,000","61,163,000","59,370,000","73,459,000","69,297,000","57,509,000","66,178,000","67,821,000","64,335,000","62,920,000","67,809,000","66,362,000","67,484,000","44,760,000","56,773,000","74,111,000","95,900,000","96,100,000","88,900,000","90,200,000","84,100,000","85,700,000","89,500,000","79,600,000",,,,
OperatingExpense,"516,336,000","128,651,000","135,427,000","116,766,000","135,492,000","107,823,000","140,284,000","109,624,000","121,159,000","117,974,000","199,426,000","123,720,000","140,177,000","128,332,000","137,300,000","116,777,000","139,711,000","122,356,000","129,539,000","127,345,000","133,023,000","132,324,000","144,567,000","107,314,000","106,555,000","162,558,000","116,930,000","162,910,000","173,048,000","162,257,000","165,402,000","88,419,000","88,948,000","101,882,000","-6,017,000","81,984,000","84,465,000","84,703,000","117,057,000","79,813,000","190,238,000","99,741,000","98,008,000","97,703,000","102,854,000","90,654,000","85,075,000","76,260,000","81,532,000","81,249,000","74,379,000","71,154,000","78,827,000","61,579,000","76,345,000","77,291,000","85,191,000","80,319,000","78,858,000","76,426,000","74,179,000","78,197,000","71,908,000","69,549,000","73,400,000","69,298,000","71,823,000","60,530,000","59,143,000","68,006,000","64,164,000","51,977,000","38,287,000","39,440,000","39,024,000","40,238,000","33,856,000","32,568,000","31,875,000","33,570,000","32,936,000","31,330,000","35,360,000","31,425,000","27,619,000","28,481,000","38,631,000","34,095,000","16,141,000","32,434,000","35,773,000","36,013,000","41,418,000","37,215,000","34,214,000","33,269,000","33,978,000","33,629,000","35,731,000","35,495,000","35,497,000","33,996,000","38,949,000","33,692,000","36,390,000","40,671,000","64,700,000","63,400,000","64,700,000","61,200,000","68,000,000","59,500,000","59,200,000","58,100,000",,,,
	SellingGeneralAndAdministration,"460,863,000","112,568,000","123,302,000","103,477,000","121,516,000","93,187,000","124,909,000","96,092,000","106,949,000","101,877,000","185,163,000","108,135,000","126,715,000","113,355,000","120,916,000","100,167,000","123,637,000","101,370,000","108,632,000","105,582,000","115,686,000","108,001,000","125,476,000","86,302,000","86,055,000","139,157,000","91,182,000","137,615,000","147,712,000","135,765,000","144,008,000","66,012,000","67,011,000","79,310,000","-27,304,000","62,543,000","62,900,000","64,750,000","97,929,000","59,982,000","169,327,000","80,692,000","79,021,000","77,169,000","82,907,000","73,039,000","70,403,000","61,924,000","66,865,000","66,530,000","59,542,000","56,171,000","51,481,000","45,434,000","64,116,000","59,899,000","67,598,000","63,519,000","62,224,000","61,004,000","59,255,000","62,486,000","59,801,000","58,000,000","62,202,000","57,853,000","58,607,000","50,423,000","53,669,000","57,026,000","51,659,000","43,075,000","32,649,000","30,354,000","32,200,000","27,965,000","29,435,000","27,626,000","27,606,000","29,450,000","28,916,000","25,704,000","28,203,000","25,822,000","22,186,000","22,704,000","24,120,000","27,106,000","25,822,000","26,186,000","23,543,000","26,558,000","26,546,000","28,792,000","26,405,000","25,366,000","27,089,000","26,575,000","27,219,000","27,786,000","27,669,000","26,599,000","30,824,000","25,212,000","29,679,000","33,545,000","31,600,000","34,100,000","33,600,000","31,200,000","35,500,000","29,000,000","29,900,000","29,100,000",,,,
	ResearchAndDevelopment,"55,473,000","16,083,000","12,125,000","13,289,000","13,976,000","14,636,000","15,375,000","13,532,000","14,210,000","16,097,000","14,263,000","15,585,000","13,462,000","14,977,000","16,384,000","16,610,000","16,074,000","20,986,000","20,907,000","21,763,000","17,337,000","24,323,000","19,091,000","21,012,000","20,500,000","23,401,000","25,748,000","25,295,000","25,336,000","26,492,000","21,394,000","22,407,000","21,937,000","22,572,000","21,287,000","19,441,000","21,565,000","19,953,000","19,128,000","19,831,000","20,911,000","19,049,000","18,987,000","20,534,000","19,947,000","17,615,000","14,672,000","14,336,000","14,667,000","14,719,000","14,837,000","14,983,000","14,953,000","16,145,000","15,507,000","17,392,000","17,593,000","16,800,000","16,634,000","15,422,000","14,924,000","15,711,000","12,107,000","11,549,000","11,198,000","11,445,000","10,246,000","10,107,000","10,342,000","10,980,000","12,505,000","9,101,000","5,088,000","4,579,000","4,278,000","4,770,000","4,421,000","4,942,000","3,569,000","4,120,000","4,020,000","4,776,000","5,106,000","5,603,000","5,433,000","5,777,000","6,745,000","6,989,000","6,219,000","6,248,000","8,169,000","8,603,000","9,093,000","8,423,000","7,809,000","7,903,000","6,889,000","7,054,000","8,512,000","7,709,000","7,828,000","7,397,000","8,125,000","8,480,000","6,711,000","7,126,000","8,600,000","6,600,000","7,400,000","6,800,000","8,100,000","7,700,000","6,000,000","6,200,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,500,000","22,700,000","23,700,000","23,200,000","24,400,000","22,800,000","23,300,000","22,800,000",,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,500,000","22,700,000","23,700,000","23,200,000","24,400,000","22,800,000","23,300,000","22,800,000",,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"12,393,000",,,,,,,,,,,,,,"2,970,000",,"-4,868,000",,"0","-199,000","550,000","4,507,000","2,546,000","7,503,000",,,"700,000",,,"850,000",,,,,"7,766,000",,"-15,900,000",,"4,061,000","852,000","5,779,000",,,,,,,,,,,,,,,,,,,,,,,,,
