name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,12/31/2009
TotalAssets,"44,921,545,488.61","39,056,652,559.96","33,889,599,470.42","30,135,846,624.7","23,307,694,487.73","22,020,373,319.53","21,955,540,797.08","16,010,919,743.63","15,477,310,550.27","14,213,031,883.33","14,021,512,065.5","14,379,417,802.65","13,752,725,813.09","13,520,716,752.12","8,931,002,962.05","8,781,398,286.99","8,287,777,941","7,999,100,056.47","6,166,687,845.69","5,305,553,304.52","4,547,595,709.01","3,808,742,104.22","3,453,658,893.02","3,094,661,823.72","3,031,778,413.68","2,527,552,379.63","2,598,084,364.78","2,068,421,447.45","2,048,429,448.7","1,954,451,783.93","1,822,774,702.51","1,791,101,973.29","1,717,208,103.02","1,795,891,836.47","1,262,395,319.93","1,233,150,079.62","1,150,741,754.22","1,047,899,408.95","925,015,338.91","868,812,215.83","866,785,301.74","829,944,839.02","853,641,630.45","815,033,494.51","799,614,720.72","776,498,121.96","810,043,826.44","364,141,095.99","300,073,675.57"
	CurrentAssets,"15,978,089,830.82","14,626,739,586.24","14,768,856,881.14","13,398,426,762.73","8,304,449,463.32","8,774,832,010.87","8,973,327,342.87","6,946,991,044.56","6,733,503,609.04","5,717,029,763.94","5,999,817,917.72","7,208,929,211.99","7,222,221,580.49","7,914,767,993.58","4,213,972,976.71","4,688,692,347.78","4,665,001,781.08","4,567,681,325.9","3,227,175,576.15","2,524,874,598.19","1,989,490,899.5","1,474,571,660.79","1,486,364,272.8","1,323,404,981.5","1,296,281,450.46","1,006,302,228.36","1,146,849,519.05","1,103,370,928.25","1,235,907,642.5","1,143,221,691.12","999,917,849.16","968,663,918.55","969,821,180.04","1,072,102,181","621,056,292.45","635,874,529.49","656,165,545.32","557,857,130.97","582,591,723.44","564,332,523.72","566,031,803.69","533,874,403.58","580,439,672.14","564,626,433.35","601,873,659.21","583,059,715.58","650,843,937.77","215,050,035.02","175,471,157.73"
		CashCashEquivalentsAndShortTermInvestments,"5,095,293,423.25","6,613,570,212","7,932,377,709.76","7,199,667,792.58","2,544,048,681.01","2,262,706,815.67","4,721,731,057.28","2,804,579,880.79","2,670,110,024.04","1,712,783,707.5","2,147,275,519.64","3,297,407,114.92","3,546,021,059.98","3,795,122,335.78","1,128,754,667.58","1,701,581,888.81","2,090,985,782.18","2,428,350,960.35","819,415,102.52","306,005,202.87","429,460,197","199,053,841.33","286,538,445.61","197,729,332.99","167,941,188.86","182,164,942.86","129,326,625","337,838,810.21","463,083,166.78","373,782,271.63","216,149,158.21","224,433,229.19","397,208,771.88","544,895,978.66","67,337,976.52","87,705,888.35","72,390,106.17","88,659,365.88","127,650,035.92","126,530,175.67","170,468,414.6","207,825,946.86","255,152,624.15","297,821,885.96","344,751,784.78","371,309,869.6","430,066,652.6","19,368,237.99","21,170,721.52"
			CashAndCashEquivalents,"4,738,380,862","6,332,206,445.27","7,467,131,948.68","7,058,225,140.47","2,443,025,301.78","2,175,589,944.3","4,630,712,695.74","2,763,125,556.42","2,584,598,773.05","1,699,930,400.52","2,021,879,895.7","3,163,415,189.71","3,249,268,351.08","3,602,340,290.7","1,114,283,993.41","1,468,659,845.25","1,299,380,121.17","2,237,200,264.76","812,708,787.17","305,004,875.81","428,147,520.23","197,750,145.03","285,285,810.36","196,499,454.76","166,813,878.86","180,732,477.86","128,401,825","336,202,260.21","463,083,166.78","373,782,271.63","216,149,158.21","224,433,229.19","397,208,771.88","544,895,978.66","67,337,976.52","87,705,888.35","72,390,106.17","88,659,365.88","127,650,035.92","126,530,175.67","170,468,414.6","207,825,946.86","255,152,624.15","297,821,885.96","344,751,784.78","371,309,869.6","430,066,652.6","19,368,237.99","21,170,721.52"
				CashFinancial,,"5,224,169,076.77",,"6,415,684,175",,"1,673,502,088.66",,"2,747,053,819.57",,"1,326,332,523.39",,"2,959,501,198.69",,"3,214,826,943.99",,"1,450,886,365.42",,"2,163,174,405.36",,"187,848,931.32",,"167,126,538.6",,"168,747,234.97",,"160,729,777.96",,"324,714,500.71",,"361,951,302.46",,"205,692,430.04",,"533,297,690.31",,"69,206,382.72",,"70,412,190.22",,"115,061,612.84",,"196,413,687.15",,"287,869,349.49",,"365,857,317.84",,,"15,126,930.26"
				CashEquivalents,,"1,108,037,368.5",,"642,540,965.47",,"502,087,855.64",,"16,071,736.85",,"373,597,877.13",,"203,913,991.02",,"387,513,346.71",,"17,773,479.83",,"74,025,859.4",,"117,155,944.49",,"30,623,606.43",,"27,752,219.79",,"20,002,699.9",,"11,487,759.5",,"11,830,969.17",,"18,740,799.15",,"11,598,288.35",,"18,499,505.63",,"18,247,175.66",,"11,468,562.83",,"11,412,259.71",,"9,952,536.47",,"5,452,551.76",,,"6,043,791.26"
			OtherShortTermInvestments,"356,912,561.25","281,363,766.73","465,245,761.08","141,442,652.11","101,023,379.23","87,116,871.37","91,018,361.54","41,454,324.37","85,511,250.99","12,853,306.98","125,395,623.94","133,991,925.21","296,752,708.9","192,782,045.08","14,470,674.17","232,922,043.56","791,605,661.01","191,150,695.59","6,706,315.35","1,000,327.06","1,312,676.77","1,303,696.3","1,252,635.25","1,229,878.23","1,127,310","1,432,465","924,800","1,636,550",,,,,,,,,,,,,,,,,,,,,
		Inventory,"4,054,839,419.85","3,283,309,094.88","2,628,066,093.86","2,495,279,724.02","2,467,117,301.54","2,214,817,242.35","2,039,224,239.71","2,300,346,090.25","2,281,033,617.85","2,333,835,840.82","1,950,472,615.65","1,988,422,713.89","1,830,588,970.35","1,904,712,597.83","1,402,878,835.52","1,294,882,445.09","1,148,347,905.91","914,834,484.46","854,559,726.84","842,407,060.19","663,892,767.17","534,353,881.08","596,811,944.43","519,708,410.85","510,601,906.66","313,145,639.1","371,209,131.7","366,672,637.57","373,647,258.95","329,099,116.93","321,156,183.57","292,394,097.84","245,266,075.52","219,409,953.19","211,754,585.1","224,962,651.68","210,600,597.29","185,507,262.74","145,857,574.16","130,537,968.4","141,643,624.7","120,922,952.02","122,457,535.09","114,751,574.99","90,603,583.81","82,593,165.24","83,986,517.76","79,910,627.72","46,617,578.99"
			RawMaterials,,"2,135,044,284",,"1,437,035,251.15",,"1,425,713,997.36",,"1,272,302,467.78",,"1,281,235,222.27",,"1,142,810,817.58",,"1,284,498,409.77",,"742,570,805.37",,"548,583,786.15",,"484,808,221.7",,"248,963,016.59",,"167,395,326.02",,"94,209,203.56",,"88,105,747.93",,"157,663,140.08",,"144,586,848.66",,"129,143,841.8",,"131,274,665.79",,"97,408,538.61",,"43,687,655.33",,"44,268,654.48",,"61,221,817.73",,"44,141,781.9",,,"19,041,910.89"
			WorkInProcess,,"505,143,461.12",,"378,465,955.16",,"306,384,074.55",,"347,011,341.58",,"440,372,940.01",,"288,431,678.33",,"235,670,125.34",,"172,007,894.22",,"124,587,298.95",,"126,379,552.35",,"99,735,243.97",,"188,776,330.97",,"86,499,962.3",,"58,340,094.84",,"65,790,652.51",,"71,627,275.84",,"50,637,567.96",,"28,305,221.35",,"21,132,173.8",,"19,438,729.02",,"26,198,177.18",,"11,385,267.3",,"10,389,877.01",,,"6,046,972"
			FinishedGoods,,"643,121,349.76",,"679,778,517.71",,"482,719,170.44",,"681,032,280.89",,"612,227,678.54",,"557,180,217.98",,"384,544,062.72",,"380,303,745.5",,"241,663,399.36",,"231,219,286.14",,"185,655,620.52",,"163,536,753.86",,"132,436,473.24",,"220,226,794.8",,"105,645,324.34",,"76,179,973.34",,"39,628,543.43",,"65,382,764.54",,"66,966,550.33",,"67,411,584.05",,"50,456,120.36",,"42,144,489.96",,"28,061,506.33",,,"21,528,696.1"
			OtherInventories,,,,,,,,"-82,376,371.2",,"-63,831,059.64",,"-17,962,130.16",,"-20,921,059.98",,"-3,787,668.68",,"-11,698,535.74",,"-33,437,704.74",,"-33,438,166.48",,"-16,426,067.46",,"-16,426,067.46",,"-13,793,494.06",,"-4,379,577.06",,"-4,340,031.38",,"-4,181,848.64",,"-4,168,758.6",,"-4,168,758.6",,"-4,168,758.6",,"-4,168,758.6",,"-524,072.32",,"-524,072.32",,,"-524,072.32"
			InventoriesAdjustmentsAllowances,,,,,,"-10,350,749.11",,"-41,188,185.6","2,281,033,617.85","-31,915,529.82","1,950,472,615.65","-8,981,065.08","1,830,588,970.35","-10,460,529.99","1,402,878,835.52","-1,893,834.34","1,148,347,905.91","-5,849,267.87","854,559,726.84","-16,718,852.37","663,892,767.17","-16,719,083.24","596,811,944.43","-8,213,033.73","510,601,906.66","-8,213,033.73","371,209,131.7","-6,896,747.03","373,647,258.95","-2,189,788.53","321,156,183.57","-2,170,015.69","245,266,075.52","-2,090,924.32","211,754,585.1","-2,084,379.3","210,600,597.29","-2,084,379.3","145,857,574.16","-2,084,379.3","141,643,624.7","-2,084,379.3","122,457,535.09","-262,036.16","90,603,583.81","-262,036.16","83,986,517.76","79,910,627.72","-262,036.16"
		PrepaidAssets,"600,692,146.08","217,772,782.94","646,492,643.07","684,188,486","801,113,475.68","544,515,771.92","269,039,597.79","205,719,812.78","271,286,155.72","230,227,631.13","409,240,847.76","297,629,755.1","380,839,937.71","309,713,264.41","243,180,009.41","352,717,142.56","280,340,470.91","190,110,044.53","321,921,355.23","242,462,421.95","109,189,709.9","82,004,809.91","72,293,573.82","69,808,206.53","54,358,457.3","20,570,800.18","98,225,682.83","17,986,029.63","30,693,128.82","27,557,752.98","14,177,572.28","18,337,045.59","26,219,148.58","14,379,240.76","92,940,715.35","91,402,019.11","157,157,677.56","83,699,237.75","142,583,847.27","147,051,543.57","100,201,756.65","70,764,995.69","30,170,421.31","27,474,554.3","51,234,376.79","29,555,150.43","38,571,134.52","26,056,485.65","25,412,021.39"
		OtherCurrentAssets,"1,170,782,878.38","1,159,967,547.99","674,723,559.94","507,115,929.26","563,689,982.21","1,951,968,579.49","170,165,905.58","232,375,757.98","292,711,282.47","282,171,986.27","193,463,775.94","201,340,965.98","161,847,123.42","151,341,579.01","164,494,179.49","162,081,271.5","94,992,650.75","67,183,352.17","150,923,322.53","191,270,468.59","167,869,104.75","60,848,129.33","53,048,594.66","5,211,567.21","7,949,415.37","4,304,699.45","8,108,303.76","17,307,251.05","15,180,860.03","91,364,834.64","145,410,989.48","144,409,152.94","17,346,230.33","20,032,088.28","-2,429,732.58","-3,159,323.37","-3,176,155.51","-2,218,048.13","-1,929,531.72","-2,139,990.74","-3,222,195.16","-2,977,351.41","110,631.11","-9,261,651.61","-2,496,186.63","-1,993,030.6","-8,236,969.8","-4,913,609.38","-5,723,801.45"
	TotalNonCurrentAssets,"28,943,455,657.79","24,429,912,973.72","19,120,742,589.28","16,737,419,861.97","15,003,245,024.41","13,245,541,308.66","12,982,213,454.21","9,063,928,699.07","8,743,806,941.23","8,496,002,119.39","8,021,694,147.78","7,170,488,590.66","6,530,504,232.6","5,605,948,758.54","4,717,029,985.34","4,092,705,939.21","3,622,776,159.92","3,431,418,730.57","2,939,512,269.54","2,780,678,706.33","2,558,104,809.51","2,334,170,443.43","1,967,294,620.22","1,771,256,842.22","1,735,496,963.22","1,521,250,151.27","1,451,234,845.73","965,050,519.2","812,521,806.2","811,230,092.81","822,856,853.35","822,438,054.74","747,386,922.98","723,789,655.47","641,339,027.48","597,275,550.13","494,576,208.9","490,042,277.98","342,423,615.47","304,479,692.11","300,753,498.05","296,070,435.44","273,201,958.31","250,407,061.16","197,741,061.51","193,438,406.38","159,199,888.67","149,091,060.97","124,602,517.84"
		NetPPE,"9,528,090,921.55","8,852,320,402.86","7,819,152,416.35","6,937,398,771.47","6,258,333,084.2","6,061,751,565.95","5,730,183,543.58","2,966,053,768.05","2,992,511,577.7","3,013,579,397.93","2,861,714,961.78","2,893,767,970.8","2,631,980,274.19","2,595,333,291.12","2,611,569,762.52","2,143,092,006.12","1,888,922,237.46","1,573,606,450.41","1,425,859,795.63","1,335,099,191.39","1,291,869,852.63","1,147,236,429.33","960,461,874.62","830,831,140.87","778,196,434.38","740,844,998.36","742,415,508.23","694,995,759.64","669,089,595.6","669,088,450.4","674,852,178.29","672,720,874.57","606,402,958.16","582,366,576.02","531,575,931.31","490,446,588.62","397,286,201.4","394,458,540.66","286,670,846.8","248,317,728.1","244,576,316.22","242,655,486.68","219,261,826.76","220,160,181.33","178,438,849.55","174,455,862.31","139,905,238.58","130,362,598.69","107,321,105.99"
			GrossPPE,"9,528,090,921.55","10,057,066,218.03","7,819,152,416.35","7,979,577,851.82","6,258,333,084.2","6,961,658,380.32","5,730,183,543.58","3,760,546,356.1","2,992,511,577.7","3,685,155,206.57","2,861,714,961.78","3,461,192,421.94","2,631,980,274.19","3,091,430,321.89","2,611,569,762.52","2,574,917,625.49","1,888,922,237.46","1,956,133,524.48","1,425,859,795.63","1,699,218,257.5","1,291,869,852.63","1,470,993,072.97","960,461,874.62","1,130,973,699.47","778,196,434.38","1,004,241,612.3","742,415,508.23","892,797,467.1","669,089,595.6","832,412,565.45","674,852,178.29","809,311,471.64","606,402,958.16","700,399,443.97","531,575,931.31","602,334,744.07","397,286,201.4","491,276,819.85","286,670,846.8","344,426,572.34","244,576,316.22","312,536,778.16","219,261,826.76","276,323,095.98","178,438,849.55","222,091,951.36","139,905,238.58","130,362,598.69","141,055,450.44"
				Properties,,"912,385,856.57",,"799,633,914.4",,"741,233,819.98",,"728,802,568.23",,"603,052,347.93",,"576,968,053.43",,"421,966,389.72",,"302,650,164.44",,"290,202,297.9",,"246,599,535.23",,"245,185,962.34",,"225,679,376.45",,"223,059,324.56",,"212,366,748.58",,"211,812,140.6",,"206,787,227.34",,"106,973,475.9",,"101,437,827.85",,"92,807,290.42",,"88,009,998.34",,"73,310,784.21",,"56,041,956.94",,"54,143,827.74",,,"41,567,741.33"
				LandAndImprovements,,,,,,,,,,"194,218,894.91",,"182,762,929.62",,"174,198,929.62",,"174,198,929.62",,"145,347,425.63",,"121,702,441.63",,"121,702,441.63",,"100,650,871.63",,"100,650,871.63",,"100,650,871.63",,"99,924,141.23",,"99,924,141.23",,"99,824,057.23",,"61,737,307.23",,"61,737,307.23",,"27,209,647.78",,"27,209,647.78",,"12,735,343.26",,"12,757,565.48",,,"11,948,485.48"
				BuildingsAndImprovements,,,,"799,633,914.4",,"741,233,819.98",,"728,802,568.23",,"603,052,347.93",,"576,968,053.43",,"421,966,389.72",,"302,650,164.44",,"290,202,297.9",,"246,599,535.23",,"245,185,962.34",,"225,679,376.45",,"223,059,324.56",,"212,366,748.58",,"211,812,140.6",,"206,787,227.34",,"106,973,475.9",,"101,437,827.85",,"92,807,290.42",,"88,009,998.34",,"73,310,784.21",,"56,041,956.94",,"54,143,827.74",,,"41,567,741.33"
				MachineryFurnitureEquipment,,"2,078,754,774",,"1,896,091,675.52",,"1,574,492,886.01",,"1,365,246,573.21",,"1,321,565,022.03",,"1,084,003,019.38",,"923,650,219.69",,"481,638,402.95",,"458,313,667.65",,"485,028,204.77",,"422,197,793.61",,"403,698,898.84",,"386,506,823.76",,"300,122,398.92",,"293,035,046.57",,"288,576,213.13",,"131,523,583.43",,"131,997,359.84",,"114,254,016.42",,"111,595,866.8",,"86,778,761.93",,"69,818,163.45",,"57,169,124.45",,,"80,577,545.45"
				OtherProperties,"3,435,515,747.6","1,270,502,625.56","2,938,838,862.81","1,066,165,263.66","2,287,776,023.84","884,800,437.7","2,189,857,627.39","868,498,915.14","2,037,952,218.59","848,738,271.08","1,966,267,555.24","821,536,078.2","1,482,448,262.47","648,220,467.47","1,132,513,203.29","443,033,255.45","800,182,284","429,271,753.53","808,844,448.86","303,092,107.96","631,062,421.53","302,543,108.48","564,808,666.63","245,882,417.19","577,570,185.4","243,430,016.04","578,043,180.85","233,971,688.39","565,450,868.85","233,461,465.92","581,217,095.18","228,872,289.29","310,739,646.87","133,227,048.73","258,973,978.87","134,128,868.83","241,843,193.84","123,337,200.37","213,547,580.94","110,126,799.03","209,861,867.85","75,867,386.04","133,187,234.37","59,891,649.99","129,496,285.13","56,295,776.84","109,218,956.27","100,258,969.29","5,378,583.31"
