name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009
CashFlowsfromusedinOperatingActivitiesDirect,"3,972,292,814.92","1,134,889,135.18","1,692,456,515.77","297,581,559.04","847,365,604.93","-217,010,375.97","545,257,514.93","11,331,874.79","328,359,406.66","-138,580,433.01","441,668,840.37","33,228,755.48","-39,339,386.05","233,727,872.76","573,479,965.07","144,769,426.56","103,379,645.85","-136,397,089.48","364,519,466.28","498,501,779.54","-330,103,472.63","-29,051,708.61","109,466,310.53","300,544,422.67","213,339,542.15","35,123,979.57","248,373,215.85","71,098,929.87","28,203,095.25","18,291,556.36","-28,370,886.41","20,995,195.74","38,920,284.48","-20,437,152.78","46,451,244.55","25,810,516.7","6,629,243.7","-15,334,558.48","-26,283,908.1","18,706,143.41","8,441,128.53","-12,539,676.22","30,016,055.1","-4,374,219.34","19,943,749.61","-11,179,489.5","21,990,082.63","-14,548,904.26","-20,272,804.8","8,096,045.21","27,017,811.56","4,688,804.1"
	ClassesofCashReceiptsfromOperatingActivities,"11,819,031,083.69","4,758,688,890.77","1,419,438,529.05","4,344,491,425.7","1,296,412,238.17","1,772,928,591.74","383,337,073.04","2,004,589,031.22","792,082,397.15","1,114,770,892.15","-17,847,748.81","1,468,630,446.54","1,915,785,893.06","1,469,081,723.14","1,320,014,135.51","990,914,388.06","1,033,429,896.56","815,179,002.95","344,921,862.59","1,508,657,727.53","889,897,557.69","777,562,195.92","799,493,469.43","785,321,062.8","685,251,778.73","894,166,236.66","554,091,792.51","426,092,462.48","332,728,734.1","273,468,330.79","259,278,070.62","250,698,411.56","263,002,035.91","200,639,449.04","194,391,348.54","195,994,854.35","182,761,408.77","170,997,130.68","149,269,425.38","182,223,410.95","171,292,998.81","144,070,330.5","161,641,238.49","137,350,839.39","132,595,508.19","99,306,788.94","120,814,817.34","112,643,387.64","76,255,295.92","97,081,210.55","89,311,570.9","50,737,137.33"
		ReceiptsfromCustomers,"11,471,336,098.11","4,542,136,092.4","1,532,451,020.26","4,105,827,486.02","1,290,921,499.43","1,698,849,525.64","418,396,675.36","1,881,907,810.9","773,182,293.7","1,082,098,651.72","-8,368,698.73","1,401,481,462.27","1,873,260,765.4","1,436,874,762.77","1,312,711,207.34","974,981,063.6","874,634,695.54","801,169,174.35","359,697,533","1,498,541,117.12","836,913,659","767,272,069.66","802,512,672.14","774,031,734.56","680,234,272.98","890,888,354.42","547,550,152.89","416,319,181.86","330,649,037.13","266,370,446.72","256,211,772.14","247,096,853.73","256,233,872.87","199,511,353.23","201,587,793.02","174,900,537.91","178,652,034.78","166,689,337.69","138,205,316.22","175,904,282.48","168,392,382.47","141,879,304.6","161,977,152.24","125,990,493.59","126,863,136.23","98,225,446.7","120,799,407.43","105,720,558.55","75,956,182.27","96,974,126.51","88,661,379.24","44,896,304.26"
		OtherCashReceiptsfromOperatingActivities,"347,694,985.58","216,552,798.37","-113,012,491.21","238,663,939.68","5,490,738.74","74,079,066.1","-35,059,602.32","122,681,220.32","18,900,103.45","32,672,240.43","-9,479,050.08","67,148,984.27","42,525,127.66","32,206,960.37","7,302,928.17","15,933,324.46","158,795,201.02","14,009,828.6","-14,775,670.41","10,116,610.41","52,983,898.69","10,290,126.26","-3,019,202.71","11,289,328.24","5,017,505.75","3,277,882.24","6,541,639.62","9,773,280.62","2,079,696.97","7,097,884.07","3,066,298.48","3,601,557.83","6,768,163.04","1,128,095.81","-7,196,444.48","21,094,316.44","4,109,373.99","4,307,792.99","11,064,109.16","6,319,128.47","2,900,616.34","2,191,025.9","-335,913.75","11,360,345.8","5,732,371.96","1,081,342.24","15,409.91","6,922,829.09","299,113.65","107,084.04","650,191.66","5,840,833.07"
	ClassesofCashPayments,"-7,318,144,737.49","-3,420,069,923.41","356,241,218.93","-3,935,926,741.98","-318,389,291.03","-1,917,007,564.45","222,894,793.52","-1,987,324,857.64","-371,514,435.22","-1,242,055,491.9","422,608,418.37","-1,399,262,530.01","-1,741,822,250.24","-1,136,182,540.09","-720,182,729.58","-833,239,088.96","-656,771,837.08","-850,796,988.94","69,632,801.32","-885,661,950.98","-1,052,503,216.97","-749,443,110","-657,730,766.67","-450,580,431.21","-428,110,381.4","-836,925,995.55","-272,369,116.22","-339,091,961.89","-288,554,788.26","-250,422,134.74","-274,552,951.92","-223,193,149.39","-210,977,546.67","-216,533,974.42","-139,538,629.31","-165,795,794.52","-161,826,690.06","-176,226,250.02","-167,287,143.03","-159,141,510.49","-149,520,574.17","-147,490,884.42","-125,271,398.49","-136,338,033.9","-106,889,963.49","-109,083,180.65","-94,830,358.26","-122,619,006.34","-91,663,212.16","-85,020,196.41","-47,852,517.8","-43,254,076.32"
		PaymentstoSuppliersforGoodsandServices,"-6,435,819,896.19","-3,122,358,823.93","446,684,091.1","-3,604,783,089.31","-155,362,074.05","-1,744,959,343.59","378,040,163.45","-1,809,859,580.07","-283,981,265.59","-1,107,366,747.74","531,881,191.68","-1,280,151,357.67","-1,620,736,029.21","-988,504,057.43","-589,180,865.89","-745,564,816.52","-585,813,597.94","-759,217,252.88","152,211,848.58","-816,831,938.84","-985,284,593.17","-687,601,910","-574,075,097.51","-397,626,779.37","-377,777,767.98","-791,564,960.82","-239,848,109.45","-259,519,314.86","-270,731,780.19","-225,340,960.99","-239,467,462.85","-201,118,408.19","-191,339,523.43","-191,453,219.11","-114,933,343.41","-145,370,379.22","-150,818,090.36","-152,974,083.8","-147,672,321.88","-144,569,503.71","-138,758,807.69","-129,373,544.79","-123,041,371.6","-106,512,935.4","-99,810,021.58","-96,261,155.53","-75,088,812.72","-110,867,595.02","-97,934,197.33","-63,610,907.61","-45,971,647.79","-32,973,234.21"
		PaymentsonBehalfofEmployees,"-676,663,878.99","-215,073,367.64","-151,089,602.94","-152,102,284.89","-158,398,623.52","-141,147,244.06","-93,320,987.47","-118,371,253.58","-87,846,390.11","-101,375,575.1","-85,826,143.83","-88,794,924.02","-99,542,022.45","-115,204,878.03","-48,489,374.18","-65,375,449.98","-61,936,444.57","-64,625,080.84","-41,051,437.83","-52,735,631.27","-52,361,269.44","-45,964,041.75","-38,646,075.35","-35,527,338.65","-42,512,636.18","-38,659,743.02","-39,802,490.61","-40,099,632.53","-9,292,586.02","-19,187,036.28","-9,522,009.79","-15,582,947.45","-16,614,171.42","-17,384,832.9","-11,423,603.38","-14,538,884.71","-7,955,536.15","-15,602,928.04","-10,865,409.11","-11,659,592.57","-11,200,096.75","-14,047,575.7","-8,685,061.32","-16,186,874.03","-8,545,760.81","-8,830,141.47","-8,081,588.7","-6,216,068.24","-4,969,080.14","-6,400,820.94","-4,580,792.57","-3,044,490.95"
		OtherCashPaymentsfromOperatingActivities,"-205,660,962.31","-82,637,731.84","60,646,730.77","-179,041,367.78","-4,628,593.46","-30,900,976.8","-61,824,382.46","-59,094,023.99","313,220.48","-33,313,169.06","-23,446,629.48","-30,316,248.32","-21,544,198.58","-32,473,604.63","-82,512,489.51","-22,298,822.46","-9,021,794.57","-26,954,655.22","-41,527,609.43","-16,094,380.87","-14,857,354.36","-15,877,158.25","-45,009,593.81","-17,426,313.19","-7,819,977.24","-6,701,291.71","7,281,483.84","-39,473,014.5","-8,530,422.05","-5,894,137.47","-25,563,479.28","-6,491,793.75","-3,023,851.82","-7,695,922.41","-13,181,682.52","-5,886,530.59","-3,053,063.55","-7,649,238.18","-8,749,412.04","-2,912,414.21","438,330.27","-4,069,763.93","6,455,034.43","-13,638,224.47","1,465,818.9","-3,991,883.65","-11,659,956.84","-5,535,343.08","11,240,065.31","-15,008,467.86","2,699,922.56","-7,236,351.16"
	TaxesRefundPaidDirect,"-528,593,531.28","-203,729,832.18","-83,223,232.21","-110,983,124.68","-130,657,342.21","-72,931,403.26","-60,974,351.63","-5,932,298.79","-92,208,555.27","-11,295,833.26","36,908,170.81","-36,139,161.05","-213,303,028.87","-99,171,310.29","-26,351,440.86","-12,905,872.54","-273,278,413.63","-100,779,103.49","-50,035,197.63","-124,493,997.01","-167,497,813.35","-57,170,794.53","-32,296,392.23","-34,196,208.92","-43,801,855.18","-22,116,261.54","-33,349,460.44","-15,901,570.72","-15,970,850.59","-4,754,639.69","-13,096,005.11","-6,510,066.43","-13,104,204.76","-4,542,627.4","-8,401,474.68","-4,388,543.13","-14,305,475.01","-10,105,439.14","-8,266,190.45","-4,375,757.05","-13,331,296.11","-9,119,122.3","-6,353,784.9","-5,387,024.83","-5,761,795.09","-1,403,097.79","-3,994,376.45","-4,573,285.56","-4,864,888.56","-3,964,968.93","-14,441,241.54","-2,794,256.91"
InvestingCashFlow,"-8,705,251,868.99","-2,692,479,618.33","-3,492,548,006.58","-1,279,357,490.56","-1,240,866,753.52","-163,069,890.56","-3,401,865,126.68","124,598,027.8","-259,868,543.24","-418,057,997.68","-415,813,035.27","-943,385,869.21","-773,528,368.33","-689,941,771.97","-1,650,849,697.04","-177,595,386.68","143,544,146.58","-675,137,000.29","158,547,384.9","-119,114,700.27","-554,958,351.57","-324,666,666.89","-307,681,174.67","-241,885,027.7","-96,080,653.23","-238,616,759.12","-96,797,165.85","-281,673,388.24","-206,152,771.18","34,399,299.42","40,373,552.26","-29,384,197.21","-169,233,738.02","-47,355,131.66","-122,796,414.63","-37,424,160.61","-33,087,916.11","-59,349,974.19","-50,749,809.64","-49,898,140.65","-52,494,469.48","-37,929,232.11","-47,719,848.86","-40,874,789.28","-54,316,050.06","-18,858,822.08","-32,320,278.2","-16,477,484.02","-8,952,791.48","-12,988,947.36","-8,692,492.07","-12,426,650.57"
