name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009
TotalRevenue,"14,920,658,765.36","5,365,267,017.62","4,108,456,297.33","2,989,477,093.56","2,457,458,356.85","1,606,822,673.47","1,631,021,163.69","1,506,043,225.99","1,308,080,387.3","1,078,841,300.29","1,131,216,106.93","1,388,092,945.7","1,492,507,981.74","1,329,903,169.35","1,410,381,870.21","1,261,695,745.73","1,281,712,408.07","1,050,092,864.25","1,541,449,819.85","1,216,739,271.76","1,000,103,813.38","625,153,235.43","821,532,305.44","679,373,498.75","679,948,380.01","663,266,163.45","486,839,906.54","322,685,417.82","314,872,074.75","229,527,355.82","240,088,548.2","222,461,752.8","229,138,463.89","177,791,382.08","189,671,413.87","167,670,279.6","171,888,572.72","157,036,734.17","170,304,511.6","158,500,094.67","155,217,943.09","144,125,080.29","147,239,201.08","130,757,033.06","102,287,921.72","94,694,439.13","115,273,369.89","82,007,863.66","84,795,880.16","77,645,212.07","84,184,369.25","72,005,409.7"
	OperatingRevenue,"14,920,658,765.36","5,365,267,017.62","4,108,456,297.33","2,989,477,093.56","2,457,458,356.85","1,606,822,673.47","1,631,021,163.69","1,506,043,225.99","1,308,080,387.3","1,078,841,300.29","1,131,216,106.93","1,388,092,945.7","1,492,507,981.74","1,329,903,169.35","1,410,381,870.21","1,261,695,745.73","1,281,712,408.07","1,050,092,864.25","1,541,449,819.85","1,216,739,271.76","1,000,103,813.38","625,153,235.43","821,532,305.44","679,373,498.75","679,948,380.01","663,266,163.45","486,839,906.54","322,685,417.82","314,872,074.75","229,527,355.82","240,088,548.2","222,461,752.8","229,138,463.89","177,791,382.08","189,671,413.87","167,670,279.6","171,888,572.72","157,036,734.17","170,304,511.6","158,500,094.67","155,217,943.09","144,125,080.29","147,239,201.08","130,757,033.06","102,287,921.72","94,694,439.13","115,273,369.89","82,007,863.66","84,795,880.16","77,645,212.07","84,184,369.25","72,005,409.7"
CostOfRevenue,"7,400,892,465.88","1,789,232,806.7","2,172,234,483.57","1,909,626,712.47","1,529,798,463.14","1,106,905,559.79","1,182,572,123.76","1,235,521,381.59","1,056,168,733.51","868,787,025.45","882,026,787.72","1,090,344,823.55","1,067,970,697.05","1,045,867,256.19","985,908,133.75","905,040,260.82","740,103,047.64","566,229,942.68","835,701,474.79","703,533,450.8","657,850,154.13","412,334,711.97","568,079,093.91","417,522,871.05","395,733,268.96","479,567,303.7","373,377,536.02","249,247,991.96","255,648,500.53","180,713,190.16","188,216,783.11","176,231,502.65","184,230,067.96","135,071,659.22","140,885,600.1","130,848,438.4","133,407,301.61","121,731,308.23","129,198,043.21","126,211,531.25","124,280,235.22","111,915,460.65","116,906,787.17","106,275,462.83","77,900,508.06","73,633,829.62","89,204,372.98","64,918,360.32","64,574,736.45","59,100,086.25","61,693,562.45","53,995,491.79"
GrossProfit,"7,519,766,299.48","3,576,034,210.92","1,936,221,813.76","1,079,850,381.09","927,659,893.71","499,917,113.68","448,449,039.93","270,521,844.4","251,911,653.79","210,054,274.84","249,189,319.21","297,748,122.15","424,537,284.69","284,035,913.16","424,473,736.46","356,655,484.91","541,609,360.43","483,862,921.57","705,748,345.06","513,205,820.96","342,253,659.25","212,818,523.46","253,453,211.53","261,850,627.7","284,215,111.05","183,698,859.75","113,462,370.52","73,437,425.86","59,223,574.22","48,814,165.66","51,871,765.09","46,230,250.15","44,908,395.93","42,719,722.86","48,785,813.77","36,821,841.2","38,481,271.11","35,305,425.94","41,106,468.39","32,288,563.42","30,937,707.87","32,209,619.64","30,332,413.91","24,481,570.23","24,387,413.66","21,060,609.51","26,068,996.91","17,089,503.34","20,221,143.71","18,545,125.82","22,490,806.8","18,009,917.91"
OperatingExpense,"1,262,079,901.95","452,321,804.79","357,740,005.15","303,906,189.53","148,111,902.48","83,936,860.29","127,563,817.6","66,373,109.97","42,205,187.69","59,666,437.22","56,779,591.97","73,246,768.39","186,254,178.9","68,624,454.33","150,155,599.03","53,562,002.74","44,455,586.1","53,016,024.49","107,225,204.18","54,795,122.7","11,583,926.34","41,239,923.14","60,654,043.78","39,649,676.71","45,391,009.53","28,040,451.5","44,059,649.47","31,666,221.19","26,901,435.41","18,605,755.94","26,023,986.18","23,549,145.71","22,388,757.05","17,253,418.83","17,813,395.83","18,974,811.84","18,565,753.14","16,311,587.55","18,326,285.75","12,711,662.01","15,412,930.41","12,971,372.37","16,356,925.62","12,207,971.2","9,927,108.77","6,290,502.39","14,524,961.22","6,769,610.08","6,102,713.6","4,137,505.14","5,368,821.3","5,198,346.28"
	SellingGeneralAndAdministration,"314,405,842.47","230,734,841.55","-193,004,301.63","277,942,097.4","-1,266,794.85","44,975,730.43","-54,083,134.44","68,141,227.14","-8,956,823.45","41,894,081.6","-204,257,653.18","61,237,605.91","3,020,922.2","58,110,730.21","-104,467,221.99","44,765,959.61","-33,002,904.77","101,268,749.87","-48,064,857","47,700,774.75","8,027,350.92","35,363,192.4","-32,717,366.03","36,451,259.17","7,405,718.19","27,043,638.04","-22,565,670.37","29,657,610.51","6,900,007.16","18,221,982.6","-25,067,602.16","23,071,152.21","-287,333.88","16,240,828.25","-24,866,877.83","18,809,013.18","-668,434.9","15,743,140.46","-13,685,146.95","12,324,065.82","14,764,855.11","12,603,865.57","-9,038,245.88","11,720,682.08","1,175,965.18","6,127,608.2","-1,418,419.65","6,455,336.58","6,063,453.55","3,725,847.49","-4,646,035.42","4,890,896.69"
		GeneralAndAdministrativeExpense,"253,821,481.94","219,160,314.9","-216,764,755.47","263,999,122.6","-12,573,200.09","32,362,547.44","-58,346,190.35","50,500,467.76","-16,670,425.27","23,299,322.84","-187,022,688.13","33,314,471.59","-24,635,824.96","33,925,023.47","-136,642,533.08","26,523,325.47","-56,448,730.5","92,780,714.1","-65,205,020.52","34,649,740.93","-5,038,940.26","25,413,639.23","-48,045,653.38","25,432,338.63","-7,908,847.57","17,835,148.51","-34,182,426.37","20,888,775.16","-1,057,901.09","12,014,078.82","-33,399,222.33","16,933,033.76","-8,514,418.75","11,576,478.11","-30,892,378.09","14,259,874.89","-5,698,500.19","11,145,439.18","-18,293,609.96","7,541,871.99","9,798,536.16","7,368,135.36","-12,803,372.74","8,602,857.27","-1,240,382.56","4,231,805.04","-5,068,585.75","4,179,984.22","3,358,612.06","2,680,083.55","-5,961,371.24","3,225,714.46"
		SellingAndMarketingExpense,"60,584,360.53","11,574,526.65","23,760,453.84","13,942,974.8","11,306,405.24","12,613,182.99","4,263,055.91","17,640,759.38","7,713,601.82","18,594,758.76","-17,234,965.05","27,923,134.32","27,656,747.16","24,185,706.74","32,175,311.09","18,242,634.14","23,445,825.73","8,488,035.77","17,140,163.52","13,051,033.82","13,066,291.18","9,949,553.17","15,328,287.35","11,018,920.54","15,314,565.76","9,208,489.53","11,616,756","8,768,835.35","7,957,908.25","6,207,903.78","8,331,620.17","6,138,118.45","8,227,084.87","4,664,350.14","6,025,500.26","4,549,138.29","5,030,065.29","4,597,701.28","4,608,463.01","4,782,193.83","4,966,318.95","5,235,730.21","3,765,126.86","3,117,824.81","2,416,347.74","1,895,803.16","3,650,166.1","2,275,352.36","2,704,841.49","1,045,763.94","1,315,335.82","1,665,182.23"
	ResearchAndDevelopment,"513,724,852.05","211,864,208.36","137,505,902.03","109,086,758.69","55,267,982.97","36,662,880.63","61,548,068.74","31,207,395.54","25,401,360.16","21,606,335.99","24,372,526.65","18,379,923.96","18,808,680.9","18,038,731.77","19,023,373.08","16,010,635.92",,,"48,728,414.54","10,128,279.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"109,798,271.17","34,241,329.77","43,621,536.53","14,637,292.81","17,298,112.06","12,547,060.3","9,713,798.28","4,496,614.46","4,336,669.5","4,977,622.54","5,602,713.5","8,150,308.56","5,623,687.08","5,613,129.13","11,736,757.15","7,431,914.52","6,662,544.07","5,470,796.44","15,592,257.22","13,127,153.97","13,985,242.18","5,876,730.74","14,645,342.74","3,198,417.54","7,738,418.18","996,813.46","8,285,221.5","2,008,610.68","3,180,219.19","383,773.34","5,458,977.94","477,993.5","1,855,416.76","1,012,590.58","3,490,412.75","165,798.66","1,729,395.03","568,447.09","3,148,402.67","387,596.19","648,075.3","367,506.8","2,717,874.59","487,289.12","879,709.04","162,894.19","1,545,401.25","314,273.5","39,260.05","411,657.65","669,356.72","307,449.59"
