name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007
TotalAssets,"1,136,215,000","817,342,000","716,167,000","708,632,000","707,888,000","326,723,000","232,557,000","319,640,000","326,092,000","293,799,000","292,134,000","164,876,000","139,748,000","103,939,000","108,105,000","103,868,000","107,866,000","113,491,000","118,462,000","86,017,000","48,517,000","50,537,000","53,845,000","57,664,000","57,876,000","68,541,000","27,572,000","20,072,000","21,476,000","24,354,000","25,649,000","15,691,000","14,556,000","15,568,000","10,579,000","11,426,000","12,214,000","13,209,000","14,084,000","15,578,000","17,506,000","36,245,543.028","39,119,466.815","33,747,188.526","25,073,617.221","24,935,547.587","25,150,405.085","26,298,351.972","26,265,987.012","11,313,418.468","6,109,844.777","6,679,910.435","7,171,674.854","2,253,252.112","2,175,412.416","2,850,320.105"
	CurrentAssets,"498,415,000","532,575,000","484,554,000","508,388,000","518,027,000","154,340,000","78,429,000","57,961,000","91,465,000","92,914,000","114,153,000","36,366,000","42,091,000","46,935,000","32,649,000","37,191,000","49,889,000","61,218,000","78,264,000","53,115,000","11,343,000","12,584,000","14,483,000","17,510,000","7,433,000","7,055,000","8,468,000","1,672,000","3,770,000","7,965,000","12,970,000","6,329,000","8,514,000","11,547,000","9,785,000","11,385,000","2,540,000","3,600,000","4,847,000","6,340,000","8,306,000","11,314,445.408","14,148,895.222","10,824,787.275","11,726,745.721","14,477,576.081","16,912,893.464","18,788,963.116","20,102,369.401","6,254,371.784","3,221,224.36","4,092,092.03","4,850,031.173","2,253,252.112","613,051.588",
		CashCashEquivalentsAndShortTermInvestments,"492,347,000","510,607,000","482,142,000","505,241,000","514,205,000","148,070,000","71,888,000","49,719,000","82,122,000","83,614,000","108,152,000","31,476,000","36,235,000","41,604,000","25,950,000","31,462,000","43,519,000","55,394,000","73,208,000","49,162,000","7,365,000","10,009,000","12,237,000","2,706,000","2,646,000","5,552,000","7,504,000","613,000","2,787,000","7,160,000","12,314,000","6,064,000","8,340,000","11,364,000","9,523,000","11,165,000","2,316,000","3,357,000","4,664,000","6,090,000","7,999,000","10,841,283.608","13,891,026.515","10,619,725.077","11,461,630.139","14,273,018.027","16,733,928.47","18,665,728.86","19,984,939.356","6,135,931.331","3,195,761.464","4,075,461.791","4,828,566.031","5,576.734","613,051.588","2,002,019.59"
			CashAndCashEquivalents,"492,347,000","510,607,000","482,142,000","505,241,000","514,205,000","148,070,000","71,888,000","49,719,000","82,122,000","83,614,000","108,152,000","31,476,000","36,235,000","41,604,000","25,950,000","31,462,000","43,519,000","55,394,000","73,208,000","49,162,000","7,365,000","10,009,000","12,237,000","2,706,000","2,646,000","5,552,000","7,504,000","613,000","2,787,000","7,160,000","12,314,000","6,064,000","8,340,000","11,364,000","9,523,000","11,165,000","2,316,000","3,357,000","4,664,000","6,090,000","7,999,000","10,841,283.608","13,891,026.515","10,619,725.077","11,461,630.139","14,273,018.027","16,733,928.47","18,665,728.86","19,984,939.356","6,135,931.331","3,195,761.464","4,075,461.791","4,828,566.031","5,576.734","613,051.588","2,002,019.59"
				CashFinancial,"119,240,000","137,714,000","33,916,000","57,325,000","47,480,000","148,070,000",,,,"53,894,000",,,,"2,905,000",,,,"6,319,000",,,,,,,"1,951,000","3,742,000","1,896,000","613,000","2,787,000","7,160,000","12,033,000","6,064,000","8,340,000","11,364,000","4,519,000","5,555,000","678,000",,,,,,,,,,,,,,,,,"5,576.734","613,051.588","2,002,019.59"
				CashEquivalents,"373,107,000","372,893,000","448,226,000","447,916,000","466,725,000",,,,,"29,720,000",,,,"38,699,000",,,,"49,075,000",,,,,,,"695,000","1,810,000","5,608,000",,,,"281,000",,,,"5,004,000","5,610,000","1,638,000",,,,,,,,,,,,,,,,,,,
		Receivables,"6,068,000","1,968,000","1,821,000","2,312,000","2,850,000","1,250,000","1,571,000","2,710,000","3,251,000","2,595,000","2,674,000","2,195,000","2,638,000","1,947,000","1,750,000","1,430,000","1,955,000","1,017,000","1,298,000","2,252,000","1,830,000","916,000","616,000","14,268,000","798,000","823,000","232,000","249,000","238,000","158,000","108,000","20,000","16,000","16,000","19,000","31,000","34,000","26,000","28,000","24,000","38,000","247,663.101","31,693.718","47,969.462","106,893.897","34,051.173","12,296.746","16,153.62","15,340.464","6,433.717","5,812.941","3,935.086","4,412.432",,,
			AccountsReceivable,"6,068,000","1,968,000","1,821,000","2,312,000","2,850,000","1,250,000","1,571,000","2,710,000","3,251,000","2,595,000","2,674,000","2,195,000","2,638,000","1,947,000","1,750,000","1,430,000","1,955,000","1,017,000","1,298,000","2,252,000","1,830,000","916,000","616,000","14,268,000","798,000","823,000","232,000","249,000","238,000","158,000","108,000","20,000","16,000","16,000","19,000","31,000","34,000",,,,,,,,,,,,,,,,"4,412.432",,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,"13,333,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,"935,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,
