name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007
OperatingCashFlow,"-59,714,000","-17,949,000","-16,466,000","-16,668,000","-8,631,000","-11,416,000","-7,108,000","-7,204,000","-8,355,000","-8,214,000","-4,094,000","-4,217,000","-4,785,000","-4,551,000","-4,671,000","-5,971,000","-3,529,000","-4,373,000","-5,028,000","-2,508,000","-2,541,000","-2,837,000","-2,017,000","-2,948,000","-2,716,000","-2,355,000","-1,945,000","-1,232,000","-1,312,000","-2,224,000","-1,222,000","-1,767,000","-1,215,000","-1,217,000","-1,405,000","-781,000","-1,288,000","-944,000","-1,061,000","-1,314,000","-2,000,000","-2,965,000","-785,806.867","-895,507.514","-1,022,023.624","-964,388.698","-789,599.778","-391,808.584","-1,119,048.811","-501,745.774","-1,266,222.115","-606,015.105","-248,765.259","199,888.25","-124,594.622","-123,455.136","-80,576.212","-179,305.261"
	CashFlowFromContinuingOperatingActivities,"-59,714,000","-17,949,000","-16,466,000","-16,668,000","-8,631,000","-11,416,000","-7,108,000","-7,204,000","-8,355,000","-8,214,000","-4,094,000","-4,217,000","-4,785,000","-4,551,000","-4,671,000","-5,971,000","-3,529,000","-4,373,000","-5,028,000","-2,508,000","-2,541,000","-2,837,000","-2,017,000","-2,948,000","-2,716,000","-2,355,000","-1,945,000","-1,232,000","-1,312,000","-2,224,000","-1,222,000","-1,767,000","-1,215,000","-1,217,000","-1,405,000","-781,000","-1,288,000","-944,000","-1,061,000","-1,314,000","-2,000,000","-2,965,000","-785,806.867","-895,507.514","-1,022,023.624","-964,388.698","-789,599.778","-391,808.584","-1,119,048.811","-501,745.774","-1,266,222.115","-606,015.105","-248,765.259","199,888.25","-124,594.622","-123,455.136","-80,576.212","-179,305.261"
		NetIncomeFromContinuingOperations,"-74,690,000","-46,131,000","7,977,000","-17,213,000","-19,323,000","-9,929,000","-9,741,000","-6,485,000","-5,992,000","-14,016,000","-6,181,000","68,968,000","-6,654,000","-4,468,000","-9,618,000","-7,433,000","-6,649,000","-4,567,000","-5,805,000","-12,759,000","-9,726,000","-4,960,000","-3,723,000","-3,766,000","-11,366,000","-3,272,000","-2,202,000","-1,419,000","-1,569,000","-2,365,000","-2,173,000","2,066,000","216,000","-1,409,000","3,244,000","-925,000","-869,000","-984,000","-1,268,000","-1,361,000","-2,232,000","-3,226,000","-689,862.539","-1,401,000.572","-1,987,406.632","-1,292,261.238","-1,451,266.537","-702,295.046","-1,676,477.961","-1,256,196.161","-1,409,068.562","-954,082.966","-575,065.373","-263,653.246","-1,259,299.305","-313,752.212","-278,260.075","-179,305.261"
		OperatingGainsLosses,"7,185,000","30,278,000","-29,328,000","1,174,000","5,175,000","386,000","-1,803,000","-716,000","-1,321,000","2,371,000","-1,139,000","-74,203,000","-1,984,000","-488,000","-8,333,000","723,000","-770,000","-1,205,000","0","1,571,000","5,154,000","1,884,000","1,020,000","38,000","8,504,000","97,000","87,000","20,000","123,000","54,000","40,000","-3,641,000","-1,465,000","-120,000","-4,673,000","0",,,,,,,"-269,685.706",,,"91,490.362",,,,"6,105.434",,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,"0",,,,,,,,,,,,"0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"1,000","-3,760,000",,,"-4,673,000","0",,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,"142,000","-134,000","-114,000","3,000","-783,000","-1,321,000","2,371,000","-1,139,000","840,000","-271,000","896,000","-2,305,000","722,000","-876,000","-1,369,000","-398,000","2,347,000","1,672,000","138,000","-211,000","10,000","22,000","97,000","87,000","20,000","123,000","54,000","39,000","119,000","-136,000","-120,000",,,,,,,,,"-269,685.706",,,"91,490.362",,,,"6,105.434",,,,,,,,
			GainLossOnInvestmentSecurities,"33,303,000","50,463,000","-23,331,000","862,000","5,309,000","500,000",,,,,,,,,,,,,,"0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-5,764,000","169,000","-6,103,000",,"597,000","500,000","-1,806,000","355,000","0","0","0","-75,043,000","-1,713,000","-1,384,000","-6,028,000","1,000","106,000","164,000","398,000","-776,000","3,482,000","1,746,000","1,231,000","28,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,178,000","447,000","324,000","256,000","151,000","194,000","179,000","166,000","153,000","189,000","400,000","186,000","238,000","238,000","419,000","463,000","248,000","234,000","112,000","206,000","261,000","360,000","272,000","267,000","38,000","40,000","122,000","10,000","9,000","10,000","4,000","10,000","4,000","4,000","2,000","2,000","3,000","2,000","1,000","2,000","2,000","1,000",,,,,,,,,,,,,,,,
