name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007
TotalRevenue,"0","0","0","0","0","0","0","0","0","0","-4,302,000","1,535,000","1,487,000","1,280,000","1,472,000","1,420,000","855,000","1,096,000","452,000","1,059,000","1,612,000","1,167,000","452,000","168,000","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0",
	OperatingRevenue,"0","0","0","0","0","0","0","0","0","0","-4,302,000","1,535,000","1,487,000","1,280,000","1,472,000","1,420,000","855,000","1,096,000","452,000","1,059,000","1,612,000","1,167,000","452,000","168,000","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0",
CostOfRevenue,,,,,,,,,,,,"1,833,000","1,739,000","1,469,000","1,802,000","2,009,000","1,312,000","1,677,000","1,103,000","1,575,000","1,815,000","1,610,000","755,000","477,000",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0",
GrossProfit,,,,,,,,,,,,"-298,000","-252,000","-189,000","-330,000","-589,000","-457,000","-581,000","-651,000","-516,000","-203,000","-443,000","-303,000","-309,000",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0",
OperatingExpense,"58,162,000","14,681,000","15,427,000","15,608,000","12,446,000","8,259,000","9,871,000","5,388,000","6,494,000","10,312,000","4,615,000","3,862,000","7,032,000","3,827,000","5,430,000","6,456,000","7,247,000","5,495,000","5,097,000","11,242,000","4,487,000","2,644,000","2,420,000","3,248,000","2,477,000","2,620,000","1,546,000","1,263,000","1,461,000","2,333,000","2,165,000","1,604,000","1,266,000","1,562,000","1,376,000","1,014,000","1,598,000","997,000","1,285,000","1,380,000","2,244,000","3,191,000","958,082.779","1,444,005.286","1,956,614.296","1,235,414.334","1,287,875.364","1,094,224.457","1,414,926.427","1,254,988.062","1,252,118.497","676,663.078","681,060.426","706,327.855","1,316,094.128","308,582.236","260,814.146","179,305.261"
	SellingGeneralAndAdministration,"16,379,000","4,387,000","5,282,000","3,232,000","3,602,000","3,520,000","5,065,000","2,103,000","2,211,000","4,856,000","1,921,000","1,568,000","4,714,000","2,534,000","2,559,000","2,589,000","4,901,000","3,940,000","3,594,000","9,901,000","3,567,000","1,588,000","1,643,000","2,860,000","1,583,000","1,369,000","925,000","821,000","925,000","1,411,000","1,145,000","861,000","881,000","872,000","527,000","453,000","773,000","600,000","733,000","770,000","962,000","1,212,000","958,082.779","1,444,005.286","1,956,614.296","1,235,414.334","1,287,875.364","1,094,224.457","1,414,926.427","1,224,725.432","842,632.109","676,663.078","681,060.426","706,327.855","1,476,830.029","177,254.863","276,295.541","23,886.701"
		GeneralAndAdministrativeExpense,"16,379,000","4,387,000","5,282,000","3,232,000","3,602,000","3,520,000","5,065,000","2,103,000","2,211,000","4,856,000","2,350,000","1,568,000","4,714,000","2,534,000","2,392,000","2,589,000","4,901,000","3,787,000","3,029,000","9,901,000","3,567,000","1,456,000","1,643,000","2,860,000","1,398,000","1,223,000","925,000","685,000","823,000","1,282,000","1,069,000","799,000","799,000","809,000","501,000","453,000","773,000","600,000","733,000","770,000","962,000","1,212,000","1,069,254.464","1,406,634.866","1,902,008.416","1,217,011.278","1,262,819.002","1,060,645.1","1,377,994.899","1,201,571.961","768,971.44","611,934.192","644,647.185","701,761.709","1,457,444.048","177,254.863","276,295.541","23,886.701"
			SalariesAndWages,"10,024,000","2,537,000","3,978,000","925,000","1,016,000","2,121,000","4,149,000","702,000","684,000","4,133,000","1,746,000","405,000","2,056,000","624,000","1,440,000","938,000","1,014,000","2,716,000","5,429,000","7,139,000","2,356,000","732,000","463,000","1,571,000","902,000","803,000","53,000","396,000","456,000","822,000","783,000","438,000","437,000","544,000","212,000","230,000","403,000","353,000","448,000","449,000","571,000","750,000","614,975.771","886,223.31","1,236,290.397","792,102.264","2,456,052.078","210,561.617","196,287.032","128,787.126","1,668,409.847","112,049.615","93,037.143","62,662.284",,"28,484.968","45,683.474","19,653.64"
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,132.16","48,178.329","88,091.905","91,362.861","81,663.03","89,579.164","43,258.524","19,213.143","21,309.273","19,912.093","20,766.639",,"5,565.927","7,212.669","4,233.061"
			OtherGandA,"6,355,000","1,850,000","1,304,000","2,307,000","2,586,000","1,399,000","916,000","1,401,000","1,527,000","723,000","604,000","1,163,000","2,658,000","1,910,000","952,000","1,651,000","3,887,000","1,071,000","-2,400,000","2,762,000","1,211,000","724,000","1,180,000","1,289,000","496,000","420,000","872,000","289,000","367,000","460,000","286,000","361,000","362,000","265,000","289,000","223,000","370,000","247,000","285,000","321,000","391,000","462,000","643,727.543","470,279.395","617,539.69","336,817.109","-1,284,595.936","768,420.453","1,092,128.703","1,029,526.311","-918,651.55","478,575.305","531,697.949","618,332.786","1,568,230.057","143,203.969","223,399.398",
		SellingAndMarketingExpense,,,,,,,,,,,,,,,"167,000",,,"153,000","154,000",,,"132,000",,,"185,000","146,000",,"136,000","102,000","129,000","76,000","62,000","82,000","63,000",,,,,,,,,,"37,370.421","54,605.879","18,403.056","25,056.362","33,579.357","36,931.528","23,153.471","73,660.669","64,728.886","36,413.241","4,566.146",,,,
	ResearchAndDevelopment,,,,,,,,,,,,"1,000","171,000","112,000","155,000","149,000","141,000","133,000","105,000","110,000","91,000","117,000","101,000","104,000","125,000","91,000","106,000","110,000","89,000","129,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"295,000","85,000","86,000",,,"57,000","53,000",,,"51,000","74,000",,,,"24,000",,,"22,000","19,000",,,"7,000",,,,,,,,,,,,,,,,,,"2,000","2,000","1,000",,,,,,,,,,,"0",,,"854.785","1,115.321","655.357"
		DepreciationAndAmortizationInIncomeStatement,"295,000","85,000","86,000",,,"57,000","53,000",,,"51,000","74,000",,,,"24,000",,,"22,000","19,000",,,"7,000",,,,,,,,,,,,,,,,,,"2,000","2,000","1,000",,,,,,,,,,,"0",,,"854.785","1,115.321","655.357"
			DepreciationIncomeStatement,"295,000","85,000","86,000",,,"57,000","53,000",,,"51,000","74,000",,,,"24,000",,,"22,000","19,000",,,"7,000",,,,,,,,,,,,,,,,,,"2,000","2,000","1,000",,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"854.785","1,115.321","655.357"
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"854.785","1,115.321","655.357"
	OtherOperatingExpenses,"41,488,000","10,209,000","10,059,000","12,376,000","8,844,000","4,682,000","4,753,000","3,285,000","4,283,000","5,405,000","2,904,000","2,293,000","2,147,000","1,181,000","2,692,000","3,718,000","2,205,000","1,400,000","1,347,000","1,231,000","829,000","932,000","676,000","284,000","769,000","1,160,000","515,000","332,000","447,000","793,000","361,000","743,000","385,000","690,000","849,000","561,000","825,000","397,000","557,000","608,000","1,280,000","1,978,000",,,,,,,,"30,262.63",,,,,,"130,472.588","-16,596.716","154,763.203"
OperatingIncome,"-58,162,000","-14,681,000","-15,427,000","-15,608,000","-12,446,000","-8,259,000","-9,871,000","-5,388,000","-6,494,000","-10,312,000","-3,876,000","-4,160,000","-7,284,000","-4,016,000","-5,760,000","-7,045,000","-7,704,000","-6,076,000","-5,748,000","-11,758,000","-4,690,000","-3,087,000","-2,723,000","-3,557,000","-2,477,000","-2,620,000","-1,546,000","-1,263,000","-1,461,000","-2,333,000","-2,165,000","-1,604,000","-1,266,000","-1,562,000","-1,376,000","-1,014,000","-1,598,000","-997,000","-1,285,000","-1,380,000","-2,244,000","-3,191,000","-958,082.779","-1,444,005.286","-1,956,614.296","-1,235,414.334","-1,287,875.364","-1,094,224.457","-1,414,926.427","-1,254,988.062","-1,252,118.497","-676,663.078","-681,060.426","-706,327.855","-1,316,094.128","-308,582.236","-260,814.146","-179,305.261"
NetNonOperatingInterestIncomeExpense,"-9,238,000","-1,522,000","-5,661,000","-457,000","-1,613,000","-1,349,000","-1,506,000","-846,000","48,000","131,000","2,059,000","-2,139,000","-1,353,000","-640,000",,,,,"0","0","0","0",,"-140,000","-165,000","-468,000","-644,000","-148,000","2,000","9,000","19,000","8,000","4,000","7,000","8,000","5,000","4,000","5,000","10,000","15,000","19,000","23,000","-1,465.466","19,277.867","46,471.381","34,643.457","17,783.495","12,114.6","12,351.383","4,897.335","4,523.236","2,692.622","5,683.06","7,741.167",,,"-24,239.775",
	InterestIncomeNonOperating,"7,851,000","3,790,000","-149,000","2,972,000","1,223,000","1,147,000","930,000","360,000","48,000","131,000",,,,,,,,,,,,,,,"18,000","15,000",,"5,000","2,000","9,000","19,000","8,000","4,000","7,000","8,000","5,000","4,000","5,000","10,000","15,000","19,000","23,000","-1,465.466","19,277.867","46,471.381","34,643.457","20,599.984","15,167.441","15,419.855","8,814.822","6,166.534","3,758.99","5,986.378","7,792.933",,,,
	InterestExpenseNonOperating,"17,089,000","5,312,000","5,512,000","3,429,000","2,836,000","2,496,000","2,436,000","1,206,000","0","0","-1,204,000","2,139,000","1,353,000","640,000",,,,,,,,,,,,,,"153,000",,,,,,,,,,,,,,,,,,,"2,816.489","3,052.841","3,068.472","3,917.486","1,643.299","1,066.368","303.318","51.767",,,"24,239.775",
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,,"140,000","183,000","483,000","644,000","153,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-7,304,000","-29,928,000","29,059,000","-1,174,000","-5,246,000","-429,000","1,765,000","239,000","1,249,000","-3,017,000","-726,000","75,267,000","1,983,000","188,000","-3,858,000","-388,000","1,055,000","1,509,000","-57,000","-1,001,000","-5,036,000","-1,873,000","-1,000,000","-69,000","-8,723,000","-184,000","-12,000","-8,000","-110,000","-41,000","-27,000","3,662,000","1,478,000","146,000","4,612,000","84,000","725,000","8,000","7,000","4,000","-7,000","-58,000","269,685.706","35,206.294","-39,704.294","-91,490.362","-201,000.111","289,380.514","-239,768.491",,"-164,374.373","-204,471.338","90,769.779","434,933.443",,,,
	GainOnSaleOfSecurity,"-27,633,000","-48,964,000","21,339,000","-142,000","134,000","114,000","-3,000","783,000","1,321,000","-2,371,000","1,139,000","-840,000","271,000","-896,000","2,305,000","-722,000","876,000","1,369,000","398,000","-2,347,000","-1,672,000","-138,000","211,000","-10,000","-22,000","-97,000","-87,000","-20,000","-123,000","-54,000","-39,000","-119,000","136,000","120,000","-87,000","84,000","221,000","8,000",,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"4,773,000","-1,318,000","7,720,000","-1,032,000","-597,000","-500,000","1,806,000","-67,000","0","0","0","75,043,000","1,713,000","1,384,000","6,028,000","-1,000","-106,000","-164,000","-398,000","776,000","-3,482,000","-1,746,000","-1,231,000","-59,000","-9,018,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,"0","0","-4,783,000","-43,000","-38,000","-477,000","-72,000","-646,000","0","-52,000","-293,000","-757,000",,,,,,"570,000","118,000","-358,000","20,000","-140,000","-152,000","-87,000","-569,000","0","0","13,000","-1,000","3,760,000","1,329,000","26,000","4,673,000","0","504,000",,,,,,,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,,,"0","0","4,783,000","43,000","38,000","477,000","72,000","646,000","0","52,000","293,000","757,000",,,,,,,,,,,"152,000","87,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,"-570,000","-118,000","358,000",,"140,000","-469,000",,,"-12,000","-13,000","-13,000","-12,000","-3,781,000","-1,342,000","-26,000",,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,"-8,905,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,"-1,000","3,760,000","1,329,000",,"4,673,000","0","504,000",,,,,,,,,,,,,,,,,,,,,
