name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,12/31/2017
TotalAssets,"1,242,600,000","1,202,500,000","1,151,000,000","1,152,500,000","928,600,000","936,800,000","903,100,000","886,100,000","868,700,000","859,600,000","756,800,000","709,700,000","670,100,000","660,000,000","566,100,000","550,300,000","496,200,000"
	CurrentAssets,"364,500,000","399,300,000","432,300,000","449,600,000","241,500,000","249,800,000","253,600,000","239,600,000","239,500,000","272,000,000","253,600,000","259,300,000","273,800,000","301,300,000","241,500,000","238,800,000","206,100,000"
		CashCashEquivalentsAndShortTermInvestments,"68,500,000","113,000,000","195,300,000","216,600,000","21,500,000","11,600,000","14,800,000","17,200,000","11,400,000","16,800,000","23,300,000","20,300,000","17,800,000","28,300,000","14,700,000","1,500,000","1,200,000"
			CashAndCashEquivalents,"68,500,000","113,000,000","195,300,000","216,600,000","21,500,000","11,600,000","14,800,000","17,200,000","11,400,000","16,800,000","23,300,000","20,300,000","17,800,000","28,300,000","14,700,000","1,500,000","1,200,000"
		Receivables,"127,500,000","129,700,000","113,200,000","113,100,000","106,800,000","111,400,000","113,100,000","94,100,000","91,800,000","121,800,000","113,500,000","139,200,000","115,100,000","141,400,000","172,800,000","182,800,000","146,300,000"
			AccountsReceivable,"105,500,000","96,400,000","83,000,000","83,700,000","82,700,000","76,300,000","72,700,000","55,700,000","56,500,000","90,000,000","86,800,000","118,000,000","115,100,000","141,400,000","144,100,000","150,200,000","122,700,000"
				GrossAccountsReceivable,"105,800,000","96,700,000","83,300,000","84,100,000","83,100,000","76,700,000","73,000,000","56,000,000","56,800,000","90,300,000",,"118,100,000","115,200,000","141,500,000","144,200,000","150,300,000","122,800,000"
				AllowanceForDoubtfulAccountsReceivable,"-300,000","-300,000","-300,000","-400,000","-400,000","-400,000","-300,000","-300,000","-300,000","-300,000",,"-100,000","-100,000","-100,000","-100,000","-100,000","-100,000"
			TaxesReceivable,"12,600,000","17,700,000","15,400,000","13,500,000","14,700,000","15,700,000","17,600,000","18,800,000","16,100,000","14,100,000","12,300,000","8,200,000",,,"4,900,000","5,800,000","3,600,000"
			OtherReceivables,"9,400,000","15,600,000","14,800,000","15,900,000","9,400,000","19,400,000","22,800,000","19,600,000","19,200,000","17,700,000","14,400,000","13,000,000",,,"23,800,000","26,800,000","20,000,000"
		Inventory,"150,500,000","134,600,000","110,200,000","105,300,000","96,700,000","105,600,000","114,100,000","117,000,000","120,900,000","113,400,000","74,800,000","67,500,000","84,400,000","71,800,000","47,300,000","52,400,000","49,600,000"
			RawMaterials,"52,600,000","38,800,000","33,900,000","20,100,000","14,500,000","23,300,000","10,800,000","12,800,000","25,500,000","19,300,000","14,900,000","13,100,000","15,600,000","14,500,000","3,400,000","13,200,000","12,200,000"
			WorkInProcess,"58,800,000","43,600,000","41,300,000","48,100,000","46,900,000","46,200,000","64,900,000","58,200,000","45,600,000","48,800,000","44,000,000","40,000,000","49,300,000","36,600,000","41,200,000","36,400,000","34,300,000"
			FinishedGoods,"39,100,000","52,200,000","35,000,000","37,100,000","35,300,000","36,100,000","38,400,000","46,000,000","49,800,000","45,300,000","17,400,000","15,900,000","21,000,000","22,200,000","5,100,000","3,700,000","4,000,000"
			InventoriesAdjustmentsAllowances,,,,,,,,,,,"-1,500,000","-1,500,000","-1,500,000","-1,500,000","-2,400,000","-900,000","-900,000"
		PrepaidAssets,"8,900,000","12,200,000","7,600,000","7,500,000","7,900,000","8,200,000","4,400,000","5,900,000","8,400,000","9,200,000","4,800,000","5,700,000","56,500,000","59,800,000","4,800,000","300,000","8,300,000"
		HedgingAssetsCurrent,"400,000","200,000",,,,,,,,,"400,000",,,,,,
		OtherCurrentAssets,"8,700,000","9,600,000","6,000,000","7,100,000","8,600,000","13,000,000","7,200,000","5,400,000","7,000,000","10,800,000","36,800,000","26,600,000",,"59,800,000","1,900,000","1,800,000","700,000"
	TotalNonCurrentAssets,"878,100,000","803,200,000","718,700,000","702,900,000","687,100,000","687,000,000","649,500,000","646,500,000","629,200,000","587,600,000","503,200,000","450,400,000","396,300,000","358,700,000","324,600,000","311,500,000","290,100,000"
