name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
OperatingCashFlow,"24,500,000","10,800,000","-14,600,000","10,400,000","17,900,000","12,700,000","4,800,000","1,800,000","5,100,000","-5,400,000","-6,800,000","23,600,000","42,700,000","-1,400,000","29,500,000","44,500,000","18,900,000","-900,000","24,400,000","20,300,000"
	CashFlowFromContinuingOperatingActivities,"24,500,000","10,800,000","-14,600,000","10,400,000","17,900,000","12,700,000","4,800,000","1,800,000","5,100,000","-5,400,000","-6,800,000","23,600,000","42,700,000","-1,400,000","29,500,000","44,500,000","18,900,000","-900,000","24,400,000","20,300,000"
		NetIncomeFromContinuingOperations,"54,600,000","53,200,000","7,500,000","-12,600,000","6,500,000","-800,000","-5,000,000","-11,800,000","-200,000","-1,900,000","-200,000","18,000,000","15,500,000","16,900,000","25,900,000","30,000,000","38,000,000","32,200,000","-10,900,000","25,500,000"
		OperatingGainsLosses,"-6,000,000","-11,500,000","2,500,000","1,300,000","1,700,000","1,100,000","1,600,000","400,000","400,000","-200,000","200,000","300,000","2,100,000","100,000","0","-400,000","400,000","500,000","33,400,000","-200,000"
			GainLossOnInvestmentSecurities,"-13,000,000","-13,800,000","200,000","300,000","300,000","-200,000","900,000","300,000","100,000","-300,000","200,000",,,,,,,,,
			EarningsLossesFromEquityInvestments,"6,400,000","2,200,000","1,800,000","1,000,000","1,400,000","1,300,000","100,000","100,000","200,000","100,000",,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,"0","0","0","0","0","-400,000","400,000","500,000","33,400,000","-200,000"
		DepreciationAmortizationDepletion,"25,300,000","6,400,000","6,400,000","6,200,000","6,300,000","6,200,000","7,300,000","6,100,000","6,000,000","5,600,000","5,400,000","5,800,000","4,800,000","4,900,000","4,700,000","4,500,000","4,300,000","4,300,000","4,200,000","3,900,000"
			DepreciationAndAmortization,"25,300,000","6,400,000","6,400,000","6,200,000","6,300,000","6,200,000","7,300,000","6,100,000","6,000,000","5,600,000","5,400,000","5,800,000","4,800,000","4,900,000","4,700,000","4,500,000","4,300,000","4,300,000","4,200,000","3,900,000"
		DeferredTax,"12,000,000","800,000","1,300,000","14,200,000","-4,300,000","1,300,000","-1,000,000","-4,200,000","-1,900,000","0","9,500,000","-7,700,000","-5,300,000","2,600,000","2,000,000","-5,100,000","0","0","-4,900,000","0"
			DeferredIncomeTax,"12,000,000","800,000","1,300,000","14,200,000","-4,300,000","1,300,000","-1,000,000","-4,200,000","-1,900,000","0","9,500,000","-7,700,000","-5,300,000","2,600,000","2,000,000","-5,100,000","0","0","-4,900,000","0"
		StockBasedCompensation,"5,800,000","1,600,000","1,300,000","1,400,000","1,500,000","1,100,000","700,000","1,400,000","1,000,000","1,000,000","1,000,000","1,000,000","1,100,000","1,200,000","1,000,000","1,200,000","1,100,000","1,100,000","700,000","900,000"
		OtherNonCashItems,"-1,700,000","500,000","-700,000","0","-1,500,000","1,000,000","700,000","4,800,000","-700,000","2,300,000","-1,000,000","1,300,000","2,600,000","100,000","-1,000,000","1,900,000","200,000","2,100,000","5,000,000","100,000"
		ChangeInWorkingCapital,"-65,500,000","-40,200,000","-32,900,000","-100,000","7,700,000","2,800,000","500,000","5,100,000","500,000","-12,200,000","-21,700,000","5,300,000","24,000,000","-27,100,000","-3,100,000","12,400,000","-25,100,000","-41,100,000","-3,100,000","-9,900,000"
			ChangeInReceivables,"-22,000,000","-9,300,000","-12,800,000","600,000","-500,000","-6,300,000","-2,200,000","-16,300,000","800,000","33,000,000","-2,100,000","30,000,000","-3,800,000","27,300,000","4,000,000","5,100,000","-13,800,000","-16,100,000","-20,300,000","-19,700,000"
				ChangesInAccountReceivables,"-22,000,000","-9,300,000","-12,800,000","600,000","-500,000","-6,300,000","-2,200,000","-16,300,000","800,000","33,000,000","-2,100,000","30,000,000","-3,800,000","27,300,000","2,200,000","5,100,000","-11,800,000","-16,300,000","-22,100,000","-19,000,000"
			ChangeInInventory,"-53,800,000","-16,500,000","-24,000,000","-5,100,000","-8,200,000","9,100,000","10,200,000","4,900,000","3,900,000","-8,900,000","-37,000,000","-8,100,000","15,800,000","-11,300,000","-24,400,000","3,500,000","-1,300,000","-2,000,000","4,600,000","-5,600,000"
			ChangeInPrepaidAssets,"-15,100,000","5,100,000","-20,300,000","-300,000","400,000","16,500,000","-4,400,000","-100,000","-2,700,000","-2,700,000","12,300,000","-14,100,000","-3,600,000","2,700,000","-25,800,000","1,100,000","-5,900,000","-1,200,000","2,200,000","-4,200,000"
			ChangeInPayablesAndAccruedExpense,"21,400,000","-20,100,000","23,300,000","3,000,000","15,200,000","-17,500,000","-3,400,000","16,700,000","-1,500,000","-33,200,000","4,900,000","-2,900,000","16,900,000","-46,400,000","44,400,000","4,600,000","-2,300,000","-21,600,000","6,200,000","18,800,000"
				ChangeInPayable,"22,900,000","-3,200,000","15,400,000","2,000,000","8,700,000","-5,200,000","1,100,000","11,000,000","-11,700,000","-40,200,000","17,000,000","-2,400,000","-16,900,000","-10,600,000","23,400,000","4,600,000","-500,000","-13,700,000","11,000,000","16,600,000"
					ChangeInTaxPayable,,,,,,,"0","0","-100,000","-800,000","100,000","200,000","-1,600,000","600,000","-2,200,000","-1,700,000","-1,100,000","-200,000","6,200,000","800,000"
						ChangeInIncomeTaxPayable,,,,,,,"0","0","-100,000","-800,000","100,000","200,000","-1,600,000","600,000","-2,200,000","-1,700,000","-1,100,000","-200,000","6,200,000","800,000"
					ChangeInAccountPayable,"22,900,000","-3,200,000",,,,,"1,100,000","11,000,000","-11,700,000","-40,200,000","17,000,000","-1,900,000","6,300,000","-10,600,000","23,400,000","4,600,000","-500,000","-13,700,000","11,000,000","16,600,000"
				ChangeInAccruedExpense,"-1,500,000","-16,900,000","7,900,000","1,000,000","6,500,000","-12,300,000","-4,500,000","5,700,000","10,200,000","7,000,000","-12,100,000","-500,000","33,800,000","-35,800,000","21,000,000","0","-1,800,000","-7,900,000","-4,800,000","2,200,000"
			ChangeInOtherWorkingCapital,"4,000,000","600,000","900,000","1,700,000","800,000","1,000,000","300,000","-100,000","0","-400,000","200,000","400,000","-1,300,000","600,000","-1,300,000","-1,900,000","-1,800,000","-200,000","4,200,000","800,000"
InvestingCashFlow,"-171,700,000","-55,400,000","-69,000,000","-31,600,000","-15,700,000","-27,000,000","-19,300,000","-21,900,000","-33,600,000","-56,300,000","-64,600,000","-51,200,000","-48,900,000","-25,300,000","-31,400,000","-20,200,000","-15,400,000","-11,400,000","-23,700,000","-13,800,000"
	CashFlowFromContinuingInvestingActivities,"-171,700,000","-55,400,000","-69,000,000","-31,600,000","-15,700,000","-27,000,000","-19,300,000","-21,900,000","-33,600,000","-56,300,000","-64,600,000","-51,200,000","-48,900,000","-25,300,000","-31,400,000","-20,200,000","-15,400,000","-11,400,000","-23,700,000","-13,800,000"
		CapitalExpenditureReported,"-175,100,000","-68,700,000","-62,500,000","-29,000,000","-14,900,000","-25,500,000","-14,000,000","-20,800,000","-33,200,000","-56,000,000","-63,800,000","-51,200,000","-45,000,000","-24,300,000","-30,200,000","-20,000,000","-13,900,000","-9,500,000","-23,200,000","-13,000,000"
		NetPPEPurchaseAndSale,,,,,,,,,,,,,,,"0",,,,"-100,000",
			SaleOfPPE,,,,,,,,,,,,,,,"0",,,,"-100,000",
		NetBusinessPurchaseAndSale,,,"-5,500,000",,,,,,,,,,,,,,,,,
			PurchaseOfBusiness,,,"-5,500,000",,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"12,500,000","13,300,000","-200,000","-100,000","-500,000","-600,000","-200,000","0","-100,000","-300,000","0","0",,,,,,,,
			PurchaseOfInvestment,"-1,500,000","-700,000","-200,000","-100,000","-500,000","-600,000","-200,000","0","-100,000","-300,000","0","0",,,,,,,,
			SaleOfInvestment,,"14,000,000",,,,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,,,"-800,000","0","-300,000","-900,000","9,900,000","-1,100,000",,,"0","0","-3,500,000","-1,000,000","-1,200,000","-200,000","-1,500,000","-1,900,000","-400,000","-1,100,000"
FinancingCashFlow,"193,900,000","100,000","1,100,000","0","192,700,000","24,200,000","10,900,000","17,300,000","34,400,000","56,500,000","64,600,000","30,900,000","9,100,000","15,900,000","16,100,000","-12,200,000","-3,300,000","12,400,000","400,000","-7,500,000"
	CashFlowFromContinuingFinancingActivities,"193,900,000","100,000","1,100,000","0","192,700,000","24,200,000","10,900,000","17,300,000","34,400,000","56,500,000","64,600,000","30,900,000","9,100,000","15,900,000","16,100,000","-12,200,000","-3,300,000","12,400,000","400,000","-7,500,000"
		NetIssuancePaymentsOfDebt,"-59,600,000","0","0","0","-59,600,000","24,000,000","10,500,000","17,700,000","42,000,000","56,500,000","64,600,000","30,900,000","9,100,000","16,000,000",,,,"0",,
			NetLongTermDebtIssuance,,,"0","0",,,"-18,000,000","-129,300,000","42,000,000","56,500,000","64,600,000","30,900,000","9,100,000","16,000,000",,,,"0",,
				LongTermDebtIssuance,,,"0","0",,,"100,000","-109,800,000","260,000,000","95,500,000","66,500,000","49,000,000","43,500,000","73,000,000",,,,"0",,
				LongTermDebtPayments,,,,,,,"-18,100,000","-19,500,000","-218,000,000","-39,000,000","-1,900,000","-18,100,000","-34,400,000","-57,000,000",,,,"0",,
			NetShortTermDebtIssuance,"-59,600,000","0","0","0","-59,600,000","24,000,000","28,500,000",,,,,,,,,,,,,
				ShortTermDebtIssuance,"2,500,000","0","0","0","2,500,000","37,000,000","28,500,000",,,,,,,,,,,,,
				ShortTermDebtPayments,"-62,100,000","0","0","0","-62,100,000","-13,000,000",,,,,,,,,,,,,,
		NetCommonStockIssuance,,,"-100,000","0","261,400,000","200,000","400,000",,,,,,,,,,,,,
			CommonStockIssuance,,,"0","0","261,400,000","200,000","400,000",,,,,,,,,,,,,
		ProceedsFromStockOptionExercised,"1,400,000","100,000","1,200,000","100,000",,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,,,"0","-100,000",,,"0","-800,000",,,"0","0","0","-100,000","-20,900,000","-12,200,000","-3,300,000","12,400,000","400,000","-7,500,000"
EndCashPosition,"68,200,000","68,500,000","113,000,000","195,300,000","216,600,000","21,500,000","11,600,000","14,800,000","17,200,000","11,400,000","16,800,000","23,300,000","20,300,000","17,800,000","28,300,000","14,700,000","1,500,000","1,400,000","1,200,000","200,000"
	ChangesInCash,"46,700,000","-44,500,000","-82,500,000","-21,200,000","194,900,000","9,900,000","-3,600,000","-2,800,000","5,900,000","-5,200,000","-6,800,000","3,300,000","2,900,000","-10,800,000","14,200,000","12,100,000","200,000","100,000","1,100,000","-1,000,000"
	EffectOfExchangeRateChanges,,,"200,000","-100,000","200,000","0","400,000","400,000","-100,000","-200,000","300,000","-300,000","-400,000","300,000","-600,000","1,100,000","-100,000","100,000","-100,000","0"
	BeginningCashPosition,"21,500,000","113,000,000","195,300,000","216,600,000","21,500,000","11,600,000","14,800,000","17,200,000","11,400,000","16,800,000","23,300,000","20,300,000","17,800,000","28,300,000","14,700,000","1,500,000","1,400,000","1,200,000","200,000","1,200,000"
IncomeTaxPaidSupplementalData,,"2,400,000","3,600,000",,,,"-200,000","500,000","2,000,000","300,000","1,400,000","10,900,000","9,200,000","17,000,000",,,,"7,300,000",,
InterestPaidSupplementalData,"12,400,000","5,500,000","400,000","5,600,000","900,000","6,400,000","800,000","600,000","2,000,000","2,200,000","1,700,000","1,000,000","1,000,000","600,000",,,,"0",,
CapitalExpenditure,"-175,100,000","-68,700,000","-62,500,000","-29,000,000","-14,900,000","-25,500,000","-14,000,000","-20,800,000","-33,200,000","-56,000,000","-63,800,000","-51,200,000","-45,000,000","-24,300,000","-30,200,000","-20,000,000","-13,900,000","-9,500,000","-23,200,000","-13,000,000"
IssuanceOfCapitalStock,,,"0","0","261,400,000","200,000","400,000",,,,,,,,,,,,,
IssuanceOfDebt,"2,500,000","0","0","0","2,500,000","37,000,000","28,600,000","37,200,000","260,000,000","95,500,000","66,500,000","49,000,000","43,500,000","73,000,000",,,,"0",,
RepaymentOfDebt,"-62,100,000","0","0","0","-62,100,000","-13,000,000","-18,100,000","-19,500,000","-218,000,000","-39,000,000","-1,900,000","-18,100,000","-34,400,000","-57,000,000",,,,"0",,
FreeCashFlow,"-150,600,000","-57,900,000","-77,100,000","-18,600,000","3,000,000","-12,800,000","-9,200,000","-19,000,000","-28,100,000","-61,400,000","-70,600,000","-27,600,000","-2,300,000","-25,700,000","-700,000","24,500,000","5,000,000","-10,400,000","1,200,000","7,300,000"
