name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
TotalRevenue,"472,200,000","143,500,000","122,900,000","103,600,000","102,200,000","91,700,000","82,200,000","72,600,000","64,900,000","68,500,000","78,400,000","97,700,000","114,000,000","98,300,000","119,800,000","112,000,000","107,900,000","102,800,000","113,400,000","94,400,000"
	OperatingRevenue,"472,200,000","143,500,000","122,900,000","103,600,000","102,200,000","91,700,000","82,200,000","72,600,000","64,900,000","68,500,000","78,400,000","97,700,000","114,000,000","98,300,000","119,800,000","112,000,000","107,900,000","102,800,000","113,400,000","94,400,000"
CostOfRevenue,"337,200,000","83,600,000","86,500,000","85,300,000","81,800,000","78,400,000","73,000,000","69,800,000","54,700,000","53,900,000","58,300,000","69,400,000","80,200,000","65,600,000","69,600,000","62,500,000","54,100,000","50,600,000","63,600,000","52,300,000"
GrossProfit,"135,000,000","59,900,000","36,400,000","18,300,000","20,400,000","13,300,000","9,200,000","2,800,000","10,200,000","14,600,000","20,100,000","28,300,000","33,800,000","32,700,000","50,200,000","49,500,000","53,800,000","52,200,000","49,800,000","42,100,000"
OperatingExpense,"53,900,000","12,800,000","15,900,000","12,700,000","12,500,000","11,500,000","14,100,000","11,100,000","11,300,000","11,800,000","12,100,000","11,100,000","10,600,000","10,000,000","9,300,000","11,200,000","10,400,000","9,700,000","10,700,000","8,900,000"
	SellingGeneralAndAdministration,"51,000,000","11,800,000","15,700,000","11,800,000","11,700,000","10,700,000","13,500,000","10,000,000","10,300,000","10,800,000","11,300,000","10,200,000","9,800,000","9,200,000","8,400,000","10,300,000","9,400,000","8,700,000","9,900,000","8,000,000"
		GeneralAndAdministrativeExpense,,,"15,700,000","11,800,000","11,700,000","10,700,000","13,500,000","10,000,000","10,300,000",,"11,300,000","10,200,000","9,800,000","9,200,000","8,400,000","10,300,000","9,400,000","8,700,000","9,900,000","8,000,000"
			OtherGandA,,,"15,700,000","11,800,000","11,700,000","10,700,000","13,500,000","10,000,000","10,300,000",,"11,300,000","10,200,000","9,800,000","9,200,000","8,400,000","10,300,000","9,400,000","8,700,000","9,900,000","8,000,000"
	ResearchAndDevelopment,"3,200,000","900,000","800,000","800,000","700,000","700,000","900,000","1,000,000","800,000","1,000,000","800,000","900,000","800,000","800,000","900,000","900,000","1,000,000","1,000,000","800,000","900,000"
	OtherOperatingExpenses,"-300,000","100,000","-600,000","100,000","100,000","100,000","-300,000","100,000","200,000",,,,,,,,,,,
OperatingIncome,"81,100,000","47,100,000","20,500,000","5,600,000","7,900,000","1,800,000","-4,900,000","-8,300,000","-1,100,000","2,800,000","8,000,000","17,200,000","23,200,000","22,700,000","40,900,000","38,300,000","43,400,000","42,500,000","39,100,000","33,200,000"
NetNonOperatingInterestIncomeExpense,"0","0","0","0",,"-300,000","-1,700,000","-2,000,000",,,"0",,,,"300,000",,,,,
	InterestExpenseNonOperating,"0","0",,,,"300,000","1,700,000","2,000,000",,,"0",,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,"2,000,000",,,,,,,"-300,000",,,,,
OtherIncomeExpense,"600,000","10,800,000","-3,500,000","-2,800,000","-4,000,000","-1,400,000","900,000","-5,000,000","-1,100,000","-5,000,000","-3,100,000","-3,400,000","-5,100,000","-1,700,000","-6,800,000","-2,400,000","-200,000","-2,300,000","-38,300,000",
	EarningsFromEquityInterest,"-6,400,000","-2,200,000","-1,800,000","-1,000,000","-1,400,000","-1,300,000","-100,000","-100,000","-200,000","-100,000","-800,000",,,,,,,,,
	SpecialIncomeCharges,"-7,000,000","-1,000,000","-1,700,000","-1,800,000","-2,500,000","-100,000","1,000,000","-4,900,000","-900,000","-4,900,000","-2,300,000","-3,400,000","-5,100,000","-1,700,000","-6,800,000","-2,800,000","-200,000","-2,100,000","-5,200,000","-400,000"
		RestructuringAndMergernAcquisition,"2,900,000","600,000","700,000","900,000","700,000","-100,000","-1,500,000","1,500,000","600,000","4,900,000","2,300,000","3,400,000","5,100,000","1,700,000","6,800,000","2,800,000","200,000","2,100,000","5,200,000","400,000"
		OtherSpecialCharges,"4,100,000","400,000","1,000,000","900,000","1,800,000","200,000","500,000","3,400,000","300,000",,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,"14,000,000",,,"-100,000",,,,,,,,,,"0","400,000",,"-200,000","-33,100,000","400,000"
PretaxIncome,"81,700,000","57,900,000","17,000,000","2,800,000","4,000,000","100,000","-5,700,000","-15,300,000","-2,200,000","-2,200,000","4,900,000","13,800,000","18,100,000","21,000,000","33,800,000","35,900,000","43,200,000","40,200,000","800,000","33,200,000"
TaxProvision,"27,100,000","4,700,000","9,500,000","15,400,000","-2,500,000","900,000","-700,000","-3,500,000","-2,000,000","-300,000","5,100,000","-4,200,000","2,600,000","4,100,000","7,900,000","5,900,000","5,200,000","8,000,000","11,700,000","7,700,000"
NetIncomeCommonStockholders,"54,600,000","53,200,000","7,500,000","-12,600,000","6,500,000","-800,000","-5,000,000","-11,800,000","-200,000","-1,900,000","-200,000","18,000,000","15,500,000","16,900,000","25,900,000","30,000,000","38,000,000","32,200,000","-10,900,000","25,500,000"
	NetIncome,"54,600,000","53,200,000","7,500,000","-12,600,000","6,500,000","-800,000","-5,000,000","-11,800,000","-200,000","-1,900,000","-200,000","18,000,000","15,500,000","16,900,000","25,900,000","30,000,000","38,000,000","32,200,000","-10,900,000","25,500,000"
		NetIncomeIncludingNoncontrollingInterests,"54,600,000","53,200,000","7,500,000","-12,600,000","6,500,000","-800,000","-5,000,000","-11,800,000","-200,000","-1,900,000","-200,000","18,000,000","15,500,000","16,900,000","25,900,000","30,000,000","38,000,000","32,200,000","-10,900,000","25,500,000"
			NetIncomeContinuousOperations,"54,600,000","53,200,000","7,500,000","-12,600,000","6,500,000","-800,000","-5,000,000","-11,800,000","-200,000","-1,900,000","-200,000","18,000,000","15,500,000","16,900,000","25,900,000","30,000,000","38,000,000","32,200,000","-10,900,000","25,500,000"
DilutedNIAvailtoComStockholders,"54,600,000","53,200,000","7,500,000","-12,600,000","6,500,000","-800,000","-5,000,000","-11,800,000","-200,000","-1,900,000","-200,000","18,000,000","15,500,000","16,900,000","25,900,000","30,000,000","38,000,000","32,200,000","-10,900,000","25,500,000"
BasicEPS,,"0.33","0.05","-0.08","0.04","-0.01","-0.03","-0.08","-0.001","-0.01","-0.001","0.12","0.11","0.12","0.18","0.21","0.266","0.225",,"0.178"
DilutedEPS,,"0.28","0.04","-0.08","0.03","-0.01","-0.03","-0.08","-0.001","-0.01","-0.001","0.12","0.11","0.12","0.18","0.21","0.266","0.225",,"0.178"
BasicAverageShares,,"161,700,000","161,700,000","161,600,000","148,700,000","146,500,000","146,300,000","146,300,000","146,200,000","146,100,000","146,000,000","146,000,000","146,000,000","146,000,000","141,600,000","143,000,000","143,000,000","143,000,000",,"143,000,000"
DilutedAverageShares,,"191,400,000","191,600,000","161,600,000","192,700,000","146,500,000","146,300,000","146,300,000","146,200,000","146,100,000","146,700,000","146,500,000","146,500,000","146,500,000","141,600,000","143,000,000","143,000,000","143,000,000",,"143,000,000"
TotalExpenses,"391,100,000","96,400,000","102,400,000","98,000,000","94,300,000","89,900,000","87,100,000","80,900,000","66,000,000","65,700,000","70,400,000","80,500,000","90,800,000","75,600,000","78,900,000","73,700,000","64,500,000","60,300,000","74,300,000","61,200,000"
