name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001
CashFlowsfromusedinOperatingActivitiesDirect,,"403,671,000","186,947,000","197,770,000","34,132,000","1,737,000","53,511,000","112,999,000","13,987,000","96,337,000","119,721,000","133,039,000","77,874,000","111,892,000","152,291,000","133,294,000","127,362,000","242,893,000","216,540,000","179,954,000","118,885,000","177,488,000","197,174,000","156,654,000","102,346,000","27,180,000","107,320,000","178,482,000","114,335,000","114,234,000","91,338,000","260,868,000","124,604,000","147,615,000","179,681,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ClassesofCashReceiptsfromOperatingActivities,,"944,220,000","676,448,000","654,831,000","491,705,000","536,380,000","490,231,000","557,461,000","467,657,000","550,951,000","534,158,000","558,512,000","495,152,000","539,251,000","621,192,000","590,320,000","535,891,000","550,217,000","532,631,000","518,474,000","484,011,000","508,789,000","511,164,000","465,828,000","393,492,000","372,462,000","431,489,000","481,320,000","438,376,000","487,813,000","417,799,000","602,959,000","446,317,000","591,397,000","590,720,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ReceiptsfromCustomers,,"940,762,000","663,329,000","610,200,000","490,959,000","520,362,000","463,254,000","490,556,000","466,548,000","459,175,000","532,318,000","558,317,000","494,936,000","539,326,000","620,000,000","589,488,000","535,700,000","561,396,000","518,485,000","518,474,000","484,011,000","493,700,000","513,974,000","460,820,000","405,708,000","372,752,000","430,922,000","475,772,000","434,103,000","490,482,000","415,263,000","601,384,000","436,943,000","617,472,000","559,762,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCashReceiptsfromOperatingActivities,,"3,458,000","13,119,000","44,631,000","746,000","16,018,000","26,977,000","66,905,000","1,109,000","91,776,000","1,840,000","195,000","216,000","-75,000","1,192,000","832,000","191,000","-11,179,000","154,000","0","18,205,000","15,089,000","-2,810,000","5,008,000","-12,216,000","-290,000","567,000","5,548,000","4,273,000","-2,669,000","2,536,000","1,575,000","9,374,000","-26,075,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ClassesofCashPayments,,"-487,468,000","-439,964,000","-396,611,000","-407,918,000","-425,606,000","-386,152,000","-386,522,000","-410,324,000","-412,058,000","-368,345,000","-355,994,000","-369,844,000","-354,039,000","-413,084,000","-357,225,000","-369,135,000","-276,957,000","-205,999,000","-325,748,000","-334,044,000","-243,094,000","-278,637,000","-276,966,000","-292,601,000","-333,062,000","-300,773,000","-268,189,000","-296,587,000","-312,388,000","-298,413,000","-328,347,000","-292,253,000","-455,419,000","-320,898,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PaymentstoSuppliersforGoodsandServices,,"-483,445,000","-436,142,000","-374,374,000","-419,961,000","-318,398,000","-258,737,000","-345,602,000","-435,610,000","-281,559,000","-336,900,000","-337,095,000","-328,650,000","-294,476,000","-313,444,000","-284,976,000","-308,778,000","-151,330,000","-221,359,000","-177,732,000","-291,658,000","-137,381,000","-192,965,000","-218,222,000","-254,850,000","-266,118,000","-281,628,000","-258,667,000","-276,291,000","-296,732,000","-290,081,000","-310,398,000","-282,202,000","-435,541,000","-303,495,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PaymentsonBehalfofEmployees,,,,,,"-38,805,000",,,,"-44,759,000","-41,320,000","-39,028,000","-70,675,000","-48,655,000","-79,934,000","-41,949,000","-59,469,000","-60,028,000","-35,140,000","-72,782,000","-59,153,000","-110,133,000","-51,455,000","-56,533,000","-35,042,000","-10,825,000","-9,666,000","-12,900,000","-11,525,000","-10,720,000","-10,140,000","-11,590,000","-9,768,000","4,896,000","-29,408,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCashPaymentsfromOperatingActivities,,"-4,023,000","-3,822,000","-22,237,000","12,043,000","-68,403,000","-4,358,000","-40,920,000","25,286,000","-85,740,000","9,875,000","20,129,000","29,481,000","-10,908,000","-19,706,000","-30,300,000","-888,000","-65,599,000","50,500,000","-75,234,000","16,767,000","4,420,000","-34,217,000","-2,211,000","-2,709,000","-56,119,000","-9,479,000","3,378,000","-8,771,000","-4,936,000","1,808,000","-6,359,000","-283,000","-24,774,000","12,005,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DividendsReceivedDirect,,"9,849,000","411,000","1,403,000","0","538,000","539,000","1,232,000","3,078,000","11,285,000","697,000","714,000","1,753,000","-104,000","696,000","2,634,000","5,589,000","322,000","288,000","818,000","663,000","713,000","1,465,000","-41,000","2,208,000","829,000","1,989,000","2,105,000","2,592,000","2,135,000","2,758,000","2,995,000","3,929,000","16,423,000","-12,758,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestPaidDirect,,"-18,995,000","-23,112,000","-18,851,000","-23,445,000","-18,786,000","-26,876,000","-25,003,000","-12,035,000","-25,427,000","-15,510,000","-15,952,000","-15,611,000","-18,139,000","-14,090,000","-16,069,000","-11,267,000","-32,984,000","-746,000","-7,818,000","-9,787,000","-40,188,000","-13,755,000","1,582,000","-2,856,000","4,000","-11,786,000","-22,518,000","-9,925,000","-39,594,000","-9,729,000","-21,107,000","-13,162,000","-22,709,000","-30,836,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
