date,count,sentiment
7/27/2015,1,0.996
8/5/2015,1,0.946
8/18/2015,1,0.989
8/20/2015,1,0.981
9/1/2015,1,0.996
9/4/2015,1,0.978
9/24/2015,1,0.85
11/16/2015,1,0.997
12/16/2015,1,0.996
12/17/2015,1,0.996
12/29/2015,1,0.983
3/28/2016,1,0.995
3/31/2016,1,0.998
4/11/2016,1,0.969
4/18/2016,1,0.945
5/2/2016,1,0.967
6/20/2016,1,0.997
6/22/2016,1,0.936
8/11/2016,1,0.977
8/26/2016,1,0.681
11/3/2016,1,0.98
11/9/2016,1,0.511
11/22/2016,1,0.998
1/9/2017,1,0.758
1/17/2017,1,0.999
1/19/2017,1,0.999
1/27/2017,1,0.959
2/28/2017,1,0.925
3/28/2017,1,0.976
3/29/2017,1,0.998
4/3/2017,1,0.997
5/10/2017,1,0.996
5/12/2017,1,0.71
5/19/2017,1,0.459
5/29/2017,1,0.459
6/7/2017,1,0.997
6/8/2017,1,0.996
6/13/2017,1,0.992
6/30/2017,1,0.934
7/5/2017,1,0.997
7/10/2017,1,0.994
7/17/2017,1,0.998
7/18/2017,1,0.957
8/1/2017,1,1
8/9/2017,2,0.9835
8/15/2017,1,0.827
10/18/2017,1,0.957
10/23/2017,1,0.996
11/3/2017,1,0.997
11/8/2017,2,0.988
11/15/2017,1,0.997
11/27/2017,1,0.918
12/14/2017,1,0.999
12/19/2017,1,0.997
12/20/2017,1,0.995
12/29/2017,1,0.847
1/17/2018,1,0.949
1/18/2018,2,0.97
2/7/2018,2,0.9885
2/23/2018,1,0.997
2/27/2018,1,0.995
3/27/2018,1,0.995
3/29/2018,1,0.986
4/3/2018,1,0.999
4/5/2018,1,0.976
4/23/2018,1,0.991
4/26/2018,1,0.997
5/2/2018,1,0.957
5/3/2018,1,0.941
5/14/2018,1,0.721
5/16/2018,2,0.9885
5/17/2018,1,0.938
5/30/2018,1,0.997
6/8/2018,1,0.996
6/13/2018,1,0.997
6/21/2018,1,0.994
7/18/2018,1,0.951
8/2/2018,1,0.459
8/3/2018,1,0.998
8/8/2018,2,0.987
8/13/2018,1,0.999
8/14/2018,1,0.999
8/21/2018,1,0.943
8/23/2018,1,0.994
9/26/2018,1,0.994
10/10/2018,1,0.949
10/12/2018,1,0.998
10/22/2018,1,0.995
10/26/2018,1,0.993
10/29/2018,1,0.999
10/30/2018,1,0.983
10/31/2018,1,0.594
11/1/2018,1,0.995
11/2/2018,1,0.995
11/5/2018,1,0.923
11/7/2018,2,0.9875
11/14/2018,1,0.78
11/20/2018,1,0.999
11/30/2018,1,0.995
12/10/2018,1,0.998
1/8/2019,1,0.998
1/16/2019,1,0.949
2/1/2019,1,0.981
2/6/2019,2,0.9895
2/6/2019,1,0.993
2/20/2019,1,0.996
2/25/2019,1,0.994
2/26/2019,2,0.997
2/27/2019,1,0.992
3/4/2019,1,0.996
4/1/2019,2,1
4/1/2019,3,0.9993
4/10/2019,1,0.995
5/1/2019,1,0.956
5/6/2019,1,0.994
5/15/2019,2,0.9975
5/16/2019,2,0.989
5/17/2019,1,0.852
5/21/2019,1,-0.917
5/23/2019,4,-0.13
5/24/2019,2,-0.8125
5/27/2019,1,-0.926
5/28/2019,1,-0.995
5/29/2019,1,1
5/29/2019,2,0.102
5/30/2019,3,-0.3177
5/31/2019,1,-0.858
6/3/2019,1,-0.178
6/4/2019,1,0.986
6/4/2019,2,-0.942
6/5/2019,1,-0.992
6/6/2019,1,1
6/6/2019,2,0.0115
6/7/2019,2,-0.963
6/10/2019,2,0.936
6/11/2019,1,0.991
6/11/2019,2,-0.959
6/12/2019,1,-0.971
6/14/2019,3,-0.6853
6/15/2019,1,-0.986
6/16/2019,1,0.867
6/17/2019,2,-0.96
6/18/2019,3,0.3423
6/19/2019,2,-0.667
6/20/2019,1,-0.81
6/22/2019,1,-0.992
6/24/2019,2,-0.9225
6/25/2019,1,-0.994
6/26/2019,3,-0.242
6/27/2019,1,0.985
6/28/2019,3,-0.318
6/29/2019,1,0.807
7/1/2019,2,-0.746
7/3/2019,1,-0.984
7/5/2019,2,-0.008
7/8/2019,2,-0.89
7/9/2019,2,0.931
7/10/2019,2,-0.988
7/11/2019,2,0.67
7/12/2019,2,-0.8365
7/15/2019,2,-0.001
7/16/2019,1,0.982
7/17/2019,1,0.956
7/17/2019,2,-0.049
7/18/2019,2,-0.2525
7/19/2019,1,-0.771
7/22/2019,1,-0.926
8/7/2019,2,0.9875
8/13/2019,1,0.999
8/19/2019,1,0.997
9/11/2019,1,0.986
9/19/2019,2,0.9785
9/25/2019,1,1
9/30/2019,1,1
10/16/2019,1,0.96
10/21/2019,1,0.694
11/6/2019,2,0.988
11/7/2019,1,0.995
11/12/2019,1,0.999
12/5/2019,1,0.93
12/11/2019,1,0.93
