name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Catamarca argentina,2015-01-01,27.6,14.5,19.7,28.7,14.5,19.8,14.5,73,8,100,4.17,rain,,,,44.6,151.1,1005.2,46,15.9,273.7,23.7,8,,2015-01-01T06:29:08,2015-01-01T20:24:04,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"87222099999,remote"
Catamarca argentina,2015-01-02,27.7,12.9,20.3,26.7,12.9,20.2,8.9,52.5,0,0,0,,,,,55.4,80.5,1011.8,40,20,390.2,33.7,10,,2015-01-02T06:29:49,2015-01-02T20:24:18,0.46,Partially cloudy,Partly cloudy throughout the day.,wind,"87222099999,remote"
Catamarca argentina,2015-01-03,32.9,11,22.1,31.6,11,21.8,9.8,49.2,2.4,100,33.33,rain,,,,40.7,51.7,1008.9,36.5,20,392.5,33.9,10,,2015-01-03T06:30:32,2015-01-03T20:24:30,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"87222099999,remote"
Catamarca argentina,2015-01-04,36.7,15.1,25,36.1,15.1,24.7,13.4,53.2,5.1,100,16.67,rain,,,,29.5,89.8,1008,57.2,20,386.3,33.2,10,,2015-01-04T06:31:15,2015-01-04T20:24:41,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"87222099999,remote"
Catamarca argentina,2015-01-05,35.9,17.8,26.6,35.7,17.8,26.5,15.8,55.1,0,0,0,,,,,44.6,56,1002.1,68.1,20,234,20.3,9,,2015-01-05T06:31:59,2015-01-05T20:24:50,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87222099999,remote"
Catamarca argentina,2015-01-06,37.7,19.4,27.4,39.3,19.4,27.6,16.9,55.9,0,0,0,,,,,29.5,153.9,999.3,71.6,19.4,270.3,23.3,8,,2015-01-06T06:32:44,2015-01-06T20:24:57,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87222099999,remote"
Catamarca argentina,2015-01-07,32.9,18.5,25.6,32.4,18.5,25.6,16.1,58.3,0,0,0,,,,,29.5,171,1003.7,42.6,20,345.2,29.7,10,,2015-01-07T06:33:30,2015-01-07T20:25:03,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87222099999,remote"
Catamarca argentina,2015-01-08,31.7,19,24.8,32.9,19,25,17,63.7,0,0,0,,,,,42.5,72.3,1004.5,60.1,20,272.3,23.6,8,,2015-01-08T06:34:16,2015-01-08T20:25:07,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87222099999,remote"
Catamarca argentina,2015-01-09,37.3,18,26.7,37.9,18,26.8,16.3,57,0,0,0,,,,,35.3,191.8,1003.4,20.5,20,359.4,31,10,,2015-01-09T06:35:03,2015-01-09T20:25:10,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87222099999,remote"
Catamarca argentina,2015-01-10,40.2,19.2,28.9,42.3,19.2,29.4,17.3,53.8,1,100,29.17,rain,,,,46.4,70.5,1001.1,30.6,20,348.9,30.2,10,,2015-01-10T06:35:50,2015-01-10T20:25:11,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"87222099999,remote"
