datetime,ALB_1_temp,ALB_1_humidity,ALB_1_windspeed,ALB_1_conditions,ALB_2_temp,ALB_2_humidity,ALB_2_windspeed,ALB_2_conditions,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions,LAC_2_temp,LAC_2_humidity,LAC_2_windspeed,LAC_2_conditions,SQM_1_temp,SQM_1_humidity,SQM_1_windspeed,SQM_1_conditions,SQM_2_temp,SQM_2_humidity,SQM_2_windspeed,SQM_2_conditions
2015-01-01,-2.1,27.6,31.3,0,13.5,19.9,34.2,0,24.6,72.3,46.1,5,23.5,71.5,55.1,5,13.5,19.9,34.2,0,18.5,72.6,27.7,2
2015-01-02,-1.7,39.6,18.1,0,14.0,19.7,35.3,2,17.5,64.1,26.8,5,16.1,70.3,23.5,4,14.0,19.7,35.3,2,18.9,72.0,22.3,2
2015-01-03,0.4,45.4,24.9,0,14.9,19.5,33.8,2,19.9,65.2,16.6,2,18.8,67.1,18.1,2,14.9,19.5,33.8,2,19.3,66.3,24.1,2
2015-01-04,0.1,50.5,16.5,0,15.9,18.3,31.7,1,22.7,64.7,11.7,2,21.0,66.3,14.6,2,15.9,18.3,31.7,1,18.7,72.1,25.9,2
2015-01-05,3.3,49.7,15.9,0,15.1,22.4,27.0,1,24.7,65.5,17.1,2,23.2,66.5,18.3,2,15.1,22.4,27.0,1,19.1,73.2,24.1,2
2015-01-06,5.5,52.6,18.4,0,15.8,24.0,37.1,2,26.3,66.1,17.1,2,24.0,69.8,21.9,2,15.8,24.0,37.1,2,19.4,72.1,25.9,2
2015-01-07,6.9,52.4,18.9,0,16.1,25.3,38.9,2,24.7,71.1,29.5,5,22.2,76.3,29.5,5,16.1,25.3,38.9,2,19.2,67.2,29.5,2
2015-01-08,5.7,52.1,14.8,0,15.3,25.0,33.5,2,24.3,72.9,22.6,5,22.6,75.1,24.1,5,15.3,25.0,33.5,2,19.0,69.7,27.7,2
2015-01-09,5.5,52.9,17.6,2,16.3,26.0,35.6,2,26.9,64.7,15.6,2,25.2,66.1,20.3,2,16.3,26.0,35.6,2,19.6,69.6,29.5,2
2015-01-10,7.4,53.3,15.0,2,16.6,26.8,43.6,2,27.5,66.3,23.3,2,25.8,67.4,20.5,2,16.6,26.8,43.6,2,19.0,67.7,25.9,2
2015-01-11,4.2,63.3,15.8,0,17.3,25.7,39.2,2,24.7,68.8,30.2,5,22.4,75.9,27.8,5,17.3,25.7,39.2,2,18.3,67.8,25.9,2
2015-01-12,4.2,65.2,24.7,2,15.5,27.7,34.2,2,23.4,77.9,21.8,5,22.3,74.1,22.2,5,15.5,27.7,34.2,2,19.3,69.6,24.1,2
2015-01-13,4.0,53.1,39.9,0,14.3,30.9,30.6,2,25.1,68.9,16.8,2,23.9,67.0,22.0,2,14.3,30.9,30.6,2,19.3,67.8,24.1,2
2015-01-14,1.3,49.8,20.2,0,14.3,26.1,35.6,2,23.2,77.0,25.4,5,22.2,76.8,44.0,5,14.3,26.1,35.6,2,19.6,69.1,24.1,2
2015-01-15,0.8,37.7,15.8,0,15.1,22.9,34.9,5,22.0,73.6,22.4,5,22.1,73.0,17.5,5,15.1,22.9,34.9,5,19.2,69.6,25.9,2
2015-01-16,3.9,30.5,15.3,0,14.8,23.7,37.4,2,23.8,76.8,9.4,2,23.4,76.9,9.4,2,14.8,23.7,37.4,2,19.3,67.3,24.1,2
