name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
salar de atacama,2015-01-01,24,3.2,13.5,24,0.1,12.8,-11.8,19.9,0,0,0,,,,,34.2,202.3,,1.6,,424,36.6,10,,2015-01-01T06:50:28,2015-01-01T20:23:49,0.43,Clear,Clear conditions throughout the day.,clear-day,remote
salar de atacama,2015-01-02,24,4.1,14,24,1.4,13.6,-11.2,19.7,0,0,0,,,,,35.3,198.3,,58.7,,398.7,34.5,10,,2015-01-02T06:51:07,2015-01-02T20:24:06,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
salar de atacama,2015-01-03,25.2,5.6,14.9,25.2,3.2,14.4,-11.1,19.5,0,0,0,,,,,33.8,192.5,,79.7,,376,32.7,10,,2015-01-03T06:51:46,2015-01-03T20:24:21,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
salar de atacama,2015-01-04,24.3,8.8,15.9,24.3,7.4,15.5,-9.8,18.3,0,0,0,,,,,31.7,197.2,,90.1,,265.5,23,8,,2015-01-04T06:52:26,2015-01-04T20:24:35,0.5,Overcast,Cloudy skies throughout the day.,cloudy,remote
salar de atacama,2015-01-05,20.8,10.1,15.1,20.8,10.1,15.1,-6.8,22.4,0,0,0,,,,,27,204,,93.6,,172.4,15,5,,2015-01-05T06:53:07,2015-01-05T20:24:48,0.5,Overcast,Cloudy skies throughout the day.,cloudy,remote
salar de atacama,2015-01-06,25.5,9.3,15.8,25.5,8.8,15.8,-6.4,24,0,0,0,,,,,37.1,221.5,,49.6,,389.5,33.7,10,,2015-01-06T06:53:48,2015-01-06T20:24:59,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
salar de atacama,2015-01-07,25.9,7.4,16.1,25.9,6.1,15.9,-6.4,25.3,0,0,0,,,,,38.9,204.2,,33,,401.9,34.7,10,,2015-01-07T06:54:30,2015-01-07T20:25:09,0.53,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
salar de atacama,2015-01-08,23.9,7.8,15.3,23.9,6.1,15,-7,25,0,0,0,,,,,33.5,205.1,,50.6,,310.1,26.8,10,,2015-01-08T06:55:12,2015-01-08T20:25:18,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
salar de atacama,2015-01-09,26.3,7.9,16.3,26.3,6.3,15.9,-5.4,26,0,0,0,,,,,35.6,209.2,,34,,411.5,35.7,10,,2015-01-09T06:55:54,2015-01-09T20:25:25,0.59,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
salar de atacama,2015-01-10,26.8,8.3,16.6,26.6,6.9,16.3,-5.4,26.8,0,0,0,,,,,43.6,200.4,,49.7,,400,34.4,10,,2015-01-10T06:56:37,2015-01-10T20:25:31,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
salar de atacama,2015-01-11,27.4,9.8,17.3,26.7,9.1,17.1,-6,25.7,0,0,0,,,,,39.2,187.4,,42.1,,412.3,35.7,10,,2015-01-11T06:57:20,2015-01-11T20:25:35,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
salar de atacama,2015-01-12,23.6,9.8,15.5,23.6,8.8,15.3,-4.8,27.7,0,0,0,,,,,34.2,189.8,,82.8,,252.2,21.9,9,,2015-01-12T06:58:03,2015-01-12T20:25:38,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
salar de atacama,2015-01-13,23.4,7.1,14.3,23.4,5.3,14,-4.9,30.9,0,0,0,,,,,30.6,206.5,,83.1,,339.8,29.4,10,,2015-01-13T06:58:47,2015-01-13T20:25:40,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
salar de atacama,2015-01-14,24.3,5.4,14.3,24.3,3.2,13.8,-7.8,26.1,0,0,0,,,,,35.6,196.4,,55.3,,409.7,35.3,10,,2015-01-14T06:59:30,2015-01-14T20:25:40,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
salar de atacama,2015-01-15,25.6,5.9,15.1,25.6,3.8,14.6,-8.7,22.9,0.1,100,4.17,rain,,,,34.9,200.1,,72.6,,410.9,35.5,10,,2015-01-15T07:00:14,2015-01-15T20:25:39,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,remote
salar de atacama,2015-01-16,25.5,5.3,14.8,25.5,2.6,14.2,-9.5,23.7,0,0,0,,,,,37.4,194.2,,68.9,,408,35.2,10,,2015-01-16T07:00:58,2015-01-16T20:25:36,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
salar de atacama,2015-01-17,25.4,6,15.1,25.4,3.9,14.5,-8.8,23.5,0,0,0,,,,,38.9,189.3,,71.6,,402.7,34.8,10,,2015-01-17T07:01:42,2015-01-17T20:25:32,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
