name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
jujuy argentina,2015-01-01,33.7,17.6,24.6,36.5,17.6,25.5,18.9,72.3,3.9,100,37.5,rain,,,37.4,46.1,189.7,,37.1,10.8,383,33,10,,2015-01-01T06:36:40,2015-01-01T20:12:38,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-01-02,21.7,12,17.5,21.7,12,17.5,10.2,64.1,0.5,100,12.5,rain,,,,26.8,198.5,,81.8,10.1,389.5,33.7,10,,2015-01-02T06:37:20,2015-01-02T20:12:55,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-01-03,26.5,15,19.9,26.5,15,19.9,12.8,65.2,0,0,0,,,,,16.6,150,,55.7,11.1,386.1,33.4,10,,2015-01-03T06:38:00,2015-01-03T20:13:09,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-01-04,30.7,14.7,22.7,30,14.7,22.6,14.7,64.7,0,0,0,,,,,11.7,208.4,,41.5,11,278.1,24,10,,2015-01-04T06:38:40,2015-01-04T20:13:23,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-01-05,31.6,17.8,24.7,32,17.8,25,17.1,65.5,0,0,0,,,,,17.1,169.5,,34.3,11,348.4,30,10,,2015-01-05T06:39:21,2015-01-05T20:13:35,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-01-06,32.3,21.7,26.3,34.4,21.7,26.9,19.2,66.1,0,0,0,,,,44.6,17.1,167.9,,70.1,10.6,231.1,19.9,7,,2015-01-06T06:40:03,2015-01-06T20:13:46,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-01-07,31.4,19,24.7,32.7,19,24.9,18.9,71.1,3.7,100,41.67,rain,,,40.7,29.5,250.5,,54.2,10.8,301.8,26,9,,2015-01-07T06:40:45,2015-01-07T20:13:56,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-01-08,28.8,19.7,24.3,30.3,19.7,24.6,18.8,72.9,1.1,100,16.67,rain,,,,22.6,138.3,,64.6,10.6,299.1,25.7,10,,2015-01-08T06:41:27,2015-01-08T20:14:04,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-01-09,33.5,21.6,26.9,34.4,21.6,27.5,19,64.7,0,0,0,,,,,15.6,127.6,,56.7,10.8,334.3,28.7,10,,2015-01-09T06:42:10,2015-01-09T20:14:10,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-01-10,35.5,21.6,27.5,37.5,21.6,28.4,20,66.3,0,0,0,,,,46.4,23.3,160.2,,58.6,10.7,276.9,23.9,9,,2015-01-10T06:42:54,2015-01-10T20:14:16,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-01-11,33.2,19.9,24.7,33.2,19.9,24.8,18.1,68.8,4,100,50,rain,,,59.4,30.2,203.4,,56.2,10.7,208.5,18.1,7,,2015-01-11T06:43:37,2015-01-11T20:14:20,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-01-12,28.8,19.9,23.4,29.3,19.9,23.6,18.9,77.9,0.9,100,12.5,rain,,,38.9,21.8,171.3,,77.3,10.1,261.3,22.6,9,,2015-01-12T06:44:21,2015-01-12T20:14:22,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-01-13,31.9,18,25.1,33.2,18,25.7,18.5,68.9,0,0,0,,,,,16.8,193.5,,45.1,10.9,367.1,31.7,10,,2015-01-13T06:45:05,2015-01-13T20:14:23,0.76,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-01-14,31.5,18.7,23.2,32.6,18.7,23.4,18.5,77,43.9,100,58.33,rain,,,74.2,25.4,238.4,,71.4,9.5,274.4,23.6,10,,2015-01-14T06:45:49,2015-01-14T20:14:22,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"87047099999,SASJ,SASA,87046099999"
