datetime,ALB_1_temp,ALB_1_humidity,ALB_1_windspeed,ALB_1_conditions
2015-01-01,-2.1,27.6,31.3,0
2015-01-02,-1.7,39.6,18.1,0
2015-01-03,0.4,45.4,24.9,0
2015-01-04,0.1,50.5,16.5,0
2015-01-05,3.3,49.7,15.9,0
2015-01-06,5.5,52.6,18.4,0
2015-01-07,6.9,52.4,18.9,0
2015-01-08,5.7,52.1,14.8,0
2015-01-09,5.5,52.9,17.6,2
2015-01-10,7.4,53.3,15.0,2
2015-01-11,4.2,63.3,15.8,0
2015-01-12,4.2,65.2,24.7,2
2015-01-13,4.0,53.1,39.9,0
2015-01-14,1.3,49.8,20.2,0
2015-01-15,0.8,37.7,15.8,0
2015-01-16,3.9,30.5,15.3,0
2015-01-17,5.4,45.3,15.1,0
2015-01-18,5.5,47.6,16.5,8
2015-01-19,6.3,41.5,21.7,0
2015-01-20,4.4,47.0,17.1,0
2015-01-21,4.2,40.5,28.5,0
2015-01-22,1.6,29.3,23.7,0
2015-01-23,5.4,28.2,34.6,0
2015-01-24,6.5,36.0,25.2,0
2015-01-25,8.9,38.5,20.4,0
2015-01-26,9.1,38.4,40.7,0
2015-01-27,7.7,76.7,28.0,4
2015-01-28,6.6,65.8,16.4,2
2015-01-29,7.4,60.2,16.6,2
2015-01-30,7.8,56.6,33.7,2
2015-01-31,7.5,44.4,40.8,2
2015-02-01,5.8,32.2,14.1,0
2015-02-02,6.8,37.9,15.9,0
2015-02-03,7.3,43.7,16.1,0
2015-02-04,7.0,40.4,16.4,0
2015-02-05,8.5,37.6,19.6,0
2015-02-06,11.9,26.9,34.8,0
2015-02-07,9.5,48.2,23.8,5
2015-02-08,9.5,66.4,32.5,2
2015-02-09,11.1,40.2,23.3,0
2015-02-10,7.1,33.9,17.8,0
2015-02-11,7.3,32.9,25.5,0
2015-02-12,8.1,27.2,19.6,0
2015-02-13,10.4,26.7,18.4,0
2015-02-14,10.5,29.2,17.1,0
2015-02-15,11.1,28.0,30.9,0
2015-02-16,9.0,23.4,30.3,0
2015-02-17,8.0,23.6,15.4,0
2015-02-18,9.2,26.1,17.8,0
2015-02-19,10.5,28.1,17.6,0
2015-02-20,11.2,26.3,31.9,0
2015-02-21,8.6,26.2,38.2,2
2015-02-22,3.5,54.2,27.5,10
2015-02-23,2.6,34.1,30.1,2
2015-02-24,5.6,18.4,32.2,0
2015-02-25,8.9,17.2,34.3,0
2015-02-26,7.7,28.1,40.7,0
2015-02-27,5.4,42.8,22.8,2
2015-02-28,3.1,54.7,24.4,2
2015-03-01,2.4,70.4,22.5,5
2015-03-02,2.4,68.9,22.9,10
2015-03-03,2.7,54.6,41.7,10
2015-03-04,3.2,34.6,20.9,0
2015-03-05,4.3,33.6,15.7,0
2015-03-06,7.6,26.5,19.1,0
2015-03-07,9.9,22.7,20.9,0
2015-03-08,11.1,23.9,25.1,0
2015-03-09,10.9,20.6,20.7,0
2015-03-10,10.5,20.2,22.4,0
2015-03-11,12.0,29.6,28.2,2
2015-03-12,11.0,43.9,24.6,0
2015-03-13,11.9,33.2,19.4,0
2015-03-14,13.9,25.1,20.5,0
2015-03-15,14.8,26.2,28.9,0
2015-03-16,14.9,28.4,28.9,0
2015-03-17,13.7,27.7,14.6,0
2015-03-18,13.8,28.6,25.8,0
2015-03-19,12.9,23.9,26.6,0
2015-03-20,12.3,13.5,22.3,0
2015-03-21,13.4,14.5,18.7,0
2015-03-22,12.2,21.3,17.8,2
2015-03-23,12.9,26.1,29.5,0
2015-03-24,12.1,30.7,34.8,0
2015-03-25,12.2,35.7,22.2,0
2015-03-26,14.2,28.5,24.9,0
2015-03-27,15.6,24.9,21.1,0
2015-03-28,16.3,19.5,27.0,0
2015-03-29,15.9,15.6,25.2,0
2015-03-30,15.1,16.6,19.7,0
2015-03-31,15.2,15.4,39.3,3
2015-04-01,11.2,21.6,41.8,0
2015-04-02,8.2,22.6,33.0,0
2015-04-03,7.9,16.0,19.0,0
2015-04-04,10.4,14.4,29.6,0
2015-04-05,11.6,13.0,38.9,0
2015-04-06,8.9,22.2,25.5,0
2015-04-07,7.3,30.8,42.4,2
2015-04-08,6.0,32.4,36.0,0
2015-04-09,7.9,29.1,24.6,0
2015-04-10,10.1,21.0,22.3,0
2015-04-11,11.5,19.5,25.3,0
2015-04-12,14.8,20.6,24.3,0
2015-04-13,15.3,16.0,36.9,0
2015-04-14,10.5,17.2,61.0,0
2015-04-15,6.8,19.3,45.3,0
2015-04-16,9.4,19.1,35.4,0
2015-04-17,13.3,19.7,27.6,0
2015-04-18,15.3,14.2,22.9,0
2015-04-19,16.3,15.7,27.2,0
2015-04-20,16.4,14.2,20.7,0
2015-04-21,15.8,16.5,24.9,0
2015-04-22,14.1,28.7,23.6,2
2015-04-23,12.7,46.7,24.8,5
2015-04-24,12.0,44.8,32.9,5
2015-04-25,8.8,40.6,48.9,5
2015-04-26,10.6,34.7,42.8,0
2015-04-27,14.4,23.2,26.6,0
2015-04-28,16.5,17.3,25.7,0
2015-04-29,18.1,17.0,16.5,0
2015-04-30,19.7,21.2,25.4,0
2015-05-01,19.1,24.6,32.5,0
2015-05-02,18.9,18.9,32.6,0
2015-05-03,18.4,22.3,25.8,0
2015-05-04,17.4,28.9,41.9,2
2015-05-05,17.0,31.3,33.5,2
2015-05-06,15.4,33.0,31.9,5
2015-05-07,10.5,45.2,37.8,5
2015-05-08,5.6,79.3,16.3,5
2015-05-09,13.1,49.2,30.2,5
2015-05-10,14.9,30.6,19.0,0
2015-05-11,16.6,26.9,34.6,0
2015-05-12,16.6,23.9,39.7,0
2015-05-13,15.0,20.7,37.7,0
2015-05-14,10.8,43.0,28.1,5
2015-05-15,7.9,67.4,25.8,5
2015-05-16,13.6,44.1,26.8,2
2015-05-17,14.6,40.4,34.4,2
2015-05-18,11.3,59.7,21.8,5
2015-05-19,13.3,53.3,23.0,2
2015-05-20,14.5,46.4,32.2,2
2015-05-21,14.0,43.0,33.0,2
2015-05-22,12.1,61.9,22.4,5
2015-05-23,13.7,57.4,41.1,5
2015-05-24,15.7,54.3,24.0,5
2015-05-25,17.6,43.5,25.4,2
2015-05-26,18.9,40.9,20.9,2
2015-05-27,20.5,32.5,24.1,0
2015-05-28,21.5,25.4,17.8,0
2015-05-29,23.2,22.0,23.5,0
2015-05-30,23.8,18.6,30.1,0
2015-05-31,23.9,18.3,37.6,0
2015-06-01,22.9,16.2,28.8,0
2015-06-02,21.2,17.3,20.8,0
2015-06-03,21.3,17.3,27.7,0
2015-06-04,17.7,36.5,31.4,5
2015-06-05,18.2,34.6,39.8,2
2015-06-06,16.2,45.6,31.1,5
2015-06-07,19.2,41.8,18.3,2
2015-06-08,22.4,27.2,18.9,0
2015-06-09,23.5,22.6,50.6,0
2015-06-10,20.6,45.5,39.2,5
2015-06-11,19.5,57.4,20.6,5
