datetime,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions
2015-01-01,24.6,72.3,46.1,5
2015-01-02,17.5,64.1,26.8,5
2015-01-03,19.9,65.2,16.6,2
2015-01-04,22.7,64.7,11.7,2
2015-01-05,24.7,65.5,17.1,2
2015-01-06,26.3,66.1,17.1,2
2015-01-07,24.7,71.1,29.5,5
2015-01-08,24.3,72.9,22.6,5
2015-01-09,26.9,64.7,15.6,2
2015-01-10,27.5,66.3,23.3,2
2015-01-11,24.7,68.8,30.2,5
2015-01-12,23.4,77.9,21.8,5
2015-01-13,25.1,68.9,16.8,2
2015-01-14,23.2,77.0,25.4,5
2015-01-15,22.0,73.6,22.4,5
2015-01-16,23.8,76.8,9.4,2
2015-01-17,21.7,83.1,24.1,5
2015-01-18,22.1,85.8,14.8,5
2015-01-19,24.4,79.1,19.5,5
2015-01-20,19.8,83.3,35.3,5
2015-01-21,20.5,80.2,16.9,5
2015-01-22,22.3,77.3,18.4,5
2015-01-23,20.9,82.6,19.4,5
2015-01-24,22.4,80.4,16.6,2
2015-01-25,24.5,65.7,22.3,2
2015-01-26,24.5,67.1,22.3,0
2015-01-27,25.6,65.1,25.9,2
2015-01-28,23.2,67.4,20.5,5
2015-01-29,17.2,80.8,19.1,5
2015-01-30,18.9,85.1,18.8,5
2015-01-31,22.6,79.1,14.8,5
2015-02-01,25.3,75.8,16.6,2
2015-02-02,25.5,70.8,20.6,2
2015-02-03,27.0,64.0,22.3,2
2015-02-04,26.3,64.5,20.2,2
2015-02-05,25.4,74.4,28.0,5
2015-02-06,24.3,72.2,12.7,5
2015-02-07,22.3,83.8,26.7,5
2015-02-08,22.5,73.0,16.6,5
2015-02-09,24.7,70.5,22.1,5
2015-02-10,21.5,80.5,41.7,5
2015-02-11,21.0,77.0,9.4,5
2015-02-12,23.2,72.1,19.8,5
2015-02-13,21.3,85.6,24.4,4
2015-02-14,22.3,81.9,22.0,5
2015-02-15,21.8,81.5,18.7,5
