datetime,LAC_2_temp,LAC_2_humidity,LAC_2_windspeed,LAC_2_conditions
2015-01-01,23.5,71.5,55.1,5
2015-01-02,16.1,70.3,23.5,4
2015-01-03,18.8,67.1,18.1,2
2015-01-04,21.0,66.3,14.6,2
2015-01-05,23.2,66.5,18.3,2
2015-01-06,24.0,69.8,21.9,2
2015-01-07,22.2,76.3,29.5,5
2015-01-08,22.6,75.1,24.1,5
2015-01-09,25.2,66.1,20.3,2
2015-01-10,25.8,67.4,20.5,2
2015-01-11,22.4,75.9,27.8,5
2015-01-12,22.3,74.1,22.2,5
2015-01-13,23.9,67.0,22.0,2
2015-01-14,22.2,76.8,44.0,5
2015-01-15,22.1,73.0,17.5,5
2015-01-16,23.4,76.9,9.4,2
2015-01-17,21.5,83.3,24.1,5
2015-01-18,21.9,84.1,17.6,5
2015-01-19,24.1,78.2,32.4,5
2015-01-20,19.6,84.2,35.3,5
2015-01-21,20.4,79.9,19.4,5
2015-01-22,21.8,77.8,23.3,5
2015-01-23,21.6,80.0,23.4,5
2015-01-24,22.5,79.7,16.6,2
2015-01-25,24.3,65.5,22.3,2
2015-01-26,24.3,66.6,22.3,5
2015-01-27,25.2,66.3,25.9,5
2015-01-28,23.1,70.3,27.8,5
2015-01-29,19.0,78.9,19.4,5
2015-01-30,19.2,87.8,16.9,5
2015-01-31,21.9,80.2,14.8,5
2015-02-01,24.5,75.9,16.6,2
2015-02-02,25.1,72.7,18.4,2
2015-02-03,26.5,66.2,22.3,2
2015-02-04,25.8,66.1,16.9,5
2015-02-05,24.0,77.5,39.9,5
2015-02-06,22.8,76.3,21.9,5
2015-02-07,22.0,81.8,31.5,5
2015-02-08,22.6,71.2,18.7,5
2015-02-09,23.3,73.1,21.9,5
2015-02-10,20.3,82.6,37.3,5
2015-02-11,20.3,75.2,18.2,5
2015-02-12,21.9,70.2,20.2,5
2015-02-13,20.4,84.1,15.1,4
2015-02-14,22.1,80.3,23.8,2
2015-02-15,21.8,79.6,15.8,5
2015-02-16,21.2,85.0,14.8,5
2015-02-17,20.6,78.7,25.6,5
2015-02-18,21.4,78.4,19.4,5
2015-02-19,18.1,76.5,33.5,5
2015-02-20,14.0,83.3,29.5,5
2015-02-21,16.8,88.1,7.3,5
2015-02-22,18.5,87.5,11.0,4
2015-02-23,20.1,88.1,27.8,5
2015-02-24,21.2,87.2,30.2,5
2015-02-25,23.5,79.2,16.4,5
2015-02-26,17.4,91.3,25.2,5
2015-02-27,17.7,89.5,25.2,5
2015-02-28,19.8,86.6,26.3,5
2015-03-01,20.8,86.9,11.2,5
2015-03-02,21.7,82.5,21.2,5
2015-03-03,22.0,81.6,20.4,5
2015-03-04,21.3,85.1,17.6,5
2015-03-05,20.1,88.5,21.2,5
2015-03-06,22.5,82.7,14.5,5
2015-03-07,20.3,84.4,19.1,5
2015-03-08,22.8,78.6,86.3,5
2015-03-09,22.7,79.3,25.6,2
2015-03-10,23.0,79.2,30.9,2
2015-03-11,23.3,75.6,16.4,2
2015-03-12,23.0,78.5,14.6,2
2015-03-13,23.2,76.9,16.5,2
2015-03-14,22.2,80.7,23.7,5
2015-03-15,21.3,84.0,14.6,5
2015-03-16,20.7,89.0,14.6,4
2015-03-17,20.8,90.8,14.5,4
2015-03-18,21.8,85.2,13.1,5
2015-03-19,21.1,84.5,14.6,2
2015-03-20,22.0,78.2,14.6,5
2015-03-21,19.1,83.2,23.8,5
2015-03-22,14.1,91.5,20.5,5
2015-03-23,13.4,90.4,24.5,4
2015-03-24,12.9,92.3,24.8,4
2015-03-25,13.3,91.4,29.9,5
2015-03-26,11.7,90.9,27.7,5
2015-03-27,11.6,86.6,26.6,5
2015-03-28,13.2,79.5,24.5,2
2015-03-29,14.8,70.9,21.2,0
2015-03-30,16.0,65.5,20.2,5
2015-03-31,15.1,79.3,22.6,5
2015-04-01,15.3,84.8,22.3,2
2015-04-02,16.9,78.7,22.0,2
2015-04-03,17.4,72.5,21.6,2
2015-04-04,19.2,75.3,22.3,2
2015-04-05,19.1,78.0,18.1,2
2015-04-06,15.2,84.3,25.9,2
2015-04-07,14.6,81.3,25.2,2
2015-04-08,17.1,68.5,21.6,2
2015-04-09,19.1,81.2,14.4,2
2015-04-10,18.9,81.8,16.3,2
2015-04-11,19.8,81.6,16.6,5
2015-04-12,19.7,80.2,16.6,2
2015-04-13,19.9,81.7,16.5,2
2015-04-14,20.7,76.6,23.6,2
2015-04-15,21.5,77.8,22.3,5
2015-04-16,20.4,84.9,16.2,5
2015-04-17,19.2,78.9,25.5,2
2015-04-18,17.7,80.4,14.5,2
2015-04-19,19.2,77.0,16.3,2
2015-04-20,17.6,78.5,22.7,2
2015-04-21,16.2,86.7,12.7,4
2015-04-22,15.8,88.2,16.2,4
2015-04-23,15.6,90.9,14.7,5
2015-04-24,17.2,84.0,11.2,2
2015-04-25,17.8,81.1,11.1,5
2015-04-26,18.8,80.8,14.7,5
2015-04-27,20.2,80.5,18.1,5
2015-04-28,18.3,93.0,12.8,4
2015-04-29,18.8,87.1,12.9,4
2015-04-30,19.4,84.4,22.0,5
2015-05-01,18.2,83.2,19.1,5
2015-05-02,17.1,62.5,21.8,0
2015-05-03,14.8,77.2,20.6,2
2015-05-04,11.2,84.9,12.7,2
2015-05-05,14.0,79.1,21.8,2
2015-05-06,12.9,86.8,13.0,1
2015-05-07,12.4,84.6,16.3,1
2015-05-08,13.2,81.6,20.2,2
2015-05-09,15.7,68.6,12.8,2
2015-05-10,14.5,75.6,12.5,2
2015-05-11,14.3,77.9,14.8,5
2015-05-12,13.9,87.8,18.3,4
2015-05-13,14.5,80.6,15.1,2
2015-05-14,13.5,82.7,11.0,2
2015-05-15,14.5,79.7,89.5,2
2015-05-16,15.6,76.5,20.1,2
2015-05-17,16.6,76.8,16.4,2
2015-05-18,16.3,80.1,16.3,2
2015-05-19,16.8,79.9,17.9,2
2015-05-20,17.2,82.4,16.8,2
2015-05-21,18.2,77.4,18.4,2
2015-05-22,17.6,72.8,14.3,0
2015-05-23,17.0,74.7,17.9,2
2015-05-24,17.7,82.3,16.6,5
2015-05-25,14.4,88.7,19.8,1
2015-05-26,13.9,89.6,17.6,5
2015-05-27,13.6,84.9,11.2,2
2015-05-28,13.3,83.5,20.2,2
2015-05-29,13.0,82.3,16.1,2
2015-05-30,10.9,79.7,14.6,2
2015-05-31,10.5,79.2,14.5,2
2015-06-01,11.1,77.4,14.4,0
2015-06-02,10.9,75.6,16.3,0
2015-06-03,12.9,72.9,17.9,0
2015-06-04,14.2,73.6,13.0,0
2015-06-05,14.7,70.6,16.3,0
2015-06-06,16.1,66.5,14.4,0
2015-06-07,15.6,70.8,20.1,0
2015-06-08,18.1,79.5,14.6,2
2015-06-09,17.3,79.4,20.4,2
2015-06-10,17.3,79.0,25.2,2
2015-06-11,13.9,82.8,22.3,1
2015-06-12,11.4,84.2,11.1,2
2015-06-13,12.5,80.2,16.5,2
2015-06-14,11.1,75.9,21.8,2
2015-06-15,11.3,70.3,16.7,2
2015-06-16,11.7,75.4,12.5,2
2015-06-17,10.5,70.1,20.3,2
2015-06-18,10.1,58.9,18.0,2
2015-06-19,8.3,69.3,23.7,2
2015-06-20,9.1,69.1,13.0,0
2015-06-21,11.3,68.5,23.5,0
2015-06-22,11.4,71.9,20.3,2
2015-06-23,9.2,78.7,16.4,1
2015-06-24,9.6,77.3,18.0,2
2015-06-25,11.1,78.7,12.7,2
2015-06-26,13.9,71.8,20.3,2
2015-06-27,13.9,83.1,18.0,2
2015-06-28,14.6,82.5,10.8,2
2015-06-29,15.2,78.5,20.3,2
2015-06-30,12.2,69.1,21.9,2
2015-07-01,11.8,76.9,22.1,2
2015-07-02,10.6,82.5,16.3,2
2015-07-03,11.0,81.8,24.2,4
2015-07-04,7.5,91.7,14.5,5
2015-07-05,7.8,83.9,18.1,2
2015-07-06,9.7,72.2,27.1,2
2015-07-07,10.4,70.3,15.8,2
2015-07-08,9.0,69.7,14.6,0
2015-07-09,11.0,64.8,18.1,0
2015-07-10,12.5,67.5,23.6,2
2015-07-11,13.0,74.9,21.9,2
2015-07-12,14.4,60.3,18.4,0
2015-07-13,19.1,29.6,39.6,2
2015-07-14,8.0,82.7,14.8,5
2015-07-15,7.8,82.0,20.5,2
2015-07-16,8.7,71.1,18.2,2
2015-07-17,8.8,73.3,12.7,0
2015-07-18,11.0,66.6,12.8,0
2015-07-19,12.8,64.8,17.9,2
2015-07-20,9.2,81.9,24.3,5
2015-07-21,6.8,76.8,13.0,2
2015-07-22,9.3,57.9,13.0,2
2015-07-23,9.0,72.1,14.4,0
2015-07-24,10.2,69.0,16.4,0
2015-07-25,10.4,67.7,17.9,0
2015-07-26,11.2,69.8,20.1,0
