datetime,SQM_1_temp,SQM_1_humidity,SQM_1_windspeed,SQM_1_conditions
2015-01-01,13.5,19.9,34.2,0
2015-01-02,14.0,19.7,35.3,2
2015-01-03,14.9,19.5,33.8,2
2015-01-04,15.9,18.3,31.7,1
2015-01-05,15.1,22.4,27.0,1
2015-01-06,15.8,24.0,37.1,2
2015-01-07,16.1,25.3,38.9,2
2015-01-08,15.3,25.0,33.5,2
2015-01-09,16.3,26.0,35.6,2
2015-01-10,16.6,26.8,43.6,2
2015-01-11,17.3,25.7,39.2,2
2015-01-12,15.5,27.7,34.2,2
2015-01-13,14.3,30.9,30.6,2
2015-01-14,14.3,26.1,35.6,2
2015-01-15,15.1,22.9,34.9,5
2015-01-16,14.8,23.7,37.4,2
2015-01-17,15.1,23.5,38.9,2
2015-01-18,15.0,27.7,34.2,2
2015-01-19,14.6,31.5,33.5,2
2015-01-20,15.9,30.1,40.3,2
2015-01-21,16.6,32.2,38.2,2
2015-01-22,17.3,29.0,33.5,2
2015-01-23,16.2,33.6,37.8,2
2015-01-24,16.2,29.6,34.9,2
2015-01-25,16.3,30.8,36.7,5
2015-01-26,16.1,38.6,37.1,5
2015-01-27,13.9,41.0,35.3,0
2015-01-28,14.3,35.9,30.2,0
2015-01-29,15.4,39.0,38.5,2
2015-01-30,15.2,42.8,28.8,2
2015-01-31,16.4,45.6,24.1,2
2015-02-01,16.9,41.9,37.8,2
2015-02-02,17.1,36.6,36.7,2
2015-02-03,17.5,40.6,41.0,2
2015-02-04,16.9,44.0,39.2,2
2015-02-05,16.4,41.0,36.7,2
2015-02-06,16.1,41.0,37.8,2
2015-02-07,14.9,53.5,38.2,2
2015-02-08,14.8,59.5,35.6,2
2015-02-09,13.4,61.4,34.6,2
2015-02-10,13.1,58.8,32.0,2
2015-02-11,14.5,51.5,37.4,2
2015-02-12,15.5,47.0,31.7,2
2015-02-13,16.4,44.9,41.0,1
2015-02-14,15.5,44.2,34.9,2
2015-02-15,15.3,36.5,34.2,0
2015-02-16,14.8,30.2,31.7,3
2015-02-17,14.3,26.7,36.4,3
2015-02-18,12.8,39.0,40.3,0
2015-02-19,11.0,53.3,41.4,0
2015-02-20,11.2,49.6,36.0,0
2015-02-21,12.3,46.0,28.8,0
2015-02-22,14.3,32.9,29.5,2
2015-02-23,15.9,22.7,33.1,0
2015-02-24,16.2,18.7,32.8,0
2015-02-25,16.1,18.5,30.6,0
2015-02-26,15.2,25.8,35.3,0
2015-02-27,14.3,39.7,36.0,3
2015-02-28,14.1,49.4,34.2,0
2015-03-01,14.6,38.7,28.8,0
2015-03-02,14.8,30.0,32.0,0
2015-03-03,14.1,27.2,28.1,0
2015-03-04,15.2,25.9,32.0,0
2015-03-05,15.0,23.8,34.2,2
2015-03-06,15.9,24.8,33.8,0
2015-03-07,16.1,28.8,33.8,2
2015-03-08,16.7,32.0,31.0,2
2015-03-09,17.8,31.2,34.6,0
2015-03-10,17.9,32.3,33.5,0
2015-03-11,17.8,30.3,33.1,0
2015-03-12,16.5,36.6,33.5,0
2015-03-13,15.4,38.5,33.1,0
2015-03-14,15.3,39.4,32.8,2
2015-03-15,16.2,39.9,29.9,5
2015-03-16,15.4,49.0,33.5,2
2015-03-17,15.3,46.9,32.0,2
2015-03-18,15.6,51.2,31.0,4
2015-03-19,15.3,57.9,33.5,5
2015-03-20,15.3,55.8,36.4,2
2015-03-21,15.2,54.7,31.0,2
2015-03-22,14.2,57.1,31.0,4
2015-03-23,12.9,58.0,28.4,4
2015-03-24,10.6,73.7,26.3,5
2015-03-25,10.5,80.4,39.6,5
2015-03-26,9.9,72.2,34.9,5
2015-03-27,9.1,59.9,32.8,3
2015-03-28,8.6,50.5,31.0,0
2015-03-29,10.1,29.7,27.7,0
2015-03-30,10.4,28.2,27.0,0
2015-03-31,11.0,26.1,24.1,0
2015-04-01,12.7,25.7,24.8,2
2015-04-02,13.5,28.4,28.1,2
2015-04-03,12.0,33.2,28.8,2
2015-04-04,11.5,30.7,29.9,0
2015-04-05,12.1,21.8,24.8,0
2015-04-06,13.2,20.0,18.0,2
2015-04-07,14.2,21.1,32.0,2
2015-04-08,12.5,20.8,29.5,0
2015-04-09,13.6,19.8,31.7,2
2015-04-10,13.8,22.0,22.0,2
2015-04-11,13.1,31.4,19.8,1
2015-04-12,13.2,45.7,32.8,2
2015-04-13,12.1,35.5,28.4,0
2015-04-14,12.3,25.7,31.7,0
2015-04-15,11.2,32.0,28.1,0
2015-04-16,10.2,30.2,29.2,2
2015-04-17,10.3,25.4,24.8,2
2015-04-18,11.7,25.4,27.0,1
2015-04-19,10.3,33.4,23.0,2
2015-04-20,10.2,31.4,24.5,2
2015-04-21,10.2,27.9,26.3,0
2015-04-22,11.1,19.9,22.3,3
2015-04-23,12.5,15.1,22.7,2
2015-04-24,13.9,17.0,17.3,2
2015-04-25,14.4,30.0,31.3,0
2015-04-26,13.6,34.5,31.7,2
2015-04-27,13.6,25.8,24.8,0
2015-04-28,13.6,21.6,23.4,0
2015-04-29,12.9,20.8,22.7,0
2015-04-30,12.9,16.1,24.5,0
2015-05-01,11.4,20.6,28.8,0
2015-05-02,9.4,31.3,32.0,0
2015-05-03,8.4,36.6,32.4,0
2015-05-04,8.1,28.9,33.1,0
2015-05-05,8.6,20.3,26.6,2
2015-05-06,11.1,15.6,20.9,2
2015-05-07,9.9,27.6,39.6,2
2015-05-08,8.7,36.3,30.2,0
2015-05-09,8.3,40.2,28.4,2
2015-05-10,9.1,23.4,21.2,0
2015-05-11,10.3,11.7,24.1,2
2015-05-12,9.9,13.8,25.6,2
2015-05-13,9.3,17.7,22.0,2
2015-05-14,8.4,20.8,27.0,0
2015-05-15,7.2,24.7,19.8,0
2015-05-16,7.9,20.0,22.3,0
2015-05-17,8.5,21.0,17.6,0
2015-05-18,8.7,26.2,17.3,0
2015-05-19,9.4,15.9,22.7,0
2015-05-20,9.4,10.1,20.5,0
2015-05-21,9.3,12.2,32.4,0
2015-05-22,9.1,26.7,26.3,0
2015-05-23,8.4,32.8,26.3,2
2015-05-24,8.6,33.9,24.8,1
2015-05-25,8.3,30.0,24.5,1
2015-05-26,6.7,57.5,26.6,2
2015-05-27,6.5,50.6,20.2,0
2015-05-28,7.7,27.2,24.5,2
2015-05-29,7.4,21.0,28.4,2
2015-05-30,6.1,25.4,22.3,2
2015-05-31,6.2,17.0,24.1,2
2015-06-01,7.2,11.6,18.0,2
2015-06-02,8.3,6.8,24.8,0
2015-06-03,10.0,6.7,21.6,0
2015-06-04,10.9,9.5,19.1,0
2015-06-05,11.3,6.7,24.1,2
2015-06-06,11.4,5.7,24.1,2
