datetime,SQM_2_temp,SQM_2_humidity,SQM_2_windspeed,SQM_2_conditions
2015-01-01,18.5,72.6,27.7,2
2015-01-02,18.9,72.0,22.3,2
2015-01-03,19.3,66.3,24.1,2
2015-01-04,18.7,72.1,25.9,2
2015-01-05,19.1,73.2,24.1,2
2015-01-06,19.4,72.1,25.9,2
2015-01-07,19.2,67.2,29.5,2
2015-01-08,19.0,69.7,27.7,2
2015-01-09,19.6,69.6,29.5,2
2015-01-10,19.0,67.7,25.9,2
2015-01-11,18.3,67.8,25.9,2
2015-01-12,19.3,69.6,24.1,2
2015-01-13,19.3,67.8,24.1,2
2015-01-14,19.6,69.1,24.1,2
2015-01-15,19.2,69.6,25.9,2
2015-01-16,19.3,67.3,24.1,2
2015-01-17,19.5,66.1,25.9,2
2015-01-18,19.7,66.7,25.9,2
2015-01-19,20.1,62.7,25.9,2
2015-01-20,18.7,74.8,25.9,2
2015-01-21,19.3,71.1,25.9,2
2015-01-22,19.5,71.1,27.7,2
2015-01-23,19.5,69.9,22.3,2
2015-01-24,19.6,71.7,22.3,2
2015-01-25,20.2,68.9,25.9,2
2015-01-26,19.9,70.9,24.1,0
2015-01-27,21.1,70.4,24.1,2
2015-01-28,21.6,63.5,24.1,0
2015-01-29,20.8,72.8,25.9,2
2015-01-30,20.3,73.3,27.7,2
2015-01-31,20.1,73.7,24.1,2
2015-02-01,20.5,73.6,31.7,2
2015-02-02,20.9,72.2,24.1,2
2015-02-03,21.0,73.2,24.1,2
2015-02-04,20.3,74.6,24.1,2
2015-02-05,19.8,78.1,25.9,2
2015-02-06,20.3,72.9,20.5,2
2015-02-07,20.6,76.4,20.5,2
2015-02-08,21.0,73.2,24.1,0
2015-02-09,21.5,70.7,20.5,0
2015-02-10,22.6,66.1,22.3,2
2015-02-11,21.0,76.3,25.9,0
2015-02-12,20.2,81.1,27.7,2
2015-02-13,20.7,72.7,22.3,2
2015-02-14,21.4,70.9,24.1,2
2015-02-15,21.3,69.0,22.3,2
2015-02-16,20.5,71.8,24.1,0
2015-02-17,20.8,69.5,25.9,2
2015-02-18,20.9,69.5,24.1,2
2015-02-19,23.2,51.5,29.5,2
2015-02-20,21.5,61.6,22.3,0
2015-02-21,20.8,72.6,29.5,0
2015-02-22,20.0,76.5,29.5,0
2015-02-23,19.5,77.4,25.9,2
2015-02-24,20.0,72.2,27.7,2
2015-02-25,19.5,67.7,25.9,2
2015-02-26,19.8,68.1,22.3,2
2015-02-27,20.7,61.2,22.3,0
2015-02-28,20.6,65.5,22.3,0
2015-03-01,19.0,75.4,27.7,2
2015-03-02,19.5,73.7,25.9,0
2015-03-03,19.5,72.0,31.7,2
2015-03-04,18.9,72.7,27.7,2
2015-03-05,18.8,72.4,24.1,2
2015-03-06,18.6,72.7,25.9,0
2015-03-07,18.5,72.2,27.7,0
2015-03-08,18.3,73.6,27.7,0
2015-03-09,18.6,74.1,25.9,0
2015-03-10,19.1,74.2,24.1,0
2015-03-11,19.8,74.5,24.1,2
2015-03-12,20.9,71.3,24.1,2
2015-03-13,20.6,72.0,20.5,2
2015-03-14,20.4,70.9,22.3,0
2015-03-15,19.8,76.9,24.1,2
2015-03-16,20.7,74.0,18.4,2
2015-03-17,20.3,80.3,22.3,2
2015-03-18,20.7,75.5,18.4,2
2015-03-19,21.4,72.4,20.5,2
2015-03-20,20.4,78.1,25.9,2
2015-03-21,22.0,69.1,20.5,2
2015-03-22,21.6,72.6,22.3,2
2015-03-23,22.4,70.4,18.4,2
2015-03-24,23.4,70.5,18.4,5
2015-03-25,20.9,85.1,20.5,5
2015-03-26,20.7,81.7,20.5,5
2015-03-27,20.2,79.1,24.1,2
2015-03-28,20.2,80.9,22.3,2
2015-03-29,19.3,78.0,31.7,2
2015-03-30,20.3,70.1,22.3,2
2015-03-31,19.3,74.0,24.1,0
2015-04-01,20.0,74.2,20.5,2
2015-04-02,19.5,72.1,24.1,0
2015-04-03,19.6,71.9,29.5,2
2015-04-04,19.4,69.0,20.5,2
2015-04-05,20.1,65.1,22.3,2
2015-04-06,18.9,71.5,20.5,2
2015-04-07,19.2,70.9,27.7,2
2015-04-08,18.4,70.5,24.1,2
2015-04-09,18.7,68.9,25.9,2
2015-04-10,19.2,67.6,20.5,2
2015-04-11,19.8,68.0,22.3,2
2015-04-12,19.6,73.3,18.4,2
2015-04-13,20.2,72.5,22.3,2
2015-04-14,19.2,74.6,24.1,2
2015-04-15,19.6,70.5,20.5,2
2015-04-16,19.1,71.3,24.8,2
2015-04-17,18.4,75.1,22.3,2
2015-04-18,19.5,69.5,18.4,2
2015-04-19,19.7,68.9,24.1,2
2015-04-20,19.2,67.2,27.7,2
2015-04-21,18.2,71.7,29.5,2
2015-04-22,18.0,71.2,24.1,2
2015-04-23,17.9,68.4,20.5,2
2015-04-24,17.7,72.2,22.3,2
2015-04-25,18.1,69.7,20.5,2
2015-04-26,17.9,69.5,24.1,2
2015-04-27,17.7,68.8,20.5,2
2015-04-28,17.6,72.4,20.5,2
2015-04-29,19.0,69.7,20.5,2
2015-04-30,18.7,69.6,20.5,2
2015-05-01,18.5,70.4,20.5,2
2015-05-02,17.9,76.1,20.5,2
2015-05-03,17.4,74.9,22.3,2
2015-05-04,16.7,77.5,24.1,2
2015-05-05,15.9,77.0,25.9,2
2015-05-06,16.8,73.7,24.1,2
2015-05-07,18.6,68.1,18.4,2
2015-05-08,17.1,77.1,20.5,2
2015-05-09,16.6,76.6,25.9,2
2015-05-10,16.8,75.2,16.6,2
2015-05-11,16.9,72.4,18.4,2
2015-05-12,17.3,69.0,18.4,2
2015-05-13,17.2,68.2,18.4,2
2015-05-14,17.4,65.6,22.3,2
2015-05-15,17.6,65.1,20.5,2
2015-05-16,16.0,72.3,20.5,0
2015-05-17,16.6,72.1,20.5,2
2015-05-18,16.3,74.7,18.4,2
2015-05-19,16.4,77.7,20.5,2
2015-05-20,17.4,70.3,29.5,2
2015-05-21,16.8,72.7,22.3,2
2015-05-22,17.0,70.1,20.5,2
2015-05-23,17.0,73.0,24.1,2
2015-05-24,16.9,73.0,20.5,2
2015-05-25,16.0,74.7,18.4,2
2015-05-26,16.8,78.4,31.7,2
2015-05-27,16.6,76.4,22.3,2
2015-05-28,15.9,76.5,22.3,2
2015-05-29,16.5,65.8,22.3,2
2015-05-30,16.2,65.1,20.5,2
2015-05-31,16.0,68.2,20.5,2
2015-06-01,15.8,68.9,22.3,2
2015-06-02,15.2,71.6,18.4,2
2015-06-03,16.3,65.2,20.5,2
2015-06-04,16.1,67.1,20.5,2
2015-06-05,16.9,62.7,14.8,2
2015-06-06,17.1,62.6,16.6,2
2015-06-07,16.5,66.7,16.6,2
2015-06-08,15.4,75.8,20.5,2
2015-06-09,16.1,74.1,18.4,2
2015-06-10,16.2,67.9,16.6,2
2015-06-11,16.1,70.8,20.5,2
2015-06-12,16.0,72.7,24.1,2
2015-06-13,15.4,71.7,24.1,1
2015-06-14,14.9,71.1,24.1,2
2015-06-15,14.6,70.5,16.6,2
2015-06-16,15.5,64.4,18.4,2
2015-06-17,15.1,67.6,35.3,2
2015-06-18,14.3,76.8,24.1,2
2015-06-19,15.5,73.8,31.7,2
2015-06-20,15.5,71.7,16.6,2
2015-06-21,16.7,69.1,20.5,2
2015-06-22,16.4,68.5,16.6,2
2015-06-23,16.5,69.8,22.3,2
2015-06-24,15.4,75.7,24.1,2
2015-06-25,15.6,76.1,38.9,2
2015-06-26,15.9,74.9,18.4,2
2015-06-27,16.0,74.9,18.4,1
2015-06-28,16.0,73.2,24.1,1
2015-06-29,15.3,70.7,16.6,2
2015-06-30,14.3,75.4,22.3,2
2015-07-01,15.2,71.9,20.5,2
2015-07-02,14.8,72.3,25.9,2
2015-07-03,14.1,73.3,24.1,2
2015-07-04,14.6,72.1,25.9,2
2015-07-05,14.8,69.7,13.0,2
2015-07-06,14.9,65.9,18.4,2
2015-07-07,14.5,73.1,29.5,2
2015-07-08,14.9,76.7,24.1,2
2015-07-09,15.4,69.8,20.5,2
2015-07-10,15.2,69.0,22.3,2
2015-07-11,15.3,71.0,14.8,2
2015-07-12,15.9,63.2,20.5,2
2015-07-13,15.7,71.7,20.5,1
2015-07-14,15.2,78.6,33.5,2
2015-07-15,13.9,71.9,25.9,2
2015-07-16,14.0,74.6,22.3,2
2015-07-17,14.7,69.8,16.6,2
2015-07-18,14.4,67.3,18.4,2
2015-07-19,14.7,67.2,22.3,2
2015-07-20,14.5,73.2,31.7,2
2015-07-21,14.8,70.9,20.5,2
2015-07-22,15.3,73.0,24.1,2
2015-07-23,14.0,80.7,22.3,2
2015-07-24,14.2,74.2,18.4,1
2015-07-25,14.3,74.5,20.5,2
2015-07-26,14.6,72.9,24.1,1
2015-07-27,14.8,70.7,25.9,2
2015-07-28,14.3,74.2,24.1,2
2015-07-29,15.8,66.6,20.5,2
2015-07-30,15.5,72.4,25.9,2
2015-07-31,14.4,77.7,27.7,2
2015-08-01,15.1,69.4,24.1,2
2015-08-02,14.1,70.8,18.4,2
2015-08-03,15.3,68.4,22.3,2
2015-08-04,14.7,70.4,22.3,2
2015-08-05,14.9,71.8,18.4,2
2015-08-06,15.3,74.9,22.3,2
2015-08-07,15.0,75.1,22.3,2
2015-08-08,16.1,69.5,31.7,5
2015-08-09,14.0,83.9,31.7,5
2015-08-10,14.5,79.4,22.3,2
2015-08-11,14.7,78.3,24.1,2
2015-08-12,14.9,73.6,27.7,2
2015-08-13,14.3,73.4,31.7,2
2015-08-14,14.7,68.1,29.5,2
2015-08-15,13.9,76.5,25.9,2
2015-08-16,14.6,72.8,29.5,2
2015-08-17,13.6,72.7,33.5,2
2015-08-18,14.2,75.8,25.9,2
2015-08-19,14.8,73.7,25.9,2
2015-08-20,13.7,80.8,24.1,2
2015-08-21,14.3,73.5,22.3,1
2015-08-22,14.4,74.7,25.9,2
2015-08-23,14.2,77.1,20.5,2
2015-08-24,15.5,72.2,24.1,2
2015-08-25,15.0,72.6,25.9,1
2015-08-26,14.2,75.7,27.7,2
2015-08-27,15.3,75.2,27.7,2
2015-08-28,15.9,74.0,20.5,2
2015-08-29,15.8,75.4,20.5,2
2015-08-30,16.2,70.5,22.3,2
2015-08-31,16.1,70.0,20.5,2
2015-09-01,16.2,73.8,24.1,2
2015-09-02,16.3,73.4,22.3,2
2015-09-03,16.5,71.8,22.3,2
2015-09-04,16.4,70.5,22.3,2
2015-09-05,16.5,71.2,24.1,2
2015-09-06,16.1,72.8,22.3,2
