idx,headline,date,snippet,source
0,"Rio to Begin Lithium Output in California, Eyes U.S. No.1 Slot",21/10/2019,"The world’s second-largest producer of lithium plans to invest $1.33 billion to boost output, undeterred by the short-term demand weakness and oversupplied market that have sent prices of the raw material tumbling to a two-year low.",bloomberg
1,U.S. Challenge to China Lithium Dominance Hobbled by Price Slump,30/09/2019,"Materials stocks are taking full advantage of September’s unwinding of momentum trades as the year’s previous best performers are seeing outsized selling pressure, while the worst performers are enjoying a nice bump.",bloomberg
2,Lithium Miner CEO Sees Shakeout in Race to Supply Electric Cars,12/09/2019,Some estimate that the continent’s largest reserves of lithium⁠—the metal used for batteries⁠—are in Serbia. The hard part might be getting it out.,bloomberg
3,Lithium Giant Saying Demand to ‘Explode’ Makes $1.3 Billion Bet,10/09/2019,Chemist Arlene Blum battles a new form of an old foe.,bloomberg
4,Here Is a Popular Momentum Trade Unwinding This Month,10/09/2019,Metal prices plunge 30% as six new mines open in Australia.,bloomberg
5,There May Be a Fortune Buried in a Forgotten Corner of Europe,29/08/2019,Mining lithium and copper to supply the battery boom and fight climate change is wrecking a fragile ecosystem in Chile.,bloomberg
6,Arlene Blum’s Never-Ending Battle Against Bromine,28/08/2019,"Rather than dig out minerals and see others get rich with them, Chile and Australia want bigger profits keeping production at home.",bloomberg
7,The Lithium Mine Buildup Is Outpacing the Electric-Car Boom,28/07/2019,"Lithium export prices from the world’s second-largest producing nation fell in the first quarter, marking the first decline for the mineral that is key to electric vehicle batteries since at least 2014.",bloomberg
8,Saving the Planet With Electric Cars Means Strangling This Desert,11/06/2019,"Booming demand for electric vehicles and insufficient investment in mines could result in a global shortage of minerals needed to manufacture rechargeable batteries in a few years’ time, a Tesla Inc. representative told U.S. officials and mining executives in a meeting in Washington.",bloomberg
9,"Lithium Miners Australia, Chile See Riches as EV Battery Makers",03/06/2019,The U.S. push to challenge China’s dominance in the production and sale of electric vehicles has at least one weak link: Most of the raw materials needed to make the batteries are dug elsewhere.,bloomberg
10,Lithium Prices From Mining Giant Decline Even as Demand Soars,07/05/2019,The impact from a Belgian materials company’s profit warning has now spread from the European car market to the Western hemisphere.,bloomberg
11,Tesla Manager Sees Risk of Battery-Minerals Shortage in Future,02/05/2019,"After hitting heavy resistance last year in its search to raise capital, junior miner Bacanora Lithium Plc believes the time is right to resume its hunt.",bloomberg
12,"U.S. Lags, China Expands in Race for Electric Vehicle Dominance",29/04/2019,"The world’s largest producer of lithium calmed investor fears of oversupply and slower Chinese demand for the mineral used to power electric vehicles, sending shares surging across the industry.",bloomberg
