,headline,date,snippet,source,headline_sentiment,snippet_sentiment
0,Albemarle Drops Most on S&P 500 as Cost of Finding Lithium Rises,08/08/2017,"Lithium demand is surging, boosting shares of the companies linked to mining and manufacturing the light metal used in electric-car batteries.",bloom,0.0|1.0|0.0|0.0,0.062|0.747|0.191|0.4767
1,BASF's Prudence Pays Off With Reasonable Albemarle Deal,17/06/2016,"Albemarle Corp. is exploring the potential sale of a surface-treatment division, according to people familiar with the matter, as it looks for ways to help pay down debt from its $6 billion acquisition of Rockwood Holdings Inc.",bloom,0.0|1.0|0.0|0.0,0.098|0.806|0.096|-0.0258
2,BASF Joins Chemical Deal Rush in $3.2 Billion Albemarle Unit Bid,17/06/2016,There's good news and bad news for the hedge fund manager.,bloom,0.0|1.0|0.0|0.0,0.227|0.584|0.188|-0.1531
3,Albemarle Said to Explore Sale of $3 Billion Treatment Business,13/05/2016,The race to supply lithium to the rechargeable batteries used in cell phones and electric cars is taking Soc. Quimica & Minera de Chile SA over the Andes as Argentina’s new government seeks to open up its reserves.,bloom,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
4,Albemarle Drops Most on S&P 500 as Cost of Finding Lithium Rises,08/08/2017,"Lithium demand is surging, boosting shares of the companies linked to mining and manufacturing the light metal used in electric-car batteries.",ft,0.0|1.0|0.0|0.0,0.062|0.747|0.191|0.4767
5,BASF's Prudence Pays Off With Reasonable Albemarle Deal,17/06/2016,"Albemarle Corp. is exploring the potential sale of a surface-treatment division, according to people familiar with the matter, as it looks for ways to help pay down debt from its $6 billion acquisition of Rockwood Holdings Inc.",ft,0.0|1.0|0.0|0.0,0.098|0.806|0.096|-0.0258
6,BASF Joins Chemical Deal Rush in $3.2 Billion Albemarle Unit Bid,17/06/2016,There's good news and bad news for the hedge fund manager.,ft,0.0|1.0|0.0|0.0,0.227|0.584|0.188|-0.1531
7,Albemarle Said to Explore Sale of $3 Billion Treatment Business,13/05/2016,The race to supply lithium to the rechargeable batteries used in cell phones and electric cars is taking Soc. Quimica & Minera de Chile SA over the Andes as Argentina’s new government seeks to open up its reserves.,ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
8,Shares of lithium producers Albemarle and SQM rattled by gloomy forecast,27/02/2018,"Shares in US-listed Albemarle fell as much as 10 per cent, while those of rival SQM dropped 8 per cent after analysts at Morgan Stanley cautioned that the lithium price could plunge 45 per cent over the next four years.",ft,0.125|0.703|0.172|0.1531,0.0|0.945|0.055|0.296
9,Albemarle Drops Most on S&P 500 as Cost of Finding Lithium Rises,08/08/2017,"Lithium demand is surging, boosting shares of the companies linked to mining and manufacturing the light metal used in electric-car batteries.",reuters,0.0|1.0|0.0|0.0,0.062|0.747|0.191|0.4767
10,BASF's Prudence Pays Off With Reasonable Albemarle Deal,17/06/2016,"Albemarle Corp. is exploring the potential sale of a surface-treatment division, according to people familiar with the matter, as it looks for ways to help pay down debt from its $6 billion acquisition of Rockwood Holdings Inc.",reuters,0.0|1.0|0.0|0.0,0.098|0.806|0.096|-0.0258
11,BASF Joins Chemical Deal Rush in $3.2 Billion Albemarle Unit Bid,17/06/2016,There's good news and bad news for the hedge fund manager.,reuters,0.0|1.0|0.0|0.0,0.227|0.584|0.188|-0.1531
12,Albemarle Said to Explore Sale of $3 Billion Treatment Business,13/05/2016,The race to supply lithium to the rechargeable batteries used in cell phones and electric cars is taking Soc. Quimica & Minera de Chile SA over the Andes as Argentina’s new government seeks to open up its reserves.,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
13,Shares of lithium producers Albemarle and SQM rattled by gloomy forecast,27/02/2018,"Shares in US-listed Albemarle fell as much as 10 per cent, while those of rival SQM dropped 8 per cent after analysts at Morgan Stanley cautioned that the lithium price could plunge 45 per cent over the next four years.",reuters,0.125|0.703|0.172|0.1531,0.0|0.945|0.055|0.296
