,headline,date,snippet,source
0,RPT-Wesfarmers' soft bid for Kidman spotlights lithium's financing issues,05/05/2019,makerSociedad Quimica y Minera de Chile S.A. (SQM).But even,reuters
1,Wesfarmers' soft bid for Kidman spotlights lithium's financing issues,03/05/2019,with battery chemicals maker Sociedad Quimica y Minera de Chile S.A. (SQM,reuters
2,Wesfarmers bets on electric cars with $544 million bid for Australian lithium miner Kidman,02/05/2019,"is developing Mt Holland in partnerhsip with Chile's Sociedad Quimica y Minera de Chile S.A. (SQM), said the deal has the potential",reuters
3,EMERGING MARKETS-Latam stocks post biggest weekly loss of 2019; FX dips,01/03/2019,"pressured by lithium producerSociedad Quimica y Minera de Chile, which-run oil firm Pemex. Chile's peso fell for a third straight day",reuters
4,"EMERGING MARKETS-Latam FX dips, Brazil's real soft as traders trim positions",01/03/2019,"Sociedad Quimica y Minera de Chile, which reported a disappointing-owned oil company Pemex. Chile's peso slipped 0.1 percent, weighed",reuters
5,"REFILE-EMERGING MARKETS-Latam FX softer, real drops on caution about pension reform",21/02/2019,", pushed up by a 2.4 percent risein lithium giant Sociedad Quimica y Minera de Chile's preferredshares. That performance came as fellow",reuters
6,PRESS DIGEST- Canada - May 18,18/05/2018,"producer Nutrien Ltd sold a 24 per centstake in Sociedad Quimica y Minera de Chile SA for$4.07 billion, at a healthy premium. http://bit.ly",reuters
7,Australia's Kidman Resources to supply lithium for Tesla cars,16/05/2018,Sociedad Quimica y Minera de Chile (SQM).Lithium is a key ingredient,reuters
8,"EMERGING MARKETS-Chilean equities fall on lithium price worries, forestry",26/02/2018,"in the country's lithium and forestry sectors. Shares in Sociedad Quimica y Minera de Chile SA (SQM), which has attracted investor interest due",reuters
9,BRIEF-Agrium and PotashCorp receive regulatory approval in China,07/11/2017,"PotashCorp'sholdings in Arab Potash Co, Sociedad Quimica Y Minera De Chilein 18 mnths from closingSource text for Eikon:Further company coverage:",reuters
10,BRIEF-ARENA MINERALS EXERCISES ATACAMA OPTION AGREEMENT WITH SOCIEDAD QUIMICA,01/11/2017,"atacama option agreementwithsociedad quimica y minera de chile on two projects* japan oil gas and mineral national corporation, teck chileltd",reuters
11,"Chile left-wing candidates could form alliance, threatening market rally",26/09/2017,", respectively. Lithium miner Sociedad Quimica y Minera de Chile SA has risen 77 Central de Chile. ""A Pinera victory depends on division within",reuters
12,BRIEF-SQM reports Q2 net income of $0.38 per ADR,23/08/2017,Aug 23 (Reuters) - Sociedad Quimica y Minera de Chile S.A.* Q2 net income of $0.38 per ADR* Sociedad Química y Minera de Chile S.A,reuters
13,"GLOBAL MARKETS-North Korea nerves push stocks down for third day, lift gold",10/08/2017,"Sociedad Quimica y Minera de Chile, one of the world’slargest producer",reuters
14,BRIEF-PotashCorp Q2 earnings per share $0.24,27/07/2017,"Chemicals Ltd, Sociedad Quimica Y Minera De Chile S.Acontributed $51",reuters
15,BRIEF-SQM qtrly earnings per ADR $0.39,17/05/2017,May 17 (Reuters) - Sociedad Quimica Y Minera De Chile Sa:* Q1 2017,reuters
16,Chile's SQM paying $30 mln to resolve U.S. corruption cases,13/01/2017,company Sociedad Quimica y Minera de Chile SA (SQM) has agreed to pay,reuters
17,BRIEF-SQM Q3 reporting net income of $0.21 per ADR,23/11/2016,Nov 23 (Reuters) - Sociedad Quimica Y Minera De Chile Sa* SQM,reuters
18,BRIEF-Sociedad Quimica Y Minera De Chile SA reports Q2 net income $0.32 per ADR,24/08/2016,Aug 24 (Reuters) - Sociedad Quimica Y Minera De Chile SA* SQM,reuters
19,BRIEF-SQM says qtrly EPS $0.22 per ADR,18/05/2016,May 18 (Reuters) - Sociedad Quimica Y Minera De Chile Sa* Says qtrly,reuters
20,"What to Watch in the Day Ahead - Tuesday, Mar. 3",02/03/2015,that the bank operates in. Sociedad Quimica y Minera de Chile,reuters
