,headline,date,snippet,source
0,Chilean Lithium Miner Seen Profiting From `Explosive' EV Growth,09/10/2018,"SQM’s plans to increase lithium production capacity by almost 50% have proved more challenging than expected, CEO Patricio de Solminihac said in a statement as the company released 3Q earnings.",bloom
1,Lithium Giant SQM's Challenging Expansion to Hit 4Q Sales: CEO,22/11/2018,"Even the most experienced lithium producers struggle when it comes to ramping up supply, suggesting that many projects being touted by small companies will never be built, according to Banco Santander.",bloom
2,Tianqi Lithium Confirms Purchase Nutrien's SQM Stake for $65/Shr,17/05/2018,"Rio Tinto Group has dropped out of the bidding for a stake in Soc. Quimica & Minera de Chile SA, one of the world’s top lithium producers, as it pursues other ways to capitalize on the electric-car boom, people familiar with the matter said.",bloom
3,Lithium Dispute in Chilean Desert Hits Battery Supplier’s Bonds,22/06/2015,"Seven logistics properties in France, Germany, Netherlands and Spain sold to CBRE Global Investment Partners, Warburg-HIH says in statement today. * Sale of bundled properties from Warburg-HIH and TIAA CREF investor funds was managed by TH Real Estate * Rental space of 600,000 sqm",bloom
4,Lithium Dispute in Chilean Desert Hits Battery Supplier’s Bonds,22/06/2015,"Seven logistics properties in France, Germany, Netherlands and Spain sold to CBRE Global Investment Partners, Warburg-HIH says in statement today. * Sale of bundled properties from Warburg-HIH and TIAA CREF investor funds was managed by TH Real Estate * Rental space of 600,000 sqm",bloom
5,"TIAA-CREF, Warburg-HIH Sell EU350m European Logistics Portfolio",29/06/2015,"Rental vacancies in Australian mining towns are climbing faster than the national average, highlighting the risk of a “severe correction” as the resources industry slows, according to SQM Research Pty.",bloom
6,Julio Ponce Resigns From Boards of Chile’s SQM Holding Cos.,09/09/2015,Electric-car demand and tight supplies will drive prices higher.,bloom
7,Israel Chemicals Says Chile Miner SQM a ‘Good Fit’,20/03/2015,"Rockwood Holdings Inc., the world’s largest producer of lithium products, may become a takeover target after agreeing to sell almost $4 billion of businesses this year.",bloom
8,Two Shots Fired May Break This Rally Wide Open: Taking Stock,04/03/2019,"Delays at SQM’s expansion project in Chile are “problematic” for a market that’s already tight, Livent CEO Paul Graves says.",bloom
9,Global Lithium Supply May See `Tightness' on SQM Delay: Livent,06/11/2018,Mining lithium and copper to supply the battery boom and fight climate change is wrecking a fragile ecosystem in Chile.,bloom
10,High Risk/High Reward Lithium Bet Drives Argentina Mining Surge,04/12/2018,"China’s Tianqi Lithium Corp. cleared a major hurdle in its bid to purchase a $4.1 billion stake in Chile’s SQM, the world’s second-largest producer of the mineral essential to manufacture electric vehicle batteries.",bloom
11,Tianqi Clears Legal Hurdle in Purchase of $4.1 Billion SQM Stake,25/10/2018,Renaissance Technologies LLC boosted its stake in lithium giant Soc. Quimica & Minera de Chile SA before the Santiago-based company was cleared by the government to crank up output.,bloom
12,Renaissance Technologies Increases Stake in Lithium Producer SQM,13/02/2018,Chilean stocks have risen to record highs on anticipation that former President Sebastian Pinera will return to power and usher in a golden period of growth and prosperity. He has his work cut out for him.,bloom
13,SQM Beats Profit Estimates as Cutbacks Blunt Fertilizer Slowdown,25/08/2015,"The Chilean company makes lithium for rechargeable batteries, but most of its profit comes from potassium products and fertilizers.",bloom
14,China’s Tianqi Lithium Proposes Deal for Stake in Rival SQM,09/09/2016,The race to supply lithium to the rechargeable batteries used in cell phones and electric cars is taking Soc. Quimica & Minera de Chile SA over the Andes as Argentina’s new government seeks to open up its reserves.,bloom
15,Lithium Boom Takes Chile's SQM Across Andes in Argentine Venture,28/03/2016,"Billionaire Lang Walker, founder of one of Australia’s largest closely held developers, said that home prices in Sydney and Melbourne have climbed too much, and he is turning his focus to his investment in Malaysia.",bloom
16,SQM’s Ponce Steps Down as Chairman; Potash Elects Directors,22/04/2015,Potash Corp. of Saskatchewan Inc. has the best chance in seven years of taking over Soc. Quimica & Minera de Chile SA as a stock slump and trading probe threaten to loosen the chairman’s grip on the fertilizer maker.,bloom
17,Time to Block the Lithium Cartel,18/05/2018,"The Mining Warden Court for Perth has recommended that Western Australia’s mining ministry should not approve a request for exemptions on the Mt Holland lithium project, SQM says in statement.",bloom
18,Australia Court Recommends No Exemptions to Lithium Project: SQM,12/09/2018,"Chile’s political and business elites are breathing a sigh of relief after final rulings on major corruption cases. For some, though, the authorities have merely papered over the problem.",bloom
19,Lithium Giant SQM Surges as Shareholder Puts Stake Up for Sale,18/12/2015,"Soc. Quimica y Minera de Chile SA, the country’s largest fertilizer producer, fell the most in five years after Russia’s OAO Uralkali said it would abandon a cartel that underpinned prices for a principal ingredient.",bloom
20,Chile Opening New Flank in Battle With Chemicals Giant SQM,07/06/2016,"Howard Kindler, 57, dipped into his pension to turn property investor, spending a third of his retirement savings and taking out a mortgage to buy a Melbourne apartment.",bloom
21,Tianqi’s Search for Lithium Sources Sends Chile’s SQM Soaring,26/09/2016,"Soc. Quimica y Minera de Chile SA, the country’s largest fertilizer producer, fell to the lowest in five years after the company reported a bigger-than-expected drop in profit as potash prices slumped.",bloom
22,SQM CEO Ousted After Board Clash in Chile Probe; Shares Fall,17/03/2015,Sociedad Quimica & Minera de Chile rose the most in more than three months today after China’s Tianqi Lithium Industries Inc. said it had acquired a stake in the world’s second-largest producer of lithium.,bloom
23,Tianqi’s Search for Lithium Sources Sends Chile’s SQM Soaring,26/09/2016,"Howard Kindler, 57, dipped into his pension to turn property investor, spending a third of his retirement savings and taking out a mortgage to buy a Melbourne apartment.",bloom
24,Lithium Mogul Opens Door to SQM Exit as Holdco Hires Adviser,13/11/2015,Chile’s benchmark IPSA posted its biggest monthly loss among the world’s major stock indexes amid tax concern and a tumble in the shares of fertilizer maker Soc. Quimica y Minera de Chile SA.,bloom
0,Chilean Lithium Miner Seen Profiting From `Explosive' EV Growth,09/10/2018,"SQM’s plans to increase lithium production capacity by almost 50% have proved more challenging than expected, CEO Patricio de Solminihac said in a statement as the company released 3Q earnings.",ft
1,Lithium Giant SQM's Challenging Expansion to Hit 4Q Sales: CEO,22/11/2018,"Even the most experienced lithium producers struggle when it comes to ramping up supply, suggesting that many projects being touted by small companies will never be built, according to Banco Santander.",ft
2,Tianqi Lithium Confirms Purchase Nutrien's SQM Stake for $65/Shr,17/05/2018,"Rio Tinto Group has dropped out of the bidding for a stake in Soc. Quimica & Minera de Chile SA, one of the world’s top lithium producers, as it pursues other ways to capitalize on the electric-car boom, people familiar with the matter said.",ft
3,Lithium Dispute in Chilean Desert Hits Battery Supplier’s Bonds,22/06/2015,"Seven logistics properties in France, Germany, Netherlands and Spain sold to CBRE Global Investment Partners, Warburg-HIH says in statement today. * Sale of bundled properties from Warburg-HIH and TIAA CREF investor funds was managed by TH Real Estate * Rental space of 600,000 sqm",ft
4,Lithium Dispute in Chilean Desert Hits Battery Supplier’s Bonds,22/06/2015,"Seven logistics properties in France, Germany, Netherlands and Spain sold to CBRE Global Investment Partners, Warburg-HIH says in statement today. * Sale of bundled properties from Warburg-HIH and TIAA CREF investor funds was managed by TH Real Estate * Rental space of 600,000 sqm",ft
5,"TIAA-CREF, Warburg-HIH Sell EU350m European Logistics Portfolio",29/06/2015,"Rental vacancies in Australian mining towns are climbing faster than the national average, highlighting the risk of a “severe correction” as the resources industry slows, according to SQM Research Pty.",ft
6,Julio Ponce Resigns From Boards of Chile’s SQM Holding Cos.,09/09/2015,Electric-car demand and tight supplies will drive prices higher.,ft
7,Israel Chemicals Says Chile Miner SQM a ‘Good Fit’,20/03/2015,"Rockwood Holdings Inc., the world’s largest producer of lithium products, may become a takeover target after agreeing to sell almost $4 billion of businesses this year.",ft
8,Two Shots Fired May Break This Rally Wide Open: Taking Stock,04/03/2019,"Delays at SQM’s expansion project in Chile are “problematic” for a market that’s already tight, Livent CEO Paul Graves says.",ft
9,Global Lithium Supply May See `Tightness' on SQM Delay: Livent,06/11/2018,Mining lithium and copper to supply the battery boom and fight climate change is wrecking a fragile ecosystem in Chile.,ft
10,High Risk/High Reward Lithium Bet Drives Argentina Mining Surge,04/12/2018,"China’s Tianqi Lithium Corp. cleared a major hurdle in its bid to purchase a $4.1 billion stake in Chile’s SQM, the world’s second-largest producer of the mineral essential to manufacture electric vehicle batteries.",ft
11,Tianqi Clears Legal Hurdle in Purchase of $4.1 Billion SQM Stake,25/10/2018,Renaissance Technologies LLC boosted its stake in lithium giant Soc. Quimica & Minera de Chile SA before the Santiago-based company was cleared by the government to crank up output.,ft
12,Renaissance Technologies Increases Stake in Lithium Producer SQM,13/02/2018,Chilean stocks have risen to record highs on anticipation that former President Sebastian Pinera will return to power and usher in a golden period of growth and prosperity. He has his work cut out for him.,ft
13,SQM Beats Profit Estimates as Cutbacks Blunt Fertilizer Slowdown,25/08/2015,"The Chilean company makes lithium for rechargeable batteries, but most of its profit comes from potassium products and fertilizers.",ft
14,China’s Tianqi Lithium Proposes Deal for Stake in Rival SQM,09/09/2016,The race to supply lithium to the rechargeable batteries used in cell phones and electric cars is taking Soc. Quimica & Minera de Chile SA over the Andes as Argentina’s new government seeks to open up its reserves.,ft
15,Lithium Boom Takes Chile's SQM Across Andes in Argentine Venture,28/03/2016,"Billionaire Lang Walker, founder of one of Australia’s largest closely held developers, said that home prices in Sydney and Melbourne have climbed too much, and he is turning his focus to his investment in Malaysia.",ft
16,SQM’s Ponce Steps Down as Chairman; Potash Elects Directors,22/04/2015,Potash Corp. of Saskatchewan Inc. has the best chance in seven years of taking over Soc. Quimica & Minera de Chile SA as a stock slump and trading probe threaten to loosen the chairman’s grip on the fertilizer maker.,ft
17,Time to Block the Lithium Cartel,18/05/2018,"The Mining Warden Court for Perth has recommended that Western Australia’s mining ministry should not approve a request for exemptions on the Mt Holland lithium project, SQM says in statement.",ft
