idx,headline,date,snippet,source
0,Shares of lithium producers Albemarle and SQM rattled by gloomy forecast,27/02/2018,"Shares in US-listed Albemarle fell as much as 10 per cent, while those of rival SQM dropped 8 per cent after analysts at Morgan Stanley cautioned that the lithium price could plunge 45 per cent over the next four years.",ft
1,Speed read,23/05/2019,Lithium overload Chinese companies disrupted a market controlled by Chile’s SQM and Albemarle and FMC of the US,ft
2,Groups vie for Chile lithium project tender,17/04/2017,"The winning companies will be guaranteed 25 per cent of US producer Albemarle’s lithium production at the lowest cost available in the market, according to Eduardo Bitran, head of the country’s development agency Corfo, which allocates permits for production of lithium.",ft
3,Supply challenge energises lithium trade,06/01/2017,"The average price of lithium has jumped threefold since 2014 and gained 60 per cent last year, according to an index from London-based Benchmark Mineral Intelligence. Its rise has boosted the share prices of Albemarle and other large producers and smaller players such as Galaxy Resources.",ft
4,Sweet success,06/05/2017,"Elected to the Royal Society in 1685, two years later Sloane became a fellow of the Royal College of Physicians and voyaged to the Caribbean as physician to the Duke of Albemarle, the incoming governor of Jamaica.",ft
5,Tesla in stand-off over lithium supply for factory,16/12/2015,"Elon Musk, Tesla’s founder, has said the company will seek to use lithium from Nevada. The US’s only operation producing the metal — Albemarle’s Silver Peak mine — is based there.",ft
6,Meet Celia Pym — knitwear’s own ‘damage detective’,24/02/2018,The submitted piece? An Albemarle “Norwegian Sweater” (pictured left) that she picked up from Annemor Sundbo’s Ragpile collection in Norway.,ft
7,Tracking Tesla Lithium groups follow electric-car maker’s stops and starts,10/04/2018,"That was enough, say industry analysts, to cast a shadow over companies including Albemarle, the largest producer of the electric-car battery raw material, and Nemaska Lithium, which is developing a mining project in Canada.",ft
8,FMC eyes next-generation batteries in lithium producer Livent’s New York IPO,29/08/2018,"Shares in the world’s largest producer, Albemarle, have dropped 24 per cent year to date while Chile’s SQM is off by 27 per cent.",ft
9,Volta joins battle for battery breakthrough,11/01/2018,"Backed by Albemarle, one of the world’s largest lithium producers, and US utility Exelon, the fund’s ambition is to invest in those companies whose battery technologies will triumph in the global battle to dominate electric cars and energy storage.",ft
10,Buffett bets on lithium with extraction deal,21/01/2019,"producers in Chile and Australia. The only current US supply comes from the Silver Peak mine in Nevada, run by Albemarle.",ft
11,Powering the battery supply chain,23/05/2019,"After that the market was dominated by a cosy oligopoly known as the Big Three: SQM of Chile, which was controlled by the son-in-law of the country’s former dictator Augusto Pinochet, and US producers Albemarle and FMC. In 2015, Albemarle acquired rival US producer Rockwood and last year FMC...",ft
12,Miners plug into electric car story to win green investors,30/06/2017,"That has thrust miners such as Rio and Glencore, and lithium miners such as Albemarle on to investors’ radars. But Glencore is also a big miner of thermal coal, which most sustainable investors eschew. Rio is divesting from coal but still mines uranium, which is used in nuclear power.",ft
13,Rio Tinto hails ‘eureka moment’ after large lithium discovery in California,23/10/2019,"The only lithium produced in the US is extracted from brine in Silver Peak, Nevada, in a facility owned by producer Albemarle. But the company does not disclose how much is produced and analysts said it was not substantial.",ft
14,Trio of lithium IPOs will fuel debate on electric vehicles,30/08/2018,"The largest producers in Chile — Albemarle and SQM — have pledged to expand supply while a host of new mines are being developed, spanning Canada to Australia.",ft
15,Tianqi Lithium buys into Chile’s SQM,18/05/2018,"Tianqi already owns a 51 per cent stake in the Greenbushes mine in Australia, with US lithium producer Albemarle owning the rest. It also owns lithium assets in Sichuan and Tibet.",ft
16,BlackRock bets big on lithium’s electric-car future,16/09/2017,"Lithium production is currently dominated by four large players, Chile’s SQM, FMC, Albemarle and Tianqi Lithium. But a host of smaller companies are racing to bring supply to the market and get their material approved for use in batteries.",ft
17,Short View,18/01/2018,"The Solactive Global Lithium index not only has lithium makers such as US listed Albemarle and FMC Corp, it also contains car-makers Tesla and BYD.",ft
18,Evonik eyes takeover bid for Clariant,27/03/2015,acquisition of speciality chemical maker Taminco for $1.8bn. That followed Albemarle’s $6.2bn takeover of lithium specialist Rockwood.,ft
19,Europe’s big batteries push promises relief at last for investors,25/09/2019,"A strong European electric car market would also be a relief for investors, following falls in share prices for almost all companies involved in the battery supply chain this year — from battery materials producer Umicore, to cobalt miners such as Glencore, and lithium producers such as Albemarle.",ft
20,China’s ambitious investment push into Chile reflects shift in region’s political winds,26/02/2019,"It also required Tianqi to tell regulators about future lithium deals struck with SQM or Albemarle, its main rival, a sign of scepticism about the influence wielded by Chinese companies in critical industries.",ft
21,Lithium faces $5bn test as supplier stake sale electrifies buyer interest,17/02/2018,"Sociedad Química y Minera de Chile (SQM) accounts for more than 20 per cent of the world’s lithium supply, making it one of five companies that dominate the global market alongside China’s Ganfeng, Tianqi Lithium, FMC and Albemarle.",ft
22,Lithium bottlenecks threaten to fuel supercycle,09/06/2017,"The growing anxiety about supply comes as the production of lithium remains dominated by a handful of companies: Albemarle, Sociedad Química y Minera de Chile, and Chinese producers Tianqi Lithium and Ganfeng Lithium, which produce from Australia.",ft
23,Obama leaves a case of environmental whiplash for carmakers and Trump,10/12/2016,"One industry is quite happy with the climate-policy-based electric vehicle tilt: lithium mining and processing. Shares of Albemarle Corporation, which supplies 30 to 35 per cent of the raw material for lithium batteries, have more than doubled over the past year.",ft
24,Ready to roll,05/11/2016,"His favourite project is in the uplands of Albemarle County in the Piedmont region, between the James river and the Blue Ridge mountains.",ft
25,Batteries power Tianqi’s quest for lithium producer,29/09/2016,"Tianqi already produces lithium from the Greenbushes lithium mine in Australia, the other big source of lithium outside South America, in a joint venture with US producer Albemarle. This month, it announced plans to invest $300m in a lithium conversion facility in Australia.",ft
26,Investors grapple with the great resource shift,18/08/2016,"His fund has holdings in lithium miners Albemarle and FMC, battery material supplier Umicore, and carbon fibre maker Hexcel.",ft
27,Chile’s buried treasure,09/07/2016,"Almost all of the world’s lithium comes from just four countries — Chile, Australia, Argentina and China — while just four companies control most of the supply: Sociedad Química y Minera de Chile (SQM), a fertiliser producer that began mining lithium in the 1990s; two US producers, Albemarle and...",ft
