idx,headline,date,snippet,source
0,Tesla locked in talks with Chile’s SQM over lithium investment,30/01/2018,"Tesla is in talks with Chile’s largest lithium producer SQM about investing in supplies of the battery material, as it ramps up production of its first mass-market electric car.",ft
1,Tianqi readies HK listing ahead of SQM deal,21/08/2018,"China’s biggest producer of lithium, the battery raw material, has chosen Morgan Stanley and CLSA for a listing in Hong Kong to fund its $4.07bn purchase of a stake in Chile’s SQM, according to a prospectus.",ft
2,Tianqi Lithium buys into Chile’s SQM,18/05/2018,"Shenzhen-listed Tianqi paid a 12 per cent premium for the SQM shares held by Canada’s Nutrien, which was required to sell as part of the merger between PotashCorp and Agrium that created it.",ft
3,Batteries power Tianqi’s quest for lithium producer,29/09/2016,Takeover bid for SQM signals China’s ambition to take lead in the electric car supply chain,ft
4,Lithium faces $5bn test as supplier stake sale electrifies buyer interest,17/02/2018,"When Canadian fertiliser company PotashCorp acquired shares in Chile’s SQM almost 20 years ago, the latter’s lithium business appeared an afterthought.",ft
5,Shares of lithium producers Albemarle and SQM rattled by gloomy forecast,27/02/2018,"Shares in US-listed Albemarle fell as much as 10 per cent, while those of rival SQM dropped 8 per cent after analysts at Morgan Stanley cautioned that the lithium price could plunge 45 per cent over the next four years.",ft
6,Speed read,23/05/2019,Lithium overload Chinese companies disrupted a market controlled by Chile’s SQM and Albemarle and FMC of the US,ft
7,Companies / Sectors / People,29/08/2018,"Companies CCCapital....................................................13GlaxoSmithKline.........................................7Ryanair...........................................................12Automobiles......................................4,17,18Barry,Corie.................................................12AT&T...............................................................11CITS...................................................................2Glencore..................................................14,18SQM.................................................................17Banks...............................................9,10,12,17Bazan,Rodrigo..........................................12 AdaroEnergy............................................14Citigroup........................................................11GoldmanSachs...................................14,17SaudiAramco..............................................9BasicResources.................................14,18Beaven,Peter............................................14Albemarle.....................................................17ConstellationHealthcareTech’s....13Google...................................................1,14,17Shell..................................................................11Construction...............................................10Browne,Thom...........................................12",ft
8,Sinochem chases $4bn lithium stake,23/10/2017,"Sinochem, China’s state chemical group, is among bidders for a $4bn stake in Chile’s SQM, one of the world’s largest producers of lithium, a key component in electric car batteries.",ft
9,Chile’s buried treasure,09/07/2016,"Almost all of the world’s lithium comes from just four countries — Chile, Australia, Argentina and China — while just four companies control most of the supply: Sociedad Química y Minera de Chile (SQM), a fertiliser producer that began mining lithium in the 1990s; two US producers, Albemarle and...",ft
10,CHILE’S BURIED TREASURE,09/07/2016,"Almost all of the world’s lithium comes from just four countries – Chile, Australia, Argentina and China – while just four companies control most of the world’s supply: Sociedad Química y Minera de Chile (SQM), a fertiliser producer that began mining lithium in the 1990s; two US producers, Albemarle...",ft
11,Companies / Sectors / People,27/08/2019,"AbbVie............................................................11EazyDiner.....................................................14MediaforEurope....................................12S&PGlobal...................................................12WandaSports.............................................11Telecoms................................................10,12Alibaba......................................................11,14 Engie...............................................................14 Mediaset........................................................12 SQM..................................................................11WhatsApp....................................................10Travel&Leisure...........................11,12,14 Allergan..........................................................11 Equinor..........................................................14 Megvii..............................................................11 SegaSammy...............................................11 WoodMackenzie......................................12Utilities....................................................10,14Amazon..........................................................12 Facebook......................................................10 Meituan-Dianping...................................14 SenseTime....................................................11 WuInternational........................................4 People",ft
12,Powering the battery supply chain,23/05/2019,"After that the market was dominated by a cosy oligopoly known as the Big Three: SQM of Chile, which was controlled by the son-in-law of the country’s former dictator Augusto Pinochet, and US producers Albemarle and FMC.",ft
13,Companies / Sectors / People,30/08/2018,"Aldi...................................................................18DeutscheBank...........................................11Investindustrial.........................................12 RoyalMail....................................................18 YumBrands................................................13 Bezos,Jeff.....................................................9Alibaba......................................................11,13Diageo............................................................10InvestmentDar.........................................12 SQM.................................................................17 Sectors Cheung,Phyllis.........................................13Alphabet...................................................9,18Dick’sSportingGoods....................13,18JapanTobacco............................................3 Samsung.......................................................14 Automobiles....................................10,12,18Cook,Tim.....................................................10",ft
14,Companies / Sectors / People,26/02/2018,"Anbang.................................................8,13,14DalianWanda..............................................8MagicLeap................................................16SIXGroup.....................................................16 WaldorfAstoria........................................14Carlin,John.................................................15Apple...........................................................2,16DeltaAirLines............................................2McKinsey....................................................1,13SQM.................................................................15 Wyndham.......................................................2 Egan,Christopher...................................16Autonomy....................................................16DongfengMotorGroup.......................15MetLife.............................................................2Siemens............................................................1 Sectors Einhorn,David...........................................13",ft
15,China’s BYD in talks over Chile lithium supply,07/04/2017,"Sociedad Química y Minera de Chile (SQM) and US-based Albemarle are two of the largest producers in Chile, and Codelco, the state-owned copper company, has been looking at developing deposits.",ft
