,headline,date,snippet,source
0,Lithium producers hit by first big downturn of electric vehicle era,13/11/2019,"Corp , Tianqi Lithium Corp <002466.SZ> and others",reuters
1,"Ganfeng Lithium third-quarter profits crash on lower prices, fair value loss",28/10/2019,By Tom DalyBEIJING (Reuters) - China's Ganfeng Lithium <002466.SZ002466.SZ> last week reported its first net loss in 5-1/2 years,reuters
2,Tianqi Lithium in supply deal with Sweden's Northvolt,24/09/2019,BEIJING (Reuters) - China's Tianqi Lithium Corp <002466.SZ,reuters
3,Slump in lithium prices hammers profits at China's Ganfeng,28/08/2019,Ganfeng's rival Tianqi Lithium <002466.SZ> reported an 85% plunge,reuters
4,Tesla in advanced talks with LG Chem on battery supply in China: source,23/08/2019,agreements with China's Huayou <603799.SS> and Tianqi <002466.SZ,reuters
5,Sweden seeks lithium tie-ups in South America amid 'white gold' rush,17/07/2019,"prices.In the region, China's Tianqi Lithium Corp <002466.SZ> has",reuters
6,Tianqi buys stake in lithium miner SQM from Nutrien for $4.1 billion,03/12/2018,Corp <002466.SZ> has purchased a 23.77 percent share in Chilean,reuters
7,Chile's antitrust court rejects appeals against Tianqi deal,30/10/2018,002466,reuters
8,Chilean court rejects lawsuit to block SQM stake sale to Tianqi,25/10/2018,on the $4.1 billion sale to Tianqi Lithium Corp <002466.SZ> of a 24,reuters
9,Nutrien vows to 'protect interests' over threat to SQM sale: paper,21/10/2018,"regulator, with some conditions to curb Tianqi's <002466.SZ> influence",reuters
10,,18/10/2018,002466.SZ> in May agreed to buy a 24 percent stake in Chilean,reuters
11,Exclusive: Lithium producer Albemarle eyes buying rival if IPO stumbles - source,05/09/2018,"and China's Tianqi Lithium Corp <002466.SZ>, by pumping up its",reuters
12,China's Tianqi Lithium files for $1 billion Hong Kong listing: sources,20/08/2018,Lithium Corp <002466.SZ> is looking to raise up to $1 billion,reuters
13,"METALS-London copper ticks above $6,000 a tonne as dollar slips",20/08/2018,Corp 002466.SZ is lookingto raise up to $1 billion in its Hong Kong,reuters
14,China's Tianqi Lithium to buy a quarter of Chile's SQM for $4.1 billion,17/05/2018,Tianqi Lithium Corp <002466.SZ> said on Thursday it will buy nearly,reuters
15,Exclusive: China's Tianqi nears $4.3 billion deal to buy stake in Chile's SQM - sources,15/05/2018,Tianqi Lithium <002466.SZ> is nearing a deal to buy a 24 percent,reuters
16,China's Tianqi alleged errors in Chile effort to block SQM stake - papers,07/04/2018,SANTIAGO (Reuters) - China's Tianqi Lithium Corp <002466.SZ,reuters
17,Lithium processors prepare to meet demand in era of electric car,07/08/2017,002466.SZ> together accounted for 66 percent of the world's lithium,reuters
18,Chile's SQM to pay $30 million U.S. penalty over invoices case,13/01/2017,Potash Corp  and China's Tianqi <002466.SZ,reuters
19,"Factbox: New mines, expansions in lithium",15/12/2016,Lithium Industries <002466.SZ> announced plans to open a A$400,reuters
