,headline,date,snippet,source
0,RPT-COLUMN-Unexpected bump on the EV road hits battery metals: Andy Home,18/12/2019,", such as that justsigned between BMW and China's Ganfeng Lithium belies tepidare those of the author, a columnist for Reuters)* Lithium prices sink: https",reuters
1,COLUMN-Unexpected bump on the EV road hits battery metals: Andy Home,18/12/2019,and China's Ganfeng Lithium belies tepidconsumer activity in the spot for Reuters.)* Lithium prices sink: https://tmsnrt.rs/35zK6Dc* Cobalt,reuters
2,Argentina's lithium producers hopeful as Fernandez set to take power,15/11/2019,a lithium project in JujuyProvince with Ganfeng Lithium Co lithiumproducers are cautiously optimistic that President-elect Alberto,reuters
3,"Ganfeng Lithium third-quarter profits crash on lower prices, fair value loss",28/10/2019,"By Tom DalyBEIJING (Reuters) - China's Ganfeng Lithium <002466.SZ in electric vehicle batteries.Ganfeng, one of the world's top lithium producers",reuters
4,"Ganfeng Lithium Q3 profits crash on lower prices, fair value loss",28/10/2019,") - China's Ganfeng Lithiumsaid on Monday its net profit slumped86.5 in electric vehicle batteries.Ganfeng, one of the world's top lithium",reuters
5,UK Stocks-Factors to watch on Oct 15,15/10/2019,raise early next year and says a deal with China's Ganfeng Lithium Co. *BACANORA: London-listed Bacanora Lithium plans a $300 millioncapital,reuters
6,Ganfeng’s lithium expertise set to power Bacanora’s Mexico project,14/10/2019,"with China's Ganfeng Lithium Co Ltd puts it in a better position to raise reached an investment and offtake agreement with Ganfeng Lithium, one",reuters
7,"Lithium Americas boosts budget, production target for Argentina project",30/09/2019,GanfengLithium Co Ltd that a projected surge in long-termdemandBy Ernest ScheyderSept 30 (Reuters) - Lithium Americas Corp,reuters
8,"Lithium Americas trims production target, budget for Nevada mine",25/09/2019,is developing a brine lithiumproject in Argentina with China's GanfengBy Ernest ScheyderSept 25 (Reuters) - Lithium Americas Corp has cut,reuters
9,"Brazilian lithium producer Sigma in talks with Tesla, other automakers",12/09/2019,"supplier Ganfeng Lithium, at theautomaker's request. But it is holding-basedlithium startup Sigma Lithium Resources Corp has heldtalks",reuters
10,Australian lithium miners submerged by low prices,02/09/2019,"producer, Ganfeng Lithium Co, a large buyer of spodumene, posted a 59 lithium production over the past five years to exploit surging prices",reuters
11,METALS-Nickel rises on signs of near-term tight supply,29/08/2019,"processing plant.* LITHIUM: China's biggest lithium producer, Ganfeng LithiumCo,, saw its first-half profits plunge 59%as rising supply",reuters
12,Australian shares edge up as risk appetites in check; NZ retreats,29/08/2019,"%.On Wednesday, China's biggest lithium producer GanfengLithium Co, reported%.Tech stocks and lithium miners led losses.Altura Mining Ltd, Orocobre",reuters
13,"Australian shares listless as major catalysts missing, NZ inches down",28/08/2019,GanfengLithium Co reported first-half profitsplunged 59% as rising* Lithium miners among top losers on benchmark* Link Administration,reuters
14,METALS- Base metals mixed as trade tensions dent demand outlook,28/08/2019,"biggest lithium producer, Ganfeng LithiumCo,, saw its first-half profits said most of itsgrowth will be outside China.* LITHIUM: China's",reuters
15,Slump in lithium prices hammers profits at China's Ganfeng,28/08/2019,", Ganfeng Lithium Co <002460.SZ> <1772.HK>, saw its first-half Ganfeng said, but slumping lithium prices meant the company was unable",reuters
16,Deals of the day-Mergers and acquisitions,19/08/2019,inAsiana Airlines Inc.** China's Ganfeng Lithium said it hadcompleted a $160 million deal to raise its stake in theCauchari-Olaroz lithium,reuters
17,METALS-Copper ticks up on China stimulus hopes,19/08/2019,' Association said.* LITHIUM: China's Ganfeng Lithiumsaid on Sunday it had-Olaroz lithium brine project in Argentinato 50%.* PRICES: London,reuters
18,METALS-Copper rises on hopes of China stimulus,18/08/2019,"a deal yet.""* LITHIUM: China's Ganfeng Lithiumsaid on Sunday it had lithium brine project in Argentinato 50%.* COBALT: China's biggest",reuters
19,China's Ganfeng closes deal to raise stake in Argentina lithium project,18/08/2019,"BEIJING, Aug 18 (Reuters) - China's Ganfeng Lithiumsaid on Sunday-Olaroz lithiumbrine project in Argentina to 50%.Ganfeng, based",reuters
20,Australia's Altura Mining inks lithium supply deal with Chinese battery maker,31/07/2019,"after Ganfeng Lithium, Lionergy and Shandong Ruifu. The latest deal(Reuters) - Lithium miner Altura Mining Ltd said on Thursday it has",reuters
21,How much does lithium cost? The industry can't seem to agree,09/06/2019,that expands Albemarle's prowess with Asian customers. Ganfeng Lithium CoBy Ernest ScheyderSANTIAGO (Reuters) - Opaque pricing for lithium,reuters
22,"Lithium Americas names new CEO, quarterly loss shrinks",15/05/2019,"with its Argentina project, which counts China's Ganfeng Lithium CoBy Ernest Scheyder(Reuters) - Lithium Americas Corp, which",reuters
23,"China's General Lithium to launch 60,000 T spodumene converter by end-2020",12/04/2019,"SHANGHAI, April 12 (Reuters) - General Lithium Corp, China'sfourth-biggest lithium producer, plans to start building a plantto convert",reuters
24,German stocks - Factors to watch on April 8,08/04/2019,"1 billion euros, hurting first-quarter earnings.VOLKSWAGENGanfeng Lithium said it has signed a MoU withVolkswagen to offer lithium",reuters
25,METALS-Copper slips as Peru mine blockade seen ending,02/04/2019,said.GANFENG LITHIUM: China's Ganfeng Lithium Co willspend $160 million to boost its stake in an Argentinian lithiumproject with Lithium,reuters
26,"METALS-London copper down as dollar rises, Peru mine concerns ease",02/04/2019,"LITHIUM: China's Ganfeng Lithium Cosaid on Monday it would spend $160 sealssupply contracts for 2020, its chief executive said.* GANFENG",reuters
27,"METALS-Copper falls for second day as dollar rises, Peru mine concerns ease",02/04/2019,"contracts for 2020, its chief executive said.* GANFENG LITHIUM: China's Ganfeng Lithium Cosaid on Monday it would spend $160 million",reuters
28,"METALS-Copper eases amid rising dollar, Peru mine offer",01/04/2019,* China's Ganfeng Lithium Co said on Monday itwould spend $160 million to boost its ownership stake in anArgentina lithium project,reuters
29,China's Ganfeng boosts stake in Argentina lithium project,01/04/2019,"By Ernest ScheyderApril 1 (Reuters) - China's Ganfeng Lithium Co and Livent Corp, the nation'stwo existing lithium producers.For Ganfeng",reuters
30,China's lithium hydroxide exports to rise this year: Pilbara CEO,25/01/2019,were likely to attract sales from Ganfeng Lithium and China's General such as Ganfeng and General Lithium have new plants that have been,reuters
31,China's lithium hydroxide exports to rise this year - Pilbara CEO,25/01/2019,material were likelyto attract sales from Ganfeng Lithium and China's producers such as Ganfeng and General Lithium havenew plants that have been,reuters
